>,56-Ba-134:0.024170
>,56-Ba-135:0.065920
>,56-Ba-136:0.078540
>,56-Ba-137:0.112320
>,56-Ba-138:0.716980
4.250000e-01,3.60911171e+00
4.437500e-01,3.60039224e+00
4.625000e-01,3.59218505e+00
5.000000e-01,3.57718278e+00
5.312500e-01,3.56587540e+00
5.625000e-01,3.55546698e+00
5.937500e-01,3.54586458e+00
6.250000e-01,3.53696649e+00
6.875000e-01,3.52095038e+00
7.500000e-01,3.50688744e+00
8.125000e-01,3.49439809e+00
8.750000e-01,3.48322691e+00
9.375000e-01,3.47311185e+00
1.000000e+00,3.46386919e+00
1.062500e+00,3.45538918e+00
1.125000e+00,3.44756716e+00
1.187500e+00,3.44034336e+00
1.250000e+00,3.43356047e+00
1.312500e+00,3.42743540e+00
1.375000e+00,3.42131263e+00
1.500000e+00,3.41045543e+00
1.625000e+00,3.40071899e+00
1.750000e+00,3.39190050e+00
1.875000e+00,3.38384552e+00
2.000000e+00,3.37640973e+00
2.187500e+00,3.36625476e+00
2.375000e+00,3.35709126e+00
2.562500e+00,3.34872924e+00
2.750000e+00,3.34103722e+00
2.937500e+00,3.33390337e+00
3.125000e+00,3.32724420e+00
3.238400e+00,3.32345715e+00
3.312500e+00,3.32098308e+00
3.500000e+00,3.31508203e+00
3.687500e+00,3.30950556e+00
3.809640e+00,3.30602651e+00
3.875000e+00,3.30416530e+00
4.062500e+00,3.29919487e+00
4.070930e+00,3.29897150e+00
4.093320e+00,3.29837830e+00
4.115700e+00,3.29778543e+00
4.160470e+00,3.29659960e+00
4.250000e+00,3.29422869e+00
4.314220e+00,3.29265949e+00
4.429530e+00,3.28984291e+00
4.544850e+00,3.28702751e+00
4.625000e+00,3.28507192e+00
4.660160e+00,3.28427371e+00
4.775480e+00,3.28165726e+00
4.812500e+00,3.28081770e+00
4.906250e+00,3.27869280e+00
5.000000e+00,3.27656936e+00
5.108790e+00,3.27424718e+00
5.217580e+00,3.27192763e+00
5.312500e+00,3.26990635e+00
5.326370e+00,3.26962450e+00
5.435160e+00,3.26741679e+00
5.456540e+00,3.26698332e+00
5.502800e+00,3.26604603e+00
5.549060e+00,3.26510958e+00
5.625000e+00,3.26357431e+00
5.641580e+00,3.26325468e+00
5.734100e+00,3.26147450e+00
5.826620e+00,3.25969820e+00
5.919140e+00,3.25792684e+00
5.937500e+00,3.25757640e+00
6.011660e+00,3.25621155e+00
6.104180e+00,3.25451499e+00
6.196700e+00,3.25282573e+00
6.250000e+00,3.25185691e+00
6.269730e+00,3.25151388e+00
6.342760e+00,3.25025016e+00
6.415790e+00,3.24899343e+00
6.488820e+00,3.24774485e+00
6.561850e+00,3.24650546e+00
6.562500e+00,3.24649452e+00
6.634880e+00,3.24531222e+00
6.671400e+00,3.24472017e+00
6.707910e+00,3.24413158e+00
6.744430e+00,3.24354639e+00
6.780940e+00,3.24296534e+00
6.830300e+00,3.24218679e+00
6.875000e+00,3.24148984e+00
6.879660e+00,3.24142119e+00
6.929020e+00,3.24070396e+00
6.978380e+00,3.23999803e+00
7.027740e+00,3.23930492e+00
7.077100e+00,3.23862641e+00
7.126460e+00,3.23796480e+00
7.175810e+00,3.23732282e+00
7.213210e+00,3.23685107e+00
7.250610e+00,3.23639378e+00
7.288000e+00,3.23595294e+00
7.325400e+00,3.23553031e+00
7.362800e+00,3.23512852e+00
7.400200e+00,3.23475045e+00
7.437590e+00,3.23439965e+00
7.474990e+00,3.23407980e+00
7.500000e+00,3.23388873e+00
7.508990e+00,3.23382835e+00
7.542980e+00,3.23363408e+00
7.576980e+00,3.23347869e+00
7.610980e+00,3.23336842e+00
7.619290e+00,3.23334920e+00
7.642630e+00,3.23331297e+00
7.665980e+00,3.23330499e+00
7.689320e+00,3.23332908e+00
7.712660e+00,3.23338872e+00
7.736010e+00,3.23348810e+00
7.759350e+00,3.23363258e+00
7.782690e+00,3.23382797e+00
7.806040e+00,3.23408117e+00
7.824380e+00,3.23432615e+00
7.842720e+00,3.23461669e+00
7.861060e+00,3.23495822e+00
7.879400e+00,3.23535662e+00
7.897740e+00,3.23581926e+00
7.916080e+00,3.23635401e+00
7.934420e+00,3.23697047e+00
7.952770e+00,3.23767969e+00
7.967430e+00,3.23832238e+00
7.982090e+00,3.23904062e+00
7.996760e+00,3.23984305e+00
8.011420e+00,3.24074066e+00
8.026080e+00,3.24174514e+00
8.040740e+00,3.24287062e+00
8.055410e+00,3.24413350e+00
8.070070e+00,3.24555339e+00
8.085680e+00,3.24726263e+00
8.093480e+00,3.24820378e+00
8.101280e+00,3.24920907e+00
8.109080e+00,3.25028355e+00
8.116880e+00,3.25143327e+00
8.124690e+00,3.25266454e+00
8.125000e+00,3.25271702e+00
8.132490e+00,3.25399084e+00
8.140290e+00,3.25541464e+00
8.148090e+00,3.25694459e+00
8.155890e+00,3.25859100e+00
8.163700e+00,3.26036533e+00
8.171500e+00,3.26228090e+00
8.179300e+00,3.26435231e+00
8.187100e+00,3.26659654e+00
8.194900e+00,3.26903277e+00
8.205510e+00,3.27269379e+00
8.210820e+00,3.27469315e+00
8.216120e+00,3.27681739e+00
8.221420e+00,3.27907788e+00
8.226730e+00,3.28148589e+00
8.232030e+00,3.28405494e+00
8.237330e+00,3.28679912e+00
8.242640e+00,3.28973586e+00
8.247940e+00,3.29288364e+00
8.253250e+00,3.29626286e+00
8.258550e+00,3.29989655e+00
8.263850e+00,3.30381243e+00
8.269160e+00,3.30803863e+00
8.274460e+00,3.31261061e+00
8.279760e+00,3.31756478e+00
