>,16-S-34:0.042504
3.312500e-03,1.42034505e+00
3.406250e-03,1.40066208e+00
3.500000e-03,1.38177693e+00
3.593750e-03,1.36363131e+00
3.687500e-03,1.34618611e+00
3.781250e-03,1.32939286e+00
3.875000e-03,1.31321255e+00
3.968750e-03,1.29760635e+00
4.062500e-03,1.28255450e+00
4.250000e-03,1.25393988e+00
4.437500e-03,1.22716398e+00
4.625000e-03,1.20203242e+00
4.812500e-03,1.17837990e+00
5.000000e-03,1.15607000e+00
5.156250e-03,1.13842052e+00
5.312500e-03,1.12155900e+00
5.468750e-03,1.10541766e+00
5.625000e-03,1.08995732e+00
5.781250e-03,1.07512939e+00
5.937500e-03,1.06088535e+00
6.093750e-03,1.04719583e+00
6.250000e-03,1.03402196e+00
6.406250e-03,1.02133458e+00
6.562500e-03,1.00910444e+00
6.718750e-03,9.97302438e-01
6.875000e-03,9.85899440e-01
7.187500e-03,9.64230610e-01
7.500000e-03,9.43928847e-01
7.812500e-03,9.24857860e-01
8.125000e-03,9.06897060e-01
8.437500e-03,8.89944224e-01
8.750000e-03,8.73907924e-01
9.062500e-03,8.58708358e-01
9.375000e-03,8.44275466e-01
9.687500e-03,8.30546027e-01
1.000000e-02,8.17465571e-01
1.031250e-02,8.04984473e-01
1.062500e-02,7.93057943e-01
1.093750e-02,7.81647065e-01
1.125000e-02,7.70713928e-01
1.156250e-02,7.60228350e-01
1.187500e-02,7.50158200e-01
1.218750e-02,7.40478262e-01
1.250000e-02,7.31164098e-01
1.281250e-02,7.22192463e-01
1.312500e-02,7.13542834e-01
1.343750e-02,7.05196803e-01
1.375000e-02,6.97136845e-01
1.437500e-02,6.81813663e-01
1.500000e-02,6.67457662e-01
1.562500e-02,6.53972457e-01
1.625000e-02,6.41272413e-01
1.687500e-02,6.29284571e-01
1.750000e-02,6.17944728e-01
1.812500e-02,6.07196470e-01
1.875000e-02,5.96990116e-01
1.937500e-02,5.87281925e-01
2.000000e-02,5.78032031e-01
2.066250e-02,5.68689664e-01
2.132500e-02,5.59785157e-01
2.198750e-02,5.51287305e-01
2.265000e-02,5.43165035e-01
2.331250e-02,5.35391110e-01
2.397500e-02,5.27942133e-01
2.463750e-02,5.20795760e-01
2.530000e-02,5.13931519e-01
2.645780e-02,5.02561516e-01
2.761560e-02,4.91913495e-01
2.877340e-02,4.81916323e-01
2.993130e-02,4.72503929e-01
3.108910e-02,4.63622759e-01
3.224690e-02,4.55225137e-01
3.340470e-02,4.47267274e-01
3.456250e-02,4.39712260e-01
3.552740e-02,4.33700377e-01
3.649220e-02,4.27928786e-01
3.745700e-02,4.22381921e-01
3.842190e-02,4.17044281e-01
3.938670e-02,4.11904115e-01
4.035160e-02,4.06949829e-01
4.131640e-02,4.02169672e-01
4.228130e-02,3.97553973e-01
4.421090e-02,3.88779804e-01
4.614060e-02,3.80562205e-01
4.807030e-02,3.72844684e-01
5.000000e-02,3.65577651e-01
5.156250e-02,3.59994812e-01
5.312500e-02,3.54661037e-01
5.468750e-02,3.49557873e-01
5.625000e-02,3.44667772e-01
5.781250e-02,3.39979080e-01
5.937500e-02,3.35475275e-01
6.093750e-02,3.31147507e-01
6.250000e-02,3.26982281e-01
6.406250e-02,3.22970790e-01
6.562500e-02,3.19103261e-01
6.718750e-02,3.15371986e-01
6.875000e-02,3.11768144e-01
7.187500e-02,3.04916568e-01
7.500000e-02,2.98496985e-01
7.812500e-02,2.92466580e-01
8.125000e-02,2.86786460e-01
8.437500e-02,2.81425433e-01
8.750000e-02,2.76353387e-01
9.062500e-02,2.71545028e-01
9.375000e-02,2.66979910e-01
9.687500e-02,2.62637563e-01
1.000000e-01,2.58500539e-01
1.031250e-01,2.54552310e-01
1.062500e-01,2.50780111e-01
1.093750e-01,2.47171411e-01
1.125000e-01,2.43713538e-01
1.156250e-01,2.40397677e-01
1.187500e-01,2.37213163e-01
1.218750e-01,2.34152267e-01
1.250000e-01,2.31208045e-01
1.281250e-01,2.28371885e-01
1.312500e-01,2.25636919e-01
1.343750e-01,2.22999218e-01
1.375000e-01,2.20451051e-01
1.437500e-01,2.15607642e-01
1.500000e-01,2.11068789e-01
1.562500e-01,2.06804317e-01
1.625000e-01,2.02787939e-01
1.687500e-01,1.98996315e-01
1.750000e-01,1.95409985e-01
1.812500e-01,1.92011433e-01
1.875000e-01,1.88784133e-01
1.937500e-01,1.85715400e-01
2.000000e-01,1.82790700e-01
2.093750e-01,1.78652693e-01
2.187500e-01,1.74782273e-01
2.281250e-01,1.71153115e-01
2.375000e-01,1.67739975e-01
2.468750e-01,1.64522414e-01
2.562500e-01,1.61483854e-01
2.656250e-01,1.58607776e-01
2.750000e-01,1.55879598e-01
2.843750e-01,1.53287640e-01
2.937500e-01,1.50820225e-01
3.031250e-01,1.48469542e-01
3.125000e-01,1.46224917e-01
3.218750e-01,1.44078582e-01
3.312500e-01,1.42024656e-01
3.406250e-01,1.40056353e-01
3.500000e-01,1.38166876e-01
3.593750e-01,1.36353263e-01
3.687500e-01,1.34608748e-01
3.781250e-01,1.32929428e-01
3.875000e-01,1.31312369e-01
3.968750e-01,1.29753679e-01
4.062500e-01,1.28248526e-01
4.250000e-01,1.25389961e-01
4.437500e-01,1.22713338e-01
4.625000e-01,1.20200192e-01
5.000000e-01,1.15609765e-01
5.312500e-01,1.12161594e-01
5.625000e-01,1.09000443e-01
5.937500e-01,1.06090334e-01
6.250000e-01,1.03402038e-01
6.875000e-01,9.85868462e-02
7.500000e-01,9.43867737e-02
8.125000e-01,9.06824147e-02
8.750000e-01,8.73908908e-02
9.375000e-01,8.44332833e-02
1.000000e+00,8.17495648e-02
1.062500e+00,7.93058738e-02
1.125000e+00,7.70689348e-02
1.187500e+00,7.50112203e-02
1.250000e+00,7.31100498e-02
1.375000e+00,6.97045840e-02
1.500000e+00,6.67345210e-02
1.625000e+00,6.41143328e-02
1.750000e+00,6.17870045e-02
1.875000e+00,5.96958121e-02
2.000000e+00,5.77946401e-02
2.187500e+00,5.52564709e-02
2.375000e+00,5.30281846e-02
2.562500e+00,5.10492716e-02
2.750000e+00,4.92810987e-02
2.937500e+00,4.76847519e-02
3.125000e+00,4.62295850e-02
3.312500e+00,4.48999302e-02
3.500000e+00,4.36787596e-02
3.875000e+00,4.15080651e-02
4.250000e+00,3.96315028e-02
4.625000e+00,3.79881561e-02
5.000000e+00,3.65356072e-02
5.312500e+00,3.54448097e-02
5.625000e+00,3.44440092e-02
5.937500e+00,3.35233813e-02
6.250000e+00,3.26726129e-02
6.875000e+00,3.11487384e-02
7.500000e+00,2.98194576e-02
8.125000e+00,2.86467301e-02
8.750000e+00,2.76038837e-02
9.375000e+00,2.66670021e-02
1.000000e+01,2.58173922e-02
1.062500e+01,2.50439673e-02
1.125000e+01,2.43358330e-02
1.187500e+01,2.36844144e-02
1.250000e+01,2.30824270e-02
1.375000e+01,2.20040610e-02
1.500000e+01,2.10632745e-02
1.625000e+01,2.02332100e-02
1.750000e+01,1.94946043e-02
1.875000e+01,1.88310166e-02
2.000000e+01,1.82292136e-02
2.187500e+01,1.74253125e-02
2.375000e+01,1.67188068e-02
2.562500e+01,1.60912104e-02
2.750000e+01,1.55293862e-02
2.937500e+01,1.50221463e-02
3.125000e+01,1.45605403e-02
3.312500e+01,1.41386323e-02
3.500000e+01,1.37509741e-02
3.875000e+01,1.30617637e-02
4.250000e+01,1.24655734e-02
4.625000e+01,1.19432330e-02
5.000000e+01,1.14808291e-02
5.312500e+01,1.11334382e-02
5.625000e+01,1.08149488e-02
5.937500e+01,1.05219487e-02
6.250000e+01,1.02510380e-02
6.875000e+01,9.76545634e-03
7.500000e+01,9.34164028e-03
8.125000e+01,8.96739166e-03
8.750000e+01,8.63393173e-03
9.375000e+01,8.33416809e-03
1.000000e+02,8.06256411e-03
1.062500e+02,7.81510209e-03
1.125000e+02,7.58838539e-03
1.187500e+02,7.37966019e-03
1.250000e+02,7.18664987e-03
1.375000e+02,6.84050645e-03
1.500000e+02,6.53814188e-03
1.625000e+02,6.27099364e-03
1.750000e+02,6.03274689e-03
1.875000e+02,5.81843828e-03
2.000000e+02,5.62414723e-03
2.187500e+02,5.36412909e-03
2.375000e+02,5.13511590e-03
2.562500e+02,4.93132698e-03
2.750000e+02,4.74844275e-03
2.937500e+02,4.58304713e-03
3.125000e+02,4.43243529e-03
3.312500e+02,4.29453391e-03
3.500000e+02,4.16765006e-03
3.687500e+02,4.05036302e-03
3.875000e+02,3.94151414e-03
4.062500e+02,3.84341301e-03
4.250000e+02,3.74534720e-03
4.625000e+02,3.57299867e-03
5.000000e+02,3.41998155e-03
5.312500e+02,3.30473119e-03
5.625000e+02,3.19895260e-03
5.937500e+02,3.10141954e-03
6.250000e+02,3.01110026e-03
6.562500e+02,2.92988409e-03
6.875000e+02,2.84880409e-03
7.187500e+02,2.77773972e-03
7.500000e+02,2.70670002e-03
8.125000e+02,2.58087604e-03
8.750000e+02,2.46843056e-03
9.375000e+02,2.36713444e-03
1.000000e+03,2.27521629e-03
1.062500e+03,2.19133216e-03
1.125000e+03,2.11436281e-03
1.187500e+03,2.04342177e-03
1.250000e+03,1.97774996e-03
1.312500e+03,1.91677305e-03
1.375000e+03,1.85985692e-03
1.437500e+03,1.80830879e-03
1.500000e+03,1.75677932e-03
1.625000e+03,1.66570229e-03
1.750000e+03,1.58451237e-03
1.875000e+03,1.51155434e-03
2.000000e+03,1.44555199e-03
2.093750e+03,1.40004757e-03
2.187500e+03,1.35746914e-03
2.375000e+03,1.28021939e-03
2.562500e+03,1.21183497e-03
2.750000e+03,1.15081569e-03
2.937500e+03,1.09601155e-03
3.125000e+03,1.04647784e-03
3.312500e+03,1.00148374e-03
3.500000e+03,9.60435595e-04
3.687500e+03,9.22857491e-04
3.875000e+03,8.88248373e-04
4.062500e+03,8.56376632e-04
4.250000e+03,8.26829529e-04
4.625000e+03,7.73968267e-04
5.000000e+03,7.28034481e-04
5.312500e+03,6.94179511e-04
5.625000e+03,6.63639534e-04
5.937500e+03,6.36086830e-04
6.250000e+03,6.11019312e-04
6.875000e+03,5.67367701e-04
7.500000e+03,5.30706176e-04
8.125000e+03,4.99598322e-04
8.750000e+03,4.72979597e-04
9.375000e+03,4.50067359e-04
1.000000e+04,4.30152336e-04
1.062500e+04,4.12866780e-04
1.064530e+04,4.12373907e-04
1.096800e+04,4.04564205e-04
1.125000e+04,3.97765081e-04
1.129060e+04,3.96958615e-04
1.161330e+04,3.90598338e-04
1.177460e+04,3.87450162e-04
1.193600e+04,3.84332683e-04
1.204350e+04,3.82282165e-04
1.215110e+04,3.80258474e-04
1.225860e+04,3.78276183e-04
1.236620e+04,3.76347954e-04
1.244010e+04,3.75069307e-04
1.250000e+04,3.74073859e-04
1.251410e+04,3.73902188e-04
1.258800e+04,3.73071220e-04
1.266200e+04,3.72334166e-04
1.271240e+04,3.71908369e-04
1.276280e+04,3.71565636e-04
1.281320e+04,3.71329699e-04
1.286360e+04,3.71244152e-04
1.290060e+04,3.71308231e-04
1.293760e+04,3.71516189e-04
1.297450e+04,3.71915583e-04
1.301150e+04,3.72569746e-04
1.304510e+04,3.73471665e-04
1.307870e+04,3.74775850e-04
1.311230e+04,3.76654742e-04
1.314590e+04,3.79358716e-04
1.316440e+04,3.81357227e-04
1.318290e+04,3.83844862e-04
1.320140e+04,3.86975612e-04
1.321990e+04,3.90960021e-04
1.323840e+04,3.96114323e-04
1.325690e+04,4.02904463e-04
1.327540e+04,4.12058765e-04
1.328460e+04,4.17863594e-04
1.329380e+04,4.24755057e-04
1.330180e+04,4.31827282e-04
1.330980e+04,4.40332075e-04
1.331780e+04,4.50215356e-04
1.332580e+04,4.61860564e-04
1.333370e+04,4.76236106e-04
1.334170e+04,4.93867662e-04
1.334970e+04,5.15919409e-04
1.335770e+04,5.44040764e-04
1.336100e+04,5.58215887e-04
1.336690e+04,5.87322642e-04
1.337280e+04,6.23228826e-04
1.337580e+04,6.44469841e-04
1.337870e+04,6.68409688e-04
1.338160e+04,6.95514852e-04
1.338460e+04,7.26355327e-04
1.338690e+04,7.53793895e-04
1.338920e+04,7.84289020e-04
1.339150e+04,8.18461012e-04
1.339380e+04,8.56923433e-04
1.339610e+04,9.00420357e-04
1.339840e+04,9.49864626e-04
1.339960e+04,9.77279124e-04
1.340080e+04,1.00637754e-03
1.340190e+04,1.03785451e-03
1.340310e+04,1.07136936e-03
1.340440e+04,1.11462763e-03
1.340580e+04,1.16157546e-03
1.340720e+04,1.21342128e-03
1.340850e+04,1.27000913e-03
1.340990e+04,1.33287355e-03
1.341130e+04,1.40193359e-03
1.341260e+04,1.47917101e-03
1.341330e+04,1.52071423e-03
1.341400e+04,1.56460518e-03
1.341510e+04,1.64538608e-03
1.341630e+04,1.73369617e-03
1.341690e+04,1.78169910e-03
1.341750e+04,1.83222978e-03
1.341800e+04,1.88546979e-03
1.341860e+04,1.94062093e-03
1.341920e+04,1.99982248e-03
1.341980e+04,2.06236937e-03
1.342030e+04,2.12849567e-03
1.342090e+04,2.19724567e-03
1.342150e+04,2.27131371e-03
1.342210e+04,2.34986719e-03
1.342270e+04,2.43324366e-03
1.342320e+04,2.52025955e-03
1.342410e+04,2.66891036e-03
1.342460e+04,2.74887554e-03
1.342500e+04,2.83101001e-03
1.342550e+04,2.91930103e-03
1.342590e+04,3.01009886e-03
1.342640e+04,3.10783332e-03
1.342680e+04,3.20846464e-03
1.342720e+04,3.31690423e-03
1.342770e+04,3.43130536e-03
1.342810e+04,3.55206119e-03
1.342860e+04,3.67667084e-03
1.342900e+04,3.81125055e-03
1.342950e+04,3.95026915e-03
1.342990e+04,4.10053292e-03
1.343040e+04,4.25585815e-03
1.343090e+04,4.47419717e-03
1.343150e+04,4.70911879e-03
1.343210e+04,4.96192220e-03
1.343270e+04,5.22908954e-03
1.343330e+04,5.52133940e-03
1.343380e+04,5.83552301e-03
1.343440e+04,6.17295738e-03
1.343500e+04,6.52845356e-03
1.343560e+04,6.91561790e-03
1.343610e+04,7.32938147e-03
1.343670e+04,7.77047620e-03
1.343730e+04,8.23098288e-03
1.343790e+04,8.72707312e-03
1.343850e+04,9.25046609e-03
1.343900e+04,9.80011324e-03
1.343960e+04,1.03642353e-02
1.344030e+04,1.10441673e-02
1.344090e+04,1.17373023e-02
1.344160e+04,1.24479874e-02
1.344220e+04,1.31690252e-02
1.344350e+04,1.46181498e-02
1.344420e+04,1.53146585e-02
1.344480e+04,1.59811658e-02
1.344550e+04,1.66058173e-02
1.344610e+04,1.71766150e-02
1.344680e+04,1.76820796e-02
1.344740e+04,1.81054126e-02
1.344810e+04,1.84504361e-02
1.344870e+04,1.87020019e-02
1.344940e+04,1.88543312e-02
1.345000e+04,1.89037518e-02
1.345050e+04,1.88696156e-02
1.345100e+04,1.87692477e-02
1.345150e+04,1.86373767e-02
1.345190e+04,1.84672535e-02
1.345230e+04,1.82579013e-02
1.345270e+04,1.80113454e-02
1.345320e+04,1.77227837e-02
1.345360e+04,1.74084210e-02
1.345440e+04,1.66945621e-02
1.345530e+04,1.58778664e-02
1.345610e+04,1.50035665e-02
1.345700e+04,1.40877108e-02
1.345780e+04,1.31542300e-02
1.345890e+04,1.19071381e-02
1.346010e+04,1.07074494e-02
1.346060e+04,1.01301839e-02
1.346120e+04,9.58486996e-03
1.346170e+04,9.06325999e-03
1.346230e+04,8.56647594e-03
1.346290e+04,8.10352027e-03
1.346340e+04,7.66558867e-03
1.346400e+04,7.25251299e-03
1.346450e+04,6.86392882e-03
1.346510e+04,6.49916547e-03
1.346560e+04,6.15739349e-03
1.346620e+04,5.83762714e-03
1.346670e+04,5.54404747e-03
1.346720e+04,5.27448521e-03
1.346770e+04,5.02689264e-03
1.346830e+04,4.79071465e-03
1.346880e+04,4.57388265e-03
1.346930e+04,4.36706416e-03
1.346980e+04,4.17712986e-03
1.347090e+04,3.82928789e-03
1.347190e+04,3.52373672e-03
1.347300e+04,3.25463013e-03
1.347400e+04,3.01691573e-03
1.347510e+04,2.80812267e-03
1.347620e+04,2.61214839e-03
1.347730e+04,2.43818882e-03
1.347840e+04,2.28319114e-03
1.347950e+04,2.14578271e-03
1.348060e+04,2.02128308e-03
1.348170e+04,1.90918219e-03
1.348280e+04,1.80791238e-03
1.348390e+04,1.71694110e-03
1.348510e+04,1.62626079e-03
1.348630e+04,1.54430385e-03
1.348750e+04,1.46999018e-03
1.348870e+04,1.40240467e-03
1.348990e+04,1.34076727e-03
1.349110e+04,1.28440289e-03
1.349230e+04,1.23272648e-03
1.349350e+04,1.18561802e-03
1.349570e+04,1.10794339e-03
1.349780e+04,1.04092514e-03
1.350000e+04,9.82196651e-04
1.350220e+04,9.30901409e-04
1.350440e+04,8.85445500e-04
1.350660e+04,8.45332375e-04
1.350880e+04,8.09446673e-04
1.351100e+04,7.77496615e-04
1.351320e+04,7.48675870e-04
1.351540e+04,7.22704659e-04
1.351760e+04,6.99219948e-04
1.351980e+04,6.78005713e-04
1.352420e+04,6.40983034e-04
1.352860e+04,6.09974457e-04
1.353180e+04,5.90443521e-04
1.353500e+04,5.73129806e-04
1.353820e+04,5.57617772e-04
1.354140e+04,5.43740902e-04
1.354780e+04,5.19878549e-04
1.355410e+04,5.00237682e-04
1.355850e+04,4.88671798e-04
1.356290e+04,4.78445549e-04
1.357170e+04,4.61192871e-04
1.358050e+04,4.47264525e-04
1.358930e+04,4.35876683e-04
1.359810e+04,4.26422310e-04
1.360690e+04,4.18499064e-04
1.361560e+04,4.11783952e-04
1.362440e+04,4.06047175e-04
1.364200e+04,3.96775617e-04
1.365960e+04,3.89662999e-04
1.367710e+04,3.84078722e-04
1.369470e+04,3.79599093e-04
1.371230e+04,3.75935020e-04
1.372980e+04,3.72891622e-04
1.374740e+04,3.70323709e-04
1.375000e+04,3.69999684e-04
1.376500e+04,3.68181934e-04
1.379370e+04,3.65309355e-04
1.382250e+04,3.62993613e-04
1.385120e+04,3.61085480e-04
1.387990e+04,3.59480453e-04
1.391510e+04,3.57822668e-04
1.395020e+04,3.56416380e-04
1.398540e+04,3.55195454e-04
1.402050e+04,3.54118066e-04
1.406520e+04,3.52902362e-04
1.410990e+04,3.51818559e-04
1.415470e+04,3.50834700e-04
1.419940e+04,3.49926152e-04
1.426960e+04,3.48616177e-04
1.433990e+04,3.47408352e-04
1.441020e+04,3.46274492e-04
1.448050e+04,3.45195515e-04
1.456990e+04,3.43881840e-04
1.465930e+04,3.42615711e-04
1.474880e+04,3.41384375e-04
1.483820e+04,3.40179535e-04
1.497880e+04,3.38324852e-04
1.500000e+04,3.38050303e-04
1.511930e+04,3.36834606e-04
1.525980e+04,3.35426691e-04
1.540040e+04,3.34035210e-04
1.565590e+04,3.31537966e-04
1.591150e+04,3.29065346e-04
1.616700e+04,3.26611486e-04
1.625000e+04,3.25818023e-04
1.642250e+04,3.24566758e-04
1.690800e+04,3.21066745e-04
1.739360e+04,3.17584196e-04
1.750000e+04,3.16823778e-04
1.787910e+04,3.14888572e-04
1.836460e+04,3.12419630e-04
1.875000e+04,3.10469484e-04
1.918230e+04,3.09104045e-04
1.959120e+04,3.07823715e-04
2.000000e+04,3.06553828e-04
2.032020e+04,3.06056933e-04
2.064030e+04,3.05571761e-04
2.064670e+04,3.05562390e-04
2.096050e+04,3.05649887e-04
2.128070e+04,3.05763794e-04
2.161610e+04,3.05925478e-04
2.178380e+04,3.06030859e-04
2.187500e+04,3.06101201e-04
2.194020e+04,3.06152779e-04
2.195150e+04,3.06196002e-04
2.208870e+04,3.06745572e-04
2.222590e+04,3.07324838e-04
2.236320e+04,3.07944420e-04
2.250040e+04,3.08619515e-04
2.258420e+04,3.09070652e-04
2.266810e+04,3.09560666e-04
2.275190e+04,3.10099899e-04
2.283580e+04,3.10704914e-04
2.291200e+04,3.11331404e-04
2.298820e+04,3.12053642e-04
2.306450e+04,3.12911103e-04
2.314070e+04,3.13950225e-04
2.322460e+04,3.15412561e-04
2.323370e+04,3.15609686e-04
2.326650e+04,3.16483816e-04
2.330840e+04,3.17761766e-04
2.335030e+04,3.19249971e-04
2.339230e+04,3.21016517e-04
2.343420e+04,3.23156987e-04
2.347610e+04,3.25815608e-04
2.352190e+04,3.29571230e-04
2.354470e+04,3.31915449e-04
2.356760e+04,3.34677598e-04
2.359050e+04,3.37980176e-04
2.361330e+04,3.42100872e-04
2.363620e+04,3.46874723e-04
2.365910e+04,3.52977181e-04
2.368580e+04,3.62291037e-04
2.369910e+04,3.68166767e-04
2.371240e+04,3.75116980e-04
2.372480e+04,3.82769439e-04
2.373720e+04,3.91877118e-04
2.374960e+04,4.02879636e-04
2.375000e+04,4.03290303e-04
2.375580e+04,4.09245068e-04
2.376200e+04,4.16301325e-04
2.376720e+04,4.22890382e-04
2.377250e+04,4.30122318e-04
2.377770e+04,4.38081762e-04
2.378300e+04,4.46871604e-04
2.378820e+04,4.56608726e-04
2.379340e+04,4.67434957e-04
2.379870e+04,4.79516878e-04
2.380390e+04,4.93053130e-04
2.380820e+04,5.05385673e-04
2.381250e+04,5.19010595e-04
2.381680e+04,5.34110915e-04
2.382110e+04,5.50858399e-04
2.382320e+04,5.59981434e-04
2.382540e+04,5.69580831e-04
2.382750e+04,5.79783974e-04
2.382960e+04,5.90542172e-04
2.383180e+04,6.02005506e-04
2.383390e+04,6.14120590e-04
2.383610e+04,6.27000065e-04
2.383820e+04,6.40706808e-04
2.384080e+04,6.58789815e-04
2.384350e+04,6.78295030e-04
2.384610e+04,6.99447344e-04
2.384870e+04,7.22429842e-04
2.385130e+04,7.47449543e-04
2.385390e+04,7.74742721e-04
2.385660e+04,8.04578719e-04
2.385920e+04,8.37262686e-04
2.386050e+04,8.54781537e-04
2.386180e+04,8.73147974e-04
2.386310e+04,8.92413750e-04
2.386440e+04,9.12635121e-04
