Fe-57(n,g) ENDFB-8.0
Energy(eV) XS(b)
1642.43 0.157398
1642.79 0.149212
1643.15 0.141690
1643.51 0.134760
1643.87 0.128363
1644.23 0.122446
1644.95 0.111881
1645.68 0.102725
1646.40 0.0947602
1647.12 0.0877689
1647.84 0.0816156
1648.56 0.0761568
1649.28 0.0712985
1650.01 0.0669557
1650.73 0.0630631
1651.45 0.0595511
1652.17 0.0563802
1652.89 0.0534999
1653.61 0.0508827
1655.06 0.0463030
1656.50 0.0424526
1657.94 0.0391822
1659.39 0.0363809
1660.83 0.0339614
1662.27 0.0318603
1663.72 0.0300227
1665.16 0.0284063
1666.60 0.0269760
1668.05 0.0257060
1669.49 0.0245725
1670.93 0.0235565
1673.82 0.0218164
1676.71 0.0203889
1679.59 0.0192025
1682.48 0.0182062
1685.37 0.0173615
1688.25 0.0166394
1691.14 0.0160167
1694.03 0.0154766
1699.80 0.0145902
1705.57 0.0138991
1711.34 0.0133502
1717.12 0.0129071
1722.89 0.0125445
1728.66 0.0122441
1734.44 0.0119927
1740.21 0.0117803
1745.98 0.0115994
1757.53 0.0113104
1769.08 0.0110927
1780.62 0.0109257
1792.17 0.0107958
1815.26 0.0106127
1838.35 0.0104974
1861.45 0.0104255
1884.54 0.0103833
1907.63 0.0103624
1930.72 0.0103576
1953.82 0.0103655
1976.91 0.0103838
2000.00 0.0104109
2014.43 0.0104317
2028.87 0.0104554
2043.30 0.0104818
2057.74 0.0105106
2072.17 0.0105419
2086.60 0.0105754
2101.04 0.0106113
2115.47 0.0106493
2129.90 0.0106895
2144.34 0.0107319
2158.77 0.0107764
2173.20 0.0108230
2187.64 0.0108718
2202.07 0.0109227
2216.51 0.0109757
2230.94 0.0110309
2245.37 0.0110882
2259.81 0.0111478
2274.24 0.0112096
2288.67 0.0112737
2303.11 0.0113401
2317.54 0.0114088
2331.97 0.0114800
2346.41 0.0115536
2360.84 0.0116298
2375.27 0.0117085
2389.71 0.0117899
2404.14 0.0118740
2418.58 0.0119609
2433.01 0.0120506
2447.44 0.0121433
2461.88 0.0122390
2476.31 0.0123378
2490.74 0.0124399
2505.18 0.0125453
2519.61 0.0126541
2534.04 0.0127665
2548.48 0.0128825
2562.91 0.0130024
2577.34 0.0131261
2591.78 0.0132540
2606.21 0.0133860
2620.65 0.0135225
2635.08 0.0136635
2649.51 0.0138092
2663.95 0.0139598
2678.38 0.0141155
