90-Th_n-g
> 90-Th-232:1.000000
5.500000e+01 3.47209000e+01
5.750000e+01 3.39181000e+01
6.000000e+01 3.31669000e+01
6.250000e+01 3.24619000e+01
6.500000e+01 3.17988000e+01
6.750000e+01 3.11734000e+01
7.000000e+01 3.05826000e+01
7.375000e+01 2.97482000e+01
7.750000e+01 2.89760000e+01
8.500000e+01 2.75910000e+01
9.250000e+01 2.63813000e+01
1.000000e+02 2.53129000e+01
1.103550e+02 2.40084000e+01
1.207110e+02 2.28793000e+01
1.310660e+02 2.18900000e+01
1.414210e+02 2.10141000e+01
1.487430e+02 2.04521000e+01
1.560660e+02 1.99310000e+01
1.707110e+02 1.89937000e+01
1.853550e+02 1.81724000e+01
2.000000e+02 1.74452000e+01
2.125000e+02 1.68784000e+01
2.250000e+02 1.63606000e+01
2.375000e+02 1.58856000e+01
2.500000e+02 1.54476000e+01
2.750000e+02 1.46656000e+01
3.000000e+02 1.39863000e+01
3.250000e+02 1.33817000e+01
3.500000e+02 1.28452000e+01
3.750000e+02 1.23651000e+01
4.000000e+02 1.19322000e+01
4.250000e+02 1.15394000e+01
4.500000e+02 1.11808000e+01
4.750000e+02 1.08520000e+01
5.000000e+02 1.05489000e+01
5.250000e+02 1.02652000e+01
5.500000e+02 1.00018000e+01
5.750000e+02 9.75643000e+00
6.000000e+02 9.52715000e+00
6.250000e+02 9.31229000e+00
6.500000e+02 9.11042000e+00
6.750000e+02 8.92031000e+00
7.000000e+02 8.74087000e+00
7.375000e+02 8.48750000e+00
7.750000e+02 8.25349000e+00
8.500000e+02 7.83471000e+00
9.250000e+02 7.47002000e+00
1.000000e+03 7.14884000e+00
1.062500e+03 6.90650000e+00
1.125000e+03 6.68552000e+00
1.187500e+03 6.48300000e+00
1.250000e+03 6.29655000e+00
1.312500e+03 6.12417000e+00
1.375000e+03 5.96421000e+00
1.500000e+03 5.67616000e+00
1.625000e+03 5.42347000e+00
1.750000e+03 5.19957000e+00
1.875000e+03 4.99945000e+00
2.000000e+03 4.81921000e+00
2.125000e+03 4.65574000e+00
2.250000e+03 4.50670000e+00
2.375000e+03 4.37012000e+00
2.500000e+03 4.24437000e+00
2.625000e+03 4.12812000e+00
2.750000e+03 4.02024000e+00
3.000000e+03 3.82598000e+00
3.250000e+03 3.65804000e+00
3.500000e+03 3.50914000e+00
3.750000e+03 3.37598000e+00
4.000000e+03 3.25598000e+00
4.250000e+03 3.14715000e+00
4.500000e+03 3.04787000e+00
4.750000e+03 2.95685000e+00
5.000000e+03 2.87302000e+00
5.250000e+03 2.79791000e+00
5.500000e+03 2.72813000e+00
5.750000e+03 2.66307000e+00
6.000000e+03 2.60225000e+00
6.250000e+03 2.54521000e+00
6.500000e+03 2.49158000e+00
6.750000e+03 2.44105000e+00
7.000000e+03 2.39333000e+00
7.582820e+03 2.29631000e+00
8.165640e+03 2.20999000e+00
8.748450e+03 2.13254000e+00
9.331270e+03 2.06254000e+00
9.331280e+03 2.06254000e+00
1.000000e+04 1.98947000e+00
1.062500e+04 1.93463000e+00
1.125000e+04 1.88431000e+00
1.187500e+04 1.83791000e+00
1.250000e+04 1.79496000e+00
1.312500e+04 1.75503000e+00
1.375000e+04 1.71778000e+00
1.437500e+04 1.68293000e+00
1.500000e+04 1.65023000e+00
1.562500e+04 1.61946000e+00
1.625000e+04 1.59044000e+00
1.687500e+04 1.56300000e+00
1.750000e+04 1.53701000e+00
1.875000e+04 1.48888000e+00
2.000000e+04 1.44523000e+00
2.112210e+04 1.41315000e+00
2.224420e+04 1.38339000e+00
2.336620e+04 1.35568000e+00
2.448830e+04 1.32978000e+00
2.586620e+04 1.28906000e+00
2.724420e+04 1.25161000e+00
2.862210e+04 1.21701000e+00
3.000000e+04 1.18493000e+00
3.200810e+04 1.15119000e+00
3.401610e+04 1.12038000e+00
3.602420e+04 1.09210000e+00
3.803220e+04 1.06600000e+00
3.952820e+04 1.04557000e+00
4.102420e+04 1.02627000e+00
4.252010e+04 1.00799000e+00
4.401610e+04 9.90661000e-01
4.700810e+04 9.58515000e-01
