Fe-54(n,tot) ENDFB-8.0
0.0239750 4.49879
0.0246375 4.46687
0.0253000 4.43622
0.0264578 4.38547
0.0276156 4.33796
0.0287734 4.29336
0.0299313 4.25140
0.0310891 4.21181
0.0322469 4.17439
0.0334047 4.13894
0.0345625 4.10530
0.0355274 4.07853
0.0364922 4.05284
0.0374570 4.02815
0.0384219 4.00440
0.0393867 3.98153
0.0403516 3.95948
0.0413164 3.93822
0.0422813 3.91769
0.0442109 3.87868
0.0461406 3.84215
0.0480703 3.80786
0.0500000 3.77557
0.0515625 3.75078
0.0531250 3.72709
0.0546875 3.70443
0.0562500 3.68273
0.0578125 3.66192
0.0593750 3.64193
0.0609375 3.62273
0.0625000 3.60425
0.0640625 3.58646
0.0656250 3.56931
0.0671875 3.55277
0.0687500 3.53679
0.0718750 3.50643
0.0750000 3.47798
0.0781250 3.45126
0.0812500 3.42609
0.0843750 3.40234
0.0875000 3.37988
0.0906250 3.35859
0.0937500 3.33838
0.0968750 3.31916
0.100000 3.30085
0.103125 3.28338
0.106250 3.26669
0.109375 3.25072
0.112500 3.23543
0.115625 3.22076
0.118750 3.20668
0.121875 3.19314
0.125000 3.18012
0.128125 3.16758
0.131250 3.15550
0.134375 3.14384
0.137500 3.13258
0.143750 3.11118
0.150000 3.09112
0.156250 3.07228
0.162500 3.05454
0.168750 3.03779
0.175000 3.02195
0.181250 3.00694
0.187500 2.99269
0.193750 2.97914
0.200000 2.96623
0.209375 2.94797
0.218750 2.93088
0.228125 2.91486
0.237500 2.89980
0.246875 2.88561
0.256250 2.87220
0.265625 2.85951
0.275000 2.84747
0.284375 2.83604
0.293750 2.82516
0.303125 2.81479
0.312500 2.80489
0.321875 2.79542
0.331250 2.78637
0.340625 2.77768
0.350000 2.76935
0.359375 2.76135
0.368750 2.75366
0.378125 2.74626
0.387500 2.73913
0.396875 2.73225
0.406250 2.72562
0.425000 2.71302
0.443750 2.70121
0.462500 2.69013
0.500000 2.66990
0.531250 2.65470
0.562500 2.64075
0.593750 2.62792
0.625000 2.61607
0.687500 2.59483
0.750000 2.57631
0.812500 2.55996
0.875000 2.54544
0.937500 2.53239
1.00000 2.52054
1.06250 2.50974
1.12500 2.49986
1.18750 2.49077
1.25000 2.48236
1.37500 2.46729
1.50000 2.45414
1.62500 2.44253
1.75000 2.43221
1.87500 2.42292
2.00000 2.41447
2.18750 2.40317
2.37500 2.39324
2.56250 2.38440
2.75000 2.37648
2.93750 2.36932
3.12500 2.36278
3.31250 2.35680
3.50000 2.35128
3.87500 2.34146
4.25000 2.33292
4.62500 2.32541
5.00000 2.31873
5.31250 2.31369
5.62500 2.30905
5.93750 2.30476
6.25000 2.30078
6.87500 2.29359
7.50000 2.28726
8.12500 2.28161
8.75000 2.27653
9.37500 2.27192
10.0000 2.26769
10.6250 2.26380
11.2500 2.26019
11.8750 2.25683
12.5000 2.25368
13.7500 2.24795
15.0000 2.24282
16.2500 2.23817
17.5000 2.23392
18.7500 2.23000
20.0000 2.22636
21.8750 2.22132
23.7500 2.21671
25.6250 2.21244
27.5000 2.20847
29.3750 2.20473
31.2500 2.20119
33.1250 2.19783
35.0000 2.19461
38.7500 2.18856
42.5000 2.18291
46.2500 2.17759
50.0000 2.17253
53.1250 2.16848
56.2500 2.16456
59.3750 2.16075
62.5000 2.15703
68.7500 2.14985
75.0000 2.14294
81.2500 2.13624
87.5000 2.12973
93.7500 2.12336
100.000 2.11712
106.250 2.11098
112.500 2.10493
118.750 2.09897
125.000 2.09307
137.500 2.08146
150.000 2.07004
162.500 2.05878
175.000 2.04765
187.500 2.03663
200.000 2.02570
218.750 2.00946
237.500 1.99336
256.250 1.97739
275.000 1.96152
293.750 1.94574
312.500 1.93003
331.250 1.91440
350.000 1.89883
387.500 1.86785
425.000 1.83706
462.500 1.80643
500.000 1.77595
531.250 1.75065
562.500 1.72544
625.000 1.67525
687.500 1.62537
750.000 1.57577
812.500 1.52646
875.000 1.47742
937.500 1.42867
1000.00 1.38019
1062.50 1.33201
1125.00 1.28413
1187.50 1.23656
1250.00 1.18931
1312.50 1.14240
1375.00 1.09584
1437.50 1.04966
1500.00 1.00387
1562.50 0.958484
1625.00 0.913540
1687.50 0.869058
1750.00 0.825065
1875.00 0.738670
2000.00 0.654623
2137.34 0.565361
2274.68 0.479797
2343.35 0.438576
2412.01 0.398501
2480.68 0.359658
2549.35 0.322144
2618.02 0.286059
2686.69 0.251516
2755.36 0.218636
2789.69 0.202860
2824.03 0.187551
2858.36 0.172726
2892.70 0.158405
2927.03 0.144608
2961.37 0.131358
2995.70 0.118681
3030.04 0.106619
3047.20 0.100852
3055.79 0.0980560
3064.37 0.0953482
3072.95 0.0928023
3077.25 0.0916588
3081.54 0.0907150
3083.68 0.0903904
3085.83 0.0902549
3087.98 0.0904670
3090.12 0.0913983
3091.19 0.0924026
3092.27 0.0940964
3093.34 0.0970471
3093.88 0.0993476
3094.41 0.102553
3094.95 0.107186
3095.49 0.114149
3095.76 0.119031
3096.02 0.125277
3096.29 0.133463
3096.56 0.144468
3096.83 0.159793
3096.96 0.169738
3097.10 0.181800
3097.23 0.196614
3097.36 0.215072
3097.50 0.238454
3097.63 0.268641
3097.77 0.308486
3097.90 0.362466
3097.97 0.396874
3098.03 0.437871
3098.10 0.487182
3098.17 0.547099
3098.24 0.620709
3098.30 0.712208
3098.37 0.827353
3098.44 0.974073
3098.47 1.06394
3098.50 1.16323
3098.54 1.27993
3098.57 1.40933
3098.60 1.56171
3098.64 1.73055
3098.67 1.92854
3098.70 2.14587
3098.74 2.41990
3098.78 2.72399
3098.85 3.38515
3098.89 3.70232
3098.91 3.84788
3098.93 3.96896
3098.95 4.07426
3098.96 4.14870
3098.98 4.19715
3099.00 4.21243
3099.02 4.19550
3099.04 4.14888
3099.06 4.06962
3099.07 3.96929
3099.09 3.84103
3099.11 3.70278
3099.15 3.38570
3099.22 2.72462
3099.26 2.42053
3099.30 2.14648
3099.33 1.94784
3099.36 1.77542
3099.38 1.62112
3099.41 1.48344
3099.44 1.36076
3099.47 1.25147
3099.53 1.06712
3099.59 0.919821
3099.65 0.801193
3099.70 0.704783
3099.76 0.625691
3099.82 0.560205
3099.88 0.505499
3099.94 0.459414
3099.99 0.420284
3100.11 0.357988
3100.23 0.311218
3100.34 0.275289
3100.46 0.247132
3100.57 0.224679
3100.69 0.206499
3100.81 0.191582
3100.92 0.179194
3101.15 0.159988
3101.39 0.145974
3101.62 0.135439
3101.85 0.127317
3102.08 0.120921
3102.31 0.115793
3102.55 0.111616
3103.01 0.105280
3103.47 0.100758
3103.94 0.0974055
3104.40 0.0948412
3104.87 0.0928269
3105.79 0.0898808
3106.72 0.0878345
3107.65 0.0863232
3108.58 0.0851532
3110.43 0.0834195
3112.29 0.0821442
3114.15 0.0811183
3117.86 0.0794547
3121.57 0.0780524
3129.00 0.0755782
3136.42 0.0733007
3143.84 0.0711214
3158.69 0.0669398
3173.54 0.0629329
3188.39 0.0590780
3203.24 0.0553684
3218.09 0.0518028
3232.94 0.0483816
3247.79 0.0451068
3262.64 0.0419803
3277.49 0.0390041
3292.34 0.0361807
3307.19 0.0335130
3322.04 0.0310033
3336.88 0.0286545
3351.73 0.0264691
3366.58 0.0244505
3381.43 0.0226012
3396.28 0.0209245
3411.13 0.0194231
3425.98 0.0181005
3440.83 0.0169597
3448.25 0.0164585
3455.68 0.0160040
3463.10 0.0155966
3470.53 0.0152367
3477.95 0.0149248
3485.38 0.0146613
3489.09 0.0145478
3492.80 0.0144466
3496.51 0.0143577
3500.23 0.0142811
3503.94 0.0142170
3507.65 0.0141654
3509.51 0.0141443
3511.36 0.0141263
3513.22 0.0141114
3515.08 0.0140998
3516.93 0.0140913
3517.86 0.0140882
3518.79 0.0140859
3519.72 0.0140844
3520.64 0.0140838
3521.57 0.0140839
3522.50 0.0140848
3523.43 0.0140865
3524.36 0.0140890
3525.29 0.0140923
3526.21 0.0140964
3527.14 0.0141013
3528.07 0.0141070
3529.00 0.0141135
3529.93 0.0141208
3530.85 0.0141290
3531.78 0.0141379
3533.64 0.0141582
3535.49 0.0141817
3537.35 0.0142084
3539.21 0.0142384
3541.06 0.0142717
3544.77 0.0143480
3548.49 0.0144374
3552.20 0.0145400
3555.91 0.0146559
3559.62 0.0147850
3567.05 0.0150834
3574.47 0.0154356
3581.90 0.0158423
3589.32 0.0163039
3596.75 0.0168209
3604.17 0.0173937
3611.60 0.0180229
3619.02 0.0187090
3626.45 0.0194527
3633.87 0.0202541
3641.29 0.0211142
3648.72 0.0220334
3656.14 0.0230121
3663.57 0.0240508
3670.99 0.0251503
3678.42 0.0263109
3685.84 0.0275335
3693.27 0.0288183
3700.69 0.0301662
3708.12 0.0315776
3715.54 0.0330532
3722.97 0.0345932
3730.39 0.0361988
3737.81 0.0378701
3745.24 0.0396082
3752.66 0.0414131
3760.09 0.0432861
3767.51 0.0452275
3774.94 0.0472380
3782.36 0.0493179
3797.21 0.0536897
3812.06 0.0583482
3826.91 0.0632991
3841.76 0.0685474
3856.61 0.0740989
3871.46 0.0799595
3886.31 0.0861355
3901.16 0.0926320
3916.01 0.0994556
3930.85 0.106613
3945.70 0.114110
3960.55 0.121953
3975.40 0.130149
3990.25 0.138705
4005.10 0.147628
4019.95 0.156925
4034.80 0.166603
4049.65 0.176669
4064.50 0.187133
4079.35 0.198000
4094.20 0.209279
4109.05 0.220978
4123.90 0.233107
4138.74 0.245671
4168.44 0.272146
4198.14 0.300477
4227.84 0.330736
4257.54 0.363004
4287.24 0.397362
4316.94 0.433898
4346.63 0.472699
4376.33 0.513862
4406.03 0.557484
4435.73 0.603670
4465.43 0.652526
4495.13 0.704170
4524.82 0.758716
4554.52 0.816293
4584.22 0.877030
4613.92 0.941067
4643.62 1.00855
4673.32 1.07962
4703.02 1.15445
4732.71 1.23321
4762.41 1.31606
4792.11 1.40320
4821.81 1.49482
4851.51 1.59112
4881.21 1.69233
4910.91 1.79867
4940.60 1.91039
4970.30 2.02773
5000.00 2.15096
5034.28 2.30088
5068.55 2.45948
5102.83 2.62726
5137.10 2.80474
5171.38 2.99248
5205.65 3.19107
5239.93 3.40115
5274.20 3.62339
5308.48 3.85851
5342.75 4.10731
5377.03 4.37059
5411.30 4.64926
5445.58 4.94427
5479.85 5.25664
5514.13 5.58747
5548.40 5.93793
5582.68 6.30930
5616.95 6.70293
5651.23 7.12029
5685.50 7.56298
5719.78 8.03268
5754.05 8.53125
5788.33 9.06066
5822.60 9.62307
5856.88 10.2208
5891.15 10.8563
5925.43 11.5325
5959.70 12.2521
5993.98 13.0184
6028.25 13.8349
6062.53 14.7055
6096.80 15.6341
6131.08 16.6252
6165.35 17.6839
6199.63 18.8153
6233.90 20.0253
6268.18 21.3203
6302.45 22.7071
6336.73 24.1934
6371.00 25.7874
6405.28 27.4983
6439.55 29.3360
6473.83 31.3113
6508.10 33.4362
6542.38 35.7238
6576.65 38.1884
6610.93 40.8458
6645.20 43.7130
6679.48 46.8090
6713.75 50.1541
6748.03 53.7708
6782.30 57.6836
6816.58 61.9186
6850.85 66.5047
6885.13 71.4724
6919.40 76.8546
6953.68 82.6861
6987.95 89.0035
7022.23 95.8447
7056.50 103.248
7090.78 111.252
7125.05 119.894
7159.33 129.207
7193.60 139.218
7230.75 150.881
7267.90 163.397
7305.05 176.751
7342.20 190.898
7379.35 205.754
7416.50 221.189
7490.80 252.992
7527.95 268.810
7565.10 284.109
7602.25 298.488
7639.40 311.526
7676.55 322.811
7713.70 331.972
7750.85 338.716
7788.00 342.853
7825.15 344.313
7862.30 343.149
7899.45 339.529
7936.60 333.711
7973.75 326.017
8010.90 316.800
8048.05 306.418
8085.20 295.213
8159.50 271.520
8196.65 259.517
8233.80 247.660
8270.95 236.080
8308.10 224.878
8345.25 214.121
8382.40 203.852
8416.68 194.830
8450.96 186.250
8485.23 178.110
8519.51 170.403
8553.79 163.117
8588.06 156.234
8622.34 149.739
8656.62 143.612
8690.89 137.833
8725.17 132.383
8759.45 127.243
8793.73 122.394
8828.00 117.819
8862.28 113.499
8896.56 109.419
8930.83 105.563
8965.11 101.917
8999.39 98.4671
9033.66 95.2006
9067.94 92.1058
9102.22 89.1716
9136.50 86.3877
9170.77 83.7446
9205.05 81.2334
9239.33 78.8461
9273.60 76.5752
9307.88 74.4139
9325.02 73.3727
9342.16 72.3570
9359.30 71.3666
9367.87 70.8810
9376.43 70.4018
9385.00 69.9292
9393.57 69.4637
9397.86 69.2337
9402.14 69.0057
9406.43 68.7799
9410.71 68.5564
9415.00 68.3354
9419.28 68.1174
9423.57 67.9027
9425.71 67.7970
9427.85 67.6923
9429.99 67.5889
9432.14 67.4870
9434.28 67.3868
9436.42 67.2886
9438.56 67.1925
9440.70 67.0993
9442.85 67.0093
9443.92 66.9658
9444.99 66.9234
9446.06 66.8823
9447.13 66.8425
9448.20 66.8044
9449.27 66.7680
9450.35 66.7337
9451.42 66.7018
9452.49 66.6726
9453.56 66.6465
9454.63 66.6241
9455.70 66.6060
9456.77 66.5930
9457.84 66.5861
9458.91 66.5866
9459.45 66.5901
9459.99 66.5960
9460.52 66.6047
9461.06 66.6164
9461.59 66.6315
9462.13 66.6505
9462.66 66.6737
9463.20 66.7018
9463.74 66.7354
9464.27 66.7751
9464.81 66.8220
9465.34 66.8770
9465.88 66.9415
9466.41 67.0168
9466.95 67.1050
9467.48 67.2078
9467.75 67.2658
9468.02 67.3286
9468.29 67.3966
9468.55 67.4700
9468.82 67.5500
9469.09 67.6368
9469.36 67.7313
9469.63 67.8337
9469.89 67.9458
9470.16 68.0682
9470.43 68.2020
9470.70 68.3479
9470.96 68.5087
9471.23 68.6854
9471.50 68.8802
9471.77 69.0953
9472.04 69.3336
9472.30 69.5982
9472.57 69.8930
9472.84 70.2212
9472.97 70.4005
9473.11 70.5905
9473.24 70.7922
9473.38 71.0064
9473.51 71.2341
9473.64 71.4766
9473.78 71.7349
9473.91 72.0085
9474.04 72.3029
9474.18 72.6178
9474.31 72.9552
9474.45 73.3171
9474.58 73.7061
9474.71 74.1247
9474.85 74.5759
9474.98 75.0594
9475.12 75.5864
9475.25 76.1576
9475.38 76.7782
9475.52 77.4537
9475.65 78.1909
9475.79 78.9972
9475.92 79.8814
9476.05 80.8461
9476.19 81.9176
9476.32 83.1028
9476.45 84.4179
9476.59 85.8825
9476.66 86.6778
9476.72 87.5194
9476.79 88.4109
9476.86 89.3561
9476.92 90.3595
9476.99 91.4257
9477.06 92.5599
9477.12 93.7494
9477.19 95.0365
9477.26 96.4108
9477.32 97.8800
9477.39 99.4529
9477.46 101.139
9477.53 102.949
9477.59 104.896
9477.66 106.992
9477.73 109.253
9477.79 111.695
9477.86 114.338
9477.93 117.203
9477.99 120.316
9478.06 123.702
9478.13 127.393
9478.19 131.362
9478.26 135.769
9478.33 140.601
9478.40 145.912
9478.46 151.758
9478.53 158.209
9478.60 165.340
9478.66 173.236
9478.70 177.568
9478.73 181.997
9478.76 186.807
9478.80 191.729
9478.83 197.078
9478.86 202.555
9478.90 208.509
9478.93 214.606
9478.97 221.236
9479.00 228.024
9479.03 235.403
9479.07 242.956
9479.10 251.158
9479.13 259.545
9479.17 268.641
9479.20 277.923
9479.23 287.665
9479.27 297.871
9479.31 312.879
9479.36 328.782
9479.40 345.540
9479.45 363.074
9479.54 399.912
9479.63 437.576
9479.68 455.886
9479.73 473.269
9479.77 489.222
9479.82 503.220
9479.86 514.745
9479.91 523.332
9479.96 528.608
9480.00 530.334
9480.05 528.506
9480.09 523.131
9480.14 514.450
9480.18 502.837
9480.23 488.761
9480.28 472.739
9480.32 455.299
9480.37 436.940
9480.46 399.206
9480.55 362.328
9480.60 344.783
9480.64 328.018
9480.69 312.112
9480.74 297.421
9480.80 278.026
9480.83 268.982
9480.86 260.623
9480.89 252.400
9480.93 244.576
9480.96 237.135
9480.99 230.277
9481.02 223.545
9481.05 217.150
9481.09 211.074
9481.12 205.479
9481.15 199.989
9481.18 194.772
9481.24 185.247
9481.31 176.495
9481.37 168.692
9481.43 161.503
9481.50 155.075
9481.56 149.132
9481.62 143.799
9481.69 138.926
9481.75 134.464
9481.81 130.309
9481.88 126.553
9481.94 123.044
9482.00 119.861
9482.07 116.876
9482.13 114.159
9482.19 111.641
9482.26 109.304
9482.32 107.098
9482.38 105.078
9482.45 103.166
9482.51 101.409
9482.58 99.7415
9482.64 98.2058
9482.70 96.7662
9482.76 95.4152
9482.83 94.1263
9482.89 92.9333
9482.96 91.7925
9483.02 90.7343
9483.08 89.7201
9483.15 88.7773
9483.21 87.8858
9483.27 87.0418
9483.40 85.4722
9483.53 84.0592
9483.65 82.7830
9483.78 81.6353
9483.91 80.5834
9484.03 79.6247
9484.16 78.7485
9484.29 77.9518
9484.41 77.2138
9484.54 76.5344
9484.67 75.9076
9484.79 75.3323
9484.92 74.7950
9485.05 74.2962
9485.17 73.8324
9485.30 73.4003
9485.43 72.9970
9485.55 72.6201
9485.68 72.2673
9485.81 71.9391
9485.93 71.6284
9486.06 71.3363
9486.19 71.0614
9486.31 70.8042
9486.44 70.5595
9486.57 70.3284
9486.70 70.1097
9486.82 69.9042
9487.08 69.5215
9487.33 69.1775
9487.58 68.8647
9487.84 68.5814
9488.09 68.3219
9488.34 68.0854
9488.60 67.8675
9488.85 67.6676
9489.10 67.4824
9489.36 67.3110
9489.61 67.1520
9489.86 67.0047
9490.12 66.8668
9490.37 66.7385
9490.63 66.6179
9490.88 66.5053
9491.13 66.3990
9491.39 66.2993
9491.64 66.2048
9491.89 66.1160
9492.40 65.9517
9492.91 65.8037
9493.41 65.6691
9493.92 65.5467
9494.43 65.4344
9494.94 65.3310
9495.44 65.2352
9495.95 65.1462
9496.46 65.0631
9496.96 64.9853
9497.47 64.9119
9497.98 64.8428
9498.49 64.7774
9498.99 64.7152
9499.50 64.6560
9500.01 64.5995
9501.02 64.4934
9502.04 64.3952
9503.05 64.3035
9504.06 64.2174
9505.08 64.1359
9506.09 64.0582
9507.11 63.9840
9508.12 63.9127
9509.13 63.8438
9510.15 63.7772
9511.16 63.7124
9512.18 63.6494
9513.19 63.5878
9514.21 63.5274
9515.22 63.4683
9517.25 63.3532
9519.28 63.2414
9521.30 63.1324
9523.33 63.0257
9525.36 62.9211
9527.39 62.8181
9529.42 62.7165
9531.45 62.6162
9533.47 62.5170
9535.50 62.4188
9537.53 62.3214
9541.59 62.1290
9545.64 61.9392
9549.70 61.7516
9553.76 61.5659
9557.82 61.3820
9561.87 61.1997
9569.99 60.8392
9578.10 60.4838
9586.21 60.1330
9594.33 59.7864
9602.44 59.4438
9610.55 59.1051
9626.78 58.4385
9643.01 57.7858
9659.23 57.1463
9675.46 56.5197
9707.91 55.3030
9740.37 54.1327
9772.82 53.0064
9805.28 51.9217
9870.18 49.8687
9935.09 47.9587
10000.0 46.1783
10073.6 44.3009
10147.2 42.5599
10220.9 40.9420
10294.5 39.4354
10368.1 38.0299
10441.7 36.7161
10515.3 35.4861
10589.0 34.3329
10662.6 33.2497
10699.4 32.7328
10736.2 32.2314
10773.0 31.7451
10809.8 31.2734
10846.6 30.8160
10865.0 30.5925
10883.4 30.3727
10901.8 30.1564
10920.2 29.9439
10938.7 29.7351
10957.1 29.5305
10966.3 29.4297
10975.5 29.3301
10984.7 29.2318
10993.9 29.1349
11003.1 29.0393
11012.3 28.9455
11021.5 28.8536
11030.7 28.7638
11035.3 28.7198
11039.9 28.6766
11044.5 28.6342
11049.1 28.5926
11053.7 28.5520
11058.3 28.5126
11062.9 28.4743
11067.5 28.4376
11072.1 28.4024
11076.7 28.3692
11081.3 28.3384
11083.6 28.3239
11085.9 28.3102
11088.2 28.2973
11090.5 28.2853
11092.8 28.2743
11095.1 28.2643
11097.4 28.2556
11099.7 28.2482
11102.0 28.2423
11104.3 28.2381
11106.6 28.2357
11108.9 28.2355
11111.2 28.2378
11113.5 28.2427
11115.8 28.2509
11118.1 28.2626
11120.4 28.2786
11122.7 28.2994
11123.9 28.3119
11125.0 28.3259
11126.2 28.3416
11127.3 28.3591
11128.5 28.3787
11129.6 28.4003
11130.8 28.4244
11131.9 28.4510
11133.1 28.4805
11134.2 28.5131
11135.4 28.5493
11136.5 28.5892
11137.7 28.6334
11138.8 28.6824
11140.0 28.7367
11141.1 28.7969
11142.3 28.8637
11143.4 28.9381
11144.6 29.0209
11145.7 29.1134
11146.9 29.2169
11148.0 29.3330
11149.2 29.4636
11149.7 29.5357
11150.3 29.6110
11150.9 29.6925
11151.5 29.7779
11152.0 29.8705
11152.6 29.9676
11153.2 30.0732
11153.8 30.1842
11154.3 30.3052
11154.9 30.4327
11155.5 30.5720
11156.1 30.7192
11156.6 30.8806
11157.2 31.0517
11157.8 31.2397
11158.4 31.4398
11158.9 31.6606
11159.5 31.8963
11160.1 32.1575
11160.7 32.4377
11161.2 32.7495
11161.8 33.0855
11162.4 33.4615
11163.0 33.8689
11163.5 34.3274
11164.1 34.8274
11164.7 35.3939
11165.0 35.7017
11165.3 36.0160
11165.5 36.3607
11165.8 36.7264
11166.1 37.1147
11166.4 37.5130
11166.7 37.9516
11167.0 38.4192
11167.3 38.9181
11167.6 39.4324
11167.8 40.0017
11168.1 40.6118
11168.4 41.2667
11168.7 41.9456
11169.0 42.7019
11169.3 43.5176
11169.6 44.3991
11169.9 45.3193
11170.1 46.3518
11170.4 47.4742
11170.7 48.6971
11171.0 49.9844
11171.3 51.4415
11171.6 53.0405
11171.9 54.8000
11172.2 56.6711
11172.4 58.8120
11172.7 61.1885
11172.9 62.5213
11173.0 63.8352
11173.2 65.2215
11173.3 66.6854
11173.5 68.3464
11173.6 69.9897
11173.7 71.8579
11173.9 73.7097
11174.0 75.8192
11174.2 77.9144
11174.3 80.1418
11174.5 82.5119
11174.6 85.2231
11174.7 87.9276
11174.9 91.0283
11175.0 94.1283
11175.2 97.6907
11175.3 101.261
11175.5 105.089
11175.6 109.198
11175.8 113.942
11175.9 118.717
11176.0 124.241
11176.2 129.814
11176.3 136.275
11176.5 142.805
11176.6 149.861
11176.8 157.491
11176.9 166.360
11177.0 175.340
11177.2 185.778
11177.3 196.341
11177.5 208.600
11177.6 220.973
11177.8 234.290
11177.9 248.579
11178.0 263.853
