76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
2.265000e-02 6.18249219e+01
2.331250e-02 6.08947625e+01
2.397500e-02 6.00030165e+01
2.463750e-02 5.91468106e+01
2.530000e-02 5.83240623e+01
2.607190e-02 5.74138116e+01
2.611300e-02 5.73653759e+01
2.636130e-02 5.70729854e+01
2.645000e-02 5.69692541e+01
2.645780e-02 5.69605508e+01
2.684380e-02 5.65332022e+01
2.692600e-02 5.64422539e+01
2.742270e-02 5.58931128e+01
2.760000e-02 5.56983873e+01
2.761560e-02 5.56820067e+01
2.773910e-02 5.55533676e+01
2.838750e-02 5.48784948e+01
2.848400e-02 5.47781134e+01
2.855210e-02 5.47077328e+01
2.875000e-02 5.45033495e+01
2.877340e-02 5.44802039e+01
2.915940e-02 5.41011282e+01
2.936510e-02 5.38992353e+01
2.954530e-02 5.37224933e+01
2.990000e-02 5.33767541e+01
2.993130e-02 5.33474845e+01
3.017810e-02 5.31183934e+01
3.060670e-02 5.27208195e+01
3.070310e-02 5.26319365e+01
3.099110e-02 5.23665385e+01
3.105000e-02 5.23122961e+01
3.108910e-02 5.22776971e+01
3.147500e-02 5.19384560e+01
3.166800e-02 5.17689145e+01
3.180420e-02 5.16499704e+01
3.220000e-02 5.13045995e+01
3.224690e-02 5.12652139e+01
3.272930e-02 5.08626492e+01
3.282580e-02 5.07825773e+01
3.311380e-02 5.05438198e+01
3.335000e-02 5.03481971e+01
3.340470e-02 5.03045503e+01
3.379060e-02 4.99984937e+01
3.417660e-02 4.96939629e+01
3.442340e-02 4.94994181e+01
3.450000e-02 4.94390931e+01
3.456250e-02 4.93907200e+01
3.470530e-02 4.92814592e+01
3.480370e-02 4.92065352e+01
3.484810e-02 4.91728584e+01
3.513360e-02 4.89574467e+01
3.552740e-02 4.86643773e+01
3.570470e-02 4.85332940e+01
3.573310e-02 4.85128270e+01
3.581680e-02 4.84525630e+01
3.649220e-02 4.79681510e+01
3.682990e-02 4.77272747e+01
3.684690e-02 4.77151927e+01
3.687810e-02 4.76937419e+01
3.704270e-02 4.75806662e+01
3.745700e-02 4.72963075e+01
3.784300e-02 4.70328203e+01
3.798910e-02 4.69334439e+01
3.822890e-02 4.67755313e+01
3.835240e-02 4.66942664e+01
3.842190e-02 4.66485735e+01
3.885610e-02 4.63646182e+01
3.913130e-02 4.61852651e+01
3.938670e-02 4.60239273e+01
3.957970e-02 4.59026469e+01
3.966200e-02 4.58509678e+01
3.986920e-02 4.57209665e+01
4.027340e-02 4.54682074e+01
4.035160e-02 4.54207599e+01
4.088220e-02 4.51004542e+01
4.093050e-02 4.50713927e+01
4.097160e-02 4.50466807e+01
4.131640e-02 4.48395303e+01
4.141560e-02 4.47802218e+01
4.189530e-02 4.45018765e+01
4.228130e-02 4.42786386e+01
4.255780e-02 4.41200664e+01
4.290840e-02 4.39247284e+01
4.324610e-02 4.37371703e+01
4.370000e-02 4.34853008e+01
4.392150e-02 4.33663954e+01
4.421090e-02 4.32115222e+01
4.493460e-02 4.28284188e+01
4.527500e-02 4.26487591e+01
4.594770e-02 4.23067213e+01
4.614060e-02 4.22090634e+01
4.685000e-02 4.18537674e+01
4.797380e-02 4.13109510e+01
4.807030e-02 4.12645990e+01
4.842500e-02 4.10959586e+01
5.000000e-02 4.03728179e+01
5.060000e-02 4.01100982e+01
5.156250e-02 3.96889314e+01
5.279380e-02 3.91729737e+01
5.312500e-02 3.90343294e+01
5.468750e-02 3.84073592e+01
5.498750e-02 3.82918448e+01
5.625000e-02 3.78062053e+01
5.718130e-02 3.74618599e+01
