Pt-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
6.32650 34.9476
6.37664 35.0633
6.42678 35.3832
6.47692 35.9169
6.52707 36.6791
6.57721 37.6909
6.60228 38.2988
6.62735 38.9802
6.65242 39.7399
6.67749 40.5833
6.71147 41.8704
6.74544 43.3396
6.77941 45.0143
6.81339 46.9225
6.84736 49.0963
6.88133 51.5732
6.91531 54.3987
6.94928 57.6250
6.97684 60.5800
7.00441 63.8826
7.03197 67.5870
7.05954 71.7580
7.08710 76.4713
7.10089 79.0588
7.11467 81.8169
7.12845 84.7607
7.14223 87.9059
7.15602 91.2712
7.16980 94.8765
7.18803 100.055
7.20171 104.279
7.21538 108.827
7.22906 113.735
7.24273 119.045
7.25559 124.443
7.26844 130.278
7.28130 136.599
7.29415 143.453
7.30701 150.893
7.31344 154.849
7.31987 158.970
7.32629 163.266
7.33272 167.742
7.33915 172.407
7.34558 177.270
7.35360 183.634
7.36163 190.342
7.36966 197.419
7.37768 204.893
7.38571 212.801
7.39374 221.178
7.40176 230.074
7.40979 239.538
7.41690 248.449
7.42401 257.897
7.43113 267.934
7.43824 278.614
7.44535 290.000
7.45246 302.153
7.45958 315.152
7.46669 329.072
7.47346 343.262
7.48023 358.456
7.48700 374.749
7.49377 392.247
7.50054 411.073
7.50731 431.363
7.51408 453.271
7.52085 476.968
7.52762 502.661
7.53100 516.327
7.53439 530.579
7.53777 545.452
7.54116 560.984
7.54454 577.212
7.54793 594.175
7.55131 611.928
7.55470 630.516
7.55808 649.991
7.56147 670.410
7.56485 691.835
7.56824 714.333
7.57162 737.975
7.57500 762.832
7.57839 789.002
7.58177 816.568
7.58516 845.629
7.58854 876.291
7.59193 908.667
7.59531 942.881
7.59870 979.066
7.60208 1017.35
7.60547 1057.92
7.60885 1100.92
7.61224 1146.54
7.61562 1194.95
7.61901 1246.37
7.62239 1301.00
7.62578 1359.09
7.62916 1420.84
7.63162 1468.24
7.63409 1517.82
7.63655 1569.69
7.63901 1623.94
7.64147 1680.73
7.64393 1740.14
7.64640 1802.30
7.64886 1867.28
7.65132 1935.27
7.65378 2006.35
7.65624 2080.64
7.65870 2158.22
7.66117 2239.28
7.66363 2323.85
7.66609 2412.12
7.66855 2504.12
7.67193 2636.97
7.67532 2777.33
7.67870 2925.40
7.68209 3081.31
7.68547 3245.17
7.68886 3417.01
7.69224 3596.81
7.69563 3784.40
7.69901 3979.72
7.70240 4182.43
7.70578 4392.16
7.70917 4608.45
7.71594 5058.26
7.72271 5525.83
7.73001 6041.49
7.73732 6556.91
7.74462 7058.44
7.75193 7530.78
7.75669 7815.64
7.76145 8077.07
7.76621 8311.05
7.77098 8513.67
7.77574 8681.59
7.78050 8811.85
7.78526 8902.25
7.79003 8951.17
7.79320 8960.29
7.79638 8950.49
7.80155 8894.43
7.80672 8789.88
7.81189 8639.06
7.81706 8445.20
7.82223 8212.20
7.82740 7944.77
7.83257 7647.92
7.83774 7327.14
7.84270 7002.06
7.84765 6664.92
7.85757 5972.65
7.86748 5284.04
7.87244 4949.91
7.87740 4626.24
7.88248 4307.23
7.88757 4003.31
7.89266 3715.77
7.89774 3445.46
7.90283 3192.67
7.90792 2957.49
7.91301 2739.65
7.91809 2538.66
7.92318 2353.74
7.92827 2184.10
7.93335 2028.80
7.93844 1886.85
7.94353 1757.26
7.94861 1639.04
7.95370 1531.20
7.95879 1432.85
7.96272 1362.76
7.96665 1297.42
7.97058 1236.48
7.97451 1179.62
7.97844 1126.48
7.98237 1076.81
7.98630 1030.34
7.99023 986.815
7.99416 946.000
7.99809 907.695
8.00203 871.705
8.00596 837.865
8.00989 805.994
8.01382 775.955
8.01775 747.611
8.02168 720.847
8.02677 688.352
8.03185 658.080
8.03694 629.831
8.04203 603.429
8.04711 578.714
8.05220 555.546
8.05729 533.796
8.06237 513.353
8.06746 494.107
8.07255 475.968
8.07763 458.851
8.08272 442.680
8.09290 412.907
8.10307 386.166
8.11324 362.050
8.12342 340.224
8.13359 320.404
8.14376 302.351
8.15394 285.856
8.16411 270.744
8.17428 256.860
8.18446 244.077
8.19278 234.353
8.20111 225.232
8.20943 216.665
8.21775 208.606
8.22608 201.016
8.23440 193.859
8.24273 187.101
8.25105 180.715
8.26770 168.946
8.28434 158.367
8.30099 148.821
8.31764 140.178
8.32910 134.694
8.34056 129.553
8.35202 124.727
8.36347 120.190
8.37493 115.919
8.38639 111.894
8.39785 108.095
8.40931 104.507
8.42077 101.113
8.43223 97.9000
8.45514 91.9662
8.47806 86.6162
8.50098 81.7752
8.52414 77.3357
8.54730 73.2963
8.57045 69.6099
8.59361 66.2364
8.61677 63.1412
8.63993 60.2948
8.66309 57.6712
8.68625 55.2473
8.70941 53.0023
8.73257 50.9181
8.75573 48.9792
8.77889 47.1722
8.80205 45.4857
8.82520 43.9094
8.84836 42.4340
8.87152 41.0510
8.89468 39.7529
8.91784 38.5328
8.94100 37.3845
8.96416 36.3025
8.98732 35.2818
9.01048 34.3178
9.05679 32.5439
9.10311 30.9520
9.14943 29.5183
9.19575 28.2227
9.24207 27.0483
9.28839 25.9808
9.33470 25.0082
9.38102 24.1203
9.42734 23.3089
9.46313 22.7296
9.49892 22.1874
9.53471 21.6788
9.57051 21.2012
9.64209 20.3328
9.71367 19.5683
9.78525 18.8952
9.85684 18.3034
9.92842 17.7848
10.0000 17.3329
10.0453 17.0788
10.0906 16.8482
10.1359 16.6401
10.1813 16.4539
10.2266 16.2891
10.2719 16.1454
10.3172 16.0225
10.3625 15.9204
10.4395 15.7950
10.5166 15.7318
10.5936 15.7343
10.6706 15.8076
10.7092 15.8729
10.7477 15.9584
10.7862 16.0653
10.8247 16.1956
10.8632 16.3518
10.9017 16.5362
10.9402 16.7511
10.9788 16.9990
11.0286 17.3745
11.0784 17.8194
11.1283 18.3445
11.1781 18.9624
11.2031 19.3112
11.2280 19.6894
11.2529 20.0996
11.2778 20.5448
11.3027 21.0283
11.3277 21.5537
11.3526 22.1250
11.3775 22.7468
11.4138 23.7522
11.4500 24.8948
11.4749 25.7724
11.4999 26.7352
11.5248 27.7940
11.5497 28.9608
11.5746 30.2502
11.5995 31.6774
11.6245 33.2622
11.6494 35.0274
11.6740 36.9718
11.6985 39.1493
11.7231 41.5974
11.7354 42.9368
11.7477 44.3603
11.7600 45.8776
11.7723 47.4956
11.7846 49.2230
11.7969 51.0700
11.8091 53.0474
11.8214 55.1677
11.8337 57.4447
11.8460 59.8922
11.8615 63.2458
11.8769 66.9415
11.8924 71.0274
11.9078 75.5574
11.9233 80.6055
11.9388 86.2503
11.9465 89.3265
11.9542 92.5902
11.9619 96.0573
11.9697 99.7401
11.9775 103.699
11.9852 107.923
11.9930 112.438
12.0008 117.264
12.0086 122.444
12.0164 128.001
12.0242 133.988
12.0320 140.435
12.0407 148.278
12.0494 156.846
12.0537 161.439
12.0581 166.242
12.0625 171.291
12.0668 176.580
12.0712 182.150
12.0755 187.995
12.0799 194.162
12.0842 200.645
12.0886 207.499
12.0929 214.719
12.0973 222.368
12.1016 230.444
12.1048 236.688
12.1080 243.185
12.1112 249.992
12.1144 257.085
12.1176 264.525
12.1208 272.287
12.1240 280.440
12.1272 288.957
12.1304 297.914
12.1336 307.281
12.1368 317.146
12.1400 327.476
12.1432 338.368
12.1464 349.786
12.1496 361.800
12.1528 374.448
12.1560 387.812
12.1591 401.852
12.1623 416.700
12.1655 432.312
12.1687 448.835
12.1719 466.219
12.1751 484.628
12.1783 504.004
12.1815 524.529
12.1847 546.138
12.1879 569.028
12.1911 593.125
12.1943 618.646
12.1975 645.502
12.2007 673.839
12.2039 703.729
12.2071 735.344
12.2103 768.555
12.2135 803.641
12.2166 840.451
12.2198 879.279
12.2230 919.946
12.2262 962.764
12.2294 1007.52
12.2326 1054.54
12.2358 1103.56
12.2390 1154.94
12.2422 1208.36
12.2454 1264.18
12.2486 1322.04
12.2518 1382.11
12.2550 1444.35
12.2582 1508.94
12.2614 1575.41
12.2646 1644.11
12.2678 1714.50
12.2741 1860.83
12.2805 2013.03
12.2869 2170.19
12.2933 2330.35
12.3061 2651.13
12.3135 2831.20
12.3209 3002.20
12.3282 3159.95
12.3356 3300.35
12.3399 3372.52
12.3442 3436.81
12.3485 3492.59
12.3528 3539.22
12.3571 3576.42
12.3614 3603.67
12.3657 3620.80
12.3700 3627.58
12.3716 3627.45
12.3756 3620.86
12.3796 3605.41
12.3848 3572.30
12.3899 3524.96
12.3951 3464.11
12.4003 3390.68
12.4055 3305.72
12.4107 3210.44
12.4158 3106.15
12.4210 2994.45
12.4267 2864.88
12.4323 2729.74
12.4437 2449.96
12.4550 2168.64
12.4664 1897.09
12.4720 1767.76
12.4777 1643.82
12.4834 1525.88
12.4890 1414.37
12.4947 1309.56
12.5004 1211.57
12.5061 1120.40
12.5117 1035.95
12.5174 958.022
12.5231 886.363
12.5287 820.658
12.5344 760.559
12.5401 705.696
12.5457 655.690
12.5514 610.160
12.5571 568.802
12.5609 542.692
12.5648 518.277
12.5687 495.325
12.5725 473.855
12.5764 453.660
12.5803 434.753
12.5841 416.953
12.5880 400.270
12.5919 384.543
12.5957 369.783
12.5996 355.849
12.6035 342.751
12.6073 330.366
12.6112 318.704
12.6151 307.656
12.6189 297.235
12.6246 282.925
12.6303 269.697
12.6359 257.445
12.6416 246.075
12.6473 235.503
12.6529 225.655
12.6586 216.466
12.6643 207.877
12.6699 199.835
12.6756 192.293
12.6813 185.210
12.6870 178.548
12.6926 172.273
12.6983 166.355
12.7040 160.767
12.7096 155.483
12.7210 145.743
12.7323 136.978
12.7437 129.060
12.7550 121.886
12.7663 115.353
12.7777 109.390
12.7890 103.931
12.8003 98.9235
12.8106 94.7144
12.8210 90.8031
12.8313 87.1616
12.8416 83.7683
