Er-170(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.239502 682.485
0.241826 691.807
0.244149 701.426
0.246473 711.352
0.248797 721.598
0.251120 732.175
0.253444 743.096
0.255768 754.374
0.258091 766.024
0.260415 778.060
0.262739 790.499
0.265062 803.356
0.267386 816.649
0.269709 830.396
0.272033 844.617
0.274357 859.332
0.276258 871.755
0.278159 884.535
0.280060 897.686
0.281961 911.221
0.283863 925.154
0.285764 939.500
0.287665 954.275
0.289566 969.494
0.291467 985.178
0.293368 1001.34
0.295270 1018.01
0.297171 1035.19
0.299072 1052.92
0.300973 1071.21
0.302874 1090.09
0.304775 1109.58
0.306888 1131.99
0.309000 1155.22
0.311112 1179.32
0.313225 1204.33
0.315337 1230.29
0.316393 1243.64
0.317450 1257.25
0.318506 1271.12
0.319562 1285.26
0.320618 1299.68
0.321674 1314.37
0.323364 1338.50
0.325054 1363.39
0.326744 1389.09
0.327589 1402.26
0.328434 1415.63
0.329279 1429.23
0.330124 1443.05
0.330969 1457.10
0.331814 1471.38
0.332659 1485.90
0.333504 1500.66
0.334349 1515.67
0.335194 1530.93
0.336356 1552.35
0.337518 1574.27
0.338679 1596.71
0.339841 1619.68
0.341003 1643.21
0.342165 1667.31
0.343327 1692.00
0.344489 1717.29
0.345650 1743.22
0.346812 1769.78
0.347974 1797.01
0.349136 1824.93
0.350298 1853.56
0.351459 1882.92
0.352621 1913.04
0.353783 1943.93
0.354945 1975.64
0.355526 1991.80
0.356107 2008.17
0.356688 2024.76
0.357269 2041.57
0.357849 2058.60
0.358430 2075.85
0.359011 2093.34
0.359592 2111.05
0.360173 2129.01
0.360754 2147.20
0.361335 2165.64
0.361916 2184.33
0.362497 2203.27
0.363078 2222.47
0.363659 2241.94
0.364239 2261.66
0.364820 2281.66
0.365401 2301.93
0.365982 2322.49
0.366563 2343.32
0.367144 2364.45
0.367725 2385.87
0.368306 2407.59
0.368887 2429.61
0.369468 2451.94
0.370049 2474.58
0.370629 2497.55
0.371210 2520.83
0.371791 2544.45
0.372372 2568.40
0.372953 2592.70
0.373534 2617.34
0.374115 2642.34
0.374696 2667.69
0.375277 2693.40
0.375858 2719.49
0.376439 2745.95
0.377019 2772.79
0.377600 2800.03
0.378181 2827.66
0.378762 2855.69
0.379343 2884.13
0.379924 2912.98
0.380505 2942.25
0.381086 2971.96
0.381667 3002.09
0.382248 3032.68
0.382829 3063.71
0.383410 3095.19
0.383990 3127.14
0.384571 3159.56
0.385152 3192.45
0.385733 3225.84
0.386314 3259.71
0.386895 3294.09
0.387476 3328.97
0.388057 3364.37
0.388638 3400.28
0.389219 3436.73
0.389800 3473.72
