Be-9(n,g) ENDFB-8.0
Energy(eV) XS(b)
23.7500 0.000327366
27.5000 0.000304319
31.2500 0.000285549
35.0000 0.000269863
38.7500 0.000256512
42.5000 0.000244969
50.0000 0.000225916
56.2500 0.000213042
62.5000 0.000202142
68.7500 0.000192764
75.0000 0.000184583
87.5000 0.000170940
100.000 0.000159939
112.500 0.000150808
125.000 0.000143083
150.000 0.000130639
175.000 0.000120970
200.000 0.000113173
237.500 0.000103871
275.000 9.65457E-05
312.500 9.05811E-05
350.000 8.56005E-05
425.000 7.76962E-05
500.000 7.16449E-05
625.000 6.40962E-05
750.000 5.85224E-05
875.000 5.41905E-05
1000.00 5.06984E-05
1250.00 4.54208E-05
1500.00 4.15195E-05
1750.00 3.84840E-05
2000.00 3.60345E-05
2750.00 3.08033E-05
3500.00 2.73534E-05
4250.00 2.48587E-05
5000.00 2.29465E-05
6250.00 2.05581E-05
7500.00 1.87924E-05
8750.00 1.74185E-05
10000.0 1.63098E-05
12500.0 1.46449E-05
15000.0 1.34116E-05
17500.0 1.24502E-05
20000.0 1.16734E-05
27500.0 1.00598E-05
35000.0 8.98809E-06
40000.0 8.44457E-06
42500.0 8.21178E-06
50000.0 7.61890E-06
59375.0 7.03846E-06
60000.0 7.00457E-06
62500.0 6.87957E-06
68750.0 6.59633E-06
75000.0 6.34795E-06
80000.0 6.16978E-06
87500.0 5.93150E-06
100000 5.59341E-06
125000 5.08429E-06
150000 4.70292E-06
175000 4.41374E-06
200000 4.17767E-06
225000 3.98658E-06
250000 3.82306E-06
275000 3.68684E-06
300000 3.56673E-06
325000 3.46073E-06
350000 3.36540E-06
375000 3.27946E-06
400000 3.20105E-06
410000 3.17343E-06
420000 3.14671E-06
430000 3.12083E-06
440000 3.09575E-06
450000 3.07143E-06
460000 3.04784E-06
470000 3.02492E-06
480000 3.00265E-06
490000 2.98101E-06
500000 2.95995E-06
510000 2.94096E-06
520000 2.92246E-06
530000 2.90443E-06
540000 2.88684E-06
550000 2.86968E-06
560000 2.85292E-06
570000 2.83656E-06
580000 2.82057E-06
590000 2.80495E-06
600000 2.78967E-06
605000 2.78243E-06
610000 2.77527E-06
615000 2.76819E-06
616000 2.76678E-06
617000 2.76538E-06
618000 2.76398E-06
619000 2.76258E-06
620000 2.76118E-06
621000 2.75979E-06
622000 2.75840E-06
623000 2.75701E-06
624000 2.75563E-06
625000 2.75425E-06
630000 2.74739E-06
635000 2.74060E-06
640000 2.73388E-06
645000 2.72723E-06
650000 2.72064E-06
655000 2.71413E-06
660000 2.70767E-06
665000 2.70128E-06
667153 2.69855E-06
667153 2.69855E-06
670000 2.69496E-06
675000 2.68869E-06
680000 2.68249E-06
685000 2.67635E-06
690000 2.67026E-06
695000 2.66423E-06
700000 2.65826E-06
705000 2.65224E-06
710000 2.64627E-06
715000 2.64035E-06
720000 2.63450E-06
725000 2.62869E-06
730000 2.62294E-06
735000 2.61723E-06
740000 2.61158E-06
745000 2.60598E-06
750000 2.60043E-06
755000 2.59493E-06
760000 2.58948E-06
765000 2.58407E-06
770000 2.57871E-06
775000 2.57339E-06
780000 2.56812E-06
785000 2.56289E-06
790000 2.55771E-06
795000 2.55257E-06
800000 2.54748E-06
801000 2.54658E-06
802000 2.54568E-06
803000 2.54479E-06
804000 2.54390E-06
805000 2.54300E-06
806000 2.54211E-06
807000 2.54122E-06
808000 2.54034E-06
809000 2.53945E-06
810000 2.53857E-06
811000 2.53768E-06
812000 2.53680E-06
813000 2.53592E-06
814000 2.53504E-06
815000 2.53416E-06
816000 2.53329E-06
817000 2.53241E-06
818000 2.53154E-06
819000 2.53067E-06
820000 2.52980E-06
825000 2.52546E-06
830000 2.52116E-06
835000 2.51689E-06
840000 2.51266E-06
845000 2.50846E-06
860000 2.49604E-06
870000 2.48791E-06
880000 2.47991E-06
890000 2.47201E-06
900000 2.46424E-06
950000 2.42533E-06
1.00000E+06 2.38899E-06
1.05000E+06 2.35889E-06
1.10000E+06 2.33055E-06
1.15000E+06 2.30378E-06
1.20000E+06 2.27845E-06
1.30000E+06 2.23155E-06
1.40000E+06 2.18899E-06
1.50000E+06 2.15009E-06
1.60000E+06 2.12048E-06
1.74883E+06 2.08033E-06
1.74883E+06 2.08033E-06
1.80000E+06 2.06747E-06
1.90000E+06 2.04359E-06
2.00000E+06 2.02119E-06
2.10000E+06 2.00223E-06
2.20000E+06 1.98431E-06
2.30000E+06 1.96735E-06
2.40000E+06 1.95124E-06
2.50000E+06 1.93591E-06
2.60000E+06 1.92278E-06
2.65000E+06 1.91644E-06
2.70000E+06 1.91024E-06
2.71000E+06 1.90901E-06
2.72000E+06 1.90779E-06
2.73000E+06 1.90658E-06
2.74000E+06 1.90537E-06
2.75000E+06 1.90417E-06
2.76000E+06 1.90297E-06
2.77000E+06 1.90177E-06
2.80000E+06 1.89822E-06
2.90000E+06 1.88670E-06
3.00000E+06 1.87564E-06
3.10000E+06 1.86602E-06
3.20000E+06 1.85676E-06
3.30000E+06 1.84782E-06
3.40000E+06 1.83919E-06
3.50000E+06 1.83085E-06
3.60000E+06 1.82429E-06
3.70000E+06 1.81794E-06
3.80000E+06 1.81177E-06
3.90000E+06 1.80579E-06
4.00000E+06 1.79998E-06
4.10000E+06 1.79419E-06
4.20000E+06 1.78857E-06
4.30000E+06 1.78309E-06
4.40000E+06 1.77775E-06
4.50000E+06 1.77255E-06
4.60000E+06 1.76857E-06
4.70000E+06 1.76469E-06
4.80000E+06 1.76089E-06
4.90000E+06 1.75718E-06
5.00000E+06 1.75355E-06
5.10000E+06 1.74971E-06
5.20000E+06 1.74594E-06
5.30000E+06 1.74225E-06
5.40000E+06 1.73865E-06
5.50000E+06 1.73511E-06
5.90000E+06 1.72561E-06
6.00000E+06 1.72335E-06
6.25000E+06 1.71766E-06
6.45000E+06 1.71329E-06
6.50000E+06 1.71222E-06
7.00000E+06 1.70197E-06
7.10000E+06 1.70051E-06
7.50000E+06 1.69488E-06
8.00000E+06 1.68826E-06
8.40000E+06 1.68416E-06
9.00000E+06 1.67836E-06
9.10000E+06 1.67761E-06
9.50000E+06 1.67468E-06
1.00000E+07 1.67120E-06
1.07000E+07 1.66834E-06
1.10000E+07 1.66718E-06
1.16085E+07 1.66491E-06
1.16085E+07 1.66491E-06
1.20000E+07 1.66351E-06
1.21400E+07 1.66329E-06
1.21400E+07 1.66329E-06
1.25000E+07 1.66272E-06
1.30000E+07 1.66196E-06
1.31000E+07 1.66182E-06
1.33000E+07 1.66152E-06
1.36000E+07 1.66109E-06
1.40000E+07 1.66053E-06
1.42660E+07 1.66049E-06
1.42660E+07 1.66049E-06
1.45000E+07 1.66045E-06
1.46500E+07 1.66042E-06
1.50000E+07 1.66037E-06
1.52000E+07 1.66033E-06
1.56500E+07 1.66026E-06
1.59500E+07 1.66022E-06
1.60000E+07 1.66021E-06
1.63008E+07 1.66065E-06
1.63008E+07 1.66065E-06
1.65000E+07 1.66094E-06
1.65500E+07 1.66101E-06
1.67000E+07 1.66122E-06
1.69500E+07 1.66157E-06
1.70000E+07 1.66164E-06
1.71000E+07 1.66178E-06
1.73500E+07 1.66212E-06
1.78500E+07 1.66280E-06
1.80000E+07 1.66299E-06
1.82000E+07 1.66331E-06
1.85000E+07 1.66377E-06
1.89000E+07 1.66437E-06
1.90000E+07 1.66452E-06
1.95000E+07 1.66525E-06
2.00000E+07 1.66596E-06
