26-Fe_n-tot
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
2.307740e+02 1.05132887e+01
2.307960e+02 1.05115592e+01
2.308170e+02 1.05099011e+01
2.308390e+02 1.05083091e+01
2.308600e+02 1.05067904e+01
2.308820e+02 1.05053390e+01
2.309030e+02 1.05040140e+01
2.309230e+02 1.05027617e+01
2.309440e+02 1.05015685e+01
2.309640e+02 1.05004401e+01
2.309850e+02 1.04993688e+01
2.310060e+02 1.04983560e+01
2.310260e+02 1.04974029e+01
2.310470e+02 1.04965021e+01
2.310680e+02 1.04956505e+01
2.310880e+02 1.04948569e+01
2.311090e+02 1.04941091e+01
2.311290e+02 1.04934111e+01
2.311500e+02 1.04927543e+01
2.311710e+02 1.04921396e+01
2.311910e+02 1.04915679e+01
2.312120e+02 1.04910306e+01
2.312330e+02 1.04905085e+01
2.312550e+02 1.04900198e+01
2.312770e+02 1.04895651e+01
2.312980e+02 1.04891452e+01
2.313200e+02 1.04887516e+01
2.313410e+02 1.04883885e+01
2.313630e+02 1.04880475e+01
2.313850e+02 1.04877298e+01
2.314060e+02 1.04874366e+01
2.314280e+02 1.04871600e+01
2.314490e+02 1.04869046e+01
2.314710e+02 1.04866626e+01
2.314930e+02 1.04864357e+01
2.315140e+02 1.04862257e+01
2.315360e+02 1.04860251e+01
2.315570e+02 1.04858390e+01
2.315750e+02 1.04856918e+01
2.315930e+02 1.04855511e+01
2.316100e+02 1.04854194e+01
2.316280e+02 1.04852904e+01
2.316460e+02 1.04851660e+01
2.316630e+02 1.04850495e+01
2.316810e+02 1.04849340e+01
2.316990e+02 1.04848228e+01
2.317340e+02 1.04846135e+01
2.317690e+02 1.04844167e+01
2.318050e+02 1.04842270e+01
2.318400e+02 1.04840493e+01
2.318750e+02 1.04838789e+01
2.319110e+02 1.04837119e+01
2.319460e+02 1.04835533e+01
2.319810e+02 1.04833995e+01
2.320170e+02 1.04832465e+01
2.320520e+02 1.04831001e+01
2.320870e+02 1.04829568e+01
2.321230e+02 1.04828129e+01
2.321700e+02 1.04826277e+01
2.322170e+02 1.04824461e+01
2.322640e+02 1.04822675e+01
2.323110e+02 1.04820914e+01
2.323580e+02 1.04819176e+01
2.324060e+02 1.04817428e+01
2.324530e+02 1.04815728e+01
2.325000e+02 1.04814045e+01
2.325940e+02 1.04810719e+01
2.326880e+02 1.04807441e+01
2.327830e+02 1.04804171e+01
