Si-30(n,g) ENDFB-8.0
Energy(eV) XS(b)
4978.87 31.8876
4979.05 30.8636
4979.42 28.6651
4979.89 25.6042
4980.37 22.4483
4980.85 19.3362
4981.08 17.8334
4981.32 16.3883
4981.54 15.1183
4981.75 13.9106
4981.97 12.7638
4982.19 11.6812
4982.40 10.6605
4982.62 9.71189
4982.84 8.83075
4983.05 8.01621
4983.17 7.59537
4983.29 7.19396
4983.41 6.81156
4983.53 6.44774
4983.65 6.10203
4983.77 5.77391
4983.88 5.46284
4984.00 5.17067
4984.12 4.89186
4984.24 4.62837
4984.36 4.37960
4984.48 4.14492
4984.60 3.92375
4984.72 3.71545
4984.84 3.51943
4984.95 3.33660
4985.09 3.13240
4985.24 2.94283
4985.38 2.76697
4985.52 2.60503
4985.66 2.45384
4985.80 2.31475
4985.94 2.18498
4986.08 2.06563
4986.22 1.95431
4986.36 1.85193
4986.50 1.75640
4986.64 1.66850
4986.78 1.58643
4986.92 1.51085
4987.06 1.44020
4987.20 1.37504
4987.44 1.27456
4987.68 1.18554
4987.92 1.10642
4988.15 1.03586
4988.39 0.972706
4988.63 0.915958
4988.87 0.864766
4989.11 0.818586
4989.34 0.776410
4989.58 0.737912
4989.82 0.702638
4990.06 0.670333
4990.29 0.640395
4990.53 0.612686
4991.01 0.563110
4991.53 0.516200
4992.05 0.475417
4992.56 0.439637
4993.08 0.408005
4993.60 0.379858
4994.12 0.354669
4994.64 0.332015
4995.16 0.311588
4995.76 0.290080
4996.37 0.270827
4996.97 0.253484
4997.58 0.237800
4998.19 0.223541
4998.79 0.210578
4999.40 0.198735
5000.00 0.187885
5001.22 0.168579
5002.44 0.152154
5003.66 0.138058
5004.88 0.125873
5006.10 0.115245
5007.33 0.105923
5008.55 0.0976981
5009.77 0.0904101
5011.60 0.0809214
5013.43 0.0728700
5015.26 0.0659752
5017.09 0.0600255
5018.92 0.0548569
5020.75 0.0503396
5022.58 0.0463672
5024.42 0.0428515
5027.47 0.0378219
5030.52 0.0336319
5033.57 0.0301079
5036.62 0.0271173
5039.67 0.0245559
5042.73 0.0223457
5045.78 0.0204254
5048.83 0.0187474
5053.71 0.0164776
5057.37 0.0150423
5061.04 0.0137841
5068.36 0.0117044
5073.24 0.0105747
5078.13 0.00960513
5083.01 0.00876683
5087.89 0.00803706
5097.66 0.00684066
5107.42 0.00590288
5117.19 0.00514802
5126.95 0.00453606
5136.72 0.00403292
5146.49 0.00361426
5156.86 0.00324195
5167.24 0.00292886
5187.99 0.00243531
5208.74 0.00207387
5229.49 0.00179046
5250.25 0.00156914
5271.00 0.00139299
5291.75 0.00125048
5312.50 0.00113353
5346.68 0.000982258
5380.86 0.000869259
5415.04 0.000779181
5449.22 0.000707237
5517.58 0.000600918
5585.94 0.000530579
5654.30 0.000476683
5722.66 0.000436325
5859.38 0.000380686
6054.69 0.000334129
6250.00 0.000303391
6562.50 0.000273510
6875.00 0.000254270
7187.50 0.000240430
7500.00 0.000229722
8125.00 0.000213661
8750.00 0.000201687
9375.00 0.000192100
10000.0 0.000184086
11250.0 0.000171161
12500.0 0.000160965
13750.0 0.000152585
15000.0 0.000145509
17500.0 0.000134098
20000.0 0.000125204
23750.0 0.000114918
27500.0 0.000107068
31250.0 0.000100868
35000.0 9.58567E-05
42500.0 8.83310E-05
50000.0 8.31246E-05
56250.0 8.00631E-05
62500.0 7.79328E-05
75000.0 7.60670E-05
87500.0 7.73064E-05
93750.0 7.92491E-05
100000 8.22789E-05
106745 8.71004E-05
113491 9.40112E-05
120236 0.000103818
123608 0.000110226
126981 0.000117826
130660 0.000128055
134340 0.000140778
138019 0.000156802
141698 0.000177291
144764 0.000199116
146297 0.000212005
147830 0.000226493
149363 0.000243179
150896 0.000262141
152429 0.000283784
153962 0.000308616
155648 0.000340941
157335 0.000379414
158178 0.000401365
159021 0.000425644
159864 0.000452408
160707 0.000481810
161550 0.000514846
162394 0.000551386
163237 0.000592219
164080 0.000638365
165766 0.000748788
166609 0.000815701
167452 0.000891512
168142 0.000962502
168487 0.00100125
168660 0.00102133
168832 0.00104237
169005 0.00106370
169177 0.00108607
169350 0.00110876
169522 0.00113237
169695 0.00115674
169867 0.00118188
170039 0.00120784
170212 0.00123466
170423 0.00126873
170528 0.00128621
170633 0.00130413
170844 0.00134100
170950 0.00136004
171055 0.00137951
171160 0.00139930
171266 0.00141954
171371 0.00144028
171477 0.00146139
171582 0.00148292
171687 0.00150504
171793 0.00152756
171898 0.00155049
172013 0.00157623
172128 0.00160246
172234 0.00162715
172339 0.00165236
172444 0.00167815
172550 0.00170453
172655 0.00173148
172761 0.00175906
172866 0.00178728
172971 0.00181609
173077 0.00184563
173182 0.00187582
173287 0.00190673
173393 0.00193837
173498 0.00197073
173604 0.00200387
173709 0.00203779
173814 0.00207250
173920 0.00210808
174025 0.00214448
