Hf-176(n,tot) ENDFB-8.0
0.00261817 259.005
0.00266211 256.910
0.00275000 252.873
0.00284375 248.775
0.00293750 244.874
0.00303125 241.156
0.00312500 237.607
0.00321875 234.214
0.00331250 230.966
0.00340625 227.853
0.00350000 224.866
0.00359375 221.996
0.00368750 219.237
0.00378125 216.581
0.00387500 214.023
0.00396875 211.555
0.00406250 209.173
0.00425000 204.648
0.00443750 200.414
0.00462500 196.439
0.00481250 192.699
0.00500000 189.172
0.00512000 187.016
0.00526125 184.575
0.00540250 182.229
0.00554375 179.974
0.00568500 177.803
0.00582625 175.712
0.00596750 173.696
0.00610875 171.750
0.00625000 169.870
0.00640625 167.863
0.00656250 165.929
0.00671875 164.062
0.00687500 162.260
0.00718750 158.832
0.00750000 155.621
0.00781250 152.605
0.00812500 149.765
0.00843750 147.084
0.00875000 144.547
0.00906250 142.144
0.00937500 139.861
0.00968750 137.690
0.0100000 135.621
0.0103125 133.647
0.0106250 131.761
0.0109375 129.957
0.0112500 128.228
0.0115625 126.569
0.0118750 124.977
0.0121875 123.446
0.0125000 121.974
0.0128125 120.555
0.0131250 119.187
0.0134375 117.867
0.0137500 116.593
0.0143750 114.170
0.0150000 111.900
0.0156250 109.768
0.0162500 107.760
0.0168750 105.865
0.0175000 104.072
0.0181250 102.373
0.0187500 100.760
0.0193750 99.2257
0.0200000 97.7640
0.0206625 96.2878
0.0213250 94.8811
0.0219875 93.5385
0.0226500 92.2554
0.0233125 91.0276
0.0239750 89.8511
0.0246375 88.7226
0.0253000 87.6389
0.0261130 86.3659
0.0269260 85.1512
0.0277391 83.9906
0.0285521 82.8803
0.0293651 81.8166
0.0301781 80.7966
0.0309911 79.8173
0.0318042 78.8760
0.0331138 77.4339
0.0344234 76.0753
0.0357331 74.7926
0.0370427 73.5791
0.0383524 72.4288
0.0396620 71.3366
0.0409716 70.2979
0.0422813 69.3085
0.0442109 67.9327
0.0461406 66.6455
0.0480703 65.4379
0.0500000 64.3022
0.0506000 63.9627
0.0527938 62.7719
0.0549875 61.6547
0.0571813 60.6040
0.0593750 59.6138
0.0595257 59.5478
0.0598975 59.3863
0.0602693 59.2262
0.0610129 58.9107
0.0625000 58.2974
0.0640625 57.6771
0.0656250 57.0799
0.0671875 56.5046
0.0687500 55.9497
0.0718750 54.8966
0.0750000 53.9127
0.0781250 52.9913
0.0812500 52.1270
0.0843750 51.3145
0.0875000 50.5492
0.0906250 49.8269
0.0937500 49.1438
0.0968750 48.4970
0.100000 47.8836
0.102344 47.4441
0.104688 47.0211
0.109375 46.2210
0.114063 45.4768
0.118750 44.7835
0.119051 44.7405
0.119795 44.6354
0.120539 44.5314
0.122026 44.3268
0.125000 43.9306
0.128125 43.5321
0.131250 43.1509
0.134375 42.7858
0.137500 42.4361
0.143367 41.8174
0.149234 41.2443
0.150000 41.1727
0.153125 40.8877
0.156250 40.6141
0.162500 40.0992
0.168750 39.6241
0.175000 39.1857
0.180388 38.8347
0.185776 38.5070
0.187500 38.4068
0.193750 38.0617
0.200000 37.7435
0.202400 37.6281
0.209375 37.3131
0.215047 37.0783
0.220719 36.8619
0.229109 36.5733
0.237500 36.3190
0.238103 36.3020
0.240296 36.2416
0.242489 36.1835
0.246875 36.0738
0.254433 35.9047
0.262036 35.7591
0.269639 35.6372
0.275000 35.5650
0.284375 35.4645
0.293750 35.3953
0.300781 35.3639
0.307813 35.3499
0.314844 35.3528
0.321875 35.3723
0.328906 35.4080
0.335938 35.4599
0.342969 35.5279
0.350000 35.6119
0.359375 35.7489
0.368750 35.9146
0.371551 35.9698
0.379864 36.1488
0.388176 36.3511
0.396488 36.5769
0.404800 36.8265
0.406250 36.8726
0.410938 37.0267
0.415625 37.1889
0.425000 37.5375
0.433219 37.8705
0.441438 38.2299
0.443750 38.3359
0.450781 38.6718
0.457813 39.0286
0.464844 39.4073
0.471875 39.8092
0.478906 40.2354
0.485938 40.6856
0.500000 41.6573
0.515348 42.8401
0.530696 44.1691
0.546044 45.6594
0.561393 47.3304
0.576741 49.2002
0.592089 51.2920
0.607437 53.6419
0.622785 56.2869
0.635178 58.6689
0.647572 61.3042
0.659965 64.2243
0.672358 67.4603
0.684751 71.0566
0.697145 75.0754
0.709538 79.5863
0.715734 82.0499
0.721931 84.6667
0.731601 89.0868
0.741270 93.9663
0.750940 99.3695
0.760610 105.372
0.770280 112.064
0.779949 119.552
0.784784 123.636
0.789619 127.969
0.794454 132.573
0.799289 137.471
0.806483 145.360
0.813677 154.052
0.820872 163.660
0.828066 174.314
0.835261 186.173
0.842455 199.428
0.846052 206.648
0.849650 214.307
0.853247 222.439
0.856844 231.087
0.861563 243.283
0.866281 256.552
0.871000 271.021
0.875719 286.839
0.880437 304.177
0.885156 323.234
0.889875 344.243
0.894593 367.476
0.897157 381.141
0.899720 395.614
0.902283 410.958
0.904847 427.244
0.907410 444.548
0.909973 462.954
0.912537 482.556
0.915100 503.456
0.919056 538.520
0.923011 577.417
0.926967 620.697
0.928945 644.175
0.930923 668.996
0.932901 695.258
0.934878 723.062
0.936856 752.521
0.938834 783.755
0.940812 816.894
0.942790 852.073
0.944767 889.441
0.946745 929.152
0.949578 990.446
0.952411 1057.41
0.954075 1099.60
0.955739 1144.05
0.957404 1190.88
0.959068 1240.19
0.960732 1292.12
0.962396 1346.76
0.964060 1404.25
0.965724 1464.68
0.967388 1528.15
0.969053 1594.74
0.970717 1664.54
0.972381 1737.59
0.974045 1813.93
0.975709 1893.58
0.977373 1976.51
0.979037 2062.67
0.980689 2151.28
0.982340 2242.87
0.983991 2337.26
0.985642 2434.24
0.987294 2533.56
0.988945 2634.89
0.990596 2737.87
0.992248 2842.08
0.995570 3053.49
0.997785 3193.93
1.00000 3332.22
1.00443 3596.00
1.00665 3717.88
1.00887 3830.68
1.01108 3932.77
1.01330 4022.44
1.01552 4098.27
1.01773 4158.95
1.01963 4197.90
1.02152 4224.56
1.02341 4238.56
1.02530 4239.71
1.02797 4219.49
1.03064 4174.20
1.03332 4105.05
1.03599 4013.81
1.03866 3902.73
1.04133 3774.46
1.04400 3631.89
1.04668 3478.12
1.04881 3348.98
1.05095 3216.15
1.05410 3016.39
1.05726 2815.86
1.06041 2618.21
1.06356 2426.46
1.06672 2242.92
1.06987 2069.27
1.07302 1906.60
1.07617 1755.51
1.07833 1658.72
1.08049 1567.37
1.08265 1481.36
1.08481 1400.53
1.08697 1324.70
1.08913 1253.64
1.09129 1187.12
1.09345 1124.93
1.09523 1076.66
1.09702 1031.03
1.09880 987.846
1.10058 947.031
1.10236 908.404
1.10414 871.883
1.10592 837.305
1.10770 804.594
1.10949 773.602
1.11127 744.261
1.11305 716.437
1.11483 690.070
1.11839 641.300
1.12196 597.312
1.12448 568.713
1.12701 542.056
1.12953 517.180
1.13206 493.946
1.13459 472.204
1.13711 451.841
1.13964 432.748
1.14216 414.832
1.14469 397.989
1.14721 382.143
1.14974 367.221
1.15227 353.157
1.15479 339.881
1.15732 327.339
1.15984 315.480
1.16237 304.261
1.16532 291.888
1.16827 280.260
1.17123 269.319
1.17418 259.018
1.17713 249.301
1.18008 240.131
1.18304 231.464
1.18599 223.268
1.19190 208.150
1.19780 194.552
1.20371 182.276
1.20961 171.157
1.21371 164.038
1.21782 157.371
1.22192 151.117
1.22602 145.243
1.23012 139.719
1.23422 134.518
1.23833 129.616
1.24243 124.990
1.24653 120.620
1.25063 116.488
1.25884 108.870
1.26704 102.019
1.27524 95.8366
1.28013 92.4373
1.28501 89.2306
1.28990 86.2016
1.29478 83.3375
1.30456 78.0582
1.31433 73.3117
1.32410 69.0285
1.33387 65.1520
1.34364 61.6323
1.35341 58.4279
1.36171 55.9257
1.37001 53.6045
1.37831 51.4470
1.38661 49.4382
1.39491 47.5650
1.40321 45.8159
1.41151 44.1808
1.41981 42.6505
1.42811 41.2162
1.43641 39.8700
1.44471 38.6047
1.45301 37.4136
1.46131 36.2910
1.46961 35.2318
1.47791 34.2314
1.48621 33.2859
1.49540 32.2983
1.50459 31.3689
1.51378 30.4935
1.52297 29.6682
1.53216 28.8890
1.54135 28.1526
1.55973 26.7959
1.57811 25.5768
1.59649 24.4783
1.61488 23.4855
1.63326 22.5860
1.64971 21.8512
1.66616 21.1761
1.68261 20.5545
1.69907 19.9814
1.71552 19.4524
1.73197 18.9633
1.74842 18.5108
1.76488 18.0921
1.77304 17.8961
1.80141 17.2708
1.82978 16.7211
1.85815 16.2366
1.88652 15.8107
1.91489 15.4381
1.94326 15.1140
1.97163 14.8336
2.00000 14.5939
2.01964 14.4497
2.03928 14.3219
2.05892 14.2105
2.07856 14.1156
2.09819 14.0369
2.11783 13.9741
2.13747 13.9266
2.15711 13.8942
2.18594 13.8747
2.21477 13.8905
2.24360 13.9434
2.27243 14.0351
2.30125 14.1678
2.33008 14.3464
2.35891 14.5782
2.37333 14.7163
2.38774 14.8703
2.40883 15.1264
2.42992 15.4232
2.45101 15.7667
2.47210 16.1642
2.49319 16.6232
2.51427 17.1527
2.52482 17.4472
2.53536 17.7638
2.54591 18.1046
2.55645 18.4718
2.57198 19.0662
2.58750 19.7325
2.60303 20.4814
2.61855 21.3252
2.63408 22.2792
2.64184 22.8029
2.64961 23.3613
2.65737 23.9574
2.66513 24.5943
2.67289 25.2762
2.68066 26.0069
2.69043 27.0037
2.70019 28.0962
2.70996 29.2970
2.71973 30.6204
2.72950 32.0833
2.73927 33.7052
2.74904 35.5102
2.75881 37.5258
2.76752 39.5283
2.77623 41.7540
2.78494 44.2370
2.78930 45.5878
2.79366 47.0186
2.79801 48.5367
2.80237 50.1486
2.80672 51.8629
2.81108 53.6879
2.81543 55.6342
2.81979 57.7119
2.82414 59.9337
2.82850 62.3135
2.83375 65.4151
2.83900 68.7992
2.84425 72.5032
2.84950 76.5675
2.85475 81.0424
2.86000 85.9838
2.86525 91.4603
2.87050 97.5523
2.87502 103.364
2.87954 109.774
2.88406 116.866
2.88858 124.738
2.89310 133.508
2.89536 138.268
2.89762 143.304
2.89988 148.635
2.90214 154.283
2.90440 160.272
2.90666 166.626
2.90892 173.374
2.91118 180.540
2.91344 188.156
2.91570 196.255
2.91796 204.869
2.92022 214.035
2.92248 223.790
2.92474 234.172
2.92700 245.220
2.92926 256.977
2.93152 269.483
2.93378 282.781
2.93604 296.912
2.93830 311.916
2.94056 327.834
2.94282 344.703
2.94529 364.234
2.94776 384.969
2.95022 406.957
2.95269 430.203
2.95515 454.741
2.95762 480.563
2.96008 507.655
2.96255 535.979
2.96502 565.513
2.96748 596.167
2.96995 627.884
2.97241 660.532
2.97555 703.257
2.97869 746.992
2.98183 791.366
2.98496 835.939
2.98810 880.265
2.99124 923.814
2.99438 966.035
2.99751 1006.35
3.00045 1041.88
3.00339 1074.77
3.00633 1104.57
3.00927 1130.85
3.01221 1153.22
3.01515 1171.36
3.01809 1184.99
3.02103 1193.89
3.02316 1197.32
3.02530 1198.15
3.02744 1196.38
3.02958 1192.02
3.03171 1185.11
3.03385 1175.71
3.03813 1149.79
3.04240 1115.11
3.04525 1087.67
3.04810 1057.20
3.05095 1024.11
3.05379 988.812
3.05949 913.266
3.06519 833.935
3.07040 760.639
3.07561 688.778
3.08082 619.965
3.08343 587.089
3.08603 555.407
3.08864 524.981
3.09124 495.887
3.09385 468.167
3.09645 441.853
3.09906 416.930
3.10167 393.406
3.10427 371.241
3.10688 350.417
3.10913 333.463
3.11138 317.448
3.11363 302.323
3.11588 288.064
3.11813 274.620
3.12038 261.963
3.12263 250.049
3.12488 238.838
3.12713 228.285
3.12938 218.363
3.13163 209.025
3.13388 200.243
3.13613 191.976
3.13838 184.197
3.14063 176.873
3.14288 169.972
3.14548 162.507
3.14807 155.529
3.15066 149.000
3.15326 142.886
3.15585 137.156
3.15845 131.779
3.16104 126.730
3.16363 121.985
3.16623 117.517
3.16882 113.309
3.17142 109.339
3.17401 105.593
3.17660 102.052
3.17920 98.7025
3.18438 92.5268
3.18844 88.1368
3.19249 84.0860
3.19654 80.3392
3.20059 76.8665
3.20464 73.6409
3.20869 70.6408
3.21274 67.8446
3.21679 65.2342
3.22220 62.0141
3.22760 59.0622
3.23300 56.3480
3.23840 53.8473
3.24380 51.5376
3.24920 49.4000
3.25460 47.4172
3.26000 45.5744
3.26540 43.8584
3.27080 42.2582
3.27620 40.7632
3.28160 39.3644
3.28700 38.0534
3.29240 36.8233
3.29780 35.6674
3.30320 34.5797
3.30860 33.5548
3.31400 32.5883
3.31940 31.6756
3.32480 30.8127
3.33523 29.2751
3.34565 27.8875
3.35607 26.6307
3.36649 25.4888
3.37692 24.4479
3.38734 23.4965
3.39776 22.6244
3.40818 21.8232
3.41576 21.2805
3.42334 20.7686
3.43282 20.1685
3.44230 19.6089
3.45177 19.0860
3.46125 18.5967
3.47072 18.1382
3.48020 17.7077
3.48967 17.3032
3.49915 16.9225
3.50862 16.5638
3.51810 16.2255
3.52757 15.9059
3.53705 15.6037
3.55600 15.0467
3.57495 14.5455
3.58537 14.2910
3.59579 14.0499
3.61664 13.6049
3.63748 13.2036
3.65833 12.8404
3.67917 12.5105
3.70002 12.2100
3.72086 11.9352
3.74171 11.6834
3.75799 11.5010
3.77428 11.3300
3.79056 11.1695
3.80684 11.0185
3.82312 10.8762
3.83941 10.7420
3.85569 10.6151
3.87197 10.4951
3.90454 10.2737
3.93711 10.0744
3.96967 9.89415
4.00224 9.73055
4.03600 9.57628
4.06976 9.43578
4.10352 9.30741
4.13728 9.18968
4.17104 9.08136
4.20479 8.98146
4.23855 8.88910
4.27231 8.80359
4.30263 8.73200
4.33295 8.66479
4.36328 8.60155
4.39360 8.54197
4.42392 8.48579
4.45424 8.43277
4.48456 8.38266
4.51488 8.33526
4.57552 8.24765
4.63616 8.16844
4.69680 8.09657
4.75744 8.03104
4.77548 8.01275
4.83161 7.95860
4.88774 7.90861
4.94387 7.86229
5.00000 7.81932
5.04883 7.78436
5.09766 7.75136
5.14649 7.72023
5.19531 7.69083
5.24414 7.66300
5.29297 7.63662
5.34180 7.61157
5.39063 7.58779
5.48828 7.54371
5.58594 7.50361
5.68359 7.46697
5.78125 7.43341
5.85937 7.40852
5.93750 7.38514
5.94482 7.38302
5.96390 7.37757
5.98297 7.37221
6.02112 7.36176
6.09741 7.34176
6.17370 7.32284
6.25000 7.30499
6.36340 7.28017
6.47680 7.25714
6.56250 7.24090
6.70034 7.21660
6.83818 7.19423
6.93471 7.17955
7.03125 7.16580
7.18750 7.14501
7.34375 7.12584
7.49060 7.10914
7.63745 7.09364
7.78430 7.07927
7.93115 7.06577
8.07800 7.05313
8.22485 7.04134
8.37170 7.03020
8.51855 7.01972
8.70373 7.00732
8.88891 6.99579
9.07409 6.98501
9.25927 6.97492
9.44445 6.96547
9.62963 6.95658
9.72222 6.95237
9.73379 6.95194
9.74537 6.95168
9.75694 6.95188
9.76273 6.95233
9.76852 6.95322
9.77430 6.95477
9.78009 6.95732
9.78298 6.95913
9.78588 6.96140
9.78877 6.96424
9.79166 6.96776
9.79456 6.97211
9.79745 6.97746
9.80034 6.98401
9.80324 6.99202
9.80613 7.00177
9.80902 7.01358
9.81192 7.02785
9.81336 7.03606
9.81481 7.04505
9.81626 7.05491
9.81770 7.06571
9.81915 7.07752
9.82060 7.09043
9.82204 7.10454
9.82349 7.11994
9.82494 7.13675
9.82638 7.15505
9.82783 7.17499
9.82928 7.19671
9.83073 7.22032
9.83217 7.24596
9.83362 7.27382
9.83507 7.30406
9.83651 7.33685
9.83796 7.37235
9.83941 7.41082
9.84085 7.45244
9.84230 7.49745
9.84375 7.54603
9.84519 7.59852
9.84664 7.65514
9.84809 7.71619
9.84953 7.78191
9.85098 7.85270
9.85243 7.92885
9.85387 8.01071
9.85532 8.09857
9.85677 8.19295
9.85821 8.29410
9.85966 8.40260
9.86111 8.51872
9.86255 8.64309
9.86400 8.77610
9.86545 8.91826
9.86689 9.06998
9.86834 9.23201
9.86979 9.40480
9.87123 9.58894
9.87268 9.78490
9.87413 9.99357
9.87557 10.2155
9.87702 10.4513
9.87847 10.7015
9.87991 10.9672
9.88136 11.2489
9.88281 11.5474
9.88425 11.8632
9.88570 12.1976
9.88715 12.5512
9.88859 12.9248
9.89004 13.3190
9.89149 13.7351
9.89293 14.1738
9.89438 14.6361
9.89583 15.1223
9.89727 15.6343
9.89872 16.1725
9.90017 16.7379
9.90161 17.3310
9.90306 17.9537
9.90451 18.6060
9.90595 19.2897
9.90740 20.0050
9.90885 20.7537
9.91029 21.5364
9.91174 22.3539
9.91319 23.2067
9.91463 24.0968
9.91608 25.0246
9.91753 25.9910
9.91897 26.9962
9.92187 29.1298
9.92476 31.4307
9.92766 33.9067
9.93055 36.5616
9.93344 39.4023
9.93634 42.4310
9.93923 45.6534
9.94212 49.0696
9.94502 52.6837
9.94791 56.4936
9.95080 60.4999
9.95370 64.7009
9.95659 69.0951
9.95948 73.6753
9.96238 78.4391
9.96527 83.3765
9.97106 93.7455
9.97684 104.704
9.98263 116.156
9.98842 127.989
9.99999 6.94019
10.0000 296.791
20.0000 211.643
50.0000 136.095
70.0000 115.969
100.000 98.0284
200.000 71.1220
500.000 47.2712
700.000 40.9256
1000.00 35.2762
2000.00 26.8263
5000.00 19.3925
7000.00 17.4356
10000.0 15.7071
20000.0 13.1583
50000.0 10.9427
70000.0 10.3392
81869.3 10.0283
100000 9.76090
126616 9.46289
186801 8.83870
197533 8.75721
200000 8.75325
208606 8.64461
214610 8.59262
259478 8.36586
300000 8.24269
314141 8.17131
336781 8.06869
350188 8.01070
377645 7.94442
400000 7.93485
408341 7.91205
438273 7.85218
463236 7.80378
477538 7.77646
500000 7.75130
569525 7.63155
700000 7.56952
850000 7.51090
1.00000E+06 7.47561
1.30000E+06 7.40820
1.50000E+06 7.34983
1.80000E+06 7.24190
2.00000E+06 7.15876
2.25000E+06 7.04418
2.50000E+06 6.91950
2.75000E+06 6.78727
3.00000E+06 6.65062
3.20000E+06 6.54029
3.40000E+06 6.43058
3.60000E+06 6.32265
3.80000E+06 6.21730
4.00000E+06 6.11512
4.20000E+06 6.01656
4.40000E+06 5.92193
4.60000E+06 5.83152
4.80000E+06 5.74553
5.00000E+06 5.66409
5.50000E+06 5.48092
6.00000E+06 5.32714
6.74768E+06 5.15280
7.00000E+06 5.10586
8.00000E+06 4.99053
9.00000E+06 4.95984
1.00000E+07 4.98691
1.10000E+07 5.04668
1.20000E+07 5.12013
1.30000E+07 5.19450
1.40000E+07 5.26080
1.50000E+07 5.31324
1.60000E+07 5.34851
1.70000E+07 5.36531
1.80000E+07 5.36347
1.90000E+07 5.34398
2.00000E+07 5.30854
