83-Bi_n-tot
> 83-Bi-209:1.000000
6.250000e-03 9.46106000e+00
6.406250e-03 9.45796000e+00
6.562500e-03 9.45500000e+00
6.718750e-03 9.45216000e+00
6.875000e-03 9.44945000e+00
7.187500e-03 9.44436000e+00
7.500000e-03 9.43966000e+00
7.812500e-03 9.43531000e+00
8.125000e-03 9.43127000e+00
8.437500e-03 9.42751000e+00
8.750000e-03 9.42400000e+00
9.062500e-03 9.42071000e+00
9.375000e-03 9.41763000e+00
9.687500e-03 9.41473000e+00
1.000000e-02 9.41200000e+00
1.031250e-02 9.40942000e+00
1.062500e-02 9.40698000e+00
1.093750e-02 9.40467000e+00
1.125000e-02 9.40247000e+00
1.156250e-02 9.40039000e+00
1.187500e-02 9.39841000e+00
1.218750e-02 9.39652000e+00
1.250000e-02 9.39471000e+00
1.281250e-02 9.39299000e+00
1.312500e-02 9.39134000e+00
1.343750e-02 9.38977000e+00
1.375000e-02 9.38825000e+00
1.437500e-02 9.38541000e+00
1.500000e-02 9.38278000e+00
1.562500e-02 9.38035000e+00
1.625000e-02 9.37809000e+00
1.687500e-02 9.37597000e+00
1.750000e-02 9.37400000e+00
1.812500e-02 9.37215000e+00
1.875000e-02 9.37041000e+00
1.937500e-02 9.36877000e+00
2.000000e-02 9.36723000e+00
2.066250e-02 9.36568000e+00
2.132500e-02 9.36422000e+00
2.198750e-02 9.36284000e+00
2.265000e-02 9.36154000e+00
2.331250e-02 9.36030000e+00
2.397500e-02 9.35912000e+00
2.463750e-02 9.35800000e+00
2.530000e-02 9.35693000e+00
2.645780e-02 9.35518000e+00
2.761560e-02 9.35355000e+00
2.877340e-02 9.35205000e+00
2.993130e-02 9.35065000e+00
3.108910e-02 9.34934000e+00
3.224690e-02 9.34812000e+00
3.340470e-02 9.34697000e+00
3.456250e-02 9.34589000e+00
3.552740e-02 9.34504000e+00
3.649220e-02 9.34423000e+00
3.745700e-02 9.34345000e+00
3.842190e-02 9.34271000e+00
3.938670e-02 9.34200000e+00
4.035160e-02 9.34132000e+00
4.131640e-02 9.34067000e+00
4.228130e-02 9.34005000e+00
4.421090e-02 9.33887000e+00
4.614060e-02 9.33778000e+00
4.807030e-02 9.33676000e+00
5.000000e-02 9.33582000e+00
5.156250e-02 9.33510000e+00
5.312500e-02 9.33441000e+00
5.468750e-02 9.33377000e+00
5.625000e-02 9.33315000e+00
5.781250e-02 9.33256000e+00
5.937500e-02 9.33200000e+00
6.093750e-02 9.33146000e+00
6.250000e-02 9.33095000e+00
6.406250e-02 9.33046000e+00
6.562500e-02 9.32998000e+00
6.718750e-02 9.32953000e+00
6.875000e-02 9.32910000e+00
7.187500e-02 9.32828000e+00
7.500000e-02 9.32752000e+00
7.812500e-02 9.32681000e+00
8.125000e-02 9.32614000e+00
8.437500e-02 9.32552000e+00
8.750000e-02 9.32494000e+00
9.062500e-02 9.32439000e+00
9.375000e-02 9.32388000e+00
9.687500e-02 9.32339000e+00
1.000000e-01 9.32293000e+00
1.031250e-01 9.32249000e+00
1.062500e-01 9.32207000e+00
1.093750e-01 9.32168000e+00
1.125000e-01 9.32130000e+00
1.156250e-01 9.32094000e+00
1.187500e-01 9.32059000e+00
1.218750e-01 9.32026000e+00
1.250000e-01 9.31995000e+00
1.281250e-01 9.31965000e+00
1.312500e-01 9.31936000e+00
1.343750e-01 9.31908000e+00
1.375000e-01 9.31881000e+00
1.437500e-01 9.31830000e+00
1.500000e-01 9.31783000e+00
1.562500e-01 9.31739000e+00
1.625000e-01 9.31697000e+00
1.687500e-01 9.31659000e+00
1.750000e-01 9.31622000e+00
1.812500e-01 9.31588000e+00
1.875000e-01 9.31555000e+00
1.937500e-01 9.31525000e+00
2.000000e-01 9.31495000e+00
2.093750e-01 9.31454000e+00
2.187500e-01 9.31416000e+00
2.281250e-01 9.31381000e+00
2.375000e-01 9.31347000e+00
2.468750e-01 9.31316000e+00
2.562500e-01 9.31286000e+00
2.656250e-01 9.31259000e+00
2.750000e-01 9.31232000e+00
2.843750e-01 9.31207000e+00
2.937500e-01 9.31184000e+00
3.031250e-01 9.31161000e+00
3.125000e-01 9.31140000e+00
3.218750e-01 9.31120000e+00
3.312500e-01 9.31100000e+00
3.406250e-01 9.31082000e+00
3.500000e-01 9.31064000e+00
3.593750e-01 9.31047000e+00
3.687500e-01 9.31030000e+00
3.875000e-01 9.30999000e+00
4.062500e-01 9.30970000e+00
4.250000e-01 9.30943000e+00
4.437500e-01 9.30918000e+00
4.625000e-01 9.30895000e+00
5.000000e-01 9.30852000e+00
5.312500e-01 9.30819000e+00
5.625000e-01 9.30789000e+00
5.937500e-01 9.30762000e+00
6.250000e-01 9.30737000e+00
6.875000e-01 9.30691000e+00
7.500000e-01 9.30650000e+00
8.125000e-01 9.30614000e+00
8.750000e-01 9.30581000e+00
9.375000e-01 9.30552000e+00
1.000000e+00 9.30524000e+00
1.062500e+00 9.30499000e+00
1.125000e+00 9.30475000e+00
1.187500e+00 9.30453000e+00
1.250000e+00 9.30433000e+00
1.375000e+00 9.30394000e+00
1.500000e+00 9.30360000e+00
1.625000e+00 9.30328000e+00
1.750000e+00 9.30298000e+00
1.875000e+00 9.30270000e+00
2.000000e+00 9.30244000e+00
2.187500e+00 9.30208000e+00
2.375000e+00 9.30173000e+00
2.562500e+00 9.30141000e+00
2.750000e+00 9.30110000e+00
2.937500e+00 9.30081000e+00
3.125000e+00 9.30052000e+00
3.312500e+00 9.30025000e+00
3.500000e+00 9.29998000e+00
3.875000e+00 9.29947000e+00
4.250000e+00 9.29898000e+00
4.625000e+00 9.29851000e+00
5.000000e+00 9.29805000e+00
5.312500e+00 9.29768000e+00
5.625000e+00 9.29731000e+00
5.937500e+00 9.29695000e+00
6.250000e+00 9.29659000e+00
6.875000e+00 9.29589000e+00
7.500000e+00 9.29521000e+00
8.125000e+00 9.29453000e+00
8.750000e+00 9.29386000e+00
9.375000e+00 9.29320000e+00
1.000000e+01 9.29255000e+00
1.062500e+01 9.29190000e+00
1.125000e+01 9.29125000e+00
1.187500e+01 9.29061000e+00
1.250000e+01 9.28997000e+00
1.375000e+01 9.28869000e+00
1.500000e+01 9.28743000e+00
1.625000e+01 9.28616000e+00
1.750000e+01 9.28490000e+00
1.875000e+01 9.28365000e+00
2.000000e+01 9.28239000e+00
2.187500e+01 9.28050000e+00
2.375000e+01 9.27862000e+00
2.562500e+01 9.27673000e+00
2.750000e+01 9.27485000e+00
2.937500e+01 9.27295000e+00
3.125000e+01 9.27106000e+00
3.312500e+01 9.26916000e+00
3.500000e+01 9.26725000e+00
3.875000e+01 9.26342000e+00
4.250000e+01 9.25957000e+00
4.625000e+01 9.25569000e+00
5.000000e+01 9.25179000e+00
5.312500e+01 9.24851000e+00
5.625000e+01 9.24521000e+00
6.250000e+01 9.23856000e+00
6.875000e+01 9.23182000e+00
7.500000e+01 9.22499000e+00
8.125000e+01 9.21807000e+00
8.750000e+01 9.21105000e+00
9.375000e+01 9.20393000e+00
1.000000e+02 9.19671000e+00
1.125000e+02 9.18196000e+00
1.250000e+02 9.16677000e+00
1.375000e+02 9.15112000e+00
1.500000e+02 9.13497000e+00
1.625000e+02 9.11830000e+00
1.750000e+02 9.10109000e+00
1.875000e+02 9.08330000e+00
2.000000e+02 9.06489000e+00
2.187500e+02 9.03605000e+00
2.375000e+02 9.00561000e+00
2.562500e+02 8.97342000e+00
2.750000e+02 8.93929000e+00
2.937500e+02 8.90303000e+00
3.125000e+02 8.86442000e+00
3.312500e+02 8.82318000e+00
3.500000e+02 8.77901000e+00
3.687500e+02 8.73157000e+00
3.875000e+02 8.68044000e+00
4.062500e+02 8.62511000e+00
4.250000e+02 8.56502000e+00
4.437500e+02 8.49948000e+00
4.625000e+02 8.42765000e+00
