58-Ce_n-tot
> 58-Ce-136:0.001850
> 58-Ce-138:0.002510
> 58-Ce-140:0.884500
> 58-Ce-142:0.111140
3.099110e-02 5.65008406e+01
3.108910e-02 5.64182882e+01
3.166800e-02 5.59310882e+01
3.180420e-02 5.58219540e+01
3.224690e-02 5.54672329e+01
3.272930e-02 5.50810456e+01
3.311380e-02 5.47874863e+01
3.340470e-02 5.45653928e+01
3.379060e-02 5.42710149e+01
3.442340e-02 5.38094317e+01
3.456250e-02 5.37079696e+01
3.480370e-02 5.35321688e+01
3.552740e-02 5.30265260e+01
3.573310e-02 5.28828969e+01
3.581680e-02 5.28244546e+01
3.649220e-02 5.23719827e+01
3.682990e-02 5.21458975e+01
3.704270e-02 5.20089870e+01
3.745700e-02 5.17424402e+01
3.784300e-02 5.14942521e+01
3.835240e-02 5.11792386e+01
3.842190e-02 5.11362603e+01
3.885610e-02 5.08679195e+01
3.938670e-02 5.05521680e+01
3.966200e-02 5.03884389e+01
3.986920e-02 5.02652127e+01
4.035160e-02 4.99887177e+01
4.088220e-02 4.96847781e+01
4.097160e-02 4.96353773e+01
4.131640e-02 4.94448497e+01
4.189530e-02 4.91251430e+01
4.228130e-02 4.89193365e+01
4.290840e-02 4.85852655e+01
4.392150e-02 4.80636790e+01
4.421090e-02 4.79219381e+01
4.594770e-02 4.70722346e+01
4.614060e-02 4.69837081e+01
4.797380e-02 4.61433011e+01
4.807030e-02 4.61017000e+01
5.000000e-02 4.52706663e+01
5.060000e-02 4.50256257e+01
5.156250e-02 4.46325441e+01
5.279380e-02 4.41515983e+01
5.312500e-02 4.40222338e+01
5.468750e-02 4.34380271e+01
5.498750e-02 4.33304590e+01
5.625000e-02 4.28777845e+01
5.718130e-02 4.25572648e+01
5.781250e-02 4.23400321e+01
5.937500e-02 4.18233068e+01
5.952570e-02 4.17753655e+01
5.989750e-02 4.16570873e+01
6.026930e-02 4.15388094e+01
6.093750e-02 4.13262409e+01
6.101290e-02 4.13031439e+01
6.250000e-02 4.08476099e+01
6.406250e-02 4.03862666e+01
6.562500e-02 3.99413124e+01
6.718750e-02 3.95117377e+01
6.875000e-02 3.90965065e+01
7.187500e-02 3.83061739e+01
7.500000e-02 3.75643327e+01
7.812500e-02 3.68662242e+01
8.125000e-02 3.62075698e+01
8.437500e-02 3.55849628e+01
8.750000e-02 3.49950140e+01
9.062500e-02 3.44351305e+01
9.375000e-02 3.39025994e+01
9.687500e-02 3.33953834e+01
1.000000e-01 3.29114458e+01
1.031250e-01 3.24489823e+01
1.046880e-01 3.22276216e+01
1.062500e-01 3.20064065e+01
1.093750e-01 3.15823668e+01
1.125000e-01 3.11755059e+01
1.140630e-01 3.09800296e+01
