66-Dy_n-g
> 66-Dy-156:0.000600
> 66-Dy-158:0.001000
> 66-Dy-160:0.023400
> 66-Dy-161:0.189100
> 66-Dy-162:0.255100
> 66-Dy-163:0.249000
> 66-Dy-164:0.281800
2.679690e-01 9.61988090e+01
2.687500e-01 9.61082133e+01
2.693050e-01 9.60572714e+01
2.695310e-01 9.60365322e+01
2.696390e-01 9.60299329e+01
2.703130e-01 9.59887528e+01
2.707010e-01 9.59799246e+01
2.710940e-01 9.59709869e+01
2.717630e-01 9.59875210e+01
2.718750e-01 9.59902913e+01
2.726560e-01 9.60551820e+01
2.730470e-01 9.61077958e+01
2.734380e-01 9.61757267e+01
2.738280e-01 9.62608071e+01
2.740460e-01 9.63183974e+01
2.742190e-01 9.63641044e+01
2.746090e-01 9.64877716e+01
2.750000e-01 9.66336222e+01
2.753910e-01 9.68063128e+01
2.757810e-01 9.70056011e+01
2.761720e-01 9.72331307e+01
2.763290e-01 9.73370961e+01
2.765630e-01 9.74920608e+01
2.769530e-01 9.77845920e+01
2.773440e-01 9.81134958e+01
2.777340e-01 9.84816670e+01
2.781250e-01 9.88918838e+01
2.785160e-01 9.93474846e+01
2.789060e-01 9.98518078e+01
2.792970e-01 1.00407821e+02
2.796880e-01 1.01019240e+02
2.800780e-01 1.01689971e+02
2.804690e-01 1.02422982e+02
2.808590e-01 1.03222868e+02
2.808940e-01 1.03298907e+02
2.810550e-01 1.03648698e+02
2.812500e-01 1.04092808e+02
2.814450e-01 1.04555827e+02
2.816410e-01 1.05037444e+02
2.818360e-01 1.05538662e+02
2.820310e-01 1.06060113e+02
2.822270e-01 1.06601864e+02
2.824220e-01 1.07164917e+02
2.826170e-01 1.07749528e+02
2.828130e-01 1.08356140e+02
2.830080e-01 1.08985756e+02
2.832030e-01 1.09638254e+02
2.833990e-01 1.10314077e+02
2.835940e-01 1.11014227e+02
2.837890e-01 1.11738772e+02
2.839840e-01 1.12488467e+02
2.841800e-01 1.13263756e+02
2.843750e-01 1.14065076e+02
2.845700e-01 1.14894455e+02
2.847660e-01 1.15750379e+02
2.849610e-01 1.16633841e+02
2.851560e-01 1.17545100e+02
2.853520e-01 1.18484607e+02
2.854600e-01 1.19020933e+02
2.855470e-01 1.19452980e+02
2.857420e-01 1.20450481e+02
2.859380e-01 1.21477553e+02
2.861330e-01 1.22534999e+02
2.863280e-01 1.23622512e+02
2.865240e-01 1.24740352e+02
2.867190e-01 1.25889512e+02
2.869140e-01 1.27069872e+02
2.871090e-01 1.28282002e+02
2.873050e-01 1.29525972e+02
2.875000e-01 1.30802396e+02
2.876950e-01 1.32111912e+02
2.878910e-01 1.33453458e+02
2.880860e-01 1.34828024e+02
2.882810e-01 1.36235683e+02
2.884770e-01 1.37676695e+02
2.886720e-01 1.39151107e+02
2.888670e-01 1.40659178e+02
2.890630e-01 1.42200981e+02
2.894530e-01 1.45386745e+02
2.898440e-01 1.48706843e+02
2.900260e-01 1.50319373e+02
2.902340e-01 1.52162278e+02
2.906250e-01 1.55752059e+02
2.910160e-01 1.59476478e+02
2.914060e-01 1.63331873e+02
2.917970e-01 1.67317250e+02
2.921880e-01 1.71430081e+02
2.925780e-01 1.75668403e+02
2.929690e-01 1.80026685e+02
2.933590e-01 1.84502138e+02
2.937500e-01 1.89089989e+02
2.941410e-01 1.93789190e+02
2.945310e-01 1.98589671e+02
2.945920e-01 1.99353623e+02
2.949220e-01 2.03486499e+02
2.953130e-01 2.08473909e+02
2.957030e-01 2.13546526e+02
2.960940e-01 2.18694482e+02
2.968750e-01 2.29191897e+02
2.976560e-01 2.39906806e+02
2.984380e-01 2.50771182e+02
2.991580e-01 3.01823764e+02
3.000000e-01 3.61526956e+02
3.014410e-01 3.72145794e+02
3.031250e-01 3.84555385e+02
3.037230e-01 3.88965297e+02
3.060060e-01 4.05801227e+02
3.082890e-01 4.22637255e+02
3.109380e-01 4.42172499e+02
3.115380e-01 4.41743055e+02
3.125000e-01 4.41054577e+02
3.147870e-01 4.39429064e+02
3.180350e-01 4.37120737e+02
3.212840e-01 4.34811938e+02
3.218750e-01 4.34391992e+02
3.220940e-01 4.34244062e+02
3.249270e-01 4.32330552e+02
3.277600e-01 4.30417248e+02
3.305940e-01 4.28503482e+02
3.312500e-01 4.28060547e+02
3.328130e-01 4.27011888e+02
3.334270e-01 4.26616998e+02
3.362600e-01 4.24795214e+02
3.390930e-01 4.22973681e+02
3.406250e-01 4.21988794e+02
3.419260e-01 4.21157661e+02
3.437500e-01 4.19992594e+02
3.447590e-01 4.19374320e+02
3.473760e-01 4.17770989e+02
3.499930e-01 4.16167924e+02
3.500000e-01 4.16163636e+02
3.526110e-01 4.14574314e+02
3.546880e-01 4.13310275e+02
3.552280e-01 4.12994496e+02
3.578450e-01 4.11464445e+02
3.593750e-01 4.10570109e+02
3.604620e-01 4.09938668e+02
3.630790e-01 4.08418793e+02
3.656250e-01 4.06940506e+02
3.656960e-01 4.06900844e+02
3.685370e-01 4.05314217e+02
3.687500e-01 4.05195298e+02
3.713780e-01 4.03737116e+02
3.742190e-01 4.02161262e+02
3.757810e-01 4.01295150e+02
3.765630e-01 4.00861821e+02
3.770590e-01 4.00597156e+02
3.781250e-01 4.00028558e+02
3.799000e-01 3.99085724e+02
3.827410e-01 3.97577279e+02
3.828130e-01 3.97539062e+02
3.841620e-01 3.96823036e+02
3.855820e-01 3.96069500e+02
