Pr-141(n,tot) ENDFB-8.0
85.3790 211.114
85.4151 177.053
85.4331 160.415
85.4511 144.377
85.4610 135.876
85.4709 127.639
85.4808 119.688
85.4907 112.050
85.5006 104.724
85.5105 97.7283
85.5205 91.0709
85.5304 84.7620
85.5430 77.2168
85.5556 70.2299
85.5619 66.9381
85.5682 63.7851
85.5745 60.7590
85.5808 57.8669
85.5871 55.0969
85.5934 52.4552
85.5997 49.9301
85.6060 47.5266
85.6123 45.2336
85.6186 43.0550
85.6249 40.9803
85.6312 39.0125
85.6412 36.1176
85.6511 33.4554
85.6610 31.0113
85.6709 28.7711
85.6808 26.7208
85.6907 24.8468
85.7006 23.1357
85.7105 21.5765
85.7204 20.1539
85.7303 18.8581
85.7402 17.6782
85.7501 16.6052
85.7601 15.6274
85.7700 14.7371
85.7799 13.9262
85.7898 13.1879
85.7997 12.5137
85.8096 11.8982
85.8195 11.3356
85.8294 10.8206
85.8393 10.3485
85.8492 9.91503
85.8591 9.51627
85.8690 9.14911
85.8790 8.80968
85.8889 8.49557
85.8988 8.20426
85.9087 7.93378
85.9186 7.68158
85.9285 7.44616
85.9384 7.22593
85.9483 7.01968
85.9654 6.69183
85.9825 6.39598
85.9997 6.12722
86.0168 5.88210
86.0339 5.65725
86.0510 5.45036
86.0681 5.25916
86.0852 5.08185
86.1023 4.91682
86.1194 4.76298
86.1366 4.61904
86.1537 4.48421
86.1708 4.35752
86.1879 4.23838
86.2050 4.12608
86.2221 4.02005
86.2419 3.90443
86.2618 3.79588
86.2816 3.69378
86.3014 3.59764
86.3212 3.50689
86.3410 3.42115
86.3609 3.34003
86.3807 3.26323
86.4203 3.12114
86.4599 2.99279
86.4996 2.87631
86.5392 2.77028
86.5662 2.70326
86.5933 2.64017
86.6203 2.58067
86.6473 2.52447
86.6743 2.47130
86.7013 2.42098
86.7554 2.32799
86.8094 2.24402
86.8635 2.16792
86.9175 2.09867
86.9716 2.03542
87.0112 1.99243
87.0508 1.95206
87.0905 1.91407
87.1301 1.87827
87.1697 1.84449
87.2094 1.81259
87.2490 1.78240
87.2886 1.75381
87.3283 1.72668
87.3679 1.70094
87.4472 1.65319
87.5264 1.60986
87.6057 1.57042
87.6525 1.54873
87.6994 1.52814
87.7930 1.48996
87.8867 1.45534
87.9804 1.42381
88.0741 1.39501
88.1678 1.36860
88.2614 1.34428
88.3551 1.32184
88.4344 1.30414
88.5137 1.28753
88.5929 1.27191
88.6722 1.25720
88.7515 1.24332
88.8307 1.23021
88.9100 1.21780
88.9892 1.20605
89.1478 1.18429
89.3063 1.16460
89.4648 1.14669
89.6234 1.13032
89.7387 1.11928
89.8540 1.10890
89.9693 1.09910
90.0846 1.08985
90.1999 1.08111
90.3151 1.07283
90.5457 1.05748
90.7763 1.04354
91.0069 1.03081
91.2375 1.01914
91.4681 1.00840
91.6555 1.00027
91.8428 0.992622
92.0302 0.985406
92.2175 0.978582
92.5922 0.965971
92.9670 0.954550
93.3417 0.944135
93.7164 0.934615
94.0911 0.925768
94.4658 0.917539
94.8117 0.910432
95.1576 0.903734
95.5035 0.897397
95.8494 0.891387
96.5411 0.880213
97.2329 0.870014
97.9247 0.860630
98.6165 0.851861
99.3082 0.843615
100.000 0.835860
101.160 0.823831
102.319 0.812763
103.478 0.802554
104.638 0.793083
105.846 0.784027
106.450 0.779825
107.053 0.775857
107.657 0.772237
107.959 0.770589
108.261 0.769079
108.563 0.767739
108.865 0.766612
109.167 0.765783
109.318 0.765521
109.469 0.765386
109.614 0.765400
109.759 0.765586
109.904 0.765980
110.049 0.766638
110.169 0.767443
110.290 0.768544
110.411 0.770018
110.532 0.771967
110.652 0.774536
110.713 0.776113
110.773 0.777928
110.834 0.780021
110.894 0.782443
110.954 0.785259
111.015 0.788541
111.081 0.792829
111.148 0.797984
111.214 0.804256
111.247 0.807912
111.280 0.811987
111.314 0.816563
111.347 0.821702
111.380 0.827527
111.413 0.834185
111.447 0.841875
111.480 0.850874
111.513 0.861573
111.546 0.874540
111.563 0.882168
111.579 0.890658
111.596 0.900217
111.613 0.911046
111.629 0.923383
111.646 0.937518
111.662 0.953795
111.679 0.972626
111.696 0.994638
111.712 1.02015
111.729 1.04994
111.737 1.06669
111.746 1.08480
111.754 1.10441
111.762 1.12563
111.770 1.14860
111.779 1.17345
111.787 1.20034
111.795 1.22942
111.804 1.26086
111.812 1.29484
111.823 1.34222
111.833 1.39444
111.844 1.45194
111.854 1.51453
111.865 1.58387
111.875 1.65914
111.886 1.74225
111.896 1.83215
111.907 1.93106
111.918 2.03868
111.928 2.15554
111.939 2.28090
111.949 2.41766
111.960 2.56369
111.970 2.72222
111.981 2.89068
111.989 3.02688
111.997 3.16820
112.005 3.31832
112.013 3.47360
112.021 3.63805
112.029 3.80759
112.037 3.98426
112.044 4.16806
112.060 4.55938
112.076 4.97593
112.092 5.42168
112.108 5.88911
112.124 6.40371
112.141 6.93868
112.174 8.04747
112.207 9.18054
112.241 10.2728
112.259 10.8310
112.277 11.3501
112.293 11.7835
112.310 12.1687
112.326 12.4864
112.342 12.7475
112.358 12.9586
112.369 13.0585
112.380 13.1287
112.390 13.1687
112.400 13.1813
112.401 13.1810
112.404 13.1784
112.408 13.1731
112.414 13.1545
112.427 13.0851
112.440 12.9642
112.454 12.7967
112.469 12.5655
112.484 12.2876
112.498 11.9653
112.513 11.6030
112.532 11.0916
112.550 10.5334
112.575 9.76284
112.599 8.95968
112.628 7.95985
112.657 6.97714
112.681 6.20631
112.693 5.83891
112.705 5.48426
112.718 5.14069
112.730 4.81479
112.742 4.50434
112.754 4.20983
112.762 4.02019
112.770 3.84021
112.778 3.66751
112.786 3.50207
112.794 3.34191
112.802 3.19091
112.810 3.04697
112.818 2.90995
112.826 2.77813
112.834 2.65463
112.842 2.53759
112.850 2.42684
112.858 2.32218
112.866 2.22340
112.874 2.13031
112.882 2.04269
112.889 1.96631
112.897 1.89519
112.904 1.82721
112.911 1.76403
112.919 1.70375
112.926 1.64783
112.933 1.59456
112.941 1.54523
112.948 1.49831
112.955 1.45492
112.963 1.41372
112.970 1.37566
112.977 1.33957
112.985 1.30627
112.992 1.27471
112.999 1.24563
113.007 1.21810
113.014 1.19274
113.022 1.16874
113.029 1.14665
113.044 1.10652
113.058 1.07159
113.073 1.04118
113.088 1.01467
113.102 0.991539
113.117 0.971439
113.129 0.956664
113.141 0.943484
113.153 0.931503
113.165 0.920765
113.189 0.902110
113.213 0.886671
113.237 0.873624
113.261 0.862551
113.285 0.852955
113.309 0.844614
113.334 0.837224
113.358 0.830670
113.382 0.824760
113.406 0.819439
113.454 0.810149
113.502 0.802314
113.547 0.795943
113.593 0.790396
113.638 0.785513
113.684 0.781181
113.729 0.777306
113.774 0.773833
113.820 0.770697
113.865 0.767851
113.956 0.762875
114.047 0.758679
114.138 0.755081
114.229 0.751966
114.336 0.748786
114.442 0.746028
114.549 0.743605
114.656 0.741453
114.817 0.738625
114.977 0.736170
115.137 0.734000
115.298 0.732057
115.458 0.730295
115.618 0.728681
115.939 0.725800
116.260 0.723245
116.580 0.720926
116.901 0.718791
117.222 0.716806
118.077 0.711990
118.932 0.707669
120.642 0.700042
122.353 0.693411
124.063 0.687752
125.773 0.682681
127.483 0.678646
129.194 0.675159
130.904 0.672775
134.325 0.670554
137.061 0.671953
139.798 0.676466
142.534 0.684545
145.271 0.696742
148.007 0.713679
149.375 0.724168
150.744 0.736218
152.112 0.749919
153.480 0.765416
154.848 0.782872
156.216 0.802468
158.098 0.833414
159.979 0.869216
161.861 0.910750
162.801 0.933973
163.742 0.959070
164.683 0.985771
165.623 1.01457
166.564 1.04580
167.505 1.07906
168.445 1.11478
169.386 1.15361
170.327 1.19510
171.267 1.23949
172.550 1.30598
173.833 1.37962
175.115 1.46126
176.398 1.55186
177.039 1.60015
177.681 1.65171
178.964 1.76360
180.246 1.88839
180.888 1.95619
181.529 2.02789
182.470 2.14076
183.410 2.26357
184.351 2.39746
185.292 2.54367
186.232 2.70355
187.173 2.87878
188.114 3.07122
189.054 3.28289
189.995 3.51651
190.936 3.77476
191.876 4.06113
192.347 4.21608
192.817 4.37968
193.287 4.55237
193.758 4.73493
194.228 4.92826
194.698 5.13282
195.169 5.34969
195.639 5.57994
196.109 5.82442
196.580 6.08428
197.007 6.33534
197.435 6.60119
197.862 6.88314
198.290 7.18276
198.717 7.50098
199.145 7.83983
199.573 8.20105
200.000 8.58523
200.602 9.17200
201.204 9.81869
201.806 10.5329
202.407 11.3242
202.708 11.7522
203.009 12.2036
203.310 12.6789
203.611 13.1807
203.912 13.7137
204.213 14.2795
204.514 14.8799
204.815 15.5179
205.204 16.4043
205.593 17.3667
205.983 18.4140
206.372 19.5567
206.762 20.8067
207.151 22.1782
207.540 23.6876
207.930 25.3542
208.319 27.2016
208.709 29.2562
208.903 30.3714
209.098 31.5513
209.293 32.8012
209.487 34.1267
209.682 35.5342
209.877 37.0307
210.072 38.6241
210.266 40.3229
210.461 42.1370
210.656 44.0770
210.850 46.1546
211.045 48.3819
211.257 50.9996
211.470 53.8373
211.682 56.9249
211.895 60.2938
212.107 63.9777
212.319 68.0164
212.532 72.4576
212.744 77.3576
212.939 82.3091
213.134 87.7629
213.328 93.7905
213.523 100.477
213.620 104.100
213.718 107.924
213.815 111.972
213.912 116.253
214.010 120.796
214.107 125.612
214.205 130.736
214.302 136.181
214.443 144.752
214.585 154.179
214.727 164.580
214.868 176.095
214.939 182.323
215.010 188.896
215.081 195.841
215.151 203.187
215.222 210.968
215.293 219.217
215.364 227.975
215.435 237.284
215.532 251.079
215.629 266.130
215.727 282.631
215.824 300.737
215.921 320.705
216.019 342.754
216.116 367.238
216.165 380.496
216.213 394.469
216.262 409.272
216.311 424.940
216.360 441.539
216.408 459.108
216.457 477.802
216.506 497.676
216.554 518.830
216.603 541.328
216.652 565.385
216.700 591.091
216.749 618.599
216.798 648.015
216.846 679.647
216.895 713.646
216.944 750.245
216.992 789.624
217.041 832.233
217.090 878.322
217.138 928.253
217.187 982.315
217.236 1041.18
217.284 1105.24
217.333 1175.04
217.382 1251.03
217.430 1334.17
217.479 1425.01
217.528 1524.32
217.576 1632.63
217.625 1751.19
217.674 1880.57
217.722 2021.52
217.771 2174.36
217.820 2340.56
217.869 2519.42
217.917 2711.66
217.966 2916.11
218.015 3132.72
218.064 3359.19
218.161 3834.70
218.278 4412.09
218.336 4686.66
218.395 4940.15
218.453 5163.33
218.482 5260.75
218.511 5347.32
218.541 5422.12
218.570 5484.28
218.599 5533.08
218.628 5567.96
218.664 5591.11
218.700 5592.08
218.729 5576.38
218.759 5546.11
218.788 5501.39
218.817 5443.00
218.846 5371.16
218.876 5287.12
218.905 5191.21
218.934 5085.04
218.993 4844.91
219.051 4575.85
219.110 4287.29
219.168 3988.31
219.255 3539.80
219.343 3109.01
219.386 2904.88
219.430 2710.70
219.474 2526.43
219.517 2353.41
219.559 2198.99
219.600 2054.54
219.642 1919.87
219.683 1794.95
219.725 1678.77
219.766 1571.18
219.808 1471.66
219.849 1379.90
219.891 1294.91
219.932 1216.60
219.974 1144.07
220.015 1077.20
220.056 1015.22
220.098 958.001
220.139 904.880
220.181 855.753
220.222 810.054
220.264 767.602
220.305 728.122
220.347 691.450
220.388 657.179
220.430 625.195
220.471 595.310
220.513 567.419
220.554 541.233
220.596 516.681
220.637 493.635
220.678 472.031
220.720 451.658
220.761 432.519
220.803 414.434
220.844 397.411
220.886 381.295
220.927 366.060
220.969 351.647
221.010 338.029
221.052 325.090
221.093 312.846
221.176 290.147
221.259 269.600
221.342 250.991
221.425 234.068
221.508 218.637
221.591 204.516
221.674 191.594
221.756 179.728
221.839 168.808
221.922 158.726
222.005 149.424
222.088 140.814
222.171 132.831
222.239 126.718
222.307 120.959
222.375 115.527
222.443 110.404
222.510 105.556
222.578 100.975
222.646 96.6296
222.714 92.5170
222.782 88.6097
222.850 84.9053
222.918 81.3803
222.985 78.0335
223.053 74.8442
223.121 71.8120
223.189 68.9188
223.257 66.1646
223.340 62.9646
223.423 59.9448
223.506 57.0890
223.588 54.3861
223.671 51.8228
223.754 49.3960
223.837 47.0938
223.920 44.9084
224.003 42.8300
224.086 40.8570
224.169 38.9805
224.252 37.1948
224.335 35.4927
224.418 33.8732
224.501 32.3299
224.584 30.8584
224.667 29.4532
224.749 28.1140
224.832 26.8343
224.915 25.6140
224.998 24.4473
225.081 23.3341
225.164 22.2706
225.247 21.2544
225.330 20.2821
225.413 19.3541
225.496 18.4672
225.579 17.6198
225.662 16.8091
225.745 16.0356
225.828 15.2968
225.910 14.5914
226.016 13.7393
226.122 12.9378
226.227 12.1831
226.333 11.4748
226.438 10.8098
226.544 10.1878
226.649 9.60636
226.755 9.06540
226.838 8.66716
226.921 8.29295
227.004 7.94186
227.087 7.61352
227.170 7.30728
227.252 7.02363
227.335 6.76197
227.418 6.52217
227.490 6.33232
227.562 6.15895
227.633 6.00180
227.705 5.86089
227.741 5.79638
227.776 5.73614
227.812 5.68000
227.848 5.62798
227.884 5.58009
227.920 5.53636
227.955 5.49680
227.991 5.46144
228.033 5.42574
228.074 5.39575
228.116 5.37153
228.157 5.35317
228.199 5.34062
228.240 5.33401
228.282 5.33337
228.323 5.33876
228.353 5.34654
228.383 5.35755
228.413 5.37189
228.444 5.38951
228.485 5.41929
228.527 5.45552
228.568 5.49829
228.609 5.54758
228.651 5.60373
228.692 5.66674
228.734 5.73673
228.775 5.81362
228.817 5.89792
228.858 5.98958
228.900 6.08875
228.941 6.19530
228.983 6.30991
229.024 6.43218
229.066 6.56288
229.107 6.70155
229.141 6.82175
229.175 6.94738
229.209 7.07890
229.243 7.21641
229.277 7.36047
229.311 7.51035
229.345 7.66659
229.378 7.82932
229.412 7.99918
229.446 8.17532
229.514 8.54847
229.582 8.95110
229.650 9.38333
229.691 9.66338
229.733 9.95561
229.774 10.2604
229.816 10.5773
229.857 10.9082
229.899 11.2520
229.940 11.6107
229.982 11.9831
230.023 12.3714
230.065 12.7752
230.106 13.1951
230.147 13.6304
230.230 14.5539
230.313 15.5505
230.396 16.6267
230.479 17.7856
230.562 19.0362
230.645 20.3825
230.728 21.8353
230.811 23.3994
230.894 25.0857
230.977 26.9045
231.060 28.8694
231.143 30.9884
231.226 33.2774
231.308 35.7522
231.391 38.4333
231.474 41.3336
231.557 44.4780
231.640 47.8909
231.723 51.6043
231.806 55.6404
231.889 60.0387
231.972 64.8389
232.055 70.0932
232.096 72.9046
232.138 75.8410
232.179 78.9243
232.221 82.1478
232.262 85.5361
232.304 89.0823
232.345 92.8137
232.387 96.7332
232.428 100.853
232.469 105.174
232.511 109.732
232.552 114.533
232.594 119.591
