19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
4.035160e-02 3.76163764e+00
4.131640e-02 3.74183025e+00
4.228130e-02 3.72270805e+00
4.421090e-02 3.68636596e+00
4.614060e-02 3.65233541e+00
4.807030e-02 3.62039178e+00
5.000000e-02 3.59032843e+00
5.156250e-02 3.56723104e+00
5.312500e-02 3.54517144e+00
5.468750e-02 3.52407165e+00
5.625000e-02 3.50386368e+00
5.781250e-02 3.48447822e+00
5.937500e-02 3.46587659e+00
6.093750e-02 3.44799084e+00
6.250000e-02 3.43078960e+00
6.406250e-02 3.41422557e+00
6.562500e-02 3.39825943e+00
6.718750e-02 3.38285117e+00
6.875000e-02 3.36797281e+00
7.187500e-02 3.33970312e+00
7.500000e-02 3.31321641e+00
7.812500e-02 3.28833671e+00
8.125000e-02 3.26491538e+00
8.437500e-02 3.24280713e+00
8.750000e-02 3.22189464e+00
9.062500e-02 3.20207793e+00
9.375000e-02 3.18326102e+00
9.687500e-02 3.16536459e+00
1.000000e-01 3.14831998e+00
1.031250e-01 3.13204990e+00
1.062500e-01 3.11651366e+00
1.093750e-01 3.10164396e+00
1.125000e-01 3.08741012e+00
1.156250e-01 3.07374551e+00
1.187500e-01 3.06063812e+00
1.218750e-01 3.04803063e+00
1.250000e-01 3.03590304e+00
1.281250e-01 3.02422535e+00
1.312500e-01 3.01296959e+00
1.343750e-01 3.00211441e+00
1.375000e-01 2.99162249e+00
1.437500e-01 2.97168645e+00
1.500000e-01 2.95299415e+00
1.562500e-01 2.93544695e+00
1.625000e-01 2.91890889e+00
1.687500e-01 2.90330063e+00
1.750000e-01 2.88853554e+00
1.812500e-01 2.87454363e+00
1.875000e-01 2.86125623e+00
1.937500e-01 2.84861605e+00
2.000000e-01 2.83658240e+00
2.093750e-01 2.81954107e+00
2.187500e-01 2.80359685e+00
2.281250e-01 2.78864109e+00
2.375000e-01 2.77457648e+00
2.468750e-01 2.76132438e+00
2.562500e-01 2.74879746e+00
2.656250e-01 2.73693641e+00
2.750000e-01 2.72569190e+00
2.843750e-01 2.71499594e+00
2.937500e-01 2.70481922e+00
3.031250e-01 2.69511240e+00
3.125000e-01 2.68584616e+00
3.218750e-01 2.67699116e+00
3.312500e-01 2.66850809e+00
3.406250e-01 2.66036761e+00
3.500000e-01 2.65256041e+00
3.593750e-01 2.64505714e+00
3.687500e-01 2.63784647e+00
3.781250e-01 2.63090109e+00
3.875000e-01 2.62420033e+00
3.968750e-01 2.61775418e+00
4.062500e-01 2.61151399e+00
4.250000e-01 2.59966881e+00
4.437500e-01 2.58856814e+00
4.625000e-01 2.57813334e+00
5.000000e-01 2.55905604e+00
5.312500e-01 2.54470653e+00
5.625000e-01 2.53152279e+00
5.937500e-01 2.51937616e+00
6.250000e-01 2.50813136e+00
6.875000e-01 2.48794127e+00
7.500000e-01 2.47027801e+00
8.125000e-01 2.45463168e+00
8.750000e-01 2.44067966e+00
9.375000e-01 2.42809804e+00
1.000000e+00 2.41663352e+00
1.062500e+00 2.40615679e+00
1.125000e+00 2.39651391e+00
1.187500e+00 2.38761421e+00
1.250000e+00 2.37935171e+00
1.375000e+00 2.36445171e+00
1.500000e+00 2.35133470e+00
1.625000e+00 2.33965739e+00
1.750000e+00 2.32917518e+00
1.875000e+00 2.31965345e+00
2.000000e+00 2.31091489e+00
2.187500e+00 2.29909682e+00
2.375000e+00 2.28855182e+00
2.562500e+00 2.27903662e+00
2.750000e+00 2.27037527e+00
2.937500e+00 2.26242912e+00
3.125000e+00 2.25506286e+00
3.312500e+00 2.24821584e+00
3.500000e+00 2.24181141e+00
3.687500e+00 2.23596814e+00
3.875000e+00 2.23014169e+00
4.250000e+00 2.21969111e+00
4.625000e+00 2.21020504e+00
5.000000e+00 2.20151753e+00
5.312500e+00 2.19478243e+00
5.625000e+00 2.18843194e+00
5.937500e+00 2.18240808e+00
6.250000e+00 2.17669154e+00
6.875000e+00 2.16601104e+00
7.500000e+00 2.15617516e+00
8.125000e+00 2.14700793e+00
8.750000e+00 2.13842070e+00
9.375000e+00 2.13030549e+00
1.000000e+01 2.12259230e+00
1.062500e+01 2.11521382e+00
1.125000e+01 2.10815005e+00
1.187500e+01 2.10135099e+00
1.250000e+01 2.09479665e+00
1.312500e+01 2.08853298e+00
1.375000e+01 2.08228816e+00
1.500000e+01 2.07048389e+00
1.625000e+01 2.05926453e+00
1.750000e+01 2.04854210e+00
1.875000e+01 2.03824591e+00
2.000000e+01 2.02832396e+00
2.093750e+01 2.02118360e+00
2.187500e+01 2.01406815e+00
2.375000e+01 2.00044821e+00
2.562500e+01 1.98739076e+00
2.750000e+01 1.97484380e+00
2.937500e+01 1.96272531e+00
3.125000e+01 1.95102191e+00
3.312500e+01 1.93967293e+00
3.500000e+01 1.92866502e+00
3.687500e+01 1.91797681e+00
3.875000e+01 1.90757630e+00
4.062500e+01 1.89745214e+00
4.250000e+01 1.88758163e+00
4.437500e+01 1.87804738e+00
4.625000e+01 1.86855754e+00
5.000000e+01 1.85041192e+00
5.312500e+01 1.83589669e+00
5.625000e+01 1.82189945e+00
5.937500e+01 1.80836682e+00
6.250000e+01 1.79529208e+00
6.562500e+01 1.78262321e+00
6.875000e+01 1.77036347e+00
7.187500e+01 1.75847219e+00
7.500000e+01 1.74692467e+00
7.812500e+01 1.73585277e+00
8.125000e+01 1.72483809e+00
8.750000e+01 1.70396420e+00
9.375000e+01 1.68419417e+00
1.000000e+02 1.66543318e+00
1.062500e+02 1.64759709e+00
1.125000e+02 1.63061649e+00
1.187500e+02 1.61442993e+00
1.250000e+02 1.59895933e+00
1.312500e+02 1.58417730e+00
1.375000e+02 1.57002709e+00
1.437500e+02 1.55647400e+00
1.500000e+02 1.54346331e+00
1.562500e+02 1.53097032e+00
1.625000e+02 1.51897098e+00
1.750000e+02 1.49630182e+00
1.875000e+02 1.47525363e+00
2.000000e+02 1.45565756e+00
2.093750e+02 1.44181428e+00
2.187500e+02 1.42864399e+00
2.281250e+02 1.41609331e+00
2.375000e+02 1.40411888e+00
2.468750e+02 1.39270291e+00
2.562500e+02 1.38174396e+00
2.750000e+02 1.36123040e+00
2.937500e+02 1.34234270e+00
3.125000e+02 1.32489822e+00
3.312500e+02 1.30870907e+00
3.500000e+02 1.29365624e+00
3.687500e+02 1.27960556e+00
3.875000e+02 1.26645257e+00
4.062500e+02 1.25411339e+00
4.250000e+02 1.24249605e+00
4.437500e+02 1.23157079e+00
4.625000e+02 1.22119581e+00
5.000000e+02 1.20210711e+00
5.310160e+02 1.18773523e+00
5.312500e+02 1.18762737e+00
5.620330e+02 1.17444887e+00
5.625000e+02 1.17424990e+00
5.930490e+02 1.16212820e+00
5.937500e+02 1.16185130e+00
6.240650e+02 1.15065503e+00
6.250000e+02 1.15031134e+00
6.550820e+02 1.13993591e+00
6.562500e+02 1.13953459e+00
6.860980e+02 1.12988469e+00
6.875000e+02 1.12943301e+00
7.171140e+02 1.12042263e+00
7.187500e+02 1.11992650e+00
7.481310e+02 1.11149885e+00
7.500000e+02 1.11096440e+00
7.729440e+02 1.10473901e+00
7.812500e+02 1.10249058e+00
7.931040e+02 1.09944092e+00
8.031850e+02 1.09685219e+00
8.125000e+02 1.09446257e+00
8.132650e+02 1.09427546e+00
8.233450e+02 1.09181309e+00
8.334250e+02 1.08935565e+00
8.384660e+02 1.08812902e+00
8.435060e+02 1.08690450e+00
8.437500e+02 1.08684534e+00
8.485460e+02 1.08573550e+00
8.535860e+02 1.08457263e+00
8.568820e+02 1.08381495e+00
8.601770e+02 1.08306078e+00
8.634730e+02 1.08231070e+00
8.667680e+02 1.08156697e+00
8.700630e+02 1.08083266e+00
8.717110e+02 1.08047000e+00
8.733590e+02 1.08011166e+00
8.750000e+02 1.07976127e+00
8.750070e+02 1.07975986e+00
8.766540e+02 1.07943731e+00
8.783020e+02 1.07912546e+00
8.799500e+02 1.07882903e+00
8.810650e+02 1.07864007e+00
8.821790e+02 1.07846424e+00
8.832940e+02 1.07830624e+00
8.844080e+02 1.07817301e+00
8.855230e+02 1.07807404e+00
8.860800e+02 1.07804223e+00
8.866380e+02 1.07802536e+00
8.871950e+02 1.07802740e+00
8.877520e+02 1.07805287e+00
8.883100e+02 1.07810802e+00
8.888670e+02 1.07820241e+00
8.893270e+02 1.07831886e+00
8.897880e+02 1.07848048e+00
8.902480e+02 1.07870167e+00
8.907090e+02 1.07900181e+00
8.909390e+02 1.07919042e+00
8.911690e+02 1.07941113e+00
8.913990e+02 1.07967041e+00
8.916290e+02 1.07997661e+00
8.918600e+02 1.08034082e+00
8.920900e+02 1.08077868e+00
8.923200e+02 1.08131171e+00
8.925500e+02 1.08197196e+00
8.927800e+02 1.08280761e+00
8.928960e+02 1.08331281e+00
8.930110e+02 1.08389278e+00
8.931260e+02 1.08456309e+00
8.932410e+02 1.08534365e+00
8.933560e+02 1.08625897e+00
8.934710e+02 1.08733926e+00
8.935860e+02 1.08862175e+00
8.937010e+02 1.09015147e+00
8.938160e+02 1.09198267e+00
8.939310e+02 1.09417990e+00
8.939890e+02 1.09544020e+00
8.940470e+02 1.09681828e+00
8.941040e+02 1.09833186e+00
8.941620e+02 1.09998659e+00
8.942190e+02 1.10180105e+00
8.942770e+02 1.10378291e+00
8.943340e+02 1.10595276e+00
8.943920e+02 1.10831828e+00
8.944590e+02 1.11133217e+00
8.945250e+02 1.11465455e+00
8.945920e+02 1.11832068e+00
8.946580e+02 1.12234510e+00
8.947250e+02 1.12676577e+00
8.947920e+02 1.13159636e+00
8.948580e+02 1.13686668e+00
8.949250e+02 1.14260124e+00
8.949920e+02 1.14883254e+00
8.950580e+02 1.15556148e+00
8.951250e+02 1.16281454e+00
8.951910e+02 1.17060562e+00
8.952580e+02 1.17895786e+00
8.953250e+02 1.18785128e+00
8.953910e+02 1.19729952e+00
8.954580e+02 1.20729547e+00
8.955250e+02 1.21784403e+00
8.955910e+02 1.22889493e+00
8.956580e+02 1.24045516e+00
8.957250e+02 1.25245559e+00
8.958580e+02 1.27767632e+00
8.959910e+02 1.30412613e+00
8.961850e+02 1.34363033e+00
8.963790e+02 1.38241835e+00
8.965120e+02 1.40743715e+00
8.966450e+02 1.43013914e+00
8.967540e+02 1.44646170e+00
8.968630e+02 1.46029111e+00
8.969300e+02 1.46736783e+00
8.969970e+02 1.47331845e+00
8.970510e+02 1.47728744e+00
8.971050e+02 1.48044534e+00
8.971590e+02 1.48277062e+00
8.972130e+02 1.48424712e+00
8.972820e+02 1.48488457e+00
8.973370e+02 1.48439609e+00
