>,78-Pt-195:0.337827
>,78-Pt-196:0.252120
>,78-Pt-198:0.073606
4.437500e-03,9.83923483e+01
4.625000e-03,9.65508928e+01
4.812500e-03,9.48183407e+01
5.000000e-03,9.31841891e+01
5.156250e-03,9.18908882e+01
5.312500e-03,9.06555668e+01
5.468750e-03,8.94732348e+01
5.625000e-03,8.83410503e+01
5.781250e-03,8.72547034e+01
5.937500e-03,8.62119115e+01
6.093750e-03,8.52095177e+01
6.250000e-03,8.42448780e+01
6.406250e-03,8.33157009e+01
6.562500e-03,8.24202309e+01
6.718750e-03,8.15563279e+01
6.875000e-03,8.07215553e+01
7.187500e-03,7.91352114e+01
7.500000e-03,7.76488876e+01
7.812500e-03,7.62530502e+01
8.125000e-03,7.49383540e+01
8.437500e-03,7.36973526e+01
8.750000e-03,7.25236315e+01
9.062500e-03,7.14112048e+01
9.375000e-03,7.03550785e+01
9.687500e-03,6.93501377e+01
1.000000e-02,6.83929165e+01
1.031250e-02,6.74797374e+01
1.062500e-02,6.66071005e+01
1.093750e-02,6.57720489e+01
1.125000e-02,6.49723331e+01
1.156250e-02,6.42052654e+01
1.187500e-02,6.34687433e+01
1.218750e-02,6.27608020e+01
1.250000e-02,6.20796445e+01
1.281250e-02,6.14236306e+01
1.312500e-02,6.07911957e+01
1.343750e-02,6.01810060e+01
1.375000e-02,5.95917874e+01
1.437500e-02,5.84715619e+01
1.500000e-02,5.74220886e+01
1.546440e-02,5.66890610e+01
1.562500e-02,5.64365868e+01
1.592870e-02,5.59845465e+01
1.625000e-02,5.55081798e+01
1.639300e-02,5.53069905e+01
1.685740e-02,5.46561983e+01
1.687500e-02,5.46316012e+01
1.691410e-02,5.45796242e+01
1.695310e-02,5.45277677e+01
1.708990e-02,5.43461280e+01
1.722660e-02,5.41647778e+01
1.750000e-02,5.38026854e+01
1.812500e-02,5.30171167e+01
1.875000e-02,5.22711959e+01
1.937500e-02,5.15617811e+01
2.000000e-02,5.08858825e+01
2.066250e-02,5.02032855e+01
2.132500e-02,4.95528228e+01
2.198750e-02,4.89320761e+01
2.265000e-02,4.83387743e+01
2.331250e-02,4.77710150e+01
2.397500e-02,4.72270090e+01
2.463750e-02,4.67051642e+01
2.530000e-02,4.62040243e+01
2.627670e-02,4.55001377e+01
2.627790e-02,4.54993138e+01
2.636130e-02,4.54423555e+01
2.645780e-02,4.53765871e+01
2.725330e-02,4.48345307e+01
2.725590e-02,4.48328403e+01
2.742270e-02,4.47249374e+01
2.761560e-02,4.46003930e+01
2.822990e-02,4.42038531e+01
2.823380e-02,4.42014472e+01
2.848400e-02,4.40478409e+01
2.877340e-02,4.38705053e+01
2.920660e-02,4.36051003e+01
2.921170e-02,4.36021095e+01
2.954530e-02,4.34073821e+01
2.993130e-02,4.31824783e+01
3.018320e-02,4.30357337e+01
3.018960e-02,4.30321609e+01
3.060670e-02,4.28003661e+01
3.108910e-02,4.25327470e+01
3.115990e-02,4.24934758e+01
3.116760e-02,4.24893767e+01
3.166800e-02,4.22241449e+01
3.213650e-02,4.19762391e+01
3.214550e-02,4.19716635e+01
3.224690e-02,4.19203318e+01
3.272930e-02,4.16761666e+01
3.311320e-02,4.14821708e+01
3.312340e-02,4.14772642e+01
3.340470e-02,4.13426575e+01
3.379060e-02,4.11580274e+01
3.456250e-02,4.07892679e+01
3.464510e-02,4.07498127e+01
3.465410e-02,4.07457552e+01
3.470720e-02,4.07219622e+01
3.552740e-02,4.03549451e+01
3.562380e-02,4.03118139e+01
3.617710e-02,4.00645777e+01
3.618470e-02,4.00613641e+01
3.649220e-02,3.99321154e+01
3.654040e-02,3.99118585e+01
3.745700e-02,3.95271260e+01
3.770900e-02,3.94214924e+01
3.771540e-02,3.94189485e+01
3.837360e-02,3.91587938e+01
3.842190e-02,3.91397258e+01
3.924100e-02,3.88163905e+01
3.924610e-02,3.88144774e+01
