35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
1.562500e-01 2.71199872e+00
1.625000e-01 2.65927905e+00
1.687500e-01 2.60950743e+00
1.750000e-01 2.56243165e+00
1.812500e-01 2.51781818e+00
1.875000e-01 2.47546063e+00
1.937500e-01 2.43518601e+00
2.000000e-01 2.39682231e+00
2.093750e-01 2.34252447e+00
2.187500e-01 2.29173114e+00
2.281250e-01 2.24408111e+00
2.375000e-01 2.19927978e+00
2.468750e-01 2.15705728e+00
2.562500e-01 2.11717499e+00
2.656250e-01 2.07941949e+00
2.750000e-01 2.04361680e+00
2.843750e-01 2.00959788e+00
2.937500e-01 1.97722098e+00
3.031250e-01 1.94636253e+00
3.125000e-01 1.91690143e+00
3.218750e-01 1.88873883e+00
3.312500e-01 1.86177735e+00
3.406250e-01 1.83594186e+00
3.500000e-01 1.81114857e+00
3.593750e-01 1.78733546e+00
3.687500e-01 1.76443493e+00
3.781250e-01 1.74239755e+00
3.875000e-01 1.72117488e+00
3.968750e-01 1.70071897e+00
4.062500e-01 1.68099054e+00
4.250000e-01 1.64348894e+00
4.437500e-01 1.60834621e+00
4.625000e-01 1.57535760e+00
5.000000e-01 1.51513981e+00
5.312500e-01 1.46992358e+00
5.625000e-01 1.42843279e+00
5.937500e-01 1.39026597e+00
6.250000e-01 1.35500742e+00
6.875000e-01 1.29186314e+00
7.500000e-01 1.23681210e+00
8.125000e-01 1.18826317e+00
8.750000e-01 1.14515551e+00
9.375000e-01 1.10644282e+00
1.000000e+00 1.07131595e+00
1.062500e+00 1.03935871e+00
1.125000e+00 1.01012365e+00
1.187500e+00 9.83244987e-01
1.250000e+00 9.58432214e-01
1.375000e+00 9.14031558e-01
1.500000e+00 8.75367386e-01
1.625000e+00 8.41323352e-01
1.750000e+00 8.11135159e-01
1.875000e+00 7.84069773e-01
2.000000e+00 7.59544554e-01
2.187500e+00 7.26897160e-01
2.375000e+00 6.98355982e-01
2.562500e+00 6.73127432e-01
2.750000e+00 6.50690901e-01
2.937500e+00 6.30551481e-01
3.125000e+00 6.12317173e-01
3.312500e+00 5.95765510e-01
3.500000e+00 5.80670985e-01
3.687500e+00 5.66942165e-01
3.875000e+00 5.54147562e-01
4.250000e+00 5.31614815e-01
4.625000e+00 5.12268556e-01
5.000000e+00 4.95541239e-01
5.312500e+00 4.83265676e-01
5.625000e+00 4.72264378e-01
5.937500e+00 4.62476012e-01
6.250000e+00 4.53534677e-01
6.875000e+00 4.38391592e-01
7.500000e+00 4.26152065e-01
8.125000e+00 4.16326806e-01
8.750000e+00 4.08580901e-01
9.375000e+00 4.02628388e-01
1.000000e+01 3.98254939e-01
1.062500e+01 3.95338628e-01
1.125000e+01 3.94118868e-01
1.156250e+01 3.93600581e-01
1.250000e+01 3.94453496e-01
1.312500e+01 3.96672002e-01
1.375000e+01 4.00020389e-01
1.437500e+01 4.04686615e-01
1.500000e+01 4.10562304e-01
1.562500e+01 4.17845094e-01
1.625000e+01 4.26496007e-01
1.687500e+01 4.36737592e-01
1.750000e+01 4.48603285e-01
1.812500e+01 4.62357175e-01
1.875000e+01 4.78119910e-01
1.937500e+01 4.96226151e-01
2.000000e+01 5.16885647e-01
2.058040e+01 5.38823402e-01
2.116080e+01 5.63726522e-01
2.145100e+01 5.77323929e-01
2.174120e+01 5.91970620e-01
2.203140e+01 6.07468902e-01
2.232160e+01 6.24097571e-01
2.234380e+01 6.25502654e-01
2.290200e+01 6.60924663e-01
2.319220e+01 6.81458889e-01
2.348240e+01 7.03270502e-01
2.377260e+01 7.26825852e-01
2.406270e+01 7.51830952e-01
2.435290e+01 7.79051188e-01
2.464310e+01 8.08446026e-01
2.468750e+01 8.13337365e-01
2.497920e+01 8.45519401e-01
2.531520e+01 8.86193823e-01
2.565120e+01 9.30938652e-01
2.598720e+01 9.80306408e-01
2.632320e+01 1.03495606e+00
2.665920e+01 1.09565304e+00
2.699520e+01 1.16333002e+00
2.733130e+01 1.23909206e+00
2.750000e+01 1.28163945e+00
2.763670e+01 1.31613377e+00
2.794220e+01 1.40220476e+00
2.809490e+01 1.44906228e+00
2.824770e+01 1.49874832e+00
2.840040e+01 1.55150108e+00
2.855310e+01 1.60755884e+00
2.870590e+01 1.66723080e+00
2.885860e+01 1.73082109e+00
2.901130e+01 1.79868454e+00
2.916410e+01 1.87121149e+00
2.931680e+01 1.94880742e+00
2.937500e+01 1.98042442e+00
2.946950e+01 2.03177026e+00
2.962230e+01 2.12068966e+00
2.977500e+01 2.21660425e+00
2.994300e+01 2.33098359e+00
3.011100e+01 2.45553641e+00
3.027900e+01 2.59147928e+00
3.044700e+01 2.74026699e+00
3.061510e+01 2.90356727e+00
3.078310e+01 3.08336206e+00
3.095110e+01 3.28195777e+00
3.111910e+01 3.50208659e+00
3.125000e+01 3.69201579e+00
3.127180e+01 3.72364850e+00
3.142450e+01 3.96860076e+00
3.157730e+01 4.24040861e+00
3.173000e+01 4.54313226e+00
3.180640e+01 4.70760507e+00
3.188280e+01 4.88173432e+00
3.195910e+01 5.06628541e+00
3.203550e+01 5.26210998e+00
3.211190e+01 5.47016605e+00
3.218820e+01 5.69145218e+00
3.226460e+01 5.92723568e+00
3.234090e+01 6.17858098e+00
3.244020e+01 6.53095877e+00
3.253950e+01 6.91557540e+00
3.263880e+01 7.33663814e+00
3.273810e+01 7.79941875e+00
3.283730e+01 8.30989862e+00
3.293660e+01 8.87461681e+00
3.303590e+01 9.50143026e+00
3.312500e+01 1.01278983e+01
3.313520e+01 1.01996162e+01
3.321920e+01 1.08546667e+01
3.330320e+01 1.15770336e+01
3.338720e+01 1.23765507e+01
3.342920e+01 1.28087002e+01
3.347120e+01 1.32645218e+01
3.351320e+01 1.37459420e+01
3.355520e+01 1.42546840e+01
3.359720e+01 1.47929783e+01
3.363920e+01 1.53631059e+01
3.368120e+01 1.59676521e+01
3.372320e+01 1.66094554e+01
3.376520e+01 1.72916586e+01
3.380720e+01 1.80177593e+01
3.385300e+01 1.88646559e+01
3.389880e+01 1.97742053e+01
3.394470e+01 2.07529467e+01
3.399050e+01 2.18080778e+01
3.403630e+01 2.29480132e+01
3.408210e+01 2.41819787e+01
3.412790e+01 2.55207710e+01
3.417380e+01 2.69766066e+01
3.421580e+01 2.84263071e+01
3.425780e+01 2.99983733e+01
3.429980e+01 3.17080121e+01
3.434180e+01 3.35708361e+01
3.436280e+01 3.45662949e+01
3.438380e+01 3.56070706e+01
3.440480e+01 3.66966101e+01
3.442580e+01 3.78379547e+01
3.444680e+01 3.90345514e+01
3.446780e+01 4.02899993e+01
3.448880e+01 4.16082520e+01
3.450980e+01 4.29936690e+01
3.453080e+01 4.44516741e+01
3.455180e+01 4.59859169e+01
3.457280e+01 4.76026830e+01
3.459380e+01 4.93080553e+01
3.461480e+01 5.11089275e+01
3.463580e+01 5.30118387e+01
3.465680e+01 5.50257610e+01
3.467780e+01 5.71593117e+01
3.469880e+01 5.94221219e+01
3.471980e+01 6.18253434e+01
3.474080e+01 6.43806349e+01
3.476180e+01 6.71016827e+01
3.478280e+01 7.00026800e+01
3.480380e+01 7.31013683e+01
3.482480e+01 7.64159960e+01
3.484580e+01 7.99668391e+01
3.486680e+01 8.37802564e+01
3.488780e+01 8.78785515e+01
3.490880e+01 9.22941660e+01
3.492980e+01 9.70610622e+01
3.495080e+01 1.02217765e+02
3.497180e+01 1.07809894e+02
3.499280e+01 1.13888140e+02
3.500000e+01 1.16158940e+02
3.501380e+01 1.20511306e+02
3.503480e+01 1.27746807e+02
3.505580e+01 1.35673720e+02
3.507680e+01 1.44382272e+02
3.508730e+01 1.49061978e+02
3.509780e+01 1.53978407e+02
