32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
3.842190e-02 1.07423026e+01
3.938670e-02 1.07191289e+01
4.035160e-02 1.06968016e+01
4.131640e-02 1.06752779e+01
4.228130e-02 1.06545116e+01
4.421090e-02 1.06150380e+01
4.614060e-02 1.05781147e+01
4.807030e-02 1.05434679e+01
5.000000e-02 1.05108617e+01
5.156250e-02 1.04858437e+01
5.312500e-02 1.04619351e+01
5.468750e-02 1.04390677e+01
5.625000e-02 1.04171798e+01
5.781250e-02 1.03961971e+01
5.937500e-02 1.03760529e+01
6.093750e-02 1.03567142e+01
6.250000e-02 1.03380863e+01
6.406250e-02 1.03201906e+01
6.562500e-02 1.03029151e+01
6.718750e-02 1.02862648e+01
6.875000e-02 1.02701939e+01
7.187500e-02 1.02396411e+01
7.500000e-02 1.02110377e+01
7.812500e-02 1.01841675e+01
8.125000e-02 1.01588776e+01
8.437500e-02 1.01350157e+01
8.750000e-02 1.01124488e+01
9.062500e-02 1.00910624e+01
9.375000e-02 1.00707649e+01
9.687500e-02 1.00514853e+01
1.000000e-01 1.00331059e+01
1.031250e-01 1.00155798e+01
1.062500e-01 9.99882816e+00
1.093750e-01 9.98280905e+00
1.125000e-01 9.96746757e+00
1.156250e-01 9.95276260e+00
1.187500e-01 9.93863970e+00
1.218750e-01 9.92507206e+00
1.250000e-01 9.91202029e+00
1.281250e-01 9.89943673e+00
1.312500e-01 9.88732947e+00
1.343750e-01 9.87564038e+00
1.375000e-01 9.86437737e+00
1.437500e-01 9.84291440e+00
1.500000e-01 9.82281487e+00
1.562500e-01 9.80393618e+00
1.625000e-01 9.78617658e+00
1.687500e-01 9.76938749e+00
1.750000e-01 9.75349771e+00
1.812500e-01 9.73847274e+00
1.875000e-01 9.72417449e+00
1.937500e-01 9.71060972e+00
2.000000e-01 9.69766519e+00
2.093750e-01 9.67936078e+00
2.187500e-01 9.66223165e+00
2.281250e-01 9.64616965e+00
2.375000e-01 9.63105507e+00
2.468750e-01 9.61681339e+00
2.562500e-01 9.60335492e+00
2.656250e-01 9.59061767e+00
2.750000e-01 9.57853272e+00
2.843750e-01 9.56704196e+00
2.937500e-01 9.55610843e+00
3.031250e-01 9.54568515e+00
3.125000e-01 9.53571980e+00
3.218750e-01 9.52620691e+00
3.312500e-01 9.51708484e+00
3.406250e-01 9.50833824e+00
3.500000e-01 9.49994479e+00
3.593750e-01 9.49188922e+00
3.687500e-01 9.48413250e+00
3.781250e-01 9.47664246e+00
3.875000e-01 9.46945480e+00
3.968750e-01 9.46250643e+00
4.062500e-01 9.45582086e+00
4.250000e-01 9.44307427e+00
4.437500e-01 9.43112166e+00
4.625000e-01 9.41988726e+00
5.000000e-01 9.39932977e+00
5.312500e-01 9.38385946e+00
5.625000e-01 9.36964615e+00
5.937500e-01 9.35653595e+00
6.250000e-01 9.34438600e+00
6.875000e-01 9.32254050e+00
7.500000e-01 9.30340826e+00
8.125000e-01 9.28644256e+00
8.750000e-01 9.27126368e+00
9.375000e-01 9.25756327e+00
1.000000e+00 9.24504063e+00
1.062500e+00 9.23358183e+00
1.125000e+00 9.22301827e+00
1.187500e+00 9.21323553e+00
1.250000e+00 9.20413178e+00
1.375000e+00 9.18768104e+00
1.500000e+00 9.17312221e+00
1.625000e+00 9.16009261e+00
1.750000e+00 9.14832720e+00
1.875000e+00 9.13760844e+00
2.000000e+00 9.12771902e+00
2.187500e+00 9.11426566e+00
2.375000e+00 9.10217458e+00
2.562500e+00 9.09115037e+00
2.750000e+00 9.08106000e+00
2.937500e+00 9.07173553e+00
3.125000e+00 9.06302527e+00
3.312500e+00 9.05487647e+00
3.500000e+00 9.04719449e+00
3.687500e+00 9.04002548e+00
3.875000e+00 9.03304634e+00
4.250000e+00 9.02020641e+00
4.625000e+00 9.00842400e+00
5.000000e+00 8.99746387e+00
5.312500e+00 8.98888950e+00
5.625000e+00 8.98071420e+00
5.937500e+00 8.97290574e+00
6.250000e+00 8.96543444e+00
6.875000e+00 8.95128750e+00
7.500000e+00 8.93804351e+00
8.125000e+00 8.92557121e+00
8.750000e+00 8.91369526e+00
9.375000e+00 8.90236579e+00
1.000000e+01 8.89145563e+00
1.062500e+01 8.88093569e+00
1.125000e+01 8.87076577e+00
1.187500e+01 8.86089995e+00
1.250000e+01 8.85130018e+00
1.375000e+01 8.83279163e+00
1.500000e+01 8.81511503e+00
1.625000e+01 8.79810765e+00
1.750000e+01 8.78171428e+00
1.875000e+01 8.76583555e+00
2.000000e+01 8.75043383e+00
2.187500e+01 8.72812943e+00
2.375000e+01 8.70667030e+00
2.562500e+01 8.68599513e+00
2.750000e+01 8.66605681e+00
2.937500e+01 8.64681124e+00
3.125000e+01 8.62824352e+00
3.312500e+01 8.61035767e+00
3.500000e+01 8.59312729e+00
3.687500e+01 8.57658769e+00
3.875000e+01 8.56075542e+00
4.062500e+01 8.54573938e+00
4.250000e+01 8.53138286e+00
4.437500e+01 8.51801777e+00
4.625000e+01 8.50546720e+00
4.812500e+01 8.49408512e+00
5.000000e+01 8.48374387e+00
5.156250e+01 8.47620090e+00
5.312500e+01 8.46960188e+00
5.468750e+01 8.46422378e+00
5.625000e+01 8.46006399e+00
5.781250e+01 8.45745074e+00
5.937500e+01 8.45645492e+00
6.093750e+01 8.45747561e+00
6.250000e+01 8.46069264e+00
6.376950e+01 8.46536616e+00
6.503910e+01 8.47205397e+00
6.562500e+01 8.47597424e+00
6.630860e+01 8.48060794e+00
6.757810e+01 8.49213018e+00
6.875000e+01 8.50551995e+00
6.884770e+01 8.50664442e+00
7.011720e+01 8.52482395e+00
7.075200e+01 8.53544206e+00
7.138670e+01 8.54717221e+00
7.187500e+01 8.55712531e+00
7.202150e+01 8.56012013e+00
7.265630e+01 8.57444159e+00
7.324220e+01 8.58899011e+00
7.382810e+01 8.60490186e+00
7.441410e+01 8.62224047e+00
7.500000e+01 8.64117859e+00
7.587890e+01 8.67309585e+00
7.675780e+01 8.70956158e+00
7.763670e+01 8.75124617e+00
7.807620e+01 8.77420194e+00
7.851560e+01 8.79894088e+00
7.895510e+01 8.82525240e+00
7.939450e+01 8.85360284e+00
7.983400e+01 8.88388236e+00
8.027340e+01 8.91634805e+00
8.071290e+01 8.95088232e+00
8.115240e+01 8.98832283e+00
8.125000e+01 8.99727452e+00
8.159180e+01 9.02867247e+00
8.203130e+01 9.07211986e+00
8.256840e+01 9.12981927e+00
8.310550e+01 9.19311418e+00
8.364260e+01 9.26267884e+00
8.417970e+01 9.33928050e+00
8.471680e+01 9.42379491e+00
8.525390e+01 9.51726057e+00
8.579100e+01 9.62087873e+00
8.632810e+01 9.73603663e+00
8.662110e+01 9.80428889e+00
8.691410e+01 9.87677265e+00
8.720700e+01 9.95381406e+00
8.750000e+01 1.00357761e+01
8.775640e+01 1.01118839e+01
8.801270e+01 1.01923634e+01
8.826910e+01 1.02775388e+01
8.852540e+01 1.03677677e+01
8.878180e+01 1.04634288e+01
8.903810e+01 1.05649496e+01
8.929450e+01 1.06727937e+01
8.955080e+01 1.07874739e+01
8.980710e+01 1.09095632e+01
9.006350e+01 1.10396730e+01
9.031980e+01 1.11784945e+01
9.057620e+01 1.13267936e+01
9.083250e+01 1.14854086e+01
9.108890e+01 1.16551287e+01
9.134520e+01 1.18366992e+01
9.160160e+01 1.20315370e+01
9.187010e+01 1.22519803e+01
9.213870e+01 1.24906663e+01
