Th-232(n,tot) ENDFB-8.0
Energy(eV) XS(b)
4.81250E+06 7.52218
4.87500E+06 7.50747
4.93750E+06 7.49299
5.00000E+06 7.47874
5.06081E+06 7.44488
5.12162E+06 7.41153
5.18243E+06 7.37868
5.24324E+06 7.34633
5.30404E+06 7.31444
5.36485E+06 7.28300
5.42566E+06 7.25201
5.48647E+06 7.22145
5.50000E+06 7.21469
5.56250E+06 7.18401
5.62500E+06 7.15380
5.68750E+06 7.12406
5.75000E+06 7.09476
5.81250E+06 7.06589
5.87500E+06 7.03745
5.93750E+06 7.00942
6.00000E+06 6.98178
6.12500E+06 6.91149
6.25000E+06 6.84325
6.37500E+06 6.77695
6.50000E+06 6.71250
6.62500E+06 6.64970
6.75000E+06 6.58882
6.87500E+06 6.52977
7.00000E+06 6.47246
7.25000E+06 6.36570
7.50000E+06 6.26443
7.75000E+06 6.16753
8.00000E+06 6.07589
8.50000E+06 5.94515
9.00000E+06 5.82447
9.50000E+06 5.75918
1.00000E+07 5.69792
1.05000E+07 5.68021
1.10000E+07 5.66337
1.15000E+07 5.67796
1.20000E+07 5.69196
1.25000E+07 5.72678
1.27029E+07 5.74064
1.30000E+07 5.76043
1.32500E+07 5.78308
1.35000E+07 5.80554
1.37500E+07 5.82753
1.40000E+07 5.84934
1.42500E+07 5.87301
1.45000E+07 5.89650
1.47500E+07 5.91955
1.50000E+07 5.94243
1.52500E+07 5.96393
1.55000E+07 5.98526
1.57500E+07 6.00623
1.60000E+07 6.02703
1.62500E+07 6.04415
1.65000E+07 6.06110
1.70000E+07 6.09433
1.75000E+07 6.11712
1.80000E+07 6.13936
1.84858E+07 6.14970
1.84859E+07 6.14970
1.85000E+07 6.14999
1.90000E+07 6.16035
1.95000E+07 6.15897
2.00000E+07 6.15762
