Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.265625 0.302833
0.275000 0.297571
0.284375 0.292572
0.293750 0.287813
0.303125 0.283276
0.312500 0.278943
0.321875 0.274801
0.331250 0.270836
0.340625 0.267035
0.350000 0.263386
0.359375 0.259881
0.368750 0.256510
0.378125 0.253265
0.387500 0.250140
0.396875 0.247127
0.406250 0.244221
0.425000 0.238696
0.443750 0.233515
0.462500 0.228650
0.500000 0.219765
0.531250 0.213089
0.562500 0.206958
0.593750 0.201316
0.625000 0.196099
0.687500 0.186747
0.750000 0.178582
0.812500 0.171371
0.875000 0.164958
0.937500 0.159190
1.00000 0.153949
1.06250 0.149174
1.12500 0.144797
1.18750 0.140767
1.25000 0.137040
1.37500 0.130353
1.50000 0.124510
1.62500 0.119344
1.75000 0.114743
1.87500 0.110602
2.00000 0.106835
2.18750 0.101792
2.37500 0.0973510
2.56250 0.0933961
2.75000 0.0898498
2.93750 0.0866402
3.12500 0.0837105
3.31250 0.0810266
3.50000 0.0785555
3.68750 0.0762700
3.87500 0.0741475
4.25000 0.0703194
4.62500 0.0669524
5.00000 0.0639617
5.31250 0.0617075
5.62500 0.0596346
5.93750 0.0577218
6.25000 0.0559491
6.56250 0.0542999
6.87500 0.0527603
7.50000 0.0499642
8.12500 0.0474854
8.75000 0.0452694
9.37500 0.0432706
10.0000 0.0414534
10.6250 0.0397934
11.2500 0.0382690
11.8750 0.0368627
12.5000 0.0355601
13.1250 0.0343490
13.7500 0.0332192
14.3750 0.0321621
15.0000 0.0311704
16.2500 0.0293583
17.5000 0.0277426
18.7500 0.0262900
20.0000 0.0249741
20.9375 0.0240657
21.8750 0.0232176
22.8125 0.0224231
23.7500 0.0216772
25.6250 0.0203137
27.5000 0.0190982
29.3750 0.0180068
31.2500 0.0170206
33.1250 0.0161256
35.0000 0.0153097
36.8750 0.0145630
38.7500 0.0138773
40.6250 0.0132454
42.5000 0.0126615
44.3750 0.0121205
46.2500 0.0116180
48.1250 0.0111503
50.0000 0.0107143
53.1250 0.0100494
56.2500 0.00945233
59.3750 0.00891397
62.5000 0.00842668
65.6250 0.00798407
68.7500 0.00758074
71.8750 0.00721213
75.0000 0.00687436
78.1250 0.00656408
81.2500 0.00627842
84.3750 0.00601487
87.5000 0.00577125
90.6250 0.00554566
93.7500 0.00533641
96.8750 0.00514203
100.000 0.00496121
103.125 0.00479279
106.250 0.00463572
109.375 0.00448908
112.500 0.00435216
118.750 0.00410409
125.000 0.00388625
131.250 0.00369461
137.500 0.00352572
143.750 0.00337673
150.000 0.00324526
156.250 0.00312934
162.500 0.00302728
168.750 0.00293769
175.000 0.00285938
181.250 0.00279135
187.500 0.00273277
193.750 0.00268294
200.000 0.00264129
208.017 0.00259905
216.033 0.00256867
224.050 0.00254961
232.066 0.00254154
242.588 0.00254840
247.849 0.00255744
253.110 0.00257333
263.632 0.00261691
274.154 0.00268373
279.415 0.00272471
284.675 0.00277406
289.936 0.00282848
295.197 0.00289023
300.458 0.00296217
305.719 0.00304070
310.980 0.00312972
316.241 0.00322865
321.752 0.00334783
327.264 0.00348189
332.775 0.00363394
338.286 0.00380819
343.798 0.00400552
349.309 0.00423388
354.821 0.00449750
360.332 0.00480180
