21-Sc_n-g
>  21-Sc-45:1.000000
5.468750e+02 5.40220000e-02
5.625000e+02 5.19366000e-02
5.781250e+02 5.00157000e-02
5.937500e+02 4.82286000e-02
6.093750e+02 4.65563000e-02
6.250000e+02 4.49867000e-02
6.562500e+02 4.21135000e-02
6.875000e+02 3.95476000e-02
7.187500e+02 3.72459000e-02
7.500000e+02 3.51736000e-02
7.812500e+02 3.33027000e-02
8.125000e+02 3.16106000e-02
8.437500e+02 3.00790000e-02
8.750000e+02 2.86948000e-02
9.062500e+02 2.74519000e-02
9.375000e+02 2.63577000e-02
9.531250e+02 2.58787000e-02
9.687500e+02 2.54649000e-02
9.843750e+02 2.51504000e-02
9.921880e+02 2.50545000e-02
1.000000e+03 2.50275000e-02
1.008830e+03 2.51273000e-02
1.013240e+03 2.52639000e-02
1.017660e+03 2.54901000e-02
1.022070e+03 2.58503000e-02
1.026480e+03 2.64108000e-02
1.028690e+03 2.68070000e-02
1.030900e+03 2.73163000e-02
1.033110e+03 2.79739000e-02
1.035310e+03 2.88355000e-02
1.036820e+03 2.95848000e-02
1.038330e+03 3.05021000e-02
1.039840e+03 3.16380000e-02
1.041350e+03 3.30849000e-02
1.042860e+03 3.49551000e-02
1.043620e+03 3.60987000e-02
1.044370e+03 3.74191000e-02
1.045130e+03 3.89539000e-02
1.045880e+03 4.07513000e-02
1.046640e+03 4.28725000e-02
1.047390e+03 4.53970000e-02
1.047860e+03 4.71982000e-02
1.048320e+03 4.92221000e-02
1.048930e+03 5.22992000e-02
1.049540e+03 5.59628000e-02
1.050150e+03 6.03729000e-02
1.050760e+03 6.57453000e-02
1.051070e+03 6.88820000e-02
1.051370e+03 7.23811000e-02
1.051680e+03 7.63016000e-02
1.051980e+03 8.07152000e-02
1.052290e+03 8.57108000e-02
1.052590e+03 9.13992000e-02
1.052900e+03 9.79202000e-02
1.053200e+03 1.05452000e-01
1.053520e+03 1.14696000e-01
1.053840e+03 1.25626000e-01
1.054160e+03 1.38753000e-01
1.054320e+03 1.46370000e-01
1.054480e+03 1.54763000e-01
1.054640e+03 1.64176000e-01
1.054800e+03 1.74729000e-01
1.054960e+03 1.86631000e-01
1.055120e+03 2.00057000e-01
1.055280e+03 2.15506000e-01
1.055440e+03 2.33199000e-01
1.055600e+03 2.53890000e-01
1.055750e+03 2.77984000e-01
1.055910e+03 3.06630000e-01
1.055990e+03 3.22930000e-01
1.056070e+03 3.40751000e-01
1.056150e+03 3.60266000e-01
1.056230e+03 3.81666000e-01
1.056310e+03 4.05162000e-01
1.056390e+03 4.30647000e-01
1.056470e+03 4.59015000e-01
1.056550e+03 4.90232000e-01
1.056630e+03 5.24592000e-01
1.056710e+03 5.62411000e-01
1.056790e+03 6.04023000e-01
1.056870e+03 6.49780000e-01
1.056950e+03 7.00051000e-01
1.057030e+03 7.54495000e-01
1.057090e+03 7.98492000e-01
1.057150e+03 8.44692000e-01
1.057210e+03 8.93967000e-01
1.057270e+03 9.46461000e-01
1.057320e+03 1.00232000e+00
1.057380e+03 1.06168000e+00
1.057440e+03 1.12467000e+00
1.057500e+03 1.19142000e+00
1.057560e+03 1.26203000e+00
1.057610e+03 1.33661000e+00
1.057670e+03 1.41524000e+00
1.057730e+03 1.49798000e+00
1.057790e+03 1.58488000e+00
1.057850e+03 1.67596000e+00
1.057900e+03 1.77122000e+00
1.057960e+03 1.87063000e+00
1.058040e+03 2.01445000e+00
1.058120e+03 2.16580000e+00
1.058200e+03 2.32431000e+00
1.058280e+03 2.48946000e+00
1.058440e+03 2.83702000e+00
1.058600e+03 3.19935000e+00
1.058980e+03 4.07101000e+00
1.059140e+03 4.41745000e+00
1.059220e+03 4.57913000e+00
1.059300e+03 4.72906000e+00
