78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
5.781250e-03 7.86246070e+01
5.937500e-03 7.75845988e+01
6.093750e-03 7.65845817e+01
6.250000e-03 7.56223149e+01
6.406250e-03 7.46956849e+01
6.562500e-03 7.38021056e+01
6.718750e-03 7.29402128e+01
6.875000e-03 7.21078076e+01
7.187500e-03 7.05247473e+01
7.500000e-03 6.90422966e+01
7.812500e-03 6.76494128e+01
8.125000e-03 6.63375633e+01
8.437500e-03 6.50995225e+01
8.750000e-03 6.39283075e+01
9.062500e-03 6.28182831e+01
9.375000e-03 6.17641094e+01
9.687500e-03 6.07613481e+01
1.000000e-02 5.98060603e+01
1.031250e-02 5.88946003e+01
1.062500e-02 5.80236923e+01
1.093750e-02 5.71904218e+01
1.125000e-02 5.63921710e+01
1.156250e-02 5.56265640e+01
1.187500e-02 5.48914075e+01
1.218750e-02 5.41847815e+01
1.250000e-02 5.35049091e+01
1.281250e-02 5.28500529e+01
1.312500e-02 5.22187925e+01
1.343750e-02 5.16096993e+01
1.375000e-02 5.10215253e+01
1.437500e-02 4.99032548e+01
1.500000e-02 4.88555886e+01
1.546440e-02 4.81238091e+01
1.562500e-02 4.78717549e+01
1.592870e-02 4.74204456e+01
1.625000e-02 4.69448756e+01
1.639300e-02 4.67440426e+01
1.685740e-02 4.60943399e+01
1.687500e-02 4.60697650e+01
1.691410e-02 4.60178683e+01
1.695310e-02 4.59661259e+01
1.708990e-02 4.57847507e+01
1.722660e-02 4.56037323e+01
1.750000e-02 4.52422361e+01
1.812500e-02 4.44579282e+01
1.875000e-02 4.37132255e+01
1.937500e-02 4.30049059e+01
2.000000e-02 4.23300677e+01
2.066250e-02 4.16485521e+01
2.132500e-02 4.09991146e+01
2.198750e-02 4.03792539e+01
2.265000e-02 3.97868537e+01
2.331250e-02 3.92199755e+01
2.397500e-02 3.86768177e+01
2.463750e-02 3.81557440e+01
2.530000e-02 3.76552995e+01
2.627670e-02 3.69525450e+01
2.627790e-02 3.69517225e+01
2.636130e-02 3.68948517e+01
2.645780e-02 3.68291839e+01
2.725330e-02 3.62879524e+01
2.725590e-02 3.62862645e+01
2.742270e-02 3.61785158e+01
2.761560e-02 3.60541511e+01
2.822990e-02 3.56581761e+01
2.823380e-02 3.56557737e+01
2.848400e-02 3.55023923e+01
2.877340e-02 3.53253146e+01
2.920660e-02 3.50602941e+01
2.921170e-02 3.50573077e+01
2.954530e-02 3.48628680e+01
2.993130e-02 3.46382971e+01
3.018320e-02 3.44917681e+01
3.018960e-02 3.44882006e+01
3.060670e-02 3.42567417e+01
3.108910e-02 3.39895146e+01
3.115990e-02 3.39503008e+01
3.116760e-02 3.39462082e+01
3.166800e-02 3.36813967e+01
3.213650e-02 3.34338809e+01
3.214550e-02 3.34293121e+01
3.224690e-02 3.33780542e+01
3.272930e-02 3.31342376e+01
3.311320e-02 3.29405192e+01
3.312340e-02 3.29356200e+01
3.340470e-02 3.28012107e+01
3.379060e-02 3.26168497e+01
3.456250e-02 3.22486236e+01
3.464510e-02 3.22092251e+01
3.465410e-02 3.22051737e+01
3.470720e-02 3.21814164e+01
3.552740e-02 3.18149652e+01
3.562380e-02 3.17719002e+01
3.617710e-02 3.15250351e+01
3.618470e-02 3.15218264e+01
3.649220e-02 3.13927628e+01
3.654040e-02 3.13725347e+01
3.745700e-02 3.09883571e+01
3.770900e-02 3.08828735e+01
3.771540e-02 3.08803335e+01
3.837360e-02 3.06205739e+01
3.842190e-02 3.06015353e+01
3.924100e-02 3.02787019e+01
3.924610e-02 3.02767918e+01
3.929020e-02 3.02603641e+01
3.938670e-02 3.02244605e+01
4.020680e-02 2.99193682e+01
4.035160e-02 2.98655605e+01
4.077290e-02 2.97090214e+01
4.077670e-02 2.97076774e+01
4.112340e-02 2.95857013e+01
4.131640e-02 2.95179137e+01
4.228130e-02 2.91790440e+01
4.230490e-02 2.91707569e+01
4.230740e-02 2.91699197e+01
4.295670e-02 2.89535852e+01
4.383680e-02 2.86609865e+01
4.383810e-02 2.86605737e+01
4.421090e-02 2.85427668e+01
4.478990e-02 2.83598341e+01
4.536880e-02 2.81773083e+01
4.614060e-02 2.79442277e+01
4.652660e-02 2.78276778e+01
4.662310e-02 2.77995756e+01
4.768440e-02 2.74911349e+01
4.807030e-02 2.73828474e+01
4.845630e-02 2.72745503e+01
4.884220e-02 2.71664720e+01
5.000000e-02 2.68531731e+01
5.156250e-02 2.64473287e+01
5.312500e-02 2.60595683e+01
5.468750e-02 2.56886829e+01
5.625000e-02 2.53333913e+01
5.781250e-02 2.49927206e+01
5.937500e-02 2.46656645e+01
6.093750e-02 2.43513990e+01
6.250000e-02 2.40490317e+01
6.406250e-02 2.37579373e+01
6.562500e-02 2.34773101e+01
6.718750e-02 2.32082271e+01
6.875000e-02 2.29453611e+01
7.031250e-02 2.26969406e+01
7.187500e-02 2.24488031e+01
7.500000e-02 2.19837009e+01
7.812500e-02 2.15467919e+01
8.125000e-02 2.11353166e+01
8.437500e-02 2.07472010e+01
8.750000e-02 2.03802877e+01
9.062500e-02 2.00326883e+01
9.375000e-02 1.97027511e+01
9.687500e-02 1.93890313e+01
1.000000e-01 1.90902594e+01
1.031250e-01 1.88052833e+01
1.062500e-01 1.85331427e+01
1.093750e-01 1.82728664e+01
1.125000e-01 1.80236219e+01
1.156250e-01 1.77847270e+01
1.187500e-01 1.75554760e+01
1.218750e-01 1.73352561e+01
1.250000e-01 1.71234469e+01
1.281250e-01 1.69196236e+01
1.312500e-01 1.67232667e+01
1.343750e-01 1.65366674e+01
1.375000e-01 1.63509198e+01
1.406250e-01 1.61769167e+01
1.437500e-01 1.60031208e+01
1.468750e-01 1.58403390e+01
1.500000e-01 1.56777464e+01
1.531250e-01 1.55250953e+01
1.562500e-01 1.53726131e+01
1.625000e-01 1.50854657e+01
1.687500e-01 1.48145101e+01
1.750000e-01 1.45585040e+01
1.812500e-01 1.43163802e+01
1.875000e-01 1.40868614e+01
1.937500e-01 1.38687926e+01
2.000000e-01 1.36613057e+01
2.052010e-01 1.34970839e+01
2.072700e-01 1.34330494e+01
2.082030e-01 1.34042253e+01
2.089300e-01 1.33818884e+01
2.093750e-01 1.33683680e+01
2.104000e-01 1.33373019e+01
2.104020e-01 1.33372414e+01
2.109990e-01 1.33195499e+01
2.114260e-01 1.33068966e+01
2.126220e-01 1.32715967e+01
2.133920e-01 1.32488714e+01
2.134770e-01 1.32463668e+01
2.156020e-01 1.31842316e+01
2.158700e-01 1.31765518e+01
2.164060e-01 1.31611938e+01
2.175780e-01 1.31277873e+01
2.195150e-01 1.30733754e+01
2.208030e-01 1.30372516e+01
2.223640e-01 1.29941689e+01
2.241900e-01 1.29437788e+01
2.246090e-01 1.29323683e+01
2.256370e-01 1.29045139e+01
2.257810e-01 1.29006181e+01
2.275780e-01 1.28529023e+01
2.288590e-01 1.28194978e+01
2.317600e-01 1.27438578e+01
2.328130e-01 1.27164429e+01
2.339840e-01 1.26861025e+01
2.343520e-01 1.26767366e+01
2.353540e-01 1.26518299e+01
2.378820e-01 1.25889990e+01
2.410160e-01 1.25112228e+01
2.411270e-01 1.25084810e+01
2.418480e-01 1.24910774e+01
2.421880e-01 1.24828714e+01
2.440050e-01 1.24397864e+01
2.479020e-01 1.23475151e+01
2.483430e-01 1.23373078e+01
2.492190e-01 1.23170344e+01
2.501280e-01 1.22960973e+01
2.503910e-01 1.22900482e+01
2.546760e-01 1.21932169e+01
2.548380e-01 1.21896389e+01
2.562500e-01 1.21584562e+01
2.574220e-01 1.21326182e+01
2.585940e-01 1.21068976e+01
2.613320e-01 1.20478195e+01
2.614510e-01 1.20452521e+01
2.656250e-01 1.19570959e+01
2.667970e-01 1.19325051e+01
