63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
6.484380e-03 2.78082769e+04
6.562500e-03 2.76144872e+04
6.718750e-03 2.72324770e+04
6.875000e-03 2.68667079e+04
6.953130e-03 2.66862980e+04
7.031250e-03 2.65108819e+04
7.187500e-03 2.61647604e+04
7.343750e-03 2.58338537e+04
7.500000e-03 2.55072020e+04
7.812500e-03 2.48878320e+04
8.125000e-03 2.43031807e+04
8.437500e-03 2.37499870e+04
8.750000e-03 2.32254812e+04
9.062500e-03 2.27271547e+04
9.375000e-03 2.22528943e+04
9.687500e-03 2.18008389e+04
1.000000e-02 2.13692365e+04
1.031250e-02 2.09565739e+04
1.062500e-02 2.05613945e+04
1.093750e-02 2.01825462e+04
1.125000e-02 1.98190201e+04
1.156250e-02 1.94696119e+04
1.187500e-02 1.91335128e+04
1.218750e-02 1.88099272e+04
1.250000e-02 1.84979464e+04
1.281250e-02 1.81970182e+04
1.312500e-02 1.79063859e+04
1.343750e-02 1.76256018e+04
1.375000e-02 1.73540616e+04
1.406250e-02 1.70912085e+04
1.437500e-02 1.68366471e+04
1.468750e-02 1.65899207e+04
1.500000e-02 1.63506293e+04
1.531250e-02 1.61183686e+04
1.562500e-02 1.58928908e+04
1.593750e-02 1.56756137e+04
1.625000e-02 1.54608705e+04
1.687500e-02 1.50521553e+04
1.750000e-02 1.46647843e+04
1.812500e-02 1.42968531e+04
1.875000e-02 1.39469007e+04
1.937500e-02 1.36134750e+04
2.000000e-02 1.32953628e+04
2.066250e-02 1.29735721e+04
2.132500e-02 1.26665471e+04
2.198750e-02 1.23731835e+04
2.265000e-02 1.20925246e+04
2.331250e-02 1.18237469e+04
2.397500e-02 1.15659983e+04
2.463750e-02 1.13185791e+04
2.530000e-02 1.10808894e+04
2.578240e-02 1.09136390e+04
2.583070e-02 1.08970923e+04
2.626490e-02 1.07509742e+04
2.636130e-02 1.07189089e+04
2.674730e-02 1.05927310e+04
2.689200e-02 1.05459741e+04
2.722970e-02 1.04386798e+04
2.742270e-02 1.03780540e+04
2.771210e-02 1.02886168e+04
2.795330e-02 1.02149074e+04
2.819450e-02 1.01424159e+04
2.848400e-02 1.00568319e+04
2.901470e-02 9.90244794e+03
2.915940e-02 9.86100384e+03
2.954530e-02 9.75283548e+03
3.012420e-02 9.59434447e+03
3.060670e-02 9.46498653e+03
3.108910e-02 9.33946741e+03
3.166800e-02 9.19187647e+03
3.205390e-02 9.09635650e+03
3.272930e-02 8.93248826e+03
3.301880e-02 8.86422746e+03
3.379060e-02 8.68574896e+03
3.398360e-02 8.64233500e+03
3.485200e-02 8.45068688e+03
3.494840e-02 8.42997898e+03
3.591330e-02 8.22655475e+03
3.687810e-02 8.03201896e+03
3.697460e-02 8.01289926e+03
3.784300e-02 7.84528299e+03
3.803590e-02 7.80868214e+03
3.880780e-02 7.66592322e+03
3.909730e-02 7.61328047e+03
3.977270e-02 7.49348094e+03
4.015860e-02 7.42615324e+03
4.073750e-02 7.32759264e+03
4.121990e-02 7.24666178e+03
4.150940e-02 7.19924045e+03
4.228130e-02 7.07442550e+03
4.233130e-02 7.06657089e+03
4.237950e-02 7.05900497e+03
4.248650e-02 7.04223625e+03
4.259350e-02 7.02549144e+03
4.280750e-02 6.99209265e+03
4.323560e-02 6.92563470e+03
4.324610e-02 6.92402107e+03
4.409160e-02 6.79680258e+03
4.421090e-02 6.77909274e+03
4.494770e-02 6.67197089e+03
4.517580e-02 6.63924610e+03
4.580380e-02 6.55096066e+03
4.614060e-02 6.50422962e+03
4.665990e-02 6.43361092e+03
4.710550e-02 6.37379595e+03
4.751600e-02 6.31976609e+03
4.807030e-02 6.24773801e+03
4.837210e-02 6.20927422e+03
4.903520e-02 6.12581882e+03
4.922810e-02 6.10199766e+03
5.000000e-02 6.00781263e+03
5.115830e-02 5.87181011e+03
5.156250e-02 5.82511149e+03
5.231660e-02 5.74055942e+03
5.312500e-02 5.65136095e+03
5.347480e-02 5.61387532e+03
5.463310e-02 5.49171280e+03
5.468750e-02 5.48606229e+03
5.579140e-02 5.37467107e+03
5.625000e-02 5.32909362e+03
5.694970e-02 5.26149918e+03
