14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
3.875000e+00 2.01444589e+00
4.250000e+00 2.01382112e+00
4.625000e+00 2.01327433e+00
5.000000e+00 2.01278646e+00
5.312500e+00 2.01242516e+00
5.625000e+00 2.01209309e+00
5.937500e+00 2.01178118e+00
6.250000e+00 2.01149833e+00
6.875000e+00 2.01099045e+00
7.500000e+00 2.01055149e+00
8.125000e+00 2.01016097e+00
8.750000e+00 2.00980968e+00
9.375000e+00 2.00949760e+00
1.000000e+01 2.00921444e+00
1.062500e+01 2.00896050e+00
1.125000e+01 2.00871734e+00
1.187500e+01 2.00850263e+00
1.250000e+01 2.00829760e+00
1.375000e+01 2.00793709e+00
1.500000e+01 2.00762470e+00
1.625000e+01 2.00734185e+00
1.750000e+01 2.00708869e+00
1.875000e+01 2.00686445e+00
2.000000e+01 2.00665051e+00
2.187500e+01 2.00637735e+00
2.375000e+01 2.00613372e+00
2.562500e+01 2.00590978e+00
2.750000e+01 2.00571476e+00
2.937500e+01 2.00553926e+00
3.125000e+01 2.00537393e+00
3.312500e+01 2.00521844e+00
3.500000e+01 2.00507264e+00
3.875000e+01 2.00481948e+00
4.250000e+01 2.00459554e+00
4.625000e+01 2.00440129e+00
5.000000e+01 2.00421658e+00
5.312500e+01 2.00408077e+00
5.625000e+01 2.00394497e+00
5.937500e+01 2.00382839e+00
6.250000e+01 2.00371181e+00
6.875000e+01 2.00350787e+00
7.500000e+01 2.00331440e+00
8.125000e+01 2.00313969e+00
8.750000e+01 2.00298497e+00
9.375000e+01 2.00283964e+00
1.000000e+02 2.00269492e+00
1.062500e+02 2.00255912e+00
1.125000e+02 2.00244332e+00
1.187500e+02 2.00231752e+00
1.250000e+02 2.00220171e+00
1.375000e+02 2.00198933e+00
1.500000e+02 2.00178695e+00
1.625000e+02 2.00159426e+00
1.750000e+02 2.00141141e+00
1.875000e+02 2.00123794e+00
2.000000e+02 2.00107447e+00
2.187500e+02 2.00083395e+00
2.375000e+02 2.00060313e+00
2.562500e+02 2.00037308e+00
2.750000e+02 2.00016147e+00
2.937500e+02 1.99995064e+00
3.125000e+02 1.99973982e+00
3.312500e+02 1.99953821e+00
3.500000e+02 1.99933708e+00
3.875000e+02 1.99895340e+00
4.250000e+02 1.99857066e+00
4.625000e+02 1.99819745e+00
5.000000e+02 1.99783346e+00
5.312500e+02 1.99752761e+00
5.625000e+02 1.99723098e+00
5.937500e+02 1.99693435e+00
6.250000e+02 1.99663772e+00
6.875000e+02 1.99605477e+00
