45-Rh_n-g
> 45-Rh-103:1.000000
1.945620e+00 5.04541000e+01
1.963750e+00 4.77160000e+01
1.981870e+00 4.51879000e+01
2.000000e+00 4.28492000e+01
2.016110e+00 4.09143000e+01
2.032230e+00 3.91032000e+01
2.048340e+00 3.74053000e+01
2.064450e+00 3.58119000e+01
2.080570e+00 3.43147000e+01
2.096680e+00 3.29063000e+01
2.112790e+00 3.15800000e+01
2.128910e+00 3.03297000e+01
2.145020e+00 2.91497000e+01
2.161130e+00 2.80351000e+01
2.177250e+00 2.69812000e+01
2.193360e+00 2.59836000e+01
2.225590e+00 2.41426000e+01
2.257810e+00 2.24847000e+01
2.290040e+00 2.09868000e+01
2.322270e+00 1.96295000e+01
2.354490e+00 1.83958000e+01
2.386720e+00 1.72717000e+01
2.418950e+00 1.62446000e+01
2.451170e+00 1.53040000e+01
2.483400e+00 1.44405000e+01
2.515630e+00 1.36462000e+01
2.544920e+00 1.29781000e+01
2.574220e+00 1.23566000e+01
2.603520e+00 1.17779000e+01
2.632810e+00 1.12386000e+01
2.662110e+00 1.07352000e+01
2.691410e+00 1.02641000e+01
2.720700e+00 9.82183000e+00
2.750000e+00 9.40651000e+00
2.782230e+00 8.97857000e+00
2.814450e+00 8.57856000e+00
2.846680e+00 8.20416000e+00
2.878910e+00 7.85329000e+00
2.911130e+00 7.52404000e+00
2.943360e+00 7.21471000e+00
2.975590e+00 6.92375000e+00
3.007810e+00 6.64977000e+00
3.040040e+00 6.39148000e+00
3.072270e+00 6.14775000e+00
3.104490e+00 5.91751000e+00
3.136720e+00 5.69981000e+00
3.201170e+00 5.29858000e+00
3.265630e+00 4.93789000e+00
3.324220e+00 4.64077000e+00
3.382810e+00 4.36954000e+00
3.441410e+00 4.12130000e+00
3.500000e+00 3.89359000e+00
3.570310e+00 3.64438000e+00
3.640630e+00 3.41838000e+00
3.710940e+00 3.21284000e+00
3.781250e+00 3.02540000e+00
3.851560e+00 2.85401000e+00
3.921880e+00 2.69707000e+00
3.992190e+00 2.55349000e+00
4.062500e+00 2.42085000e+00
4.156250e+00 2.25936000e+00
4.250000e+00 2.11378000e+00
4.343750e+00 1.98213000e+00
4.437500e+00 1.86269000e+00
4.531250e+00 1.75401000e+00
4.625000e+00 1.65485000e+00
4.718750e+00 1.56413000e+00
4.812500e+00 1.48093000e+00
4.906250e+00 1.40444000e+00
5.000000e+00 1.33389000e+00
5.068360e+00 1.28588000e+00
5.136720e+00 1.24058000e+00
5.273440e+00 1.15721000e+00
5.410160e+00 1.08236000e+00
5.546880e+00 1.01493000e+00
5.683590e+00 9.54350000e-01
5.820310e+00 8.98966000e-01
5.957030e+00 8.48522000e-01
6.093750e+00 8.02486000e-01
6.250000e+00 7.54618000e-01
6.406250e+00 7.11198000e-01
6.562500e+00 6.71684000e-01
6.718750e+00 6.35615000e-01
6.875000e+00 6.02595000e-01
7.031250e+00 5.72285000e-01
7.187500e+00 5.44390000e-01
7.343750e+00 5.18656000e-01
7.500000e+00 4.94859000e-01
7.656250e+00 4.72807000e-01
7.812500e+00 4.52327000e-01
7.968750e+00 4.33271000e-01
8.125000e+00 4.15506000e-01
8.281250e+00 3.98915000e-01
8.437500e+00 3.83393000e-01
8.593750e+00 3.68848000e-01
8.750000e+00 3.55197000e-01
8.906250e+00 3.42365000e-01
9.062500e+00 3.30287000e-01
9.218750e+00 3.18903000e-01
9.375000e+00 3.08204000e-01
9.687500e+00 2.88483000e-01
1.000000e+01 2.70740000e-01
1.031250e+01 2.54750000e-01
1.062500e+01 2.40282000e-01
1.093750e+01 2.27142000e-01
1.125000e+01 2.15166000e-01
1.156250e+01 2.04215000e-01
1.187500e+01 1.94171000e-01
1.218750e+01 1.84933000e-01
1.250000e+01 1.76414000e-01
1.281250e+01 1.68538000e-01
1.312500e+01 1.61240000e-01
1.343750e+01 1.54462000e-01
1.375000e+01 1.48156000e-01
1.406250e+01 1.42275000e-01
1.437500e+01 1.36783000e-01
1.468750e+01 1.31644000e-01
1.500000e+01 1.26827000e-01
1.531250e+01 1.22306000e-01
1.562500e+01 1.18057000e-01
1.593750e+01 1.14057000e-01
1.625000e+01 1.10298000e-01
1.687500e+01 1.03389000e-01
1.750000e+01 9.71979000e-02
1.812500e+01 9.16372000e-02
1.875000e+01 8.66249000e-02
1.937500e+01 8.20919000e-02
2.000000e+01 7.79775000e-02
