Sc-45(n,g) ENDFB-8.0
Energy(eV) XS(b)
486.332 0.0676289
489.066 0.0662231
494.533 0.0640906
500.000 0.0624427
507.813 0.0605654
515.625 0.0589916
523.438 0.0575993
531.250 0.0563278
546.875 0.0540220
562.500 0.0519366
578.125 0.0500157
593.750 0.0482286
609.375 0.0465563
625.000 0.0449867
656.250 0.0421135
687.500 0.0395476
718.750 0.0372459
750.000 0.0351736
781.250 0.0333027
812.500 0.0316106
843.750 0.0300790
875.000 0.0286948
906.250 0.0274519
937.500 0.0263577
953.125 0.0258787
968.750 0.0254649
984.375 0.0251504
992.188 0.0250545
1000.00 0.0250275
1008.83 0.0251273
1013.24 0.0252639
1017.66 0.0254901
1022.07 0.0258503
1026.48 0.0264108
1028.69 0.0268070
1030.90 0.0273163
1033.11 0.0279739
1035.31 0.0288355
1036.82 0.0295848
1038.33 0.0305021
1039.84 0.0316380
1041.35 0.0330849
1042.86 0.0349551
1043.62 0.0360987
1044.37 0.0374191
1045.13 0.0389539
1045.88 0.0407513
1046.64 0.0428725
1047.39 0.0453970
1047.86 0.0471982
1048.32 0.0492221
1048.93 0.0522992
1049.54 0.0559628
1050.15 0.0603729
1050.76 0.0657453
1051.07 0.0688820
1051.37 0.0723811
1051.68 0.0763016
1051.98 0.0807152
1052.29 0.0857108
1052.59 0.0913992
1052.90 0.0979202
1053.20 0.105452
1053.52 0.114696
1053.84 0.125626
1054.16 0.138753
1054.32 0.146370
1054.48 0.154763
1054.64 0.164176
1054.80 0.174729
1054.96 0.186631
1055.12 0.200057
1055.28 0.215506
1055.44 0.233199
1055.60 0.253890
1055.75 0.277984
1055.91 0.306630
1055.99 0.322930
1056.07 0.340751
1056.15 0.360266
1056.23 0.381666
1056.31 0.405162
1056.39 0.430647
1056.47 0.459015
1056.55 0.490232
1056.63 0.524592
1056.71 0.562411
1056.79 0.604023
1056.87 0.649780
1056.95 0.700051
1057.03 0.754495
1057.09 0.798492
1057.15 0.844692
1057.21 0.893967
1057.27 0.946461
1057.32 1.00232
1057.38 1.06168
1057.44 1.12467
1057.50 1.19142
1057.56 1.26203
1057.61 1.33661
1057.67 1.41524
1057.73 1.49798
1057.79 1.58488
1057.85 1.67596
1057.90 1.77122
1057.96 1.87063
1058.04 2.01445
1058.12 2.16580
1058.20 2.32431
1058.28 2.48946
1058.44 2.83702
1058.60 3.19935
1058.98 4.07101
1059.14 4.41745
1059.22 4.57913
1059.30 4.72906
1059.39 4.89275
1059.48 5.03667
1059.58 5.16047
1059.67 5.26223
1059.75 5.33312
1059.84 5.38427
1059.92 5.41501
1060.00 5.42495
1060.07 5.41790
1060.18 5.37801
1060.28 5.30460
1060.39 5.19789
1060.50 5.06212
1060.58 4.94115
1060.66 4.80778
1060.74 4.66210
1060.82 4.50567
1060.85 4.44663
1060.93 4.28033
1061.01 4.10732
1061.16 3.74989
1061.42 3.15017
1061.55 2.85691
1061.68 2.57452
1061.76 2.40859
1061.84 2.24883
1061.92 2.09579
1061.99 1.95170
1062.07 1.81315
1062.15 1.68225
1062.23 1.55907
1062.31 1.44504
1062.38 1.34109
1062.46 1.24530
1062.54 1.15494
1062.61 1.07215
1062.69 0.994465
1062.76 0.923642
1062.84 0.858318
1062.91 0.798180
1062.99 0.742205
1063.06 0.691541
1063.14 0.645103
1063.21 0.602581
1063.29 0.563179
1063.36 0.527642
1063.44 0.495152
1063.51 0.465451
1063.63 0.424771
1063.74 0.389271
1063.86 0.358238
1063.97 0.331263
1064.09 0.307330
1064.20 0.286218
1064.32 0.267524
1064.43 0.251037
1064.55 0.236178
1064.66 0.222851
1064.78 0.210847
1064.89 0.200079
1065.12 0.181287
1065.35 0.165548
1065.56 0.152952
1065.78 0.142048
1065.99 0.132528
1066.21 0.124153
1066.42 0.116739
1066.64 0.110136
1066.85 0.104226
1067.07 0.0989115
1067.50 0.0897599
1067.93 0.0821859
1068.36 0.0758374
1068.79 0.0704578
1069.13 0.0667222
1069.48 0.0634081
1070.16 0.0578097
1070.85 0.0532891
1071.54 0.0495843
1072.34 0.0460405
1073.15 0.0431348
1073.95 0.0407199
1074.75 0.0386919
1075.56 0.0369727
1076.36 0.0355026
1077.16 0.0342357
1077.96 0.0331391
1079.57 0.0313412
1081.17 0.0299233
1082.78 0.0287817
1084.39 0.0278531
1086.56 0.0268432
1088.74 0.0260444
1090.92 0.0253990
1093.10 0.0248707
1095.28 0.0244355
1097.46 0.0240536
1101.82 0.0234438
1106.17 0.0229727
1110.53 0.0225945
1119.25 0.0220173
1126.59 0.0216418
1133.93 0.0213313
1148.61 0.0208249
1163.29 0.0204085
1177.96 0.0200465
1207.32 0.0194191
1236.68 0.0188738
1266.04 0.0183860
1295.40 0.0179435
1324.76 0.0175397
1354.12 0.0171702
1394.48 0.0167150
1434.85 0.0163089
1475.22 0.0159506
1515.59 0.0156392
1555.96 0.0153662
1596.32 0.0151344
1636.69 0.0149395
1677.06 0.0147778
1713.76 0.0146637
1750.45 0.0145765
1787.15 0.0145156
1823.85 0.0144810
