Sr-87(n,tot) ENDFB-8.0
Energy(eV) XS(b)
4.57008 18.7179
4.59945 18.0844
4.62883 17.5012
4.65820 16.9632
4.67956 16.5979
4.70093 16.2526
4.72229 15.9259
4.74365 15.6165
4.78638 15.0445
4.82910 14.5277
4.87183 14.0594
4.91455 13.6339
4.95728 13.2462
5.00000 12.8919
5.02686 12.6846
5.05371 12.4884
5.10742 12.1256
5.16113 11.7984
5.21484 11.5021
5.26856 11.2329
5.32227 10.9877
5.37598 10.7636
5.42969 10.5583
5.46631 10.4280
5.50293 10.3049
5.53955 10.1885
5.57617 10.0784
5.64942 9.87502
5.72266 9.69205
5.79590 9.52628
5.86914 9.37544
5.94238 9.23800
6.01563 9.11243
6.07422 9.01962
6.13281 8.93293
6.19141 8.85184
6.25000 8.77585
6.30371 8.71031
6.35742 8.64841
6.41113 8.58987
6.46484 8.53444
6.57227 8.43205
6.67969 8.33968
6.78711 8.25601
6.89453 8.17995
7.00195 8.11056
7.10938 8.04704
7.18750 8.00415
7.26563 7.96377
7.34375 7.92570
7.42188 7.88976
7.50000 7.85579
7.57813 7.82365
7.65625 7.79330
7.79297 7.74374
7.92969 7.69818
8.06641 7.65628
8.20313 7.61764
8.33984 7.58189
8.47656 7.54871
8.61328 7.51783
8.75000 7.48903
8.90625 7.45837
9.06250 7.42987
9.21875 7.40331
9.37500 7.37847
9.53125 7.35519
9.68750 7.33330
9.84375 7.31269
10.0000 7.29322
10.2344 7.26594
10.4688 7.24072
10.7031 7.21729
10.9375 7.19550
11.1328 7.17847
11.3281 7.16218
11.5234 7.14670
11.7188 7.13200
11.9141 7.11789
12.1094 7.10444
12.5000 7.07914
12.8125 7.06030
13.1250 7.04253
13.4375 7.02573
13.7500 7.00978
14.0625 6.99459
14.3750 6.98009
14.6875 6.96622
15.0000 6.95292
15.3125 6.94013
15.6250 6.92782
15.9375 6.91594
16.2500 6.90448
16.8750 6.88263
17.5000 6.86203
18.1250 6.84255
18.7500 6.82404
19.3750 6.80641
20.0000 6.78955
20.5349 6.77567
21.0698 6.76228
21.6047 6.74932
22.1396 6.73684
22.6745 6.72464
23.2093 6.71284
23.7442 6.70128
24.2791 6.69015
24.8140 6.67919
25.3489 6.66863
25.8838 6.65826
26.4187 6.64818
27.4885 6.62872
28.5582 6.61023
29.1525 6.60038
29.7469 6.59086
30.3412 6.58170
30.9355 6.57298
31.4110 6.56639
31.6487 6.56328
31.8864 6.56033
32.1241 6.55757
32.3619 6.55507
32.5996 6.55289
32.7185 6.55195
32.8373 6.55116
32.9562 6.55054
33.0751 6.55011
33.1939 6.54993
33.3128 6.55005
33.4019 6.55039
33.4911 6.55099
33.5802 6.55191
33.6694 6.55324
33.7140 6.55408
33.7585 6.55506
33.8031 6.55620
33.8477 6.55752
33.8923 6.55904
33.9368 6.56079
33.9814 6.56281
34.0260 6.56514
34.0706 6.56783
34.1151 6.57093
34.1597 6.57453
34.2043 6.57873
34.2489 6.58363
34.2711 6.58639
34.2934 6.58939
34.3157 6.59265
34.3380 6.59620
34.3603 6.60007
34.3826 6.60431
34.4141 6.61102
34.4457 6.61871
34.4615 6.62299
34.4773 6.62758
34.4931 6.63254
34.5089 6.63789
34.5247 6.64368
34.5404 6.64997
34.5562 6.65681
34.5720 6.66428
34.5878 6.67248
34.6036 6.68148
34.6194 6.69144
34.6352 6.70248
34.6454 6.71030
34.6556 6.71869
34.6658 6.72776
34.6760 6.73754
34.6862 6.74814
34.6964 6.75964
34.7067 6.77216
34.7169 6.78582
34.7271 6.80076
34.7373 6.81711
34.7475 6.83509
34.7577 6.85485
34.7680 6.87666
34.7782 6.90071
34.7884 6.92733
34.7986 6.95677
34.8065 6.98170
34.8144 7.00867
34.8223 7.03790
34.8302 7.06952
34.8381 7.10381
34.8460 7.14088
34.8539 7.18101
34.8617 7.22441
34.8696 7.27140
34.8775 7.32209
34.8854 7.37680
34.8933 7.43578
34.9012 7.49938
34.9091 7.56769
34.9170 7.64106
34.9249 7.71972
34.9351 7.82991
34.9453 7.94978
34.9555 8.08003
34.9657 8.22079
34.9760 8.37266
34.9862 8.53554
34.9964 8.70988
35.0066 8.89531
35.0168 9.09203
35.0270 9.29934
35.0373 9.51714
35.0475 9.74435
35.0577 9.98053
35.0679 10.2242
35.0883 10.7296
35.1292 11.7651
35.1496 12.2630
35.1700 12.7234
35.1803 12.9341
35.1905 13.1283
35.2007 13.3045
35.2109 13.4603
35.2222 13.6072
35.2335 13.7250
35.2448 13.8120
35.2562 13.8670
35.2700 13.8896
35.2813 13.8713
35.2925 13.8206
35.3038 13.7380
35.3150 13.6250
35.3248 13.5033
35.3346 13.3612
35.3443 13.2002
35.3541 13.0219
