Li-7(n,g) ENDFB-8.0
Energy(eV) XS(b)
240000 3.45000E-05
250000 3.60000E-05
260000 3.74904E-05
270000 3.37042E-05
280000 3.04047E-05
290000 2.75416E-05
300000 2.49997E-05
310000 2.24332E-05
320000 2.01887E-05
330000 1.82388E-05
340000 1.65231E-05
350000 1.50010E-05
360000 1.40609E-05
380000 1.23932E-05
400000 1.10006E-05
425000 1.00932E-05
450000 9.30147E-06
475000 8.60981E-06
500000 7.99999E-06
546277 6.95866E-06
548503 6.91265E-06
550000 6.88373E-06
560948 6.67223E-06
575000 6.41967E-06
580145 6.32720E-06
600000 6.00000E-06
625000 5.91823E-06
650000 5.83645E-06
675000 5.75468E-06
681732 5.73266E-06
700000 5.68130E-06
750000 5.54072E-06
750257 5.54000E-06
800000 5.41516E-06
806135 5.39976E-06
850000 5.30233E-06
897850 5.19604E-06
900000 5.19191E-06
950000 5.09596E-06
1.00000E+06 5.00000E-06
1.05000E+06 4.98306E-06
1.10000E+06 4.96611E-06
1.15000E+06 4.94916E-06
1.18921E+06 4.93588E-06
1.20000E+06 4.93298E-06
1.25000E+06 4.91958E-06
1.30000E+06 4.90617E-06
1.40000E+06 4.87936E-06
1.50000E+06 4.85255E-06
1.54221E+06 4.84123E-06
1.60000E+06 4.82951E-06
1.70000E+06 4.80923E-06
1.80000E+06 4.78896E-06
1.90000E+06 4.76868E-06
2.00000E+06 4.74840E-06
2.10000E+06 4.73231E-06
2.20000E+06 4.71621E-06
2.30000E+06 4.70012E-06
2.37841E+06 4.68750E-06
2.40000E+06 4.68475E-06
2.50000E+06 4.67202E-06
2.60000E+06 4.65929E-06
2.70000E+06 4.64656E-06
2.80000E+06 4.63383E-06
2.82131E+06 4.63112E-06
2.90000E+06 4.62110E-06
3.00000E+06 4.60837E-06
3.08442E+06 4.59762E-06
3.10000E+06 4.59612E-06
3.14540E+06 4.59175E-06
3.20000E+06 4.58649E-06
3.30000E+06 4.57686E-06
3.40000E+06 4.56723E-06
3.50000E+06 4.55760E-06
3.60000E+06 4.54797E-06
3.70000E+06 4.53834E-06
3.71720E+06 4.53669E-06
3.71724E+06 4.53668E-06
3.80000E+06 4.52872E-06
3.90000E+06 4.51909E-06
4.00000E+06 4.50946E-06
4.10000E+06 4.50182E-06
4.20000E+06 4.49417E-06
4.28910E+06 4.48737E-06
4.28913E+06 4.48736E-06
4.30000E+06 4.48653E-06
4.40000E+06 4.47889E-06
4.50000E+06 4.47125E-06
4.60000E+06 4.46361E-06
4.70000E+06 4.45597E-06
4.75683E+06 4.45163E-06
4.80000E+06 4.44902E-06
4.86100E+06 4.44533E-06
4.86101E+06 4.44533E-06
4.90000E+06 4.44297E-06
5.00000E+06 4.43692E-06
5.10000E+06 4.43088E-06
5.20000E+06 4.42483E-06
5.29564E+06 4.41905E-06
5.30000E+06 4.41879E-06
5.35000E+06 4.41577E-06
5.40000E+06 4.41274E-06
5.43290E+06 4.41075E-06
5.45000E+06 4.40972E-06
5.50000E+06 4.40670E-06
5.55000E+06 4.40368E-06
5.60000E+06 4.40065E-06
5.70000E+06 4.39461E-06
5.80000E+06 4.38856E-06
5.90000E+06 4.38252E-06
6.00000E+06 4.37647E-06
6.00480E+06 4.37618E-06
6.16884E+06 4.36626E-06
6.25000E+06 4.36255E-06
6.50000E+06 4.35112E-06
6.57670E+06 4.34762E-06
6.75000E+06 4.33969E-06
7.00000E+06 4.32826E-06
7.14850E+06 4.32147E-06
7.14854E+06 4.32147E-06
7.25000E+06 4.31683E-06
7.50000E+06 4.30540E-06
7.72040E+06 4.29532E-06
7.72042E+06 4.29532E-06
7.75000E+06 4.29397E-06
8.00000E+06 4.28254E-06
8.25000E+06 4.27347E-06
8.29230E+06 4.27193E-06
8.29231E+06 4.27193E-06
8.29288E+06 4.27191E-06
8.50000E+06 4.26440E-06
8.75000E+06 4.25533E-06
8.86420E+06 4.25118E-06
8.86786E+06 4.25105E-06
9.00000E+06 4.24626E-06
9.25000E+06 4.23719E-06
9.43610E+06 4.23043E-06
9.50000E+06 4.22811E-06
9.51366E+06 4.22762E-06
9.75000E+06 4.22083E-06
9.97823E+06 4.21428E-06
1.00000E+07 4.21366E-06
1.00080E+07 4.21343E-06
1.00612E+07 4.21190E-06
1.01150E+07 4.21036E-06
1.01624E+07 4.20900E-06
1.02040E+07 4.20780E-06
1.02405E+07 4.20675E-06
1.03048E+07 4.20491E-06
1.03532E+07 4.20352E-06
1.03897E+07 4.20247E-06
1.04447E+07 4.20089E-06
1.05000E+07 4.19930E-06
1.05612E+07 4.19755E-06
1.05800E+07 4.19701E-06
1.06693E+07 4.19445E-06
1.07510E+07 4.19210E-06
1.08127E+07 4.19033E-06
1.09060E+07 4.18765E-06
1.10000E+07 4.18495E-06
1.11520E+07 4.18059E-06
1.12472E+07 4.17786E-06
1.14123E+07 4.17312E-06
1.15000E+07 4.17060E-06
1.16230E+07 4.16707E-06
1.17161E+07 4.16439E-06
1.17240E+07 4.16417E-06
1.18572E+07 4.16034E-06
1.20000E+07 4.15625E-06
1.21231E+07 4.15271E-06
1.22162E+07 4.15004E-06
1.22950E+07 4.14778E-06
1.22955E+07 4.14776E-06
1.23377E+07 4.14655E-06
1.23573E+07 4.14613E-06
1.25000E+07 4.14303E-06
1.25226E+07 4.14254E-06
1.25227E+07 4.14254E-06
1.27476E+07 4.13765E-06
1.28670E+07 4.13506E-06
1.28674E+07 4.13505E-06
