Nd-143(n,tot) ENDFB-8.0
Energy(eV) XS(b)
128.045 1160.63
128.066 1085.77
128.087 1017.14
128.104 964.759
128.121 915.839
128.138 870.156
128.155 827.733
128.172 787.868
128.190 750.831
128.207 716.002
128.224 683.613
128.241 653.120
128.258 624.726
128.275 597.954
128.292 572.985
128.310 549.402
128.327 527.368
128.344 506.518
128.361 486.999
128.382 464.550
128.403 443.638
128.424 424.130
128.445 405.989
128.466 388.933
128.487 373.027
128.508 358.030
128.529 344.006
128.550 330.749
128.571 318.263
128.592 306.489
128.613 295.424
128.655 275.017
128.696 256.704
128.738 240.167
128.780 225.251
128.822 211.685
128.864 199.366
128.906 188.092
128.948 177.795
128.990 168.342
129.032 159.641
129.074 151.596
129.116 144.175
129.158 137.284
129.200 130.902
129.242 124.951
129.284 119.420
129.326 114.257
129.367 109.431
129.409 104.901
129.451 100.663
129.493 96.6846
129.535 92.9438
129.577 89.4139
129.619 86.0950
129.661 82.9631
129.703 80.0044
129.787 74.5511
129.871 69.6545
129.955 65.2409
130.038 61.2531
130.122 57.6295
130.206 54.3307
130.290 51.3190
130.374 48.5652
130.439 46.5923
130.503 44.7433
130.568 43.0081
130.633 41.3775
130.698 39.8429
130.763 38.3969
130.827 37.0324
130.892 35.7433
131.022 33.3696
131.151 31.2377
131.281 29.3162
131.411 27.5784
131.563 25.7382
131.716 24.0903
131.868 22.6090
132.021 21.2740
132.173 20.0658
132.326 18.9711
132.478 17.9781
132.630 17.0782
132.745 16.4592
