Xe-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
251.230 12.1964
251.262 11.9461
251.294 11.7107
251.326 11.4875
251.358 11.2767
251.393 11.0569
251.428 10.8493
251.464 10.6528
251.499 10.4671
251.534 10.2904
251.569 10.1230
251.605 9.96330
251.640 9.81163
251.710 9.52859
251.781 9.27026
251.851 9.03359
251.922 8.81604
251.967 8.68643
252.012 8.56320
252.057 8.44589
252.101 8.33434
252.191 8.12606
252.281 7.93576
252.371 7.76107
252.460 7.60053
252.550 7.45235
252.640 7.31519
252.710 7.21422
252.781 7.11899
252.851 7.02891
252.922 6.94359
252.992 6.86266
253.063 6.78581
253.133 6.71274
253.204 6.64319
253.274 6.57682
253.345 6.51360
253.415 6.45324
253.486 6.39555
253.627 6.28750
253.768 6.18827
253.909 6.09683
254.050 6.01232
254.191 5.93399
254.332 5.86121
254.473 5.79340
254.614 5.73009
254.755 5.67087
254.896 5.61535
255.024 5.56780
255.152 5.52281
255.281 5.48017
255.409 5.43970
255.537 5.40123
255.665 5.36461
255.793 5.32973
255.922 5.29646
256.050 5.26470
256.178 5.23435
256.306 5.20532
256.434 5.17752
256.691 5.12533
256.947 5.07724
257.088 5.05234
257.229 5.02849
257.511 4.98362
257.793 4.94216
258.075 4.90374
258.357 4.86802
258.639 4.83475
258.921 4.80366
259.203 4.77454
259.396 4.75572
259.588 4.73768
259.780 4.72037
259.972 4.70374
260.357 4.67240
260.742 4.64338
261.126 4.61637
261.511 4.59114
261.895 4.56753
262.280 4.54541
262.562 4.53003
262.844 4.51532
263.126 4.50122
263.408 4.48772
263.690 4.47475
263.972 4.46229
264.536 4.43877
265.100 4.41692
265.664 4.39658
266.228 4.37755
266.792 4.35972
267.510 4.33854
268.228 4.31888
268.946 4.30055
269.664 4.28341
270.382 4.26737
271.100 4.25221
271.817 4.23788
272.535 4.22430
273.099 4.21411
273.663 4.20432
274.791 4.18577
275.920 4.16847
277.048 4.15224
278.176 4.13695
279.304 4.12249
280.432 4.10874
281.560 4.09563
282.534 4.08477
283.509 4.07429
285.457 4.05436
287.406 4.03551
289.354 4.01762
291.303 4.00051
293.251 3.98403
295.200 3.96808
297.148 3.95258
298.994 3.93825
300.840 3.92418
302.686 3.91033
304.532 3.89665
308.224 3.86968
311.916 3.84296
314.172 3.82667
316.429 3.81035
318.685 3.79398
320.941 3.77747
325.453 3.74400
327.710 3.72695
329.966 3.70962
332.222 3.69206
334.478 3.67417
338.990 3.63723
341.247 3.61820
343.503 3.59859
348.015 3.55806
351.912 3.52109
355.809 3.48213
357.758 3.46198
359.706 3.44099
361.655 3.41960
363.603 3.39741
367.501 3.35104
371.398 3.30135
375.295 3.24815
377.243 3.22002
379.192 3.19078
381.448 3.15542
383.704 3.11839
385.960 3.07953
388.216 3.03864
390.473 2.99565
392.729 2.95026
394.985 2.90232
397.241 2.85165
399.497 2.79784
400.626 2.76977
401.754 2.74076
402.882 2.71083
404.010 2.68001
405.138 2.64814
406.266 2.61517
407.394 2.58118
408.522 2.54601
409.650 2.50952
410.778 2.47185
411.907 2.43284
413.035 2.39229
414.163 2.35032
