Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
2.843750e-01 1.98869648e+01
2.937500e-01 1.96106486e+01
3.031250e-01 1.93482264e+01
3.125000e-01 1.90986684e+01
3.218750e-01 1.88610858e+01
3.312500e-01 1.86345190e+01
3.406250e-01 1.84182808e+01
3.500000e-01 1.82117302e+01
3.593750e-01 1.80143228e+01
3.687500e-01 1.78253955e+01
3.781250e-01 1.76468052e+01
3.875000e-01 1.74705995e+01
3.968750e-01 1.73058665e+01
4.062500e-01 1.71432640e+01
4.156250e-01 1.69910977e+01
4.250000e-01 1.68408495e+01
4.437500e-01 1.65606269e+01
4.625000e-01 1.63002478e+01
5.000000e-01 1.58328944e+01
5.312500e-01 1.54895203e+01
5.625000e-01 1.51808489e+01
5.937500e-01 1.49126492e+01
6.250000e-01 1.46531429e+01
6.875000e-01 1.42228085e+01
7.500000e-01 1.38701215e+01
8.125000e-01 1.35809784e+01
8.750000e-01 1.33462072e+01
9.375000e-01 1.31565916e+01
1.000000e+00 1.30049909e+01
1.062500e+00 1.28882241e+01
1.125000e+00 1.28079398e+01
1.156250e+00 1.27714316e+01
1.187500e+00 1.27501422e+01
1.250000e+00 1.27139345e+01
1.312500e+00 1.27160767e+01
1.375000e+00 1.27232110e+01
1.500000e+00 1.28210501e+01
1.625000e+00 1.30027026e+01
1.750000e+00 1.32688439e+01
1.875000e+00 1.36195020e+01
2.000000e+00 1.40560358e+01
2.093750e+00 1.44456057e+01
2.187500e+00 1.48944479e+01
2.281250e+00 1.54080198e+01
2.375000e+00 1.59882465e+01
2.468750e+00 1.66485400e+01
2.562500e+00 1.73930189e+01
2.656250e+00 1.82377762e+01
2.750000e+00 1.91920517e+01
2.843750e+00 2.02716449e+01
2.890630e+00 2.08632369e+01
2.937500e+00 2.14970697e+01
3.001950e+00 2.24420283e+01
3.066410e+00 2.34772373e+01
3.125000e+00 2.45105736e+01
3.130860e+00 2.46141010e+01
3.195310e+00 2.58671078e+01
3.259770e+00 2.72495203e+01
3.291990e+00 2.79947179e+01
3.312500e+00 2.84938802e+01
3.324220e+00 2.87794226e+01
3.356450e+00 2.96067087e+01
3.388670e+00 3.04789318e+01
3.420900e+00 3.13993132e+01
3.453130e+00 3.23713713e+01
3.500000e+00 3.38848081e+01
3.535160e+00 3.51040961e+01
3.570310e+00 3.64026597e+01
3.605470e+00 3.77893072e+01
3.640630e+00 3.92721323e+01
3.675780e+00 4.08592766e+01
3.687500e+00 4.14261944e+01
3.710940e+00 4.25605065e+01
3.746090e+00 4.43867620e+01
3.781250e+00 4.63501296e+01
3.813480e+00 4.82824223e+01
3.845700e+00 5.03540470e+01
3.875000e+00 5.23763065e+01
3.877930e+00 5.25785856e+01
3.910160e+00 5.49722192e+01
3.942380e+00 5.75512746e+01
3.974610e+00 6.03364571e+01
4.006840e+00 6.33494411e+01
4.022950e+00 6.49498481e+01
4.039060e+00 6.66167172e+01
4.062500e+00 6.91791391e+01
4.065430e+00 6.94994894e+01
4.091800e+00 7.25902158e+01
4.118170e+00 7.59097070e+01
4.144530e+00 7.94806006e+01
