>,08-O-18:0.002050
4.530500e+04,2.49066054e-05
4.673400e+04,2.52930576e-05
4.816300e+04,2.56736242e-05
4.959200e+04,2.60497017e-05
5.000000e+04,2.61558413e-05
5.102100e+04,2.64186008e-05
5.245100e+04,2.67832121e-05
5.388000e+04,2.71419376e-05
5.530900e+04,2.74969722e-05
5.673800e+04,2.78477172e-05
5.816700e+04,2.81941726e-05
5.959700e+04,2.85367375e-05
6.000000e+04,2.86321926e-05
6.102600e+04,2.88752149e-05
6.245500e+04,2.92099025e-05
6.250000e+04,2.92203771e-05
6.388400e+04,2.95419964e-05
6.531300e+04,2.98695016e-05
6.674200e+04,3.01946125e-05
6.817190e+04,3.05165312e-05
6.960090e+04,3.08351579e-05
7.000000e+04,3.09232545e-05
7.102990e+04,3.11505929e-05
7.245890e+04,3.14630354e-05
7.388800e+04,3.17736823e-05
7.499990e+04,3.20133013e-05
7.500000e+04,3.20133013e-05
7.531790e+04,3.20809378e-05
7.674690e+04,3.23829079e-05
7.817590e+04,3.26822843e-05
7.960490e+04,3.29790670e-05
8.000000e+04,3.30606823e-05
8.103390e+04,3.32742541e-05
8.246400e+04,3.35672468e-05
8.389300e+04,3.38576457e-05
8.532200e+04,3.41456505e-05
8.675100e+04,3.44314606e-05
8.750000e+04,3.45808999e-05
8.817990e+04,3.47159739e-05
8.960890e+04,3.49982925e-05
9.000000e+04,3.50750092e-05
9.103900e+04,3.52788167e-05
9.246800e+04,3.55580445e-05
9.389700e+04,3.58351774e-05
9.532600e+04,3.61104149e-05
9.675500e+04,3.63837571e-05
9.818490e+04,3.66563011e-05
9.961390e+04,3.69269498e-05
1.000000e+05,3.69997746e-05
1.010400e+05,3.71916500e-05
1.024700e+05,3.74550671e-05
1.039000e+05,3.77166887e-05
1.053300e+05,3.79766144e-05
1.067600e+05,3.82349439e-05
1.081900e+05,3.84926749e-05
1.096200e+05,3.87498074e-05
1.110500e+05,3.90043462e-05
1.124800e+05,3.92583862e-05
1.125000e+05,3.92619323e-05
1.139100e+05,3.95119418e-05
1.153300e+05,3.97615068e-05
1.167600e+05,4.00131672e-05
1.181900e+05,4.02623337e-05
1.196200e+05,4.05113007e-05
1.210500e+05,4.07597689e-05
1.224800e+05,4.10059427e-05
1.239100e+05,4.12528148e-05
1.250000e+05,4.14394162e-05
1.253400e+05,4.14973989e-05
1.267700e+05,4.17427021e-05
1.282000e+05,4.19858107e-05
1.296300e+05,4.22287198e-05
1.310600e+05,4.24714294e-05
1.319690e+05,4.26250730e-05
1.324800e+05,4.27114457e-05
1.339100e+05,4.29527612e-05
1.353400e+05,4.31929793e-05
1.367700e+05,4.34321001e-05
1.382000e+05,4.36720190e-05
1.396300e+05,4.39099427e-05
1.410600e+05,4.41487643e-05
1.424900e+05,4.43864885e-05
1.439200e+05,4.46232152e-05
1.453500e+05,4.48598421e-05
1.467800e+05,4.50965687e-05
1.482100e+05,4.53321981e-05
1.496400e+05,4.55679271e-05
1.500000e+05,4.56274082e-05
1.510600e+05,4.57975048e-05
1.524900e+05,4.60256986e-05
1.539200e+05,4.62539921e-05
1.553500e+05,4.64823853e-05
1.567800e+05,4.67098808e-05
1.582100e+05,4.69374760e-05
1.596400e+05,4.71651710e-05
1.610700e+05,4.73929657e-05
1.625000e+05,4.76199624e-05
1.639300e+05,4.78471586e-05
1.639380e+05,4.78484301e-05
1.653600e+05,4.80744601e-05
1.667900e+05,4.83018614e-05
1.682100e+05,4.85283638e-05
1.696400e+05,4.87562639e-05
1.710700e+05,4.89832661e-05
1.725000e+05,4.92105677e-05
1.739300e+05,4.94390663e-05
1.750000e+05,4.96095671e-05
1.753600e+05,4.96668815e-05
1.767900e+05,4.98949404e-05
1.782200e+05,5.01232986e-05
1.796500e+05,5.03528539e-05
1.810800e+05,5.05817108e-05
1.825100e+05,5.08108671e-05
1.839400e+05,5.10413202e-05
1.853600e+05,5.12708739e-05
1.867900e+05,5.15009280e-05
1.882200e+05,5.17322789e-05
1.896500e+05,5.19640288e-05
1.910800e+05,5.21970756e-05
1.925100e+05,5.24294240e-05
1.939400e+05,5.26631691e-05
1.953700e+05,5.28982110e-05
1.968000e+05,5.31326543e-05
1.982300e+05,5.33683945e-05
1.996600e+05,5.36056311e-05
2.000000e+05,5.36621444e-05
2.010900e+05,5.38356810e-05
2.025200e+05,5.40639340e-05
2.039400e+05,5.42925845e-05
2.053700e+05,5.45226332e-05
2.068000e+05,5.47550759e-05
2.082300e+05,5.49869202e-05
2.096600e+05,5.52212583e-05
2.110900e+05,5.54559955e-05
2.125200e+05,5.56921293e-05
2.139500e+05,5.59297595e-05
2.153800e+05,5.61688859e-05
2.168100e+05,5.64094090e-05
2.182400e+05,5.66503312e-05
2.196700e+05,5.68938470e-05
2.200000e+05,5.69505571e-05
2.210900e+05,5.71378601e-05
2.225200e+05,5.73842689e-05
2.239500e+05,5.76321740e-05
2.253800e+05,5.78825730e-05
2.268100e+05,5.81344684e-05
2.278750e+05,5.83231832e-05
2.282400e+05,5.83878634e-05
2.296700e+05,5.86437615e-05
2.311000e+05,5.89011560e-05
2.325300e+05,5.91610445e-05
2.339600e+05,5.94225291e-05
2.353900e+05,5.96875051e-05
2.368200e+05,5.99539775e-05
2.382400e+05,6.02220445e-05
2.396700e+05,6.04936045e-05
2.400000e+05,6.05571010e-05
2.411000e+05,6.07687558e-05
2.425300e+05,6.10454034e-05
2.439600e+05,6.13255425e-05
2.453900e+05,6.16082753e-05
2.468200e+05,6.18945994e-05
2.482500e+05,6.21844149e-05
2.496800e+05,6.24768242e-05
2.500000e+05,6.25430620e-05
2.511100e+05,6.27728745e-05
2.525400e+05,6.30725304e-05
2.539700e+05,6.33756778e-05
2.553900e+05,6.36825143e-05
2.568200e+05,6.39898515e-05
2.582500e+05,6.43067654e-05
2.596800e+05,6.46232803e-05
2.600000e+05,6.46962665e-05
2.611100e+05,6.49493718e-05
2.625400e+05,6.52750643e-05
2.639700e+05,6.56103335e-05
2.654000e+05,6.59452037e-05
2.668300e+05,6.62897502e-05
2.682600e+05,6.66437737e-05
2.696900e+05,6.69974980e-05
2.711200e+05,6.73507234e-05
2.725500e+05,6.77236010e-05
2.739700e+05,6.80952795e-05
2.754000e+05,6.84674588e-05
2.768300e+05,6.88492147e-05
2.782600e+05,6.92405473e-05
2.796900e+05,6.96415564e-05
2.800000e+05,6.97305017e-05
2.811200e+05,7.00521421e-05
2.825500e+05,7.04624285e-05
2.839800e+05,7.08822916e-05
2.854100e+05,7.13118312e-05
2.868400e+05,7.17509474e-05
2.882700e+05,7.21997401e-05
2.897000e+05,7.26581094e-05
2.911200e+05,7.31253551e-05
2.918130e+05,7.33568183e-05
2.925500e+05,7.36029900e-05
2.939800e+05,7.40904130e-05
2.954100e+05,7.45874126e-05
2.968400e+05,7.50940887e-05
2.982700e+05,7.56203171e-05
2.997000e+05,7.61562219e-05
3.000000e+05,7.62707081e-05
3.011300e+05,7.66920704e-05
3.025600e+05,7.72449624e-05
3.039900e+05,7.78075308e-05
3.054200e+05,7.83897513e-05
3.068500e+05,7.89815485e-05
3.082700e+05,7.95923976e-05
3.097000e+05,8.02136231e-05
3.100000e+05,8.03499412e-05
3.111300e+05,8.08644765e-05
3.125600e+05,8.15250063e-05
3.139900e+05,8.22051882e-05
3.154200e+05,8.29149979e-05
3.168500e+05,8.36345838e-05
3.182800e+05,8.43836978e-05
3.197100e+05,8.51625394e-05
3.200000e+05,8.53221989e-05
3.211400e+05,8.59510574e-05
3.225700e+05,8.67791789e-05
3.240000e+05,8.76270524e-05
3.254200e+05,8.85038536e-05
3.268500e+05,8.94109827e-05
3.282800e+05,9.03477396e-05
3.297100e+05,9.13241998e-05
3.300000e+05,9.15276527e-05
3.311400e+05,9.23302878e-05
3.325700e+05,9.33760792e-05
3.340000e+05,9.44614740e-05
3.354300e+05,9.55864724e-05
3.368600e+05,9.67611497e-05
3.382900e+05,9.79754306e-05
3.397200e+05,9.92393905e-05
3.400000e+05,9.94957128e-05
3.411500e+05,1.00553129e-04
3.425800e+05,1.01926024e-04
3.440000e+05,1.03347797e-04
3.454300e+05,1.04840400e-04
3.468600e+05,1.06392857e-04
3.482900e+05,1.08014147e-04
3.497200e+05,1.09715242e-04
3.500000e+05,1.10060448e-04
3.511500e+05,1.11486177e-04
3.525800e+05,1.13345899e-04
3.540100e+05,1.15296400e-04
3.554400e+05,1.17335685e-04
3.557500e+05,1.17799393e-04
3.568700e+05,1.19474768e-04
3.583000e+05,1.21722598e-04
3.597300e+05,1.24081158e-04
3.600000e+05,1.24551071e-04
3.611500e+05,1.26567404e-04
3.625800e+05,1.29184335e-04
3.640100e+05,1.31940926e-04
3.654400e+05,1.34846154e-04
3.668700e+05,1.37910994e-04
3.683000e+05,1.41156393e-04
3.697300e+05,1.44579361e-04
3.700000e+05,1.45259761e-04
3.711600e+05,1.48212815e-04
3.725900e+05,1.52064737e-04
3.740200e+05,1.56146101e-04
3.754500e+05,1.60476857e-04
3.768800e+05,1.65116859e-04
3.783000e+05,1.69995279e-04
3.797300e+05,1.75172972e-04
3.800000e+05,1.76214493e-04
3.811600e+05,1.80749693e-04
3.825900e+05,1.86725442e-04
3.840200e+05,1.93100219e-04
3.854500e+05,1.99873026e-04
3.868800e+05,2.07145616e-04
3.883100e+05,2.14915993e-04
3.897400e+05,2.23284912e-04
3.900000e+05,2.24909012e-04
3.911700e+05,2.32351133e-04
3.926000e+05,2.42016893e-04
3.940300e+05,2.52379955e-04
3.954500e+05,2.63540073e-04
3.968800e+05,2.75599004e-04
3.983100e+05,2.88655505e-04
3.997400e+05,3.02608821e-04
4.000000e+05,3.05364164e-04
4.011700e+05,3.17750193e-04
4.026000e+05,3.34086643e-04
4.040300e+05,3.51619179e-04
4.050000e+05,3.64358313e-04
4.054600e+05,3.70549311e-04
4.068900e+05,3.90875044e-04
4.083200e+05,4.12796888e-04
4.097500e+05,4.36215088e-04
4.100000e+05,4.40494705e-04
4.111800e+05,4.61228401e-04
4.126100e+05,4.87739068e-04
4.140300e+05,5.15843849e-04
4.150000e+05,5.35688675e-04
4.154600e+05,5.45347226e-04
4.168900e+05,5.76045691e-04
4.183200e+05,6.07742724e-04
4.196880e+05,6.38447207e-04
4.197500e+05,6.39838788e-04
4.200000e+05,6.45344434e-04
4.211800e+05,6.71933935e-04
4.226100e+05,7.03330782e-04
4.240400e+05,7.33332029e-04
4.250000e+05,7.51761357e-04
4.254700e+05,7.60937113e-04
4.269000e+05,7.85251214e-04
4.283300e+05,8.05375520e-04
4.297600e+05,8.20510979e-04
4.300000e+05,8.22103156e-04
4.311800e+05,8.29960287e-04
4.326100e+05,8.33324419e-04
4.340400e+05,8.30503618e-04
4.350000e+05,8.24511435e-04
4.354700e+05,8.21597640e-04
4.369000e+05,8.07005513e-04
4.383300e+05,7.87524295e-04
4.397600e+05,7.63853284e-04
4.400000e+05,7.59271500e-04
4.411900e+05,7.36990048e-04
4.426200e+05,7.07732644e-04
4.440500e+05,6.77078643e-04
4.450000e+05,6.56074026e-04
4.454800e+05,6.45726342e-04
4.469100e+05,6.14374041e-04
4.483300e+05,5.83419769e-04
4.497600e+05,5.53363311e-04
4.500000e+05,5.48404446e-04
4.511900e+05,5.24503938e-04
4.516560e+05,5.15522022e-04
4.526200e+05,4.96941480e-04
4.540500e+05,4.70875413e-04
4.550000e+05,4.54396844e-04
4.554800e+05,4.46304703e-04
4.569100e+05,4.23331103e-04
4.583400e+05,4.01852861e-04
4.597700e+05,3.81771216e-04
4.600000e+05,3.78715729e-04
4.612000e+05,3.63186924e-04
4.626300e+05,3.45797721e-04
4.640600e+05,3.29706356e-04
4.650000e+05,3.19763863e-04
4.654800e+05,3.14811075e-04
4.669100e+05,3.01014121e-04
4.683400e+05,2.88113983e-04
4.697700e+05,2.76212412e-04
4.700000e+05,2.74392915e-04
4.712000e+05,2.65107900e-04
4.726300e+05,2.54801444e-04
4.740600e+05,2.45292046e-04
4.750000e+05,2.39394699e-04
4.754900e+05,2.36382187e-04
4.769200e+05,2.28070871e-04
4.783500e+05,2.20357099e-04
4.797800e+05,2.13142112e-04
4.800000e+05,2.12093733e-04
4.812100e+05,2.06426908e-04
4.826400e+05,2.00109734e-04
4.836250e+05,1.96003847e-04
4.840600e+05,1.94190650e-04
4.850000e+05,1.90542959e-04
4.854900e+05,1.88671738e-04
4.869200e+05,1.83550857e-04
4.883500e+05,1.78730244e-04
4.897800e+05,1.74108148e-04
4.900000e+05,1.73450848e-04
4.912100e+05,1.69885079e-04
4.926400e+05,1.65841574e-04
4.940700e+05,1.62047460e-04
4.950000e+05,1.59712567e-04
4.955000e+05,1.58472812e-04
4.969300e+05,1.55107654e-04
4.983600e+05,1.51922059e-04
5.000000e+05,1.48925098e-04
5.100000e+05,1.47947758e-04
5.155940e+05,1.47401034e-04
5.200000e+05,1.46971720e-04
5.300000e+05,1.45996337e-04
5.400000e+05,1.45021951e-04
5.475630e+05,1.44285023e-04
5.500000e+05,1.44048596e-04
5.600000e+05,1.43078439e-04
5.635470e+05,1.42733971e-04
5.700000e+05,1.42110454e-04
5.795310e+05,1.41190478e-04
5.800000e+05,1.41145561e-04
5.900000e+05,1.40187853e-04
5.955160e+05,1.39659581e-04
6.000000e+05,1.39234963e-04
6.115000e+05,1.38145136e-04
6.200000e+05,1.37349897e-04
6.250000e+05,1.36882359e-04
6.357500e+05,1.35877134e-04
6.400000e+05,1.35475620e-04
6.478750e+05,1.34731245e-04
6.600000e+05,1.33548632e-04
6.800000e+05,1.31508221e-04
7.000000e+05,1.29466811e-04
7.085000e+05,1.28599483e-04
7.090100e+05,1.28470097e-04
7.200000e+05,1.27370782e-04
7.400000e+05,1.25369211e-04
7.500000e+05,1.24368924e-04
7.600000e+05,1.23387567e-04
7.800000e+05,1.21423857e-04
8.000000e+05,1.19461144e-04
8.200000e+05,1.17497461e-04
8.400000e+05,1.15534775e-04
8.500000e+05,1.14552933e-04
8.600000e+05,1.13571091e-04
8.800000e+05,1.11608405e-04
9.000000e+05,1.09644722e-04
9.100000e+05,1.08663392e-04
9.200000e+05,1.07682061e-04
9.224700e+05,1.07439673e-04
9.300000e+05,1.06700727e-04
9.400000e+05,1.05718394e-04
9.500000e+05,1.04737059e-04
9.600000e+05,1.03755723e-04
9.700000e+05,1.02774381e-04
9.800000e+05,1.01793039e-04
9.900000e+05,1.00810700e-04
1.000000e+06,9.98293580e-05
1.010000e+06,9.98295689e-05
1.020000e+06,9.98297798e-05
1.030000e+06,9.98299906e-05
1.040000e+06,9.98302015e-05
1.050000e+06,9.98304124e-05
1.060000e+06,9.98306233e-05
1.070000e+06,9.98308342e-05
1.080000e+06,9.98310451e-05
1.090000e+06,9.98312560e-05
1.100000e+06,9.98314669e-05
1.110000e+06,9.98316777e-05
1.120000e+06,9.98318886e-05
1.130000e+06,9.98320995e-05
1.140000e+06,9.98323104e-05
1.150000e+06,9.98325213e-05
1.160000e+06,9.98327322e-05
1.170000e+06,9.98329430e-05
1.180000e+06,9.98331539e-05
1.190000e+06,9.98333648e-05
1.200000e+06,9.98335757e-05
1.210000e+06,9.98337734e-05
1.220000e+06,9.98339711e-05
1.230000e+06,9.98341688e-05
1.240000e+06,9.98343664e-05
1.250000e+06,9.98345641e-05
1.260000e+06,9.98347618e-05
1.270000e+06,9.98349595e-05
1.280000e+06,9.98351572e-05
1.285000e+06,9.98352560e-05
1.290000e+06,9.98353548e-05
1.295000e+06,9.98354537e-05
1.300000e+06,9.98355525e-05
1.305000e+06,9.98356514e-05
1.310000e+06,9.98357502e-05
1.315000e+06,9.98358491e-05
1.320000e+06,9.98359479e-05
1.325000e+06,9.98360467e-05
1.330000e+06,9.98361456e-05
1.340000e+06,9.98363433e-05
1.350000e+06,9.98365409e-05
1.360000e+06,9.98367386e-05
1.370000e+06,9.98369363e-05
1.380000e+06,9.98371340e-05
1.390000e+06,9.98373317e-05
1.400000e+06,9.98375294e-05
1.450000e+06,9.98384708e-05
1.500000e+06,9.98394123e-05
1.550000e+06,9.98403537e-05
1.600000e+06,9.98412951e-05
1.620000e+06,9.98416587e-05
1.630000e+06,9.98418405e-05
1.640000e+06,9.98420223e-05
1.642000e+06,9.98420587e-05
1.643000e+06,9.98420768e-05
1.644000e+06,9.98420950e-05
1.645000e+06,9.98421132e-05
1.646000e+06,9.98421314e-05
1.647000e+06,9.98421496e-05
1.648000e+06,9.98421677e-05
1.648500e+06,9.98421768e-05
1.649000e+06,9.98421859e-05
1.649500e+06,9.98421950e-05
1.650000e+06,9.98422041e-05
1.650500e+06,9.98422132e-05
1.651000e+06,9.98422223e-05
1.651500e+06,9.98422314e-05
1.652000e+06,9.98422404e-05
1.653000e+06,9.98422586e-05
1.654000e+06,9.98422768e-05
1.655000e+06,9.98422950e-05
1.656000e+06,9.98423132e-05
1.657000e+06,9.98423313e-05
1.658000e+06,9.98423495e-05
1.659000e+06,9.98423677e-05
1.660000e+06,9.98423859e-05
1.665000e+06,9.98424768e-05
1.670000e+06,9.98425677e-05
1.675000e+06,9.98426586e-05
1.680000e+06,9.98427495e-05
1.682000e+06,9.98427858e-05
1.684000e+06,9.98428222e-05
1.685000e+06,9.98428404e-05
1.686000e+06,9.98428585e-05
1.687000e+06,9.98428767e-05
1.688000e+06,9.98428949e-05
1.689000e+06,9.98429131e-05
1.690000e+06,9.98429312e-05
1.691000e+06,9.98429494e-05
1.692000e+06,9.98429676e-05
1.694000e+06,9.98430040e-05
1.695000e+06,9.98430221e-05
1.696000e+06,9.98430403e-05
1.698000e+06,9.98430767e-05
1.700000e+06,9.98431130e-05
1.720000e+06,9.98434766e-05
1.740000e+06,9.98438402e-05
1.760000e+06,9.98442038e-05
1.780000e+06,9.98445673e-05
1.800000e+06,9.98449309e-05
