15-P_n-tot
>   15-P-31:1.000000
6.250000e+03 4.23261000e+00
6.500000e+03 4.35759000e+00
6.750000e+03 4.48257000e+00
7.000000e+03 4.60851000e+00
7.500000e+03 5.20753000e+00
8.000000e+03 5.80099000e+00
8.400000e+03 4.51566000e+00
8.900000e+03 5.59995000e+00
9.200000e+03 4.81753000e+00
9.600000e+03 6.29180000e+00
9.900000e+03 4.51719000e+00
9.912500e+03 4.50744000e+00
9.925000e+03 4.50743000e+00
9.950000e+03 4.50743000e+00
1.000000e+04 4.50742000e+00
1.050000e+04 4.50782000e+00
1.090000e+04 4.60910000e+00
1.130000e+04 5.10433000e+00
1.190000e+04 4.80764000e+00
1.240900e+04 4.63766000e+00
1.250000e+04 4.60928000e+00
1.268750e+04 4.74482000e+00
1.287500e+04 4.88232000e+00
1.325000e+04 5.15731000e+00
1.400000e+04 5.70340000e+00
1.455000e+04 5.00727000e+00
1.482500e+04 4.65727000e+00
1.496250e+04 4.48226000e+00
1.503130e+04 4.39476000e+00
1.506560e+04 4.35101000e+00
1.508280e+04 4.32913000e+00
1.509140e+04 4.31932000e+00
1.509570e+04 4.31952000e+00
1.510000e+04 4.33196000e+00
1.510630e+04 4.37923000e+00
1.511250e+04 4.44492000e+00
1.512500e+04 4.58229000e+00
1.515000e+04 4.85729000e+00
1.517500e+04 5.13229000e+00
1.518750e+04 5.26963000e+00
1.519380e+04 5.33488000e+00
1.520000e+04 5.37935000e+00
1.520470e+04 5.38728000e+00
1.520940e+04 5.37981000e+00
1.521880e+04 5.35413000e+00
1.523750e+04 5.30100000e+00
1.527500e+04 5.19475000e+00
1.535000e+04 4.98225000e+00
1.550000e+04 4.55725000e+00
1.565000e+04 4.13224000e+00
1.572500e+04 3.91974000e+00
1.576250e+04 3.81349000e+00
1.578130e+04 3.76037000e+00
1.579060e+04 3.73415000e+00
1.580000e+04 3.71760000e+00
1.580780e+04 3.72519000e+00
1.581560e+04 3.74165000e+00
1.583130e+04 3.77600000e+00
1.586250e+04 3.84475000e+00
1.592500e+04 3.98225000e+00
1.605000e+04 4.25725000e+00
1.617500e+04 4.53224000e+00
1.623750e+04 4.66974000e+00
1.626880e+04 4.73849000e+00
1.628440e+04 4.77287000e+00
1.630000e+04 4.79720000e+00
1.631560e+04 4.76658000e+00
1.633130e+04 4.72598000e+00
1.636250e+04 4.64473000e+00
1.642500e+04 4.48223000e+00
1.655000e+04 4.15722000e+00
1.667500e+04 3.83222000e+00
1.673750e+04 3.66972000e+00
1.676880e+04 3.58847000e+00
1.678440e+04 3.54784000e+00
1.680000e+04 3.51521000e+00
1.680940e+04 3.51848000e+00
1.681880e+04 3.52910000e+00
1.683750e+04 3.55098000e+00
1.687500e+04 3.59472000e+00
1.695000e+04 3.68222000e+00
1.710000e+04 3.85722000e+00
1.740000e+04 4.20721000e+00
1.800000e+04 4.90288000e+00
1.950000e+04 3.70903000e+00
1.993000e+04 3.71497000e+00
2.000000e+04 3.71624000e+00
2.015630e+04 3.71908000e+00
2.031250e+04 3.72192000e+00
2.062500e+04 3.72759000e+00
2.125000e+04 3.73895000e+00
2.250000e+04 3.76166000e+00
2.500000e+04 3.80718000e+00
3.000000e+04 4.10700000e+00
3.250000e+04 4.25695000e+00
4.000000e+04 4.70657000e+00
4.250000e+04 4.66927000e+00
4.500000e+04 4.63172000e+00
4.750000e+04 4.59418000e+00
5.000000e+04 4.55663000e+00
5.250000e+04 4.51908000e+00
5.500000e+04 4.48154000e+00
5.750000e+04 4.44399000e+00
6.000000e+04 4.40648000e+00
6.750000e+04 4.35631000e+00
7.500000e+04 4.30617000e+00
8.250000e+04 4.25603000e+00
9.000000e+04 4.20533000e+00
9.500000e+04 3.60580000e+00
1.000000e+05 3.00618000e+00
1.125000e+05 2.65547000e+00
1.250000e+05 2.30487000e+00
1.310000e+05 1.75513000e+00
1.370000e+05 1.20729000e+00
1.430000e+05 2.90269000e+00
1.470000e+05 2.60750000e+00
1.510000e+05 4.00571000e+00
1.550000e+05 5.99905000e+00
1.630000e+05 3.00622000e+00
1.730000e+05 1.80721000e+00
1.810000e+05 4.20386000e+00
1.830000e+05 4.70090000e+00
1.890000e+05 3.40406000e+00
1.950000e+05 2.10623000e+00
2.010000e+05 2.70555000e+00
2.070000e+05 4.69969000e+00
2.190000e+05 2.20490000e+00
2.310000e+05 1.90409000e+00
2.400000e+05 2.60249000e+00
2.490000e+05 2.60567000e+00
