Ge-70(n,tot) ENDFB-8.0
Energy(eV) XS(b)
200.000 10.0993
209.375 9.98193
218.750 9.86793
228.125 9.75710
237.500 9.64928
246.875 9.54432
256.250 9.44209
265.625 9.34245
275.000 9.24529
284.375 9.15048
293.750 9.05792
303.125 8.96751
312.500 8.87915
331.250 8.70816
350.000 8.54423
368.750 8.38673
387.500 8.23507
406.250 8.08868
425.000 7.94706
443.750 7.80972
462.500 7.67620
481.250 7.54608
500.000 7.41892
515.625 7.31494
531.250 7.21251
546.875 7.11140
562.500 7.01138
578.125 6.91222
593.750 6.81369
609.375 6.71553
625.000 6.61750
640.625 6.51934
654.297 6.43308
667.969 6.34629
681.641 6.25874
695.313 6.17024
708.984 6.08053
722.656 5.98937
736.328 5.89648
750.000 5.80148
762.695 5.71073
775.391 5.61747
781.738 5.57034
788.086 5.52199
800.781 5.42267
813.477 5.31976
826.172 5.21235
838.867 5.09995
845.215 5.04178
851.563 4.98208
857.422 4.92530
863.281 4.86707
869.141 4.80741
875.000 4.74614
883.789 4.65045
892.578 4.55013
896.973 4.49825
901.367 4.44478
905.762 4.39041
910.156 4.33385
914.551 4.27648
918.945 4.21671
923.340 4.15574
927.734 4.09264
932.129 4.02805
936.524 3.96102
940.918 3.89177
945.313 3.82017
950.684 3.72916
956.055 3.63423
961.426 3.53498
966.797 3.43093
972.168 3.32201
977.539 3.20749
980.225 3.14813
982.910 3.08707
985.596 3.02453
988.281 2.96042
992.188 2.86393
996.094 2.76396
1000.00 2.65955
1000.00 2.65953
1000.01 2.65942
1000.01 2.65931
1000.02 2.65912
1000.03 2.65874
1000.06 2.65797
1000.11 2.65644
1000.23 2.65336
1000.45 2.64717
1000.91 2.63476
1001.81 2.60979
1003.62 2.55911
1007.23 2.45486
1010.84 2.34658
1014.45 2.23411
1018.07 2.11727
1021.68 1.99595
1023.49 1.93355
1025.29 1.87004
1027.10 1.80533
1028.91 1.73951
1030.71 1.67250
1032.52 1.60441
1034.33 1.53518
