72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
1.750000e-03 5.10391471e+02
1.812500e-03 5.01546694e+02
1.875000e-03 4.93147311e+02
1.937500e-03 4.85157254e+02
2.000000e-03 4.77545867e+02
2.070000e-03 4.69501637e+02
2.093750e-03 4.66776664e+02
2.140000e-03 4.61803877e+02
2.187500e-03 4.56704651e+02
2.210000e-03 4.54435843e+02
2.280000e-03 4.47388111e+02
2.281250e-03 4.47262436e+02
2.350000e-03 4.40751481e+02
2.375000e-03 4.38387187e+02
2.420000e-03 4.34369504e+02
2.468750e-03 4.30023021e+02
2.490000e-03 4.28229713e+02
2.560000e-03 4.22330340e+02
2.562500e-03 4.22119827e+02
2.568360e-03 4.21652073e+02
2.574220e-03 4.21184425e+02
2.596190e-03 4.19431550e+02
2.618170e-03 4.17678587e+02
2.656250e-03 4.14643431e+02
2.662110e-03 4.14199598e+02
2.750000e-03 4.07550727e+02
2.843750e-03 4.00814133e+02
2.937500e-03 3.94401192e+02
3.031250e-03 3.88289328e+02
3.125000e-03 3.82455439e+02
3.218750e-03 3.76881273e+02
3.312500e-03 3.71542317e+02
3.406250e-03 3.66428482e+02
3.500000e-03 3.61520874e+02
3.593750e-03 3.56807462e+02
3.687500e-03 3.52275385e+02
3.781250e-03 3.47912832e+02
3.875000e-03 3.43710323e+02
3.968750e-03 3.39657749e+02
4.062500e-03 3.35746961e+02
4.250000e-03 3.28317853e+02
4.437500e-03 3.21366296e+02
4.625000e-03 3.14843175e+02
4.812500e-03 3.08705894e+02
5.000000e-03 3.02918414e+02
5.120000e-03 2.99401194e+02
5.156250e-03 2.98339980e+02
5.261250e-03 2.95399029e+02
5.312500e-03 2.93965378e+02
5.402500e-03 2.91553439e+02
5.468750e-03 2.89780205e+02
5.543750e-03 2.87854864e+02
5.625000e-03 2.85771620e+02
5.685000e-03 2.84294163e+02
5.781250e-03 2.81926871e+02
5.826250e-03 2.80862940e+02
5.937500e-03 2.78235774e+02
5.967500e-03 2.77553973e+02
6.093750e-03 2.74687970e+02
6.108750e-03 2.74359955e+02
6.250000e-03 2.71274670e+02
6.406250e-03 2.67987802e+02
6.562500e-03 2.64819367e+02
6.718750e-03 2.61762947e+02
6.875000e-03 2.58811394e+02
7.187500e-03 2.53201404e+02
7.500000e-03 2.47947649e+02
7.812500e-03 2.43013479e+02
8.125000e-03 2.38368394e+02
8.437500e-03 2.33984888e+02
8.750000e-03 2.29839951e+02
9.062500e-03 2.25912136e+02
9.375000e-03 2.22183892e+02
9.687500e-03 2.18638640e+02
1.000000e-02 2.15262034e+02
