Ti-49(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0137500 2.52641
0.0143750 2.47087
0.0150000 2.41884
0.0156250 2.36997
0.0162500 2.32394
0.0168750 2.28049
0.0175000 2.23939
0.0181250 2.20043
0.0187500 2.16344
0.0193750 2.12825
0.0200000 2.09472
0.0206625 2.06086
0.0213250 2.02859
0.0219875 1.99778
0.0226500 1.96834
0.0233125 1.94017
0.0239750 1.91317
0.0246375 1.88726
0.0253000 1.86238
0.0264578 1.82117
0.0276156 1.78258
0.0287734 1.74635
0.0299313 1.71223
0.0310891 1.68005
0.0322469 1.64961
0.0334047 1.62077
0.0345625 1.59338
0.0355274 1.57159
0.0364922 1.55068
0.0374570 1.53057
0.0384219 1.51122
0.0393867 1.49259
0.0403516 1.47463
0.0413164 1.45730
0.0422813 1.44057
0.0442109 1.40877
0.0461406 1.37898
0.0480703 1.35100
0.0500000 1.32466
0.0515625 1.30442
0.0531250 1.28508
0.0546875 1.26658
0.0562500 1.24886
0.0578125 1.23186
0.0593750 1.21554
0.0609375 1.19985
0.0625000 1.18475
0.0640625 1.17021
0.0656250 1.15619
0.0671875 1.14266
0.0687500 1.12960
0.0718750 1.10477
0.0750000 1.08150
0.0781250 1.05963
0.0812500 1.03904
0.0843750 1.01960
0.0875000 1.00121
0.0906250 0.983783
0.0937500 0.967231
0.0968750 0.951487
0.100000 0.936486
0.103125 0.922173
0.106250 0.908496
0.109375 0.895410
0.112500 0.882873
0.115625 0.870849
0.118750 0.859303
0.121875 0.848206
0.125000 0.837528
0.128125 0.827244
0.131250 0.817331
0.134375 0.807767
0.137500 0.798530
0.143750 0.780967
0.150000 0.764510
0.156250 0.749045
0.162500 0.734479
0.168750 0.720728
0.175000 0.707720
0.181250 0.695393
0.187500 0.683689
0.193750 0.672558
0.200000 0.661954
0.209375 0.646946
0.218750 0.632909
0.228125 0.619742
0.237500 0.607361
0.246875 0.595691
0.256250 0.584667
0.265625 0.574232
0.275000 0.564335
0.284375 0.554931
0.293750 0.545981
0.303125 0.537450
0.312500 0.529305
0.321875 0.521518
0.331250 0.514065
0.340625 0.506921
0.350000 0.500066
0.359375 0.493481
0.368750 0.487149
0.378125 0.481055
0.387500 0.475186
0.396875 0.469528
0.406250 0.464069
0.425000 0.453693
0.443750 0.443974
0.462500 0.434849
0.500000 0.418183
0.531250 0.405664
0.562500 0.394182
0.593750 0.383613
0.625000 0.373847
0.687500 0.356350
0.750000 0.341088
0.812500 0.327621
0.875000 0.315655
0.937500 0.304901
1.00000 0.295137
1.06250 0.286246
1.12500 0.278105
1.18750 0.270615
1.25000 0.263693
1.37500 0.251290
1.50000 0.240468
1.62500 0.230916
1.75000 0.222426
1.87500 0.214795
2.00000 0.207856
2.18750 0.198586
2.37500 0.190441
2.56250 0.183203
2.75000 0.176730
2.93750 0.170882
3.12500 0.165550
3.31250 0.160674
3.50000 0.156193
3.87500 0.148220
4.25000 0.141319
4.62500 0.135267
5.00000 0.129910
5.31250 0.125882
5.62500 0.122184
5.93750 0.118779
6.25000 0.115629
6.87500 0.109979
7.50000 0.105040
8.12500 0.100674
8.75000 0.0967832
9.37500 0.0932813
10.0000 0.0901014
10.6250 0.0872012
11.2500 0.0845414
11.8750 0.0820901
12.5000 0.0798212
13.7500 0.0757464
15.0000 0.0721806
16.2500 0.0690245
17.5000 0.0662071
18.7500 0.0636688
20.0000 0.0613619
21.8750 0.0582699
23.7500 0.0555423
25.6250 0.0531110
27.5000 0.0509271
29.3750 0.0489494
31.2500 0.0471453
33.1250 0.0454920
35.0000 0.0439694
36.8750 0.0425610
38.7500 0.0412532
42.5000 0.0388950
46.2500 0.0368224
50.0000 0.0349827
53.1250 0.0335978
56.2500 0.0323272
59.3750 0.0311566
62.5000 0.0300738
65.6250 0.0290685
68.7500 0.0281322
71.8750 0.0272575
75.0000 0.0264380
81.2500 0.0249442
87.5000 0.0236159
93.7500 0.0224256
100.000 0.0213512
106.250 0.0203765
112.500 0.0194881
118.750 0.0186746
125.000 0.0179269
131.250 0.0172371
137.500 0.0165988
143.750 0.0160065
150.000 0.0154553
156.250 0.0149411
162.500 0.0144605
175.000 0.0135879
187.500 0.0128166
200.000 0.0121300
209.375 0.0116631
218.750 0.0112324
228.125 0.0108340
237.500 0.0104646
246.875 0.0101213
256.250 0.00980164
265.625 0.00950334
275.000 0.00922469
293.750 0.00871894
312.500 0.00827266
331.250 0.00787689
350.000 0.00752420
368.750 0.00720855
387.500 0.00692493
406.250 0.00666920
425.000 0.00643789
443.750 0.00622807
462.500 0.00603724
481.250 0.00586330
500.000 0.00570446
531.250 0.00546895
562.500 0.00526484
593.750 0.00508735
625.000 0.00493261
656.250 0.00479745
687.500 0.00467927
718.750 0.00457594
750.000 0.00448567
781.250 0.00440698
812.500 0.00433860
875.000 0.00422878
937.500 0.00414947
1000.00 0.00409575
1062.50 0.00406410
1125.00 0.00405192
1187.50 0.00405732
1250.00 0.00407897
1312.50 0.00411597
1375.00 0.00416782
1437.50 0.00423432
1500.00 0.00431552
1531.25 0.00436172
1562.50 0.00441178
1593.75 0.00446576
1625.00 0.00452375
1656.25 0.00458588
1687.50 0.00465226
1718.75 0.00472305
1750.00 0.00479843
1781.25 0.00487858
1812.50 0.00496370
1843.75 0.00505404
1875.00 0.00514984
1906.25 0.00525139
1937.50 0.00535899
1968.75 0.00547298
2000.00 0.00559373
2036.49 0.00574433
2072.97 0.00590478
2109.46 0.00607642
2145.94 0.00626092
2182.43 0.00645761
2218.91 0.00666938
2255.40 0.00689653
2291.88 0.00713948
2328.36 0.00740271
2364.85 0.00768491
2401.33 0.00798908
2437.82 0.00831906
2474.30 0.00867398
2510.79 0.00906045
2529.03 0.00926444
2547.27 0.00947983
2583.76 0.00993375
2620.24 0.0104330
2638.49 0.0106965
2656.73 0.0109757
2693.21 0.0115701
2711.45 0.0118900
2729.70 0.0122267
2747.94 0.0125766
2766.18 0.0129450
2784.42 0.0133363
2802.67 0.0137438
2820.91 0.0141712
2839.15 0.0146290
2857.39 0.0151074
2875.64 0.0156079
2902.17 0.0163949
2928.70 0.0172499
2955.24 0.0181810
2981.77 0.0191973
3008.31 0.0203090
3021.58 0.0209043
3034.84 0.0215290
3048.11 0.0221844
3061.38 0.0228726
3074.64 0.0235956
3087.91 0.0243560
3106.15 0.0254701
3124.40 0.0266634
3142.64 0.0279479
3160.88 0.0293376
3179.12 0.0308323
3197.37 0.0324562
3215.61 0.0342175
3233.85 0.0361253
3252.09 0.0382162
3261.21 0.0393233
3270.33 0.0404912
3288.58 0.0429823
3297.70 0.0443203
3306.82 0.0457284
3315.94 0.0471934
3325.06 0.0487354
3343.30 0.0520707
3352.43 0.0538599
3361.55 0.0557645
3370.67 0.0577587
3379.79 0.0598514
3396.37 0.0639986
3404.66 0.0662216
3412.96 0.0685900
3421.25 0.0710497
3429.54 0.0736717
3446.12 0.0793323
3454.42 0.0824428
3462.71 0.0857000
3471.00 0.0891445
3479.29 0.0928452
3487.58 0.0967087
3495.88 0.100861
3504.17 0.105218
3512.46 0.109899
3521.58 0.115410
3530.70 0.121322
3539.82 0.127679
3548.95 0.134526
3558.07 0.141897
3567.19 0.149858
3576.31 0.158456
3585.43 0.167746
3594.55 0.177818
3603.67 0.188720
3612.79 0.200545
3621.92 0.213389
3631.04 0.227318
3640.16 0.242462
3649.28 0.258909
3658.40 0.276748
3663.91 0.288254
3669.41 0.300335
3674.92 0.313007
3680.43 0.326280
3685.93 0.340178
3691.44 0.354716
3696.94 0.369912
3702.45 0.385798
3713.46 0.419324
3724.48 0.455256
3735.49 0.493334
3746.50 0.532331
3766.63 0.603669
3776.69 0.636893
3786.75 0.666557
3791.78 0.679458
3796.81 0.690990
3801.84 0.700902
3806.88 0.708804
3811.91 0.715003
3816.94 0.718956
3821.97 0.720756
3827.00 0.720579
3833.54 0.716854
3840.08 0.709524
3846.62 0.698902
3853.16 0.685278
3859.70 0.668917
3866.24 0.650188
3872.79 0.629576
3879.33 0.607576
3892.41 0.560959
3905.49 0.513139
3918.57 0.466608
3925.11 0.443815
3931.65 0.422016
3941.23 0.391667
3950.81 0.363284
3960.39 0.336844
3969.97 0.312449
3979.56 0.290004
3989.14 0.269376
3998.72 0.250488
4008.30 0.233173
4017.32 0.218227
4026.34 0.204468
4035.37 0.191807
4044.39 0.180160
4053.41 0.169419
4062.44 0.159522
4071.46 0.150389
4080.48 0.141944
4086.64 0.136556
4092.79 0.131446
4105.09 0.121988
4117.40 0.113449
4123.55 0.109491
4129.70 0.105769
4142.00 0.0987463
4154.31 0.0923637
4166.61 0.0865523
4178.92 0.0812502
4187.94 0.0776743
4196.96 0.0743012
4205.98 0.0711114
4215.01 0.0681464
4224.03 0.0653522
4233.05 0.0626972
4242.08 0.0602142
4251.10 0.0578775
4260.12 0.0556498
4269.15 0.0535524
4287.19 0.0496967
4296.21 0.0479116
4305.24 0.0462329
4323.28 0.0430990
4341.33 0.0402821
4359.38 0.0377188
4377.42 0.0353881
4395.47 0.0332714
4413.51 0.0313282
4431.56 0.0295542
4449.61 0.0279256
4467.65 0.0264227
4481.60 0.0253453
4495.54 0.0243326
4509.49 0.0233797
4523.43 0.0224820
4537.38 0.0216416
4551.32 0.0208484
4565.26 0.0200882
4579.21 0.0193749
4607.10 0.0180553
4634.99 0.0168711
4662.88 0.0158081
4690.77 0.0148586
4723.58 0.0138968
4739.98 0.0135091
4748.19 0.0133569
4756.39 0.0132714
4764.39 0.0133036
4768.38 0.0134126
4772.38 0.0136475
4776.38 0.0141272
4780.38 0.0151520
4782.38 0.0161055
4784.38 0.0177387
4785.38 0.0190689
4786.38 0.0211450
4786.88 0.0227332
4787.38 0.0250063
4787.88 0.0284305
4788.38 0.0337805
4788.79 0.0405130
4788.99 0.0449874
4789.20 0.0504146
4789.40 0.0569828
4789.61 0.0649065
4789.81 0.0744270
4790.02 0.0858110
4790.25 0.101236
4790.48 0.119841
4790.71 0.142094
4790.94 0.168344
4791.17 0.199277
4791.40 0.235214
4791.63 0.276516
4791.86 0.323236
4792.10 0.375923
4792.33 0.434373
4792.56 0.498389
4792.79 0.567251
4793.02 0.640921
4793.25 0.717894
4793.71 0.878423
4794.06 0.998713
4794.40 1.11258
4794.57 1.16522
4794.75 1.21400
4794.92 1.25821
4795.09 1.29717
4795.34 1.34206
4795.58 1.37380
4795.73 1.38649
4795.88 1.39369
4796.00 1.39544
4796.03 1.39532
4796.10 1.39425
4796.16 1.39214
4796.29 1.38480
4796.47 1.36858
4796.64 1.34528
4796.74 1.32884
4796.96 1.28446
4797.19 1.23061
4797.41 1.16869
4797.64 1.10054
4798.01 0.976084
4798.38 0.845792
4798.76 0.716283
4799.13 0.593374
4799.32 0.535663
4799.50 0.481404
4799.69 0.430306
4799.87 0.383113
4800.06 0.339422
4800.25 0.299728
4800.43 0.263559
4800.62 0.231199
4800.92 0.186339
4801.22 0.149684
4801.52 0.120028
4801.81 0.0965581
4802.18 0.0748458
4802.54 0.0589703
4802.90 0.0475238
4803.26 0.0393675
4803.62 0.0335458
4803.98 0.0293932
4804.34 0.0264017
4804.70 0.0242147
4805.42 0.0213003
4806.14 0.0194742
4807.59 0.0172502
4809.03 0.0158960
4810.47 0.0149760
4813.36 0.0137983
4816.24 0.0130822
4819.13 0.0126079
4824.90 0.0120126
4834.25 0.0114654
4843.60 0.0111112
4862.31 0.0105999
4881.01 0.0101969
4899.71 0.00982952
4937.12 0.00919181
4974.53 0.00862459
5000.00 0.00827506
5028.32 0.00791932
5056.64 0.00758467
5084.96 0.00726973
5113.28 0.00698323
5169.91 0.00646031
5226.55 0.00600745
5283.19 0.00560651
5339.83 0.00525633
5396.46 0.00494706
5453.10 0.00467152
5509.74 0.00443041
5566.38 0.00421501
5623.01 0.00402381
5679.65 0.00385554
5736.29 0.00370526
5792.93 0.00357355
5849.56 0.00345765
5906.20 0.00335550
5967.99 0.00326088
6029.77 0.00318276
6091.56 0.00311539
6153.35 0.00306023
6215.13 0.00302142
6276.92 0.00299377
6338.70 0.00297694
6400.49 0.00297117
6472.57 0.00298301
6544.66 0.00301227
6616.74 0.00305731
6688.83 0.00312337
6745.46 0.00319153
6802.10 0.00327355
6858.74 0.00337167
6915.38 0.00348899
6972.01 0.00362530
7028.65 0.00378639
7056.97 0.00387563
7085.29 0.00397440
7141.93 0.00419209
7180.54 0.00436287
7219.16 0.00455384
7257.78 0.00476786
7296.39 0.00500865
7315.70 0.00513798
7335.01 0.00527809
7373.62 0.00558833
7412.24 0.00594839
7431.55 0.00615278
7450.86 0.00637842
7479.18 0.00676467
7507.49 0.00723913
7521.65 0.00753807
7535.81 0.00790542
7549.97 0.00837592
7564.13 0.00904521
7576.36 0.00993027
7582.47 0.0105705
7588.59 0.0114386
7594.70 0.0126792
7600.82 0.0145696
7603.87 0.0159028
7606.93 0.0176482
7609.99 0.0200546
7613.05 0.0234965
7614.90 0.0263445
7616.75 0.0300558
7618.60 0.0350574
7620.45 0.0420834
7621.37 0.0467510
7622.30 0.0525274
7623.22 0.0598539
7624.15 0.0694550
7625.07 0.0826385
7625.54 0.0912608
7626.00 0.101801
7626.46 0.114960
7626.92 0.131574
7627.39 0.152926
7627.85 0.180518
7628.15 0.202911
7628.45 0.229549
7628.76 0.261225
7629.06 0.298694
7629.36 0.343183
7629.66 0.395449
7629.96 0.456952
7630.26 0.528413
7630.56 0.611423
7630.87 0.706809
7631.17 0.815481
7631.47 0.937713
7631.77 1.07474
7632.07 1.22571
7632.37 1.39126
7632.68 1.56941
7632.92 1.72121
7633.16 1.87892
7633.64 2.20938
7634.12 2.54802
7634.61 2.87818
7634.85 3.03542
7635.09 3.18324
7635.33 3.31999
7635.57 3.44347
7635.77 3.53351
7635.97 3.61213
7636.17 3.67841
7636.36 3.73132
7636.52 3.76426
7636.68 3.78781
7636.84 3.80208
7637.00 3.80677
7637.05 3.80628
7637.21 3.79841
7637.37 3.78113
7637.53 3.75436
7637.69 3.71866
7637.89 3.65938
7638.10 3.58612
7638.31 3.49984
7638.51 3.40215
7638.77 3.26203
7639.03 3.10798
7639.30 2.94170
7639.56 2.76743
7639.88 2.54493
7640.48 2.12241
7640.79 1.91640
7641.09 1.71878
7641.39 1.53074
7641.69 1.35539
7641.99 1.19287
7642.29 1.04502
7642.47 0.963036
7642.65 0.886248
7642.84 0.814589
7643.02 0.747953
7643.20 0.686197
7643.38 0.629149
7643.56 0.576611
7643.74 0.528366
7644.10 0.443826
7644.46 0.373605
7644.83 0.315755
7645.19 0.268405
7645.55 0.229827
7645.91 0.198476
7646.27 0.173009
7646.64 0.152285
7647.00 0.135353
7647.36 0.121438
7648.08 0.100285
7648.73 0.0866734
7649.37 0.0762865
7650.02 0.0681144
7650.66 0.0615219
7651.95 0.0514997
7653.23 0.0442538
7654.52 0.0387986
7655.81 0.0345710
7657.09 0.0312179
7658.38 0.0285054
7660.96 0.0244150
7663.53 0.0215241
7666.10 0.0194122
7668.68 0.0178270
7672.22 0.0162256
7675.76 0.0150744
7682.84 0.0135868
7689.92 0.0127245
7697.00 0.0122094
7708.58 0.0117819
7720.16 0.0116365
7738.18 0.0117126
7756.20 0.0119858
7774.22 0.0123838
