Se-78(n,g) ENDFB-8.0
Energy(eV) XS(b)
3.12500 0.0387706
3.31250 0.0376612
3.50000 0.0366423
3.87500 0.0348317
4.25000 0.0332670
4.62500 0.0318971
5.00000 0.0306860
5.31250 0.0297768
5.62500 0.0289434
5.93750 0.0281770
6.25000 0.0274689
6.87500 0.0262012
7.50000 0.0250960
8.12500 0.0241215
8.75000 0.0232549
9.37500 0.0224770
10.0000 0.0217725
10.6250 0.0211316
11.2500 0.0205453
11.8750 0.0200062
12.5000 0.0195084
13.7500 0.0186176
15.0000 0.0178417
16.2500 0.0171582
17.5000 0.0165507
18.7500 0.0160059
20.0000 0.0155132
21.8750 0.0148563
23.7500 0.0142807
25.6250 0.0137710
27.5000 0.0133160
29.3750 0.0129067
31.2500 0.0125358
33.1250 0.0121981
35.0000 0.0118892
38.7500 0.0113433
42.5000 0.0108758
46.2500 0.0104704
50.0000 0.0101157
53.1250 0.00985237
56.2500 0.00961386
59.3750 0.00939713
62.5000 0.00919953
68.7500 0.00885332
75.0000 0.00856163
81.2500 0.00831465
87.5000 0.00810530
93.7500 0.00792809
100.000 0.00777880
106.250 0.00765445
112.500 0.00755268
118.750 0.00747169
125.000 0.00741015
134.375 0.00735420
143.750 0.00733440
150.000 0.00734437
156.250 0.00737209
162.500 0.00741801
168.750 0.00748288
175.000 0.00756771
181.250 0.00767380
187.500 0.00780281
193.750 0.00795679
200.000 0.00813821
207.495 0.00839872
211.243 0.00854385
214.990 0.00870783
222.485 0.00907216
229.980 0.00951105
233.727 0.00975642
237.475 0.0100312
241.222 0.0103245
244.970 0.0106446
248.717 0.0110025
252.464 0.0113851
256.212 0.0118072
259.959 0.0122671
263.885 0.0128060
267.811 0.0134010
271.737 0.0140622
275.663 0.0148029
279.589 0.0156264
283.515 0.0165557
285.478 0.0170604
287.441 0.0176030
291.367 0.0187833
294.579 0.0198740
297.791 0.0210924
299.397 0.0217517
301.003 0.0224569
302.609 0.0231923
304.215 0.0239902
305.821 0.0248193
307.427 0.0257203
309.033 0.0266661
