Ge-73(n,g) ENDFB-8.0
0.00937500 24.1536
0.00968750 23.7608
0.0100000 23.3865
0.0103125 23.0294
0.0106250 22.6881
0.0109375 22.3616
0.0112500 22.0488
0.0115625 21.7487
0.0118750 21.4606
0.0121875 21.1836
0.0125000 20.9171
0.0128125 20.6604
0.0131250 20.4129
0.0134375 20.1742
0.0137500 19.9435
0.0143750 19.5051
0.0150000 19.0943
0.0156250 18.7085
0.0162500 18.3451
0.0168750 18.0020
0.0175000 17.6775
0.0181250 17.3699
0.0187500 17.0779
0.0193750 16.8000
0.0200000 16.5353
0.0206625 16.2679
0.0213250 16.0131
0.0219875 15.7699
0.0226500 15.5375
0.0233125 15.3150
0.0239750 15.1018
0.0246375 14.8973
0.0253000 14.7009
0.0264578 14.3755
0.0276156 14.0708
0.0287734 13.7847
0.0299313 13.5154
0.0310891 13.2613
0.0322469 13.0209
0.0334047 12.7932
0.0345625 12.5771
0.0355274 12.4050
0.0364922 12.2399
0.0374570 12.0811
0.0384219 11.9283
0.0393867 11.7812
0.0403516 11.6394
0.0413164 11.5026
0.0422813 11.3705
0.0442109 11.1193
0.0461406 10.8841
0.0480703 10.6632
0.0500000 10.4552
0.0515625 10.2954
0.0531250 10.1427
0.0546875 9.99655
0.0562500 9.85659
0.0578125 9.72234
0.0593750 9.59344
0.0609375 9.46954
0.0625000 9.35033
0.0640625 9.23551
0.0656250 9.12482
0.0671875 9.01803
0.0687500 8.91489
0.0718750 8.71878
0.0750000 8.53503
0.0781250 8.36238
0.0812500 8.19975
0.0843750 8.04622
0.0875000 7.90099
0.0906250 7.76332
0.0937500 7.63260
0.0968750 7.50825
0.100000 7.38978
0.103125 7.27673
0.106250 7.16871
0.109375 7.06535
0.112500 6.96633
0.115625 6.87135
0.118750 6.78015
0.121875 6.69249
0.125000 6.60814
0.128125 6.52692
0.131250 6.44862
0.134375 6.37308
0.137500 6.30013
0.143750 6.16142
0.150000 6.03142
0.156250 5.90924
0.162500 5.79415
0.168750 5.68551
0.175000 5.58274
0.181250 5.48534
0.187500 5.39287
0.193750 5.30493
0.200000 5.22116
0.209375 5.10260
0.218750 4.99168
0.228125 4.88762
0.237500 4.78978
0.246875 4.69755
0.256250 4.61043
0.265625 4.52796
0.275000 4.44974
0.284375 4.37542
0.293750 4.30468
0.303125 4.23724
0.312500 4.17286
0.321875 4.11131
0.331250 4.05239
0.340625 3.99591
0.350000 3.94172
0.359375 3.88966
0.368750 3.83959
0.378125 3.79141
0.387500 3.74500
0.396875 3.70027
0.406250 3.65711
0.425000 3.57508
0.443750 3.49821
0.462500 3.42602
0.500000 3.29422
0.531250 3.19521
0.562500 3.10435
0.593750 3.02074
0.625000 2.94346
0.687500 2.80500
0.750000 2.68420
0.812500 2.57758
0.875000 2.48284
0.937500 2.39769
1.00000 2.32036
1.06250 2.24994
1.12500 2.18545
1.18750 2.12611
1.25000 2.07127
1.37500 1.97298
1.50000 1.88721
1.62500 1.81149
1.75000 1.74418
1.87500 1.68368
2.00000 1.62868
2.18750 1.55521
2.37500 1.49066
2.56250 1.43330
2.75000 1.38201
2.93750 1.33569
3.12500 1.29349
3.31250 1.25492
3.50000 1.21949
3.68750 1.18680
3.87500 1.15652
4.25000 1.10209
4.62500 1.05446
5.00000 1.01238
5.31250 0.980813
5.62500 0.951904
5.93750 0.925346
6.25000 0.900846
6.87500 0.857079
7.50000 0.819075
8.12500 0.785720
8.75000 0.756222
9.37500 0.729908
10.0000 0.706246
10.6250 0.684889
11.2500 0.665522
11.8750 0.647889
12.5000 0.631779
13.7500 0.603457
15.0000 0.579457
16.2500 0.558983
17.5000 0.541461
18.7500 0.526417
20.0000 0.513472
21.8750 0.497470
23.7500 0.484963
25.6250 0.475431
27.5000 0.468524
29.3750 0.463955
31.2500 0.461516
33.1250 0.461091
35.0000 0.462598
36.8750 0.465996
38.7500 0.471283
40.6250 0.478490
42.5000 0.487685
44.3750 0.498973
46.2500 0.512494
48.1250 0.528436
50.0000 0.547022
51.5625 0.564744
53.1250 0.584725
54.6875 0.607199
56.2500 0.632457
57.8125 0.660842
59.3750 0.692766
60.9375 0.728723
62.5000 0.769305
63.7695 0.806322
65.0391 0.847440
66.3086 0.892193
67.5781 0.942744
68.8477 0.999139
70.1172 1.06243
70.7520 1.09700
71.3867 1.13367
72.0215 1.17263
72.6563 1.21411
73.2422 1.25487
73.8281 1.29816
74.4141 1.34407
75.0000 1.39291
75.8789 1.47236
76.7578 1.56003
77.6367 1.65704
78.0762 1.70931
78.5156 1.76473
78.9551 1.82293
79.3945 1.88472
79.8340 1.94987
80.2734 2.01884
80.7129 2.09141
81.1524 2.16899
81.5918 2.25152
82.0313 2.33932
82.5684 2.45449
83.1055 2.57919
83.6426 2.71450
84.1797 2.86167
84.7168 3.02212
85.2539 3.19751
85.7910 3.38977
86.3281 3.60113
86.6211 3.72538
86.9141 3.85658
87.2070 3.99525
87.5000 4.14196
87.7564 4.27743
88.0127 4.42002
88.2691 4.57024
88.5254 4.72864
88.7818 4.89582
89.0381 5.07245
89.2945 5.25927
89.5508 5.45706
89.8071 5.66671
90.0635 5.88920
90.3198 6.12560
90.5762 6.37707
90.8325 6.64494
91.0889 6.93042
91.3452 7.23465
91.6016 7.55983
91.8701 7.92621
92.1387 8.32127
92.4072 8.74764
92.6758 9.20860
92.9444 9.70804
93.2129 10.2503
93.4815 10.8406
93.7500 11.4846
94.0186 12.1891
94.2871 12.9619
94.5557 13.8122
94.8242 14.7507
95.0928 15.7901
95.2271 16.3522
95.3613 16.9452
95.4956 17.5717
95.6299 18.2341
95.7642 18.9351
95.8984 19.6779
96.1182 20.9926
96.3379 22.4451
96.4478 23.2293
96.5576 24.0556
96.6675 24.9271
96.7774 25.8471
96.8872 26.8192
96.9971 27.8471
97.1069 28.9350
97.2168 30.0879
97.3267 31.3117
97.4365 32.6122
97.5464 33.9965
97.6563 35.4720
97.7905 37.4107
97.9248 39.5138
98.0591 41.7998
98.1934 44.2902
98.3277 47.0098
98.4619 49.9875
98.5962 53.2564
98.7305 56.8551
98.8648 60.8293
98.9990 65.2322
99.0662 67.6135
99.1333 70.1264
99.2005 72.7805
99.2676 75.5859
99.3347 78.5550
99.4019 81.6999
99.4690 85.0345
99.5361 88.5732
99.6033 92.3336
99.6704 96.3335
99.7376 100.593
99.8047 105.133
99.9024 112.293
100.000 120.187
100.074 126.756
100.149 133.850
100.223 141.546
100.297 149.887
100.372 158.966
100.446 168.840
100.521 179.627
100.595 191.399
100.669 204.303
100.744 218.435
100.818 233.955
100.892 251.024
100.967 269.846
101.041 290.565
101.115 313.417
101.189 338.624
101.264 366.414
101.338 397.016
101.412 430.639
101.487 467.458
101.561 507.586
101.635 551.039
101.710 597.700
101.784 647.274
101.871 708.603
101.959 771.867
102.046 835.384
102.133 896.672
102.221 953.136
102.264 978.614
102.308 1001.72
102.352 1022.20
102.395 1039.65
102.439 1053.86
102.483 1064.52
102.536 1072.57
102.590 1074.80
102.634 1072.27
102.677 1065.90
102.721 1055.80
102.765 1042.16
102.808 1025.17
102.852 1005.13
102.896 982.345
102.939 957.234
103.027 901.192
103.114 840.059
103.289 712.914
103.356 665.117
103.423 619.078
103.491 575.261
103.558 533.967
103.625 495.363
103.693 459.504
103.760 426.362
103.827 395.848
103.892 368.790
103.957 343.952
104.022 321.142
104.087 300.206
104.151 280.964
104.216 263.329
104.281 247.134
104.346 232.250
104.422 216.184
104.499 201.606
104.576 188.357
104.652 176.294
104.729 165.290
104.805 155.233
104.882 146.023
104.959 137.573
105.024 130.950
105.088 124.784
105.153 119.027
105.218 113.645
105.283 108.599
105.348 103.878
105.412 99.4493
105.477 95.2892
105.542 91.3717
105.607 87.6900
105.672 84.2208
105.737 80.9485
105.801 77.8542
105.866 74.9344
105.931 72.1722
105.996 69.5569
106.126 64.7237
106.255 60.3716
106.385 56.4338
106.514 52.8656
106.644 49.6178
106.774 46.6582
106.903 43.9501
107.033 41.4698
107.127 39.7932
107.222 38.2152
107.316 36.7285
107.410 35.3263
107.505 34.0023
107.599 32.7508
107.787 30.4454
107.976 28.3703
108.165 26.4969
108.353 24.8006
108.542 23.2610
108.671 22.2827
108.801 21.3649
108.931 20.5014
109.060 19.6894
109.190 18.9236
109.320 18.2018
109.449 17.5196
109.579 16.8752
109.838 15.6874
110.097 14.6197
110.357 13.6565
110.616 12.7851
110.875 11.9935
111.135 11.2727
111.394 10.6145
111.653 10.0119
111.912 9.45887
112.172 8.95012
112.431 8.48122
112.690 8.04872
112.938 7.66617
113.185 7.31010
113.433 6.97752
113.680 6.66670
113.928 6.37602
114.175 6.10385
114.423 5.84866
114.670 5.60908
114.918 5.38386
115.165 5.17190
115.413 4.97217
115.660 4.78375
115.908 4.60582
116.155 4.43762
116.650 4.12767
116.910 3.97810
117.169 3.83650
117.688 3.57509
118.206 3.33954
118.725 3.12662
119.243 2.93346
119.762 2.75774
120.280 2.59745
120.799 2.45086
121.176 2.35195
121.553 2.25900
121.930 2.17149
122.308 2.08906
122.685 2.01134
123.062 1.93830
123.816 1.80359
124.570 1.68231
125.325 1.57314
126.079 1.47454
126.833 1.38522
127.352 1.32862
127.871 1.27554
128.389 1.22570
128.908 1.17889
129.426 1.13485
129.945 1.09333
130.463 1.05421
130.982 1.01730
132.019 0.949408
133.056 0.888614
134.093 0.833973
135.131 0.784705
136.262 0.736341
137.393 0.692874
138.525 0.653718
139.656 0.618342
140.788 0.586324
141.919 0.557277
143.051 0.531131
144.182 0.507034
145.219 0.486999
146.257 0.468498
147.294 0.451387
148.331 0.435810
149.368 0.421472
150.405 0.408184
151.442 0.396074
152.479 0.385001
153.517 0.374760
154.554 0.365447
156.628 0.349301
157.665 0.342332
158.702 0.336152
160.777 0.325697
162.662 0.318526
164.548 0.313450
166.434 0.310420
168.320 0.309540
169.923 0.310598
171.525 0.313426
173.128 0.318201
174.731 0.325163
175.533 0.329540
176.334 0.334642
177.136 0.340368
177.937 0.346849
178.738 0.354325
179.540 0.362783
180.341 0.372329
181.143 0.383095
182.086 0.397534
183.028 0.414181
183.971 0.433411
184.914 0.455695
185.386 0.468169
185.857 0.481636
186.329 0.496204
186.800 0.511988
187.271 0.529107
187.743 0.547649
188.214 0.567770
188.686 0.589836
189.204 0.616580
189.723 0.646213
190.241 0.679158
190.760 0.715927
191.279 0.757136
191.797 0.803534
192.316 0.856041
192.575 0.884931
192.834 0.915782
193.212 0.964591
193.589 1.01863
193.966 1.07870
194.343 1.14566
194.720 1.22063
194.909 1.26156
195.097 1.30506
195.286 1.35141
195.474 1.40084
195.663 1.45361
195.852 1.51000
196.111 1.59416
196.370 1.68691
196.629 1.78948
196.889 1.90334
197.148 2.03024
197.407 2.17229
197.537 2.24981
197.667 2.33205
197.796 2.41948
197.926 2.51254
198.114 2.65908
198.303 2.82036
198.456 2.96373
198.610 3.11942
198.763 3.28904
198.916 3.47438
199.069 3.67749
199.146 3.78643
199.222 3.90074
199.299 4.02077
199.376 4.14692
199.452 4.27961
199.529 4.41929
199.647 4.64916
199.706 4.77130
199.764 4.89868
199.823 5.03162
199.882 5.17045
199.941 5.31551
200.000 5.46722
200.082 5.68885
200.163 5.92491
200.244 6.17732
200.326 6.44700
200.407 6.73629
200.489 7.04640
200.570 7.37983
200.652 7.73902
200.733 8.12724
200.814 8.54670
200.855 8.76943
200.896 9.00149
200.937 9.24341
200.977 9.49578
201.018 9.75987
201.059 10.0351
201.099 10.3227
201.140 10.6236
201.181 10.9386
201.222 11.2687
201.262 11.6147
201.303 11.9778
201.344 12.3601
201.384 12.7610
201.425 13.1829
201.466 13.6272
201.507 14.0958
201.547 14.5903
201.588 15.1128
201.629 15.6657
201.669 16.2527
201.710 16.8740
201.751 17.5338
201.792 18.2357
201.832 18.9835
201.873 19.7815
201.914 20.6345
201.954 21.5482
201.999 22.6240
202.043 23.7865
202.088 25.0489
202.132 26.4238
202.176 27.9263
202.199 28.7308
202.221 29.5740
202.243 30.4586
202.265 31.3876
202.287 32.3641
202.310 33.3919
202.330 34.3847
202.350 35.4271
202.371 36.5228
202.391 37.6698
202.412 38.8834
202.432 40.1564
202.452 41.5061
202.473 42.9245
202.493 44.4315
202.513 46.0184
202.534 47.7076
202.554 49.4899
202.574 51.3907
202.595 53.3998
202.615 55.5464
202.635 57.8191
202.656 60.2510
202.676 62.8427
202.697 65.6066
202.717 68.5407
202.737 71.6879
202.758 75.0321
202.778 78.6217
202.798 82.4379
202.819 86.5359
202.839 90.8933
202.859 95.5723
202.880 100.546
202.900 105.885
202.920 111.557
202.941 117.640
202.961 124.096
202.978 129.723
202.994 135.650
203.011 141.887
203.028 148.408
203.044 155.302
203.061 162.498
203.078 170.095
203.094 178.012
203.111 186.355
203.128 195.033
203.144 204.159
203.161 213.632
203.178 223.573
203.194 233.867
203.211 244.644
203.228 255.777
203.248 270.034
203.268 284.924
203.289 300.442
203.309 316.497
203.329 333.232
203.350 350.463
203.390 386.641
203.431 424.760
203.472 464.458
203.553 546.675
203.635 628.626
203.675 667.742
203.716 704.601
203.754 736.453
203.792 765.017
203.831 789.718
203.869 810.040
203.902 823.661
203.934 833.512
203.967 839.434
204.000 841.328
204.013 840.945
204.035 838.930
204.056 835.225
204.099 822.843
204.141 804.086
204.184 779.550
204.213 760.062
204.241 738.454
204.270 714.973
204.299 689.877
204.353 639.129
204.407 585.410
204.515 475.872
204.569 422.999
204.596 397.511
204.623 372.931
204.650 349.168
204.677 326.469
204.704 304.724
204.731 284.131
204.759 264.564
204.786 246.178
204.813 228.896
204.840 212.706
204.869 196.185
204.899 180.960
204.928 166.923
204.958 154.019
204.987 142.186
205.017 131.360
205.046 121.474
205.076 112.462
205.103 104.896
205.130 97.9847
205.157 91.6290
205.184 85.8294
205.211 80.4985
205.238 75.6340
205.265 71.1608
205.292 67.0754
205.319 63.3139
205.346 59.8728
205.373 56.6981
205.400 53.7871
205.427 51.0943
205.454 48.6182
205.481 46.3289
205.508 44.2089
205.535 42.2352
205.562 40.4083
205.590 38.7016
205.617 37.1161
205.644 35.6299
205.671 34.2446
205.698 32.9415
205.725 31.7228
205.752 30.5728
205.779 29.4939
205.833 27.5121
205.887 25.7402
205.941 24.1506
205.985 22.9627
206.030 21.8671
206.074 20.8539
206.118 19.9167
206.162 19.0439
206.207 18.2331
206.251 17.4749
206.295 16.7678
206.339 16.1042
206.384 15.4833
206.428 14.8988
206.472 14.3502
206.516 13.8323
206.561 13.3450
206.649 12.4487
206.703 11.9477
206.757 11.4785
206.811 11.0385
206.866 10.6253
206.920 10.2367
206.974 9.87076
207.028 9.52578
207.082 9.20074
207.190 8.60193
207.298 8.06507
207.406 7.58189
207.515 7.14589
207.583 6.88966
207.652 6.64907
207.721 6.42224
207.790 6.20876
207.928 5.81682
208.065 5.46675
208.203 5.15247
208.341 4.86954
208.478 4.61403
208.616 4.38277
208.724 4.21598
208.832 4.06115
208.941 3.91724
209.049 3.78332
209.157 3.65855
209.265 3.54221
209.373 3.43362
209.481 3.33227
209.698 3.14871
209.914 2.98797
210.131 2.84682
210.347 2.72287
210.494 2.64704
210.642 2.57768
210.789 2.51424
210.937 2.45629
211.232 2.35533
211.527 2.27207
211.822 2.20423
212.117 2.15008
212.412 2.10835
212.707 2.07808
213.022 2.05758
213.336 2.04861
213.651 2.05074
213.966 2.06375
214.281 2.08764
214.595 2.12262
214.910 2.16909
215.225 2.22769
215.539 2.29929
215.854 2.38502
216.130 2.47275
216.405 2.57352
216.680 2.68874
216.956 2.82021
217.231 2.97034
217.506 3.14170
217.644 3.23635
217.782 3.33756
217.919 3.44583
218.057 3.56163
218.273 3.76068
218.490 3.98295
218.598 4.10381
218.706 4.23178
218.814 4.36739
218.923 4.51106
219.031 4.66369
219.139 4.82584
219.247 4.99828
219.355 5.18166
219.463 5.37725
219.572 5.58593
219.680 5.80883
219.788 6.04703
219.906 6.32670
220.024 6.62846
220.142 6.95498
220.260 7.30900
220.378 7.69366
220.496 8.11257
220.614 8.56987
220.732 9.07033
220.840 9.57193
220.948 10.1195
221.057 10.7188
221.165 11.3760
221.219 11.7292
221.273 12.1001
221.327 12.4900
221.381 12.9000
221.435 13.3316
221.489 13.7865
221.543 14.2662
221.597 14.7718
221.649 15.2827
221.701 15.8209
221.752 16.3904
221.804 16.9916
221.856 17.6293
221.907 18.3039
221.959 19.0199
222.011 19.7806
222.062 20.5916
222.114 21.4541
222.165 22.3746
222.217 23.3583
222.269 24.4136
222.320 25.5433
222.372 26.7571
222.424 28.0637
222.478 29.5445
222.532 31.1516
222.586 32.9005
222.640 34.8089
222.694 36.8973
222.748 39.1897
222.802 41.7144
222.856 44.4989
222.883 46.0078
222.910 47.5924
222.937 49.2703
222.964 51.0357
222.992 52.9086
223.019 54.8827
223.046 56.9810
223.073 59.1968
223.100 61.5563
223.127 64.0525
223.154 66.7150
223.181 69.5364
223.208 72.5506
223.235 75.7492
223.262 79.1711
223.289 82.8068
223.316 86.7002
223.343 90.8405
223.370 95.2773
223.397 99.9977
223.424 105.057
223.451 110.441
223.478 116.188
223.505 122.321
223.532 128.888
223.559 135.865
223.587 143.325
223.614 151.237
223.641 159.682
223.668 168.617
223.695 178.094
223.722 188.128
223.749 198.777
223.776 210.015
223.803 221.853
223.830 234.247
223.857 247.290
223.884 260.882
223.911 275.111
223.938 289.858
223.992 321.016
224.046 354.086
224.100 388.676
224.154 424.203
224.264 496.464
224.318 531.124
224.373 563.636
224.408 583.184
224.444 601.137
224.479 617.360
224.515 631.543
224.550 643.568
224.586 653.198
224.621 660.329
224.656 664.860
224.700 666.769
224.722 666.185
224.757 663.056
224.793 657.292
224.828 648.946
224.864 638.185
224.899 625.105
224.935 609.964
224.970 592.934
225.005 574.243
225.069 537.441
225.132 497.527
225.259 413.972
225.323 372.283
225.387 332.348
225.419 313.277
225.451 294.903
225.483 277.278
225.515 260.444
225.547 244.381
225.579 229.204
225.611 214.867
225.643 201.366
225.675 188.689
225.707 176.815
225.739 165.721
225.771 155.376
225.798 147.002
225.826 139.168
225.854 131.795
225.881 124.911
225.909 118.442
225.937 112.410
225.964 106.766
225.992 101.488
226.019 96.5333
226.047 91.9170
226.075 87.5838
226.102 83.5445
226.130 79.7506
226.158 76.2111
226.185 72.8948
226.213 69.7856
226.245 66.4204
226.277 63.2917
226.309 60.3798
226.341 57.6663
226.373 55.1348
226.405 52.7699
226.437 50.5578
226.469 48.4860
226.501 46.5430
226.533 44.7185
226.565 43.0031
226.597 41.3881
226.629 39.8659
226.661 38.4293
226.725 35.7921
226.760 34.4654
226.795 33.2175
226.864 30.9237
226.934 28.8676
227.004 27.0167
227.074 25.3416
227.144 23.8243
227.214 22.4434
227.283 21.1825
227.347 20.1200
227.411 19.1376
227.475 18.2274
227.539 17.3821
227.603 16.5958
227.667 15.8629
227.731 15.1787
227.795 14.5388
227.859 13.9394
227.923 13.3773
227.987 12.8492
228.051 12.3525
228.115 11.8848
228.179 11.4437
228.243 11.0273
228.307 10.6337
228.435 9.90818
228.563 9.25659
228.691 8.66871
228.819 8.13644
228.947 7.65294
229.075 7.21239
229.203 6.80984
229.331 6.44103
229.436 6.16160
229.541 5.90076
229.646 5.65667
229.750 5.42788
229.855 5.21294
229.960 5.01108
230.065 4.82108
230.169 4.64202
230.274 4.47289
230.379 4.31328
230.588 4.01947
230.798 3.75559
231.007 3.51792
231.135 3.38393
231.263 3.25788
231.391 3.13905
231.519 3.02690
231.775 2.82071
232.031 2.63586
232.287 2.46950
232.543 2.31923
232.799 2.18302
233.055 2.05917
233.230 1.98103
233.404 1.90760
233.579 1.83842
233.753 1.77326
234.102 1.65370
234.452 1.54683
234.801 1.45078
235.150 1.36404
235.499 1.28548
235.848 1.21415
236.104 1.16592
236.360 1.12083
236.616 1.07860
236.872 1.03899
237.128 1.00179
237.384 0.966810
237.640 0.933871
237.896 0.902818
238.408 0.845818
238.920 0.794823
239.432 0.749018
239.944 0.707722
240.270 0.683518
240.596 0.660785
241.247 0.619254
241.899 0.582334
242.551 0.549413
243.202 0.520004
243.854 0.493457
244.506 0.469441
245.157 0.447700
245.669 0.432032
246.181 0.417488
246.693 0.403967
247.205 0.391378
247.717 0.379641
248.229 0.368686
249.253 0.348875
250.278 0.331508
251.302 0.316235
252.326 0.302768
253.350 0.290868
254.187 0.282159
255.025 0.274277
255.863 0.267151
256.701 0.260789
257.539 0.254954
258.377 0.249690
259.215 0.244909
260.052 0.240661
261.728 0.233420
263.404 0.227739
265.079 0.223445
266.755 0.220409
268.245 0.218682
269.734 0.217814
271.782 0.217975
273.830 0.219632
275.878 0.222799
277.926 0.227536
279.974 0.233891
282.022 0.242047
283.047 0.246841
284.071 0.252184
285.095 0.258073
286.119 0.264551
287.608 0.275175
289.098 0.287361
290.587 0.301327
292.077 0.317347
293.566 0.335679
294.311 0.345835
295.056 0.356818
295.800 0.368645
296.545 0.381389
297.290 0.395147
298.035 0.410020
299.059 0.432527
300.083 0.457754
301.107 0.486168
301.619 0.501743
302.131 0.518341
302.643 0.536060
303.155 0.555002
303.667 0.575293
304.179 0.597071
304.691 0.620497
305.203 0.645749
305.715 0.673007
306.227 0.702452
306.646 0.728432
307.065 0.756364
307.484 0.786439
307.903 0.818867
308.322 0.853916
308.740 0.891875
308.950 0.912074
309.159 0.933149
309.369 0.955184
309.578 0.978221
309.788 1.00235
309.997 1.02763
310.207 1.05415
310.416 1.08198
310.626 1.11124
310.835 1.14203
310.940 1.15805
311.045 1.17448
311.149 1.19137
311.254 1.20872
311.417 1.23670
311.580 1.26593
311.743 1.29651
311.906 1.32852
312.034 1.35474
312.162 1.38197
312.290 1.41026
312.418 1.43967
312.546 1.47027
312.674 1.50214
312.802 1.53534
312.930 1.56997
313.058 1.60614
313.186 1.64391
313.314 1.68340
313.442 1.72473
313.570 1.76804
313.698 1.81347
313.826 1.86117
313.890 1.88592
313.954 1.91131
314.018 1.93736
314.082 1.96409
314.146 1.99152
314.210 2.01970
314.274 2.04864
314.338 2.07837
314.402 2.10894
314.466 2.14037
314.530 2.17270
314.594 2.20597
314.658 2.24021
314.722 2.27548
314.786 2.31181
314.850 2.34925
314.914 2.38785
314.978 2.42767
315.042 2.46876
315.106 2.51119
315.170 2.55500
315.234 2.60028
315.298 2.64709
315.362 2.69551
315.426 2.74562
315.490 2.79750
315.554 2.85125
315.618 2.90697
315.682 2.96476
315.746 3.02474
315.810 3.08701
315.874 3.15172
315.938 3.21900
316.002 3.28900
316.066 3.36199
316.130 3.43793
316.194 3.51710
316.258 3.59971
316.322 3.68597
316.386 3.77611
316.450 3.87040
316.514 3.96910
316.578 4.07252
316.642 4.18098
316.706 4.29483
316.770 4.41447
316.834 4.54032
316.898 4.67285
316.962 4.81256
317.026 4.96003
317.113 5.17483
317.200 5.40703
317.288 5.65867
317.375 5.93184
317.419 6.07779
317.462 6.22994
317.506 6.38942
317.549 6.55595
317.593 6.73081
317.637 6.91373
317.680 7.10571
317.724 7.30739
317.788 7.62254
317.852 7.96271
317.916 8.33084
317.980 8.73037
318.044 9.16532
318.108 9.64042
318.172 10.1613
318.204 10.4410
