>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
1.000000e+00,7.16920145e+00
1.062500e+00,7.15396004e+00
1.125000e+00,7.14001114e+00
1.187500e+00,7.12744944e+00
1.250000e+00,7.11530501e+00
1.375000e+00,7.09405922e+00
1.500000e+00,7.07554326e+00
1.625000e+00,7.05923079e+00
1.750000e+00,7.04477422e+00
1.875000e+00,7.03183115e+00
2.000000e+00,7.02013012e+00
2.140630e+00,7.00844425e+00
2.187500e+00,7.00468175e+00
2.281250e+00,6.99784924e+00
2.375000e+00,6.99132897e+00
2.515630e+00,6.98239767e+00
2.562500e+00,6.97959732e+00
2.750000e+00,6.96934692e+00
2.937500e+00,6.96046775e+00
3.125000e+00,6.95273552e+00
3.312500e+00,6.94608538e+00
3.500000e+00,6.94044087e+00
3.687500e+00,6.93586210e+00
3.875000e+00,6.93202658e+00
4.062500e+00,6.92934546e+00
4.250000e+00,6.92739656e+00
4.437500e+00,6.92664154e+00
4.625000e+00,6.92678495e+00
4.718750e+00,6.92741855e+00
4.812500e+00,6.92813631e+00
5.000000e+00,6.93060923e+00
5.193640e+00,6.93472798e+00
5.231720e+00,6.93580218e+00
5.312500e+00,6.93813142e+00
5.387280e+00,6.94036604e+00
5.444190e+00,6.94252230e+00
5.463440e+00,6.94325849e+00
5.580920e+00,6.94782298e+00
5.625000e+00,6.94984354e+00
5.666280e+00,6.95177933e+00
5.677740e+00,6.95231951e+00
5.695170e+00,6.95322838e+00
5.774560e+00,6.95742202e+00
5.871380e+00,6.96309909e+00
5.888380e+00,6.96419872e+00
5.926890e+00,6.96670120e+00
5.937500e+00,6.96739887e+00
5.968200e+00,6.96945025e+00
6.065020e+00,6.97656928e+00
6.110470e+00,6.98025737e+00
6.119990e+00,6.98103285e+00
6.161840e+00,6.98447466e+00
6.250000e+00,6.99242587e+00
6.258670e+00,6.99321764e+00
6.313090e+00,6.99866927e+00
6.332560e+00,7.00063673e+00
6.355490e+00,7.00296068e+00
6.452310e+00,7.01365891e+00
6.506190e+00,7.02026075e+00
6.549130e+00,7.02556640e+00
6.554660e+00,7.02632306e+00
6.562500e+00,7.02739870e+00
6.655630e+00,7.04027458e+00
6.699290e+00,7.04698673e+00
6.762130e+00,7.05672671e+00
6.776750e+00,7.05925025e+00
6.868630e+00,7.07514958e+00
6.875000e+00,7.07637959e+00
6.892400e+00,7.07976227e+00
6.943320e+00,7.08974087e+00
6.975140e+00,7.09599099e+00
7.081640e+00,7.11936559e+00
7.085500e+00,7.12031522e+00
7.109890e+00,7.12634966e+00
7.182050e+00,7.14424136e+00
7.187500e+00,7.14559885e+00
7.188140e+00,7.14575908e+00
7.276460e+00,7.17058654e+00
7.278600e+00,7.17118957e+00
7.294640e+00,7.17572979e+00
7.375150e+00,7.20140279e+00
7.401140e+00,7.20972507e+00
7.443030e+00,7.22476553e+00
7.471700e+00,7.23508383e+00
7.493120e+00,7.24282948e+00
7.500000e+00,7.24560482e+00
7.568250e+00,7.27324386e+00
7.585100e+00,7.28010253e+00
7.609600e+00,7.29126227e+00
7.664800e+00,7.31646754e+00
7.677080e+00,7.32210364e+00
7.723070e+00,7.34510699e+00
7.761350e+00,7.36542223e+00
7.769060e+00,7.36953537e+00
7.776170e+00,7.37356357e+00
7.812500e+00,7.39418360e+00
7.815050e+00,7.39563512e+00
7.857900e+00,7.42156124e+00
7.859460e+00,7.42251026e+00
7.861040e+00,7.42347294e+00
7.907030e+00,7.45327936e+00
7.942740e+00,7.47791238e+00
7.953020e+00,7.48501489e+00
7.954460e+00,7.48607484e+00
7.999010e+00,7.51904495e+00
8.026030e+00,7.54039255e+00
8.045000e+00,7.55540455e+00
8.051010e+00,7.56049593e+00
8.090990e+00,7.59450649e+00
8.099280e+00,7.60207392e+00
8.109310e+00,7.61125661e+00
8.125000e+00,7.62564402e+00
8.136980e+00,7.63665345e+00
8.147560e+00,7.64715250e+00
8.183350e+00,7.68277535e+00
8.190230e+00,7.68963466e+00
8.195830e+00,7.69570627e+00
8.243480e+00,7.74752680e+00
8.244110e+00,7.74827369e+00
8.257380e+00,7.76407084e+00
8.296730e+00,7.81099183e+00
8.321350e+00,7.84306844e+00
8.331410e+00,7.85624554e+00
8.349980e+00,7.88061535e+00
8.398590e+00,7.95047509e+00
8.403240e+00,7.95719107e+00
8.405440e+00,7.96068224e+00
8.437500e+00,8.01165094e+00
8.451690e+00,8.03424098e+00
8.456490e+00,8.04191558e+00
8.479470e+00,8.08239117e+00
8.504790e+00,8.12705621e+00
8.509740e+00,8.13582753e+00
8.516490e+00,8.14904680e+00
8.553500e+00,8.22160347e+00
8.557900e+00,8.23023998e+00
8.562990e+00,8.24027765e+00
