Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
2.54088 5103.00
2.54788 4772.54
2.55489 4472.44
2.56189 4199.19
2.56890 3949.74
2.57591 3721.44
2.58291 3512.01
2.58992 3319.45
2.59597 3165.37
2.60202 3021.59
2.60807 2887.20
2.61412 2761.44
2.62017 2643.55
2.62622 2532.91
2.63227 2428.93
2.63832 2331.12
2.64438 2238.96
2.65043 2152.05
2.65648 2070.01
2.66253 1992.48
2.66858 1919.12
2.67463 1849.68
2.68673 1721.41
2.69374 1653.03
2.70074 1588.56
2.70775 1527.72
2.71475 1470.24
2.72176 1415.88
2.72877 1364.41
2.74278 1269.39
2.75679 1183.77
2.77080 1106.35
2.78481 1036.13
2.79883 972.248
2.81411 908.929
2.82940 851.469
2.84468 799.176
2.85997 751.459
2.87526 707.807
2.89054 667.777
2.90583 630.976
2.92111 597.060
2.93835 561.906
2.95559 529.674
2.97282 500.055
2.99006 472.780
3.00729 447.610
3.02453 424.338
3.04176 402.782
3.05900 382.784
3.05900 382.782
3.05901 382.777
3.05901 382.772
3.05902 382.762
3.05904 382.742
3.05907 382.702
3.05915 382.621
3.05929 382.460
3.05958 382.139
3.06058 381.022
3.06158 379.911
3.06359 377.701
3.06761 373.338
3.07563 364.830
3.09169 348.643
3.10774 333.482
3.12380 319.260
3.13985 305.901
3.15591 293.336
3.17196 281.507
3.18802 270.356
3.21580 252.522
3.24358 236.342
3.27136 221.620
3.29914 208.187
3.32692 195.901
3.35470 184.636
3.38248 174.283
3.41026 164.748
3.43065 158.225
3.45103 152.069
3.47141 146.254
3.49179 140.758
3.51217 135.559
3.53255 130.636
3.57331 121.532
3.61408 113.302
3.65484 105.846
3.69560 99.0759
3.73636 92.9119
3.78425 86.3523
3.83213 80.4370
3.88002 75.0840
3.92790 70.2290
3.92790 70.2288
3.92791 70.2282
3.92791 70.2276
3.92792 70.2266
3.92795 70.2244
3.92799 70.2199
3.92809 70.2110
3.92827 70.1934
3.92863 70.1581
3.92937 70.0875
3.93168 69.8652
3.93400 69.6441
3.93862 69.2049
3.94788 68.3386
3.96639 66.6535
4.00340 63.4592
4.04042 60.4770
4.07744 57.6898
4.11446 55.0836
4.15148 52.6436
4.18850 50.3559
4.22551 48.2084
4.28156 45.1995
4.33761 42.4532
4.39366 39.9405
4.44971 37.6361
4.50576 35.5180
4.56180 33.5672
4.61785 31.7669
4.67390 30.1026
4.71466 28.9715
4.75543 27.9034
4.83695 25.9286
4.91848 24.1435
5.00000 22.5259
5.04350 21.7251
5.04350 21.7250
5.04351 21.7250
5.04351 21.7249
5.04352 21.7247
5.04353 21.7245
5.04357 21.7239
5.04363 21.7227
5.04376 21.7203
5.04403 21.7156
5.04455 21.7062
5.04560 21.6875
5.04771 21.6500
5.05222 21.5699
5.05673 21.4903
5.06575 21.3324
5.08379 21.0221
5.11987 20.4220
5.19203 19.2930
5.26419 18.2507
5.33635 17.2886
5.40852 16.3979
5.48068 15.5718
5.55284 14.8048
5.62500 14.0917
5.70313 13.3746
5.78125 12.7096
5.85938 12.0919
5.93750 11.5171
6.01563 10.9816
6.09375 10.4819
6.17188 10.0152
6.25000 9.57941
6.36300 8.99687
6.47600 8.46286
6.47600 8.46285
6.47601 8.46282
6.47601 8.46280
6.47602 8.46275
6.47604 8.46265
6.47609 8.46246
6.47617 8.46208
6.47634 8.46132
6.47668 8.45979
6.47735 8.45673
6.47871 8.45062
