Cs-133(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.50000 5.30980
1.62500 5.30964
1.75000 5.33712
1.87500 5.39052
2.00000 5.46864
2.09375 5.54410
2.18750 5.63476
2.28125 5.74093
2.37500 5.86339
2.46875 6.00317
2.56250 6.16150
2.65625 6.33990
2.75000 6.54018
2.84375 6.76448
2.93750 7.01536
3.03125 7.29583
3.12500 7.60945
3.21875 7.96045
3.31250 8.35389
3.40625 8.79579
3.50000 9.29339
3.57617 9.74475
3.65234 10.2435
3.72852 10.7930
3.80469 11.4083
3.88086 12.0957
3.95703 12.8659
4.03320 13.7322
4.07129 14.2063
4.10938 14.7109
4.17969 15.7313
4.21484 16.2896
4.25000 16.8836
4.30274 17.8485
4.35547 18.9125
4.40820 20.0897
4.46094 21.3968
4.51367 22.8536
4.56641 24.4837
4.59277 25.3725
4.61914 26.3157
4.64551 27.3176
4.67188 28.3827
4.70703 29.9099
4.74219 31.5747
4.77734 33.3974
4.81250 35.3987
4.84766 37.6012
4.88281 40.0319
4.91797 42.7237
4.95313 45.7158
4.97656 47.9003
5.00000 50.2548
5.03143 53.7105
5.06285 57.5552
5.07856 59.6421
5.09427 61.8502
5.10999 64.1888
5.12570 66.6686
5.14141 69.3010
5.15712 72.0983
5.17283 75.0747
5.18855 78.2461
5.20426 81.6303
5.21997 85.2477
5.23568 89.1211
5.25139 93.2759
5.26959 98.4756
5.28778 104.140
5.30597 110.327
5.32417 117.100
5.34236 124.539
5.36055 132.732
5.37875 141.787
5.39694 151.829
5.41430 162.472
5.42299 168.229
5.43167 174.306
5.44035 180.726
5.44904 187.516
5.45772 194.705
5.46640 202.325
5.47509 210.412
5.48377 219.004
5.49245 228.145
5.50113 237.884
5.50982 248.273
5.51850 259.374
5.52718 271.254
5.53587 283.988
5.54496 298.337
5.55406 313.826
5.56316 330.583
5.57225 348.747
5.58135 368.487
5.59045 389.986
5.59954 413.466
5.60864 439.173
5.61774 467.407
5.62683 498.502
5.63138 515.250
5.63593 532.867
