Cr-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
19204.9 8.29597
19205.3 8.74115
19205.6 9.23168
19205.9 9.77105
19206.2 10.3434
19206.6 11.1379
19207.0 12.0207
19207.4 12.9969
19207.8 14.0710
19208.2 15.2459
19208.5 16.5236
19208.9 17.9040
19209.3 19.3854
19209.8 21.4253
19210.3 23.5646
19210.8 25.8693
19211.3 28.2195
19212.9 35.8291
19213.2 37.6682
19213.6 39.4265
19214.0 41.0775
19214.4 42.5954
19214.8 43.9226
19215.2 45.0506
19215.5 46.0216
19215.9 46.7693
19216.2 47.1978
19216.5 47.4946
19216.7 47.6746
19217.0 47.7362
19217.4 47.6333
19217.7 47.3206
19218.1 46.8031
19218.4 46.1112
19218.7 45.4305
19219.0 44.6732
19219.3 43.8234
19219.5 42.8880
19220.1 40.8328
19220.6 38.5394
19221.2 35.6423
19221.8 32.6632
19222.9 27.5066
19223.4 24.9979
19223.9 22.6520
19224.2 21.3203
19224.5 20.0446
19224.8 18.8284
19225.2 17.6745
19225.5 16.5845
19225.8 15.5594
19226.1 14.5992
19226.4 13.7032
19226.7 12.9743
19226.9 12.3165
19227.2 11.7007
19227.4 11.1255
19227.7 10.5694
19228.0 10.0720
19228.2 9.61011
19228.5 9.18186
19228.8 8.77078
19229.0 8.40538
19229.3 8.06799
19229.5 7.75678
19229.8 7.46997
19230.1 7.20582
19230.3 6.96267
19230.6 6.73894
19231.0 6.42195
19231.4 6.14400
19231.8 5.90011
19232.2 5.69072
19232.6 5.50149
19233.0 5.33834
19233.4 5.19011
19233.8 5.06154
19234.2 4.94394
19234.6 4.84118
19235.5 4.66305
19236.3 4.51679
19237.1 4.39484
19237.7 4.30840
19238.4 4.23250
19239.8 4.10552
19241.1 4.00359
19242.4 3.92067
19243.8 3.85107
19245.1 3.79276
19247.8 3.69969
19250.2 3.63385
19252.7 3.58187
19255.2 3.53998
19257.7 3.50578
19262.6 3.45314
19267.6 3.41492
19272.9 3.38388
19278.3 3.36003
19283.6 3.34110
19289.0 3.32567
19294.3 3.31281
19299.6 3.30180
19310.3 3.28373
19323.3 3.26652
19336.3 3.25250
19349.2 3.24054
19362.2 3.22982
19388.1 3.21088
19414.1 3.19393
19444.6 3.17547
19475.1 3.15791
19536.1 3.12437
19597.2 3.09207
19658.2 3.06049
19743.7 3.01712
19829.1 2.97444
20000.0 2.89067
20287.2 2.75370
20574.3 2.62060
20861.5 2.49049
21148.6 2.36300
21722.9 2.11426
22297.2 1.87138
22807.7 1.65813
23318.2 1.44517
23687.1 1.29026
23871.5 1.21221
23963.8 1.17297
24009.9 1.15330
24032.9 1.14348
24044.5 1.13862
24050.2 1.13625
24056.0 1.13396
24058.0 1.13322
24060.0 1.13253
24062.0 1.13197
24063.0 1.13181
24064.0 1.13184
24064.8 1.13209
24065.2 1.13235
24065.6 1.13271
24066.0 1.13323
24066.4 1.13392
24066.8 1.13485
24067.2 1.13604
24067.6 1.13762
24068.0 1.13958
24068.4 1.14213
24068.8 1.14524
24069.2 1.14921
24069.6 1.15397
24070.0 1.15994
24070.4 1.16702
24070.9 1.17574
24071.3 1.18592
24071.7 1.19830
24072.1 1.21251
24072.5 1.22954
24072.9 1.24880
24073.3 1.27152
24073.7 1.29683
24074.5 1.35843
24075.3 1.43495
24076.1 1.52685
24076.9 1.63342
24078.0 1.79114
24079.0 1.96094
24080.1 2.12936
24080.6 2.20801
24081.2 2.28009
24082.0 2.37880
24082.5 2.41724
24082.9 2.44625
24083.5 2.47220
24083.8 2.47733
24084.0 2.47812
24084.0 2.47813
24084.0 2.47809
24084.1 2.47801
24084.1 2.47763
24084.4 2.47417
24085.0 2.45257
24085.7 2.40224
24086.5 2.32842
24087.1 2.24095
24087.8 2.14224
24089.2 1.92554
24090.4 1.73973
24091.1 1.62531
24091.9 1.52872
24092.6 1.44393
24093.3 1.37159
24094.1 1.31150
24094.8 1.26284
24095.5 1.22439
24095.9 1.20835
24096.2 1.19472
24096.6 1.18255
24097.0 1.17231
24097.3 1.16327
24097.7 1.15574
24098.1 1.14915
24098.4 1.14371
24098.8 1.13899
24099.2 1.13512
24099.5 1.13178
24099.9 1.12906
24100.3 1.12673
24100.6 1.12483
24101.0 1.12319
24101.4 1.12186
24101.7 1.12071
24102.1 1.11977
24102.8 1.11827
24103.5 1.11718
24104.2 1.11633
24104.9 1.11564
24105.6 1.11507
24107.1 1.11408
24108.5 1.11321
24111.3 1.11164
24114.1 1.11019
24119.8 1.10744
24125.4 1.10482
24136.7 1.09974
24148.0 1.09477
24170.6 1.08491
24193.2 1.07513
24283.5 1.03608
24545.2 0.922234
24676.1 0.864764
24741.5 0.835952
24774.2 0.821613
24790.5 0.814505
24806.9 0.807542
24817.8 0.803048
24823.3 0.800887
24828.7 0.798829
24834.2 0.796924
24839.6 0.795259
24845.1 0.794000
24847.8 0.793628
24850.5 0.793528
24852.9 0.793779
24855.4 0.794518
24857.8 0.796097
24859.0 0.797444
24860.2 0.799447
24861.5 0.802637
24862.1 0.804948
24862.7 0.807974
24863.3 0.811976
24863.9 0.817309
24864.5 0.824445
24865.1 0.833825
24865.7 0.846548
24866.3 0.863492
24866.9 0.885911
24867.5 0.914782
24868.2 0.952852
24868.8 1.00179
24869.4 1.06392
24870.0 1.14038
24870.4 1.20759
24870.9 1.28533
24871.3 1.37456
24871.7 1.47615
24872.2 1.59086
24872.6 1.71928
24873.1 1.86178
24873.5 2.01477
24873.9 2.18518
24874.4 2.36907
24875.2 2.76838
24876.1 3.20968
24877.0 3.66450
24877.7 4.04808
24878.5 4.40614
24879.2 4.72691
24879.6 4.86995
24879.9 4.99395
24880.6 5.17235
24881.2 5.28915
24881.7 5.33792
24882.0 5.34575
24882.4 5.33596
24882.9 5.28271
24883.2 5.22483
24883.6 5.15173
24883.9 5.06282
24884.2 4.95913
24884.6 4.81919
24885.0 4.66668
24885.8 4.31803
24886.5 3.93276
24887.3 3.53592
24888.2 3.05374
24889.1 2.60512
24889.6 2.39761
24890.1 2.20360
24890.5 2.02419
24891.0 1.86003
24891.4 1.70827
24891.9 1.57523
24892.4 1.45705
24892.8 1.35304
24893.3 1.26229
24893.7 1.18378
24894.2 1.11643
24894.7 1.05909
24895.0 1.01847
24895.4 0.984163
24895.8 0.954471
24896.2 0.928878
24896.5 0.906350
24896.9 0.887617
24897.3 0.871632
24897.6 0.858025
24898.0 0.846179
24898.4 0.836417
24898.8 0.828141
24899.1 0.821125
24899.9 0.810117
24900.6 0.802126
24901.4 0.796168
24902.1 0.791744
24902.9 0.788273
24903.6 0.785537
24905.1 0.781334
24906.6 0.778183
24908.1 0.775602
24909.5 0.773406
24912.5 0.769774
24915.5 0.766789
