18-Ar_n-tot
>  18-Ar-36:0.003365
>  18-Ar-38:0.000632
>  18-Ar-40:0.996003
7.812500e-05 1.52529572e+01
7.957280e-05 1.51175920e+01
7.970170e-05 1.51055413e+01
8.125000e-05 1.49612964e+01
8.207640e-05 1.48882833e+01
8.228340e-05 1.48700566e+01
8.437500e-05 1.46859034e+01
8.445110e-05 1.46795404e+01
8.449800e-05 1.46756320e+01
8.671260e-05 1.44910959e+01
8.682580e-05 1.44816640e+01
8.750000e-05 1.44256646e+01
8.892710e-05 1.43129056e+01
8.920050e-05 1.42913050e+01
9.062500e-05 1.41791276e+01
9.114170e-05 1.41403155e+01
9.190030e-05 1.40833371e+01
9.335630e-05 1.39743528e+01
9.375000e-05 1.39448856e+01
9.460020e-05 1.38841773e+01
9.557090e-05 1.38150958e+01
9.687500e-05 1.37222962e+01
9.730010e-05 1.36933604e+01
1.000000e-04 1.35101852e+01
1.026640e-04 1.33376610e+01
1.031250e-04 1.33078938e+01
1.038090e-04 1.32655584e+01
1.053270e-04 1.31716133e+01
1.062500e-04 1.31146585e+01
1.076180e-04 1.30336452e+01
1.079910e-04 1.30115583e+01
1.093750e-04 1.29298377e+01
1.106540e-04 1.28572520e+01
1.114270e-04 1.28135071e+01
1.125000e-04 1.27527907e+01
1.133180e-04 1.27082504e+01
1.152360e-04 1.26041002e+01
1.156250e-04 1.25829789e+01
1.159810e-04 1.25643642e+01
1.187500e-04 1.24201531e+01
1.190450e-04 1.24053440e+01
1.213080e-04 1.22917515e+01
1.215180e-04 1.22812401e+01
1.218750e-04 1.22633767e+01
1.220500e-04 1.22549269e+01
1.225820e-04 1.22292497e+01
1.228540e-04 1.22161318e+01
1.236460e-04 1.21779390e+01
1.250000e-04 1.21127409e+01
1.257730e-04 1.20767757e+01
1.266630e-04 1.20354887e+01
1.281250e-04 1.19676725e+01
1.300280e-04 1.18823719e+01
1.304720e-04 1.18625451e+01
1.312500e-04 1.18278065e+01
1.342830e-04 1.16968264e+01
1.343750e-04 1.16928677e+01
1.346890e-04 1.16797868e+01
1.375000e-04 1.15626945e+01
1.385380e-04 1.15214416e+01
1.389050e-04 1.15069089e+01
1.427930e-04 1.13529623e+01
1.431220e-04 1.13399797e+01
1.437500e-04 1.13152003e+01
1.470480e-04 1.11927422e+01
1.473390e-04 1.11819730e+01
1.500000e-04 1.10835040e+01
1.513020e-04 1.10380422e+01
1.515550e-04 1.10292375e+01
1.555570e-04 1.08899759e+01
1.557720e-04 1.08825229e+01
1.562500e-04 1.08659544e+01
1.599880e-04 1.07433986e+01
1.619790e-04 1.06781255e+01
1.625000e-04 1.06611218e+01
1.642050e-04 1.06084023e+01
1.684010e-04 1.04786697e+01
1.686790e-04 1.04701115e+01
1.687500e-04 1.04679259e+01
1.731540e-04 1.03392089e+01
1.734780e-04 1.03297396e+01
1.745760e-04 1.02976496e+01
1.748220e-04 1.02904602e+01
1.750000e-04 1.02852796e+01
1.756750e-04 1.02665915e+01
1.778710e-04 1.02057943e+01
1.812440e-04 1.01124162e+01
