52-Te_n-tot
> 52-Te-120:0.000900
> 52-Te-122:0.025500
> 52-Te-123:0.008900
> 52-Te-124:0.047400
> 52-Te-125:0.070700
> 52-Te-126:0.188400
> 52-Te-128:0.317400
> 52-Te-130:0.340800
2.410160e-03 1.85629698e+01
2.468750e-03 1.83919820e+01
2.492190e-03 1.83243031e+01
2.562500e-03 1.81293817e+01
2.574220e-03 1.80972196e+01
2.656250e-03 1.78807454e+01
2.750000e-03 1.76456978e+01
2.843750e-03 1.74223683e+01
2.937500e-03 1.72099569e+01
3.031250e-03 1.70075885e+01
3.125000e-03 1.68144049e+01
3.218750e-03 1.66299213e+01
3.312500e-03 1.64533075e+01
3.406250e-03 1.62841053e+01
3.500000e-03 1.61217809e+01
3.593750e-03 1.59659694e+01
3.687500e-03 1.58161597e+01
3.781250e-03 1.56720099e+01
3.875000e-03 1.55330927e+01
3.968750e-03 1.53992702e+01
4.062500e-03 1.52701323e+01
4.250000e-03 1.50247999e+01
4.437500e-03 1.47953955e+01
4.625000e-03 1.45801897e+01
4.812500e-03 1.43777748e+01
5.000000e-03 1.41869548e+01
5.156250e-03 1.40360231e+01
5.312500e-03 1.38918451e+01
5.468750e-03 1.37539525e+01
5.625000e-03 1.36218875e+01
5.781250e-03 1.34952595e+01
5.937500e-03 1.33737090e+01
6.093750e-03 1.32569022e+01
6.250000e-03 1.31445285e+01
6.406250e-03 1.30363329e+01
6.562500e-03 1.29320608e+01
6.718750e-03 1.28314756e+01
6.875000e-03 1.27343588e+01
7.187500e-03 1.25498054e+01
7.500000e-03 1.23769916e+01
7.812500e-03 1.22147492e+01
8.125000e-03 1.20620285e+01
8.437500e-03 1.19179516e+01
8.750000e-03 1.17817226e+01
9.062500e-03 1.16526574e+01
9.375000e-03 1.15301656e+01
9.687500e-03 1.14137023e+01
1.000000e-02 1.13027880e+01
1.031250e-02 1.11970103e+01
1.062500e-02 1.10959706e+01
1.093750e-02 1.09993359e+01
1.125000e-02 1.09068007e+01
1.156250e-02 1.08180767e+01
1.187500e-02 1.07329162e+01
1.218750e-02 1.06510738e+01
1.250000e-02 1.05723582e+01
1.281250e-02 1.04965644e+01
1.312500e-02 1.04235272e+01
1.343750e-02 1.03540809e+01
1.375000e-02 1.02850595e+01
1.437500e-02 1.01558102e+01
1.500000e-02 1.00347974e+01
1.562500e-02 9.92120388e+00
1.625000e-02 9.81428220e+00
1.687500e-02 9.71343338e+00
1.750000e-02 9.61809212e+00
1.812500e-02 9.52776915e+00
1.875000e-02 9.44207376e+00
1.937500e-02 9.36060339e+00
2.000000e-02 9.28303761e+00
2.066250e-02 9.20474696e+00
2.132500e-02 9.13017330e+00
2.198750e-02 9.05904649e+00
2.265000e-02 8.99110615e+00
2.331250e-02 8.92613233e+00
2.397500e-02 8.86390692e+00
2.463750e-02 8.80424524e+00
2.530000e-02 8.74698163e+00
2.641120e-02 8.65590982e+00
2.645780e-02 8.65228812e+00
2.752230e-02 8.57051044e+00
2.761560e-02 8.56369912e+00
2.863350e-02 8.49020453e+00
2.877340e-02 8.48058750e+00
2.974470e-02 8.41452596e+00
2.993130e-02 8.40242110e+00
3.085580e-02 8.34304767e+00
3.108910e-02 8.32873470e+00
3.196700e-02 8.27539949e+00
3.224690e-02 8.25912879e+00
3.307810e-02 8.21126294e+00
3.340470e-02 8.19324399e+00
3.418930e-02 8.15034105e+00
