20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.875000e-03 1.60976416e+00
1.881640e-03 1.60698306e+00
1.918870e-03 1.59138967e+00
1.937500e-03 1.58358671e+00
1.993330e-03 1.56131033e+00
2.000000e-03 1.55864898e+00
2.019880e-03 1.55116454e+00
2.039770e-03 1.54367634e+00
2.079530e-03 1.52870750e+00
2.093750e-03 1.52335397e+00
2.159060e-03 1.50035995e+00
2.168410e-03 1.49706806e+00
2.187500e-03 1.49034697e+00
2.191300e-03 1.48909267e+00
2.214190e-03 1.48153717e+00
2.259960e-03 1.46642950e+00
2.281250e-03 1.45940216e+00
2.351520e-03 1.43759385e+00
2.375000e-03 1.43030685e+00
2.443070e-03 1.41039946e+00
2.468750e-03 1.40288925e+00
2.534630e-03 1.38468893e+00
2.542070e-03 1.38263352e+00
2.562500e-03 1.37698945e+00
2.563280e-03 1.37678544e+00
2.584490e-03 1.37123794e+00
2.626900e-03 1.36014557e+00
2.656250e-03 1.35246907e+00
2.711740e-03 1.33870807e+00
2.750000e-03 1.32921997e+00
2.796570e-03 1.31824479e+00
2.843750e-03 1.30712589e+00
2.881400e-03 1.29867812e+00
2.937500e-03 1.28609066e+00
2.966240e-03 1.27994658e+00
3.031250e-03 1.26604868e+00
3.051070e-03 1.26200355e+00
3.125000e-03 1.24691498e+00
3.135900e-03 1.24478856e+00
3.218750e-03 1.22862582e+00
3.220730e-03 1.22825583e+00
3.238700e-03 1.22489787e+00
3.307180e-03 1.21210140e+00
3.312500e-03 1.21110728e+00
3.375660e-03 1.19980113e+00
3.406250e-03 1.19432529e+00
3.500000e-03 1.17822710e+00
3.512610e-03 1.17614533e+00
3.593750e-03 1.16275007e+00
3.649570e-03 1.15389690e+00
3.687500e-03 1.14788114e+00
3.781250e-03 1.13355812e+00
3.786530e-03 1.13278094e+00
3.808200e-03 1.12959130e+00
3.875000e-03 1.11975890e+00
3.883480e-03 1.11855607e+00
3.958760e-03 1.10787815e+00
3.968750e-03 1.10646114e+00
4.062500e-03 1.09361345e+00
4.109310e-03 1.08752376e+00
4.250000e-03 1.06922095e+00
4.259870e-03 1.06801892e+00
4.410430e-03 1.04968281e+00
4.437500e-03 1.04638606e+00
4.439010e-03 1.04621348e+00
4.530120e-03 1.03580045e+00
4.621240e-03 1.02538630e+00
4.625000e-03 1.02495657e+00
4.803480e-03 1.00576089e+00
4.812500e-03 1.00479078e+00
4.814770e-03 1.00456052e+00
4.861080e-03 9.99863079e-01
4.907390e-03 9.95165641e-01
5.000000e-03 9.85771791e-01
5.156250e-03 9.70720677e-01
5.218810e-03 9.64962277e-01
5.248800e-03 9.62201823e-01
5.312500e-03 9.56338513e-01
5.349780e-03 9.53055277e-01
5.450760e-03 9.44162023e-01
5.468750e-03 9.42577657e-01
5.625000e-03 9.29393767e-01
5.652720e-03 9.27150393e-01
5.709510e-03 9.22554400e-01
5.781250e-03 9.16748524e-01
5.937500e-03 9.04605906e-01
5.941130e-03 9.04334706e-01
6.093750e-03 8.92932384e-01
6.172750e-03 8.87253497e-01
6.250000e-03 8.81700429e-01
6.404380e-03 8.71010561e-01
6.406250e-03 8.70881076e-01
6.562500e-03 8.60451636e-01
6.636000e-03 8.55717211e-01
6.718750e-03 8.50386972e-01
6.769060e-03 8.47257774e-01
6.875000e-03 8.40668500e-01
6.960030e-03 8.35640422e-01
7.151010e-03 8.24347236e-01
7.187500e-03 8.22189485e-01
7.341990e-03 8.13630937e-01
7.500000e-03 8.04877409e-01
7.532970e-03 8.03161779e-01
7.812500e-03 7.88616187e-01
7.873070e-03 7.85647765e-01
8.125000e-03 7.73301200e-01
8.213160e-03 7.69222990e-01
8.437500e-03 7.58845249e-01
8.553260e-03 7.53779763e-01
8.750000e-03 7.45170746e-01
8.893350e-03 7.39225519e-01
9.062500e-03 7.32210302e-01
9.233450e-03 7.25477686e-01
9.375000e-03 7.19902968e-01
9.573550e-03 7.12465100e-01
9.687500e-03 7.08196443e-01
9.913640e-03 7.00125560e-01
1.000000e-02 6.97043398e-01
1.027460e-02 6.87691358e-01
1.031250e-02 6.86400602e-01
1.054920e-02 6.78697714e-01
1.062500e-02 6.76230974e-01
1.082380e-02 6.70040946e-01
1.093750e-02 6.66500683e-01
1.109840e-02 6.61700518e-01
1.125000e-02 6.57177818e-01
1.156250e-02 6.48236546e-01
1.162190e-02 6.46604424e-01
1.164760e-02 6.45898271e-01
1.171620e-02 6.44013367e-01
1.178490e-02 6.42125718e-01
1.187500e-02 6.39650068e-01
1.192210e-02 6.38406171e-01
1.218750e-02 6.31397053e-01
1.219670e-02 6.31163213e-01
1.250000e-02 6.23454134e-01
1.274590e-02 6.17434405e-01
1.281250e-02 6.15804017e-01
1.312500e-02 6.08429631e-01
1.329510e-02 6.04555754e-01
1.343750e-02 6.01312734e-01
1.375000e-02 5.94440810e-01
1.384430e-02 5.92469360e-01
1.437500e-02 5.81374513e-01
1.439350e-02 5.81012174e-01
1.500000e-02 5.69133383e-01
1.500670e-02 5.69010112e-01
1.561990e-02 5.57728131e-01
1.562500e-02 5.57634298e-01
1.623310e-02 5.47098041e-01
1.625000e-02 5.46805224e-01
1.684630e-02 5.37053651e-01
1.687500e-02 5.36584308e-01
1.745960e-02 5.27539978e-01
1.750000e-02 5.26914953e-01
1.807280e-02 5.18515544e-01
1.812500e-02 5.17750098e-01
1.868600e-02 5.09938406e-01
1.875000e-02 5.09047235e-01
1.929920e-02 5.01772614e-01
1.937500e-02 5.00768581e-01
2.000000e-02 4.92882131e-01
2.066250e-02 4.84915643e-01
2.132500e-02 4.77323216e-01
2.198750e-02 4.70077061e-01
2.265000e-02 4.63150547e-01
2.331250e-02 4.56522302e-01
2.397500e-02 4.50170800e-01
2.463750e-02 4.44076977e-01
2.530000e-02 4.38223684e-01
2.597540e-02 4.32568183e-01
2.645780e-02 4.28528789e-01
2.665080e-02 4.27015311e-01
2.732620e-02 4.21718938e-01
2.761560e-02 4.19449518e-01
2.800160e-02 4.16607516e-01
2.867700e-02 4.11634761e-01
2.877340e-02 4.10925000e-01
2.935240e-02 4.06912003e-01
2.993130e-02 4.02899714e-01
3.070310e-02 3.97852116e-01
3.108910e-02 3.95327675e-01
3.205390e-02 3.89359793e-01
3.224690e-02 3.88165974e-01
3.340470e-02 3.81381558e-01
3.456250e-02 3.74939420e-01
3.475550e-02 3.73914222e-01
3.552740e-02 3.69813978e-01
3.610630e-02 3.66861130e-01
3.649220e-02 3.64892740e-01
3.697460e-02 3.62527292e-01
3.745700e-02 3.60161849e-01
3.784300e-02 3.58341510e-01
3.842190e-02 3.55611482e-01
3.938670e-02 3.51227971e-01
3.957970e-02 3.50383011e-01
4.035160e-02 3.47003624e-01
4.131640e-02 3.42927842e-01
4.228130e-02 3.38992132e-01
4.305310e-02 3.35999362e-01
4.421090e-02 3.31509838e-01
4.478990e-02 3.29407191e-01
4.614060e-02 3.24502124e-01
4.652660e-02 3.23185667e-01
4.807030e-02 3.17920880e-01
4.826330e-02 3.17301137e-01
5.000000e-02 3.11724438e-01
5.120200e-02 3.08062751e-01
5.156250e-02 3.06964551e-01
5.240410e-02 3.04514253e-01
5.312500e-02 3.02415378e-01
5.468750e-02 2.98063820e-01
5.480810e-02 2.97741982e-01
5.625000e-02 2.93894084e-01
5.721220e-02 2.91431611e-01
5.781250e-02 2.89895323e-01
5.937500e-02 2.86055797e-01
5.961630e-02 2.85485802e-01
6.093750e-02 2.82364897e-01
6.202030e-02 2.79903440e-01
6.250000e-02 2.78812974e-01
6.406250e-02 2.75392486e-01
