54-Xe_n-g
> 54-Xe-124:0.000900
> 54-Xe-126:0.000900
> 54-Xe-128:0.019200
> 54-Xe-129:0.264400
> 54-Xe-130:0.040800
> 54-Xe-131:0.211800
> 54-Xe-132:0.268900
> 54-Xe-134:0.104400
> 54-Xe-136:0.088700
2.064450e+00 2.12866743e+00
2.093750e+00 2.12090404e+00
2.096680e+00 2.12013549e+00
2.106060e+00 2.11767925e+00
2.116170e+00 2.11503561e+00
2.128910e+00 2.11197790e+00
2.140630e+00 2.10917038e+00
2.159090e+00 2.10484311e+00
2.161130e+00 2.10436581e+00
2.164060e+00 2.10368164e+00
2.187500e+00 2.09821384e+00
2.193360e+00 2.09696853e+00
2.212120e+00 2.09299094e+00
2.225590e+00 2.09013980e+00
2.232340e+00 2.08871454e+00
2.238630e+00 2.08750393e+00
2.257810e+00 2.08381749e+00
2.265140e+00 2.08241243e+00
2.281250e+00 2.07932899e+00
2.288580e+00 2.07797068e+00
2.291660e+00 2.07740150e+00
2.318170e+00 2.07251081e+00
2.319340e+00 2.07229536e+00
2.328130e+00 2.07068122e+00
2.344690e+00 2.06764367e+00
2.348500e+00 2.06694622e+00
2.350100e+00 2.06668066e+00
2.371200e+00 2.06319007e+00
2.375000e+00 2.06256300e+00
2.380860e+00 2.06172608e+00
2.397720e+00 2.05932779e+00
2.411620e+00 2.05735688e+00
2.424230e+00 2.05557637e+00
2.442380e+00 2.05302316e+00
2.455130e+00 2.05123731e+00
2.464670e+00 2.04990711e+00
2.468750e+00 2.04940533e+00
2.473150e+00 2.04887956e+00
2.486040e+00 2.04734765e+00
2.492190e+00 2.04662124e+00
2.503910e+00 2.04523914e+00
2.516940e+00 2.04371120e+00
2.534670e+00 2.04164656e+00
2.547840e+00 2.04012209e+00
2.562500e+00 2.03843855e+00
2.565430e+00 2.03816426e+00
2.578740e+00 2.03692794e+00
2.580840e+00 2.03673505e+00
2.596190e+00 2.03558164e+00
2.609650e+00 2.03458041e+00
2.626950e+00 2.03331416e+00
2.640550e+00 2.03232938e+00
2.656250e+00 2.03121391e+00
2.657720e+00 2.03111534e+00
2.671450e+00 2.03020614e+00
2.688480e+00 2.02910389e+00
2.697000e+00 2.02855982e+00
2.699820e+00 2.02843146e+00
2.719240e+00 2.02757953e+00
2.728190e+00 2.02719505e+00
2.750000e+00 2.02629947e+00
2.756560e+00 2.02616728e+00
2.782230e+00 2.02570600e+00
2.784930e+00 2.02566034e+00
