51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
1.218750e-01 2.30181145e+00
1.250000e-01 2.27424208e+00
1.281250e-01 2.24772011e+00
1.312500e-01 2.22216837e+00
1.343750e-01 2.19781720e+00
1.375000e-01 2.17376128e+00
1.437500e-01 2.12858354e+00
1.500000e-01 2.08630367e+00
1.562500e-01 2.04662874e+00
1.625000e-01 2.00932297e+00
1.687500e-01 1.97415917e+00
1.750000e-01 1.94095300e+00
1.812500e-01 1.90952297e+00
1.875000e-01 1.87973336e+00
1.937500e-01 1.85145697e+00
2.000000e-01 1.82456379e+00
2.093750e-01 1.78658245e+00
2.187500e-01 1.75111888e+00
2.281250e-01 1.71794015e+00
2.375000e-01 1.68681622e+00
2.468750e-01 1.65755704e+00
2.562500e-01 1.62998684e+00
2.656250e-01 1.60396273e+00
2.750000e-01 1.57934468e+00
2.843750e-01 1.55601695e+00
2.937500e-01 1.53386951e+00
3.031250e-01 1.51281663e+00
3.125000e-01 1.49277542e+00
3.218750e-01 1.47366873e+00
3.312500e-01 1.45542939e+00
3.406250e-01 1.43800168e+00
3.500000e-01 1.42132844e+00
3.593750e-01 1.40535966e+00
3.687500e-01 1.39004819e+00
3.781250e-01 1.37536830e+00
3.875000e-01 1.36128144e+00
3.968750e-01 1.34790202e+00
4.062500e-01 1.33470018e+00
4.250000e-01 1.31003051e+00
4.437500e-01 1.28707100e+00
4.625000e-01 1.26566588e+00
5.000000e-01 1.22701308e+00
5.312500e-01 1.19837489e+00
5.625000e-01 1.17242136e+00
6.250000e-01 1.12741547e+00
6.875000e-01 1.08984001e+00
7.500000e-01 1.05813691e+00
8.125000e-01 1.03118091e+00
8.750000e-01 1.00822556e+00
9.375000e-01 9.88532982e-01
1.000000e+00 9.71536603e-01
1.062500e+00 9.56948948e-01
1.125000e+00 9.44467244e-01
1.250000e+00 9.24874070e-01
1.375000e+00 9.11289253e-01
1.500000e+00 9.02731955e-01
1.625000e+00 8.98518120e-01
1.750000e+00 8.98284689e-01
1.875000e+00 9.01654117e-01
2.000000e+00 9.08338164e-01
2.093750e+00 9.15688271e-01
2.187500e+00 9.24680305e-01
2.281250e+00 9.35838649e-01
2.375000e+00 9.48730456e-01
2.468750e+00 9.63866920e-01
2.562500e+00 9.80942804e-01
2.656250e+00 1.00045260e+00
2.750000e+00 1.02220502e+00
2.843750e+00 1.04669422e+00
2.937500e+00 1.07384941e+00
3.031250e+00 1.10418273e+00
3.125000e+00 1.13776558e+00
3.218750e+00 1.17516875e+00
3.312500e+00 1.21660523e+00
3.406250e+00 1.26276336e+00
3.500000e+00 1.31404180e+00
3.593750e+00 1.37137859e+00
3.687500e+00 1.43535175e+00
3.781250e+00 1.50696244e+00
3.875000e+00 1.58737775e+00
3.968750e+00 1.67793949e+00
4.015630e+00 1.72747104e+00
4.062500e+00 1.78044668e+00
4.109380e+00 1.83700934e+00
4.156250e+00 1.89741656e+00
4.203130e+00 1.96201150e+00
4.250000e+00 2.03119473e+00
4.314450e+00 2.13476527e+00
4.378910e+00 2.24915419e+00
4.443360e+00 2.37592338e+00
4.507810e+00 2.51692642e+00
4.531250e+00 2.57418129e+00
4.572270e+00 2.67444440e+00
4.636720e+00 2.85111458e+00
4.668950e+00 2.94760782e+00
4.701170e+00 3.05014244e+00
4.733400e+00 3.15925048e+00
4.765630e+00 3.27549260e+00
4.794920e+00 3.38790609e+00
4.812500e+00 3.45953165e+00
4.824220e+00 3.50729795e+00
4.853520e+00 3.63427685e+00
4.882810e+00 3.76945967e+00
4.912110e+00 3.91357869e+00
4.941410e+00 4.06739480e+00
4.970700e+00 4.23177760e+00
5.000000e+00 4.40773971e+00
5.042020e+00 4.68284719e+00
5.084030e+00 4.98839039e+00
5.126050e+00 5.32896899e+00
5.147050e+00 5.51406137e+00
5.168060e+00 5.71002939e+00
5.189070e+00 5.91770257e+00
5.210080e+00 6.13804204e+00
5.231090e+00 6.37205470e+00
5.252090e+00 6.62088474e+00
5.273100e+00 6.88607686e+00
5.294110e+00 7.16906128e+00
