F-19(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.593061 0.00197854
0.593750 0.00197739
0.595703 0.00197415
0.597656 0.00197092
0.601563 0.00196451
0.609375 0.00195188
0.625000 0.00192733
0.682586 0.00184426
0.740173 0.00177108
0.750000 0.00175944
0.781250 0.00172390
0.812500 0.00169043
0.875000 0.00162893
0.937500 0.00157371
1.00000 0.00152375
1.09349 0.00145717
1.18698 0.00139863
1.18750 0.00139832
1.18945 0.00139718
1.19141 0.00139603
1.19531 0.00139375
1.20313 0.00138922
1.21875 0.00138028
1.25000 0.00136292
1.31250 0.00133009
1.31439 0.00132913
1.32019 0.00132621
1.32599 0.00132331
1.33759 0.00131756
1.36079 0.00130630
1.40719 0.00128460
1.50000 0.00124424
1.62500 0.00119546
1.75000 0.00115197
1.87500 0.00111292
2.00000 0.00107760
2.14063 0.00104163
2.28125 0.00100904
2.28253 0.00100876
2.28598 0.00100799
2.28944 0.00100723
2.29634 0.00100572
2.31015 0.00100271
2.33777 0.000996768
2.39300 0.000985195
2.50348 0.000963211
2.72442 0.000923332
2.75000 0.000919028
2.84309 0.000903861
2.93618 0.000889428
2.93750 0.000889228
2.94190 0.000888565
2.94629 0.000887902
2.95508 0.000886582
2.97266 0.000883960
3.00781 0.000878786
3.07813 0.000868701
3.21875 0.000849518
3.50000 0.000814676
3.82612 0.000779207
4.15225 0.000747993
4.25000 0.000739349
4.50000 0.000718522
5.00000 0.000681705
5.46475 0.000652105
5.92950 0.000626049
5.93750 0.000625627
5.95703 0.000624602
5.97656 0.000623581
6.01563 0.000621556
6.09375 0.000617562
6.25000 0.000609803
6.82551 0.000583576
7.40102 0.000560449
7.50000 0.000556741
7.81250 0.000545500
8.12500 0.000534933
8.75000 0.000515489
9.37500 0.000498039
10.0000 0.000482244
10.6250 0.000467881
10.6461 0.000467419
10.7216 0.000465774
10.7970 0.000464146
10.9480 0.000460943
11.2500 0.000454733
11.2623 0.000454486
11.3010 0.000453709
11.3397 0.000452937
11.4170 0.000451404
11.5717 0.000448388
11.8812 0.000442541
12.5000 0.000431479
13.1250 0.000421106
13.1293 0.000421038
13.1439 0.000420804
13.1585 0.000420571
13.1877 0.000420105
13.2462 0.000419180
13.3631 0.000417346
13.5969 0.000413752
14.0646 0.000406833
15.0000 0.000393974
15.0148 0.000393780
15.0536 0.000393273
15.0924 0.000392768
15.1701 0.000391764
15.3254 0.000389780
15.6361 0.000385904
16.2574 0.000378495
17.5000 0.000364838
20.0000 0.000341344
21.8750 0.000326429
23.7500 0.000313322
24.0000 0.000311691
24.8734 0.000306220
25.7468 0.000301028
27.4936 0.000291400
27.5000 0.000291367
27.5214 0.000291255
27.5427 0.000291143
27.5854 0.000290920
27.6709 0.000290475
27.8417 0.000289593
28.1834 0.000287850
28.8668 0.000284453
30.2337 0.000278006
32.9673 0.000266355
35.0000 0.000258579
35.0457 0.000258412
35.1622 0.000257988
35.2787 0.000257566
35.5116 0.000256729
35.9775 0.000255074
36.9093 0.000251866
38.7729 0.000245795
42.5000 0.000234877
46.2307 0.000225293
46.2500 0.000225247
46.3086 0.000225106
46.3672 0.000224965
46.4844 0.000224684
46.7188 0.000224126
47.1875 0.000223020
48.1250 0.000220856
50.0000 0.000216725
56.2402 0.000204457
56.2500 0.000204439
56.2744 0.000204395
56.2988 0.000204351
56.3477 0.000204263
56.4453 0.000204088
56.6406 0.000203740
57.0313 0.000203048
57.8125 0.000201682
59.3750 0.000199037
62.5000 0.000194045
73.7787 0.000178746
75.0000 0.000177301
79.6875 0.000172056
84.3750 0.000167259
84.4920 0.000167144
84.8680 0.000166777
85.2440 0.000166413
85.9960 0.000165689
87.5000 0.000164273
90.6250 0.000161448
93.7500 0.000158754
100.000 0.000153768
106.250 0.000149271
106.418 0.000149156
106.999 0.000148761
107.579 0.000148371
108.741 0.000147594
111.064 0.000146081
115.709 0.000143179
125.000 0.000137881
143.750 0.000128778
143.876 0.000128723
144.258 0.000128557
144.641 0.000128393
145.407 0.000128065
146.938 0.000127410
150.000 0.000126132
153.000 0.000124919
156.250 0.000123714
156.309 0.000123693
156.455 0.000123640
156.601 0.000123588
156.893 0.000123483
157.477 0.000123275
158.645 0.000122860
160.982 0.000122041
165.654 0.000120449
175.000 0.000117455
200.000 0.000110483
238.045 0.000102002
255.765 9.87026E-05
256.250 9.86170E-05
257.422 9.84122E-05
258.594 9.82082E-05
260.938 9.78009E-05
265.625 9.70070E-05
275.000 9.54765E-05
311.906 9.01206E-05
312.500 9.00427E-05
314.844 8.97392E-05
317.188 8.94364E-05
321.875 8.88315E-05
331.250 8.76719E-05
350.000 8.54882E-05
421.352 7.85140E-05
425.000 7.82062E-05
434.375 7.74281E-05
443.750 7.66739E-05
462.500 7.52328E-05
500.000 7.25953E-05
604.376 6.65487E-05
625.000 6.55335E-05
687.500 6.27333E-05
750.000 6.02804E-05
812.200 5.81178E-05
812.500 5.81080E-05
813.464 5.80766E-05
814.428 5.80454E-05
816.356 5.79835E-05
820.211 5.78596E-05
827.922 5.76119E-05
843.344 5.71258E-05
874.189 5.61905E-05
875.000 5.61666E-05
876.953 5.61096E-05
878.906 5.60529E-05
882.813 5.59393E-05
890.625 5.57133E-05
906.250 5.52741E-05
937.500 5.44180E-05
938.077 5.44027E-05
940.012 5.43519E-05
941.947 5.43016E-05
945.818 5.42012E-05
953.558 5.40005E-05
969.039 5.35997E-05
1000.00 5.28348E-05
1062.34 5.15844E-05
1062.50 5.15814E-05
1062.87 5.15744E-05
1063.23 5.15674E-05
1063.97 5.15534E-05
1065.43 5.15257E-05
1068.36 5.14703E-05
1074.22 5.13596E-05
1085.94 5.11383E-05
1109.38 5.07090E-05
1156.25 4.98874E-05
1250.00 4.83756E-05
1311.88 4.75344E-05
1312.50 4.75265E-05
1313.97 4.75082E-05
1315.43 4.74899E-05
1318.36 4.74536E-05
1324.22 4.73810E-05
1335.94 4.72358E-05
1359.38 4.69476E-05
1406.25 4.63954E-05
1500.00 4.53589E-05
1501.66 4.53413E-05
1562.50 4.47161E-05
1563.96 4.47014E-05
1569.77 4.46441E-05
1575.58 4.45873E-05
1587.21 4.44736E-05
1610.47 4.42462E-05
1656.98 4.38078E-05
1750.00 4.29788E-05
2000.00 4.10189E-05
2279.02 3.96213E-05
2281.25 3.96111E-05
2369.15 3.92162E-05
2375.00 3.91908E-05
2398.44 3.90901E-05
2421.88 3.89893E-05
2468.75 3.87910E-05
2562.50 3.84116E-05
2750.00 3.76979E-05
3000.00 3.68376E-05
3500.00 3.59340E-05
