Pd-105(n,g) ENDFB-8.0
Energy(eV) XS(b)
24.9655 336.651
24.9723 354.769
24.9791 373.376
24.9859 392.445
24.9928 411.853
24.9996 431.555
25.0064 451.471
25.0163 480.667
25.0262 509.801
25.0461 566.655
25.0597 603.461
25.0734 637.325
25.0828 658.529
25.0922 677.594
25.1017 694.251
25.1111 708.261
25.1208 719.724
25.1305 727.967
25.1403 732.858
25.1500 734.320
25.1608 731.891
25.1716 725.253
25.1782 719.247
25.1847 711.792
25.1978 692.778
25.2109 668.745
25.2239 640.354
25.2369 608.639
25.2498 574.164
25.2628 537.734
25.2758 500.170
25.2887 462.164
25.3017 424.429
25.3146 387.565
25.3276 352.105
25.3405 318.395
25.3535 286.764
25.3600 271.795
25.3665 257.414
25.3729 243.633
25.3794 230.477
25.3859 217.908
25.3924 205.945
25.3989 194.581
25.4053 183.807
25.4118 173.611
25.4183 163.977
25.4248 154.890
25.4312 146.343
25.4377 138.290
25.4442 130.723
25.4507 123.622
25.4572 116.973
25.4636 110.735
25.4701 104.894
25.4766 99.4296
25.4831 94.3271
25.4895 89.5494
25.4960 85.0841
25.5025 80.9114
25.5090 77.0120
25.5155 73.3677
25.5219 69.9611
25.5284 66.7757
25.5349 63.8005
25.5414 61.0115
25.5479 58.3998
25.5543 55.9525
25.5608 53.6575
25.5673 51.5038
25.5738 49.4810
25.5803 47.5793
25.5867 45.7925
25.5956 43.5174
25.6044 41.4192
25.6132 39.4762
25.6221 37.6774
25.6309 36.0052
25.6397 34.4513
25.6486 33.0014
25.6574 31.6490
25.6662 30.3827
25.6751 29.1974
25.6839 28.0837
25.6927 27.0380
25.7016 26.0524
25.7104 25.1241
25.7281 23.4191
25.7410 22.2822
25.7540 21.2305
25.7670 20.2554
25.7799 19.3499
25.7929 18.5061
25.8058 17.7187
25.8188 16.9828
25.8317 16.2942
25.8447 15.6479
25.8577 15.0409
25.8706 14.4699
25.8836 13.9324
25.8965 13.4251
25.9095 12.9464
25.9354 12.0651
25.9613 11.2736
25.9872 10.5604
26.0131 9.91492
26.0390 9.32912
26.0650 8.79539
26.0909 8.30803
26.1168 7.86159
26.1427 7.45156
26.1674 7.09043
26.1922 6.75597
26.2169 6.44558
26.2416 6.15709
26.2664 5.88826
26.2911 5.63751
26.3159 5.40307
26.3406 5.18372
26.3653 4.97803
26.3901 4.78496
26.4148 4.60350
26.4395 4.43282
26.4643 4.27195
26.4890 4.12027
26.5385 3.84160
26.5903 3.58086
26.6421 3.34767
26.6940 3.13830
26.7458 2.94968
26.7976 2.77912
26.8494 2.62445
26.9013 2.48381
26.9531 2.35562
26.9955 2.25900
27.0379 2.16914
27.0803 2.08542
27.1227 2.00733
27.1651 1.93436
27.2075 1.86611
27.2499 1.80219
27.2923 1.74226
27.3347 1.68603
27.3771 1.63326
27.4619 1.53711
27.5468 1.45217
27.6316 1.37706
27.6834 1.33551
27.7352 1.29699
27.7870 1.26131
27.8389 1.22831
27.8907 1.19784
27.9425 1.16978
28.0462 1.12048
28.1498 1.07979
28.2535 1.04736
28.3053 1.03422
28.3572 1.02316
28.4090 1.01422
28.4608 1.00747
28.5362 1.00179
28.6116 1.00139
28.6776 1.00585
28.7435 1.01536
28.8095 1.03067
28.8754 1.05281
28.9084 1.06685
28.9414 1.08314
28.9744 1.10192
29.0074 1.12347
29.0403 1.14812
29.0733 1.17625
29.1063 1.20832
29.1393 1.24486
29.1746 1.28973
29.2100 1.34144
