Ni-60(n,tot) ENDFB-8.0
Energy(eV) XS(b)
2230.68 0.509025
2231.79 0.510917
2232.90 0.513190
2234.01 0.515940
2235.12 0.519288
2236.11 0.522896
2237.10 0.527262
2238.09 0.532592
2239.08 0.539174
2240.06 0.547421
2240.56 0.552351
2241.05 0.557951
2241.55 0.564347
2242.04 0.571696
2242.53 0.580195
2243.03 0.590075
2243.52 0.601703
2244.02 0.615495
2244.51 0.632043
2244.76 0.641596
2245.00 0.652171
2245.25 0.663930
2245.50 0.677069
2245.74 0.691836
2245.99 0.708541
2246.24 0.727589
2246.49 0.749521
2246.73 0.775070
2246.98 0.805137
2247.11 0.823657
2247.24 0.844046
2247.37 0.866791
2247.50 0.892328
2247.64 0.921424
2247.77 0.954295
2247.90 0.991949
2248.03 1.03536
2248.16 1.08613
2248.29 1.14491
2248.42 1.21379
2248.55 1.29479
2248.62 1.34094
2248.69 1.39112
2248.75 1.44570
2248.82 1.50413
2248.88 1.56866
2248.95 1.63775
2249.01 1.71403
2249.08 1.79569
2249.16 1.91313
2249.25 2.04380
2249.33 2.18905
2249.42 2.35027
2249.50 2.52894
2249.59 2.72660
2249.67 2.94483
2249.76 3.18230
2249.80 3.31276
2249.84 3.44627
2249.89 3.58940
2249.93 3.73569
2249.97 3.89230
2250.01 4.05216
2250.10 4.39724
2250.18 4.77241
2250.27 5.17902
2250.35 5.61828
2250.44 6.08547
2250.52 6.59250
2250.61 7.13456
2250.69 7.71191
2250.78 8.32448
2250.86 8.97181
2250.95 9.65305
2251.03 10.3669
2251.12 11.1117
2251.26 12.4659
2251.41 13.8808
2251.70 16.8505
2251.87 18.5892
2252.04 20.2825
2252.21 21.8801
2252.38 23.3305
2252.50 24.2102
2252.61 24.9835
2252.70 25.4695
2252.78 25.8883
2252.87 26.2580
2252.96 26.5394
2253.08 26.7811
2253.20 26.8605
2253.31 26.7893
2253.42 26.5792
2253.54 26.2111
2253.66 25.6994
2253.78 25.0045
2253.91 24.1704
2254.03 23.2056
2254.16 22.1441
2254.31 20.7704
2254.45 19.3216
2254.95 14.2383
2255.11 12.6762
2255.27 11.2036
2255.35 10.4990
2255.43 9.82147
2255.51 9.17247
2255.59 8.56073
2255.66 8.09419
2255.72 7.64684
2255.78 7.21882
2255.84 6.81651
2255.91 6.42685
2255.97 6.05632
2256.03 5.70468
2256.09 5.37676
2256.16 5.06157
2256.22 4.76412
2256.28 4.48388
2256.35 4.22438
