Te-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
342.189 3.75757
342.713 3.75698
343.237 3.75653
343.761 3.75628
344.023 3.75627
344.285 3.75637
344.547 3.75662
344.809 3.75707
345.071 3.75781
345.333 3.75894
345.595 3.76066
345.726 3.76185
345.857 3.76333
346.001 3.76544
346.146 3.76822
346.290 3.77200
346.363 3.77444
346.435 3.77740
346.507 3.78107
346.580 3.78574
346.652 3.79183
346.724 3.79999
346.796 3.81124
346.833 3.81847
346.869 3.82702
346.905 3.83724
346.941 3.84939
346.977 3.86387
347.013 3.88109
347.045 3.89887
347.076 3.91942
347.108 3.94319
347.140 3.97056
347.171 4.00208
347.203 4.03797
347.235 4.07877
347.266 4.12489
347.298 4.17690
347.329 4.23483
347.361 4.29913
347.393 4.37002
347.424 4.44763
347.456 4.53195
347.487 4.62286
347.519 4.72009
347.548 4.81583
347.578 4.91616
347.607 5.02047
347.637 5.12761
347.754 5.56942
347.786 5.68570
347.817 5.79725
347.849 5.90273
347.880 6.00047
347.902 6.06171
347.923 6.11812
347.945 6.16925
347.966 6.21447
347.991 6.25932
348.016 6.29557
348.046 6.32768
348.077 6.34565
348.100 6.34975
348.131 6.34216
348.161 6.32013
348.187 6.29077
348.212 6.25203
348.240 6.19957
348.268 6.13740
348.293 6.07216
348.319 6.00032
348.344 5.92211
348.370 5.83898
348.414 5.68522
348.457 5.52339
348.545 5.19193
348.587 5.03807
348.629 4.89068
348.649 4.81995
348.670 4.75151
348.691 4.68553
348.712 4.62216
348.733 4.56124
348.753 4.50343
348.774 4.44850
348.795 4.39647
348.816 4.34735
348.837 4.30112
348.857 4.25775
348.878 4.21717
348.903 4.17321
348.927 4.13282
348.951 4.09586
348.975 4.06214
349.000 4.03148
349.024 4.00369
349.048 3.97857
349.073 3.95602
349.097 3.93565
349.121 3.91738
349.145 3.90101
349.170 3.88638
349.218 3.86168
349.267 3.84212
349.315 3.82658
349.364 3.81425
349.413 3.80443
349.461 3.79656
349.510 3.79018
349.558 3.78496
349.655 3.77698
349.729 3.77241
349.803 3.76873
349.951 3.76310
350.099 3.75894
350.247 3.75570
350.395 3.75310
350.543 3.75096
350.691 3.74915
350.839 3.74759
351.135 3.74503
351.431 3.74298
351.727 3.74126
352.023 3.73978
352.310 3.73851
352.597 3.73735
353.171 3.73526
353.744 3.73338
354.318 3.73162
354.891 3.72995
355.465 3.72833
356.612 3.72516
357.759 3.72202
358.906 3.71887
361.200 3.71242
362.384 3.70899
364.752 3.70185
368.008 3.69129
371.264 3.67970
374.521 3.66687
