31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
1.250000e-02 1.12065328e+01
1.281250e-02 1.11529080e+01
1.312500e-02 1.11012615e+01
1.343750e-02 1.10514330e+01
1.375000e-02 1.10032827e+01
1.437500e-02 1.09119373e+01
1.500000e-02 1.08264461e+01
1.562500e-02 1.07461495e+01
1.625000e-02 1.06706480e+01
1.687500e-02 1.05994023e+01
1.750000e-02 1.05321124e+01
1.812500e-02 1.04682990e+01
1.875000e-02 1.04077622e+01
1.937500e-02 1.03502423e+01
2.000000e-02 1.02954996e+01
2.066250e-02 1.02401776e+01
2.132500e-02 1.01874928e+01
2.198750e-02 1.01373014e+01
2.265000e-02 1.00892839e+01
2.331250e-02 1.00433981e+01
2.397500e-02 9.99943030e+00
2.463750e-02 9.95725272e+00
2.530000e-02 9.91677735e+00
2.645780e-02 9.84978793e+00
2.761560e-02 9.78708807e+00
2.877340e-02 9.72826219e+00
2.993130e-02 9.67291668e+00
3.108910e-02 9.62072990e+00
3.224690e-02 9.57140212e+00
3.340470e-02 9.52468962e+00
3.456250e-02 9.48036862e+00
3.552740e-02 9.44511402e+00
3.649220e-02 9.41127594e+00
3.745700e-02 9.37876247e+00
3.842190e-02 9.34749371e+00
3.938670e-02 9.31739371e+00
4.035160e-02 9.28838258e+00
4.131640e-02 9.26039834e+00
4.228130e-02 9.23339111e+00
4.421090e-02 9.18206778e+00
4.614060e-02 9.13402701e+00
4.807030e-02 9.08893113e+00
5.000000e-02 9.04649644e+00
5.156250e-02 9.01390526e+00
5.312500e-02 8.98277453e+00
5.468750e-02 8.95300437e+00
5.625000e-02 8.92449488e+00
5.781250e-02 8.89715415e+00
5.937500e-02 8.87090824e+00
6.093750e-02 8.84568726e+00
6.250000e-02 8.82143127e+00
6.406250e-02 8.79807430e+00
6.562500e-02 8.77556445e+00
6.718750e-02 8.75384975e+00
6.875000e-02 8.73288625e+00
7.187500e-02 8.69303503e+00
7.500000e-02 8.65571313e+00
7.812500e-02 8.62065481e+00
8.125000e-02 8.58765231e+00
8.437500e-02 8.55650984e+00
8.750000e-02 8.52704755e+00
9.062500e-02 8.49914161e+00
9.375000e-02 8.47264417e+00
9.687500e-02 8.44744532e+00
1.000000e-01 8.42344321e+00
1.031250e-01 8.40054991e+00
1.062500e-01 8.37867350e+00
1.093750e-01 8.35775209e+00
1.125000e-01 8.33771773e+00
1.156250e-01 8.31849049e+00
1.187500e-01 8.30004643e+00
1.218750e-01 8.28230958e+00
1.250000e-01 8.26525002e+00
1.281250e-01 8.24882779e+00
1.312500e-01 8.23299889e+00
1.343750e-01 8.21772941e+00
1.375000e-01 8.20298337e+00
1.437500e-01 8.17495170e+00
1.500000e-01 8.14868813e+00
1.562500e-01 8.12400885e+00
1.625000e-01 8.10077003e+00
1.687500e-01 8.07883980e+00
1.750000e-01 8.05809428e+00
1.812500e-01 8.03843359e+00
1.875000e-01 8.01976783e+00
1.937500e-01 8.00202908e+00
2.000000e-01 7.98512541e+00
2.093750e-01 7.96120336e+00
2.187500e-01 7.93883164e+00
2.281250e-01 7.91784842e+00
2.375000e-01 7.89811385e+00
2.468750e-01 7.87951404e+00
2.562500e-01 7.86194513e+00
2.656250e-01 7.84531519e+00
2.750000e-01 7.82953831e+00
2.843750e-01 7.81455260e+00
2.937500e-01 7.80028810e+00
3.031250e-01 7.78669087e+00
3.125000e-01 7.77370098e+00
3.218750e-01 7.76128847e+00
3.312500e-01 7.74940137e+00
3.406250e-01 7.73800975e+00
3.500000e-01 7.72707764e+00
3.593750e-01 7.71657106e+00
3.687500e-01 7.70646803e+00
3.781250e-01 7.69674659e+00
3.875000e-01 7.68737877e+00
3.968750e-01 7.67835258e+00
4.062500e-01 7.66963804e+00
4.250000e-01 7.65306805e+00
4.437500e-01 7.63754091e+00
4.625000e-01 7.62295476e+00
5.000000e-01 7.59630168e+00
5.312500e-01 7.57626142e+00
5.625000e-01 7.55785539e+00
5.937500e-01 7.54090577e+00
6.250000e-01 7.52523076e+00
6.875000e-01 7.49709324e+00
7.500000e-01 7.47248784e+00
8.125000e-01 7.45072335e+00
8.750000e-01 7.43133026e+00
9.375000e-01 7.41385709e+00
1.000000e+00 7.39794819e+00
1.062500e+00 7.38341380e+00
1.125000e+00 7.37006210e+00
1.187500e+00 7.35773730e+00
1.250000e+00 7.34630950e+00
1.375000e+00 7.32572142e+00
1.500000e+00 7.30762863e+00
1.625000e+00 7.29153564e+00
1.750000e+00 7.27710682e+00
1.875000e+00 7.26402453e+00
2.000000e+00 7.25203902e+00
2.187500e+00 7.23584784e+00
2.375000e+00 7.22141870e+00
2.562500e+00 7.20841602e+00
2.750000e+00 7.19660003e+00
2.937500e+00 7.18577296e+00
3.125000e+00 7.17574902e+00
3.312500e+00 7.16644027e+00
3.500000e+00 7.15774487e+00
3.875000e+00 7.14190436e+00
4.250000e+00 7.12773403e+00
4.625000e+00 7.11488826e+00
5.000000e+00 7.10311528e+00
5.312500e+00 7.09398376e+00
5.625000e+00 7.08536766e+00
5.937500e+00 7.07732672e+00
6.250000e+00 7.06942404e+00
6.875000e+00 7.05488493e+00
7.500000e+00 7.04143659e+00
8.125000e+00 7.02886531e+00
8.750000e+00 7.01702126e+00
9.375000e+00 7.00576656e+00
1.000000e+01 6.99500733e+00
1.062500e+01 6.98466565e+00
1.125000e+01 6.97468757e+00
1.187500e+01 6.96510893e+00
1.250000e+01 6.95562647e+00
1.375000e+01 6.93751832e+00
1.500000e+01 6.92016139e+00
1.625000e+01 6.90338982e+00
1.750000e+01 6.88709574e+00
1.875000e+01 6.87118725e+00
2.000000e+01 6.85560241e+00
2.187500e+01 6.83270064e+00
2.375000e+01 6.81027034e+00
2.562500e+01 6.78819163e+00
2.750000e+01 6.76638058e+00
2.937500e+01 6.74478527e+00
3.125000e+01 6.72334570e+00
3.312500e+01 6.70202591e+00
3.500000e+01 6.68078793e+00
3.687500e+01 6.65960175e+00
3.875000e+01 6.63846068e+00
3.968750e+01 6.62786910e+00
4.062500e+01 6.61730811e+00
4.250000e+01 6.59613805e+00
4.437500e+01 6.57495505e+00
4.625000e+01 6.55373178e+00
4.812500e+01 6.53245622e+00
5.000000e+01 6.51112832e+00
5.195710e+01 6.48876509e+00
5.312500e+01 6.47547220e+00
5.391420e+01 6.46641069e+00
5.468750e+01 6.45758219e+00
5.587130e+01 6.44397150e+00
5.625000e+01 6.43965061e+00
5.781250e+01 6.42169657e+00
5.782840e+01 6.42151234e+00
5.937500e+01 6.40376248e+00
5.978550e+01 6.39900867e+00
6.093750e+01 6.38585539e+00
6.174250e+01 6.37657428e+00
6.250000e+01 6.36794622e+00
6.272110e+01 6.36539979e+00
6.369960e+01 6.35427336e+00
6.406250e+01 6.35019439e+00
6.467820e+01 6.34319107e+00
6.562500e+01 6.33256396e+00
6.565670e+01 6.33220339e+00
6.681320e+01 6.31933345e+00
6.718750e+01 6.31528173e+00
6.796970e+01 6.30668517e+00
6.875000e+01 6.29833532e+00
6.912610e+01 6.29424274e+00
7.028260e+01 6.28221303e+00
7.031250e+01 6.28191820e+00
7.143900e+01 6.27058497e+00
7.187500e+01 6.26641083e+00
7.201730e+01 6.26501674e+00
7.259550e+01 6.25957135e+00
7.317370e+01 6.25437330e+00
7.343750e+01 6.25212736e+00
7.375200e+01 6.24937476e+00
7.433020e+01 6.24461723e+00
7.490840e+01 6.24021475e+00
7.500000e+01 6.23959197e+00
7.566460e+01 6.23490737e+00
7.617190e+01 6.23186956e+00
7.642070e+01 6.23033759e+00
7.717690e+01 6.22665053e+00
7.734380e+01 6.22608956e+00
7.793300e+01 6.22395161e+00
7.831110e+01 6.22307807e+00
7.851560e+01 6.22281705e+00
7.868920e+01 6.22255375e+00
7.906720e+01 6.22235609e+00
7.944530e+01 6.22258843e+00
