Pr-141(n,g) ENDFB-8.0
0.0374570 9.44955
0.0384219 9.32954
0.0393867 9.21396
0.0403516 9.10253
0.0413164 8.99502
0.0422813 8.89120
0.0442109 8.69384
0.0461406 8.50897
0.0480703 8.33533
0.0500000 8.17182
0.0515625 8.04620
0.0531250 7.92615
0.0546875 7.81127
0.0562500 7.70121
0.0578125 7.59563
0.0593750 7.49425
0.0609375 7.39679
0.0625000 7.30301
0.0640625 7.21269
0.0656250 7.12562
0.0671875 7.04161
0.0687500 6.96048
0.0718750 6.80619
0.0750000 6.66156
0.0781250 6.52563
0.0812500 6.39756
0.0843750 6.27664
0.0875000 6.16224
0.0906250 6.05379
0.0937500 5.95079
0.0968750 5.85279
0.100000 5.75941
0.103125 5.67030
0.106250 5.58512
0.109375 5.50361
0.112500 5.42551
0.115625 5.35058
0.118750 5.27862
0.121875 5.20943
0.125000 5.14285
0.128125 5.07872
0.131250 5.01691
0.134375 4.95727
0.137500 4.89968
0.143750 4.79013
0.150000 4.68738
0.156250 4.59078
0.162500 4.49976
0.168750 4.41381
0.175000 4.33248
0.181250 4.25537
0.187500 4.18211
0.193750 4.11240
0.200000 4.04598
0.204688 3.99819
0.209375 3.95202
0.218750 3.86414
0.228125 3.78161
0.237500 3.70393
0.246875 3.63068
0.256250 3.56145
0.265625 3.49589
0.275000 3.43368
0.284375 3.37453
0.293750 3.31821
0.303125 3.26450
0.312500 3.21320
0.321875 3.16413
0.331250 3.11713
0.340625 3.07206
0.350000 3.02879
0.359375 2.98721
0.368750 2.94720
0.378125 2.90867
0.387500 2.87154
0.396875 2.83575
0.406250 2.80122
0.425000 2.73553
0.443750 2.67387
0.462500 2.61593
0.500000 2.51003
0.531250 2.43036
0.562500 2.35712
0.593750 2.28964
0.625000 2.22719
0.687500 2.11507
0.750000 2.01699
0.812500 1.93020
0.875000 1.85287
0.937500 1.78319
1.00000 1.71980
1.06250 1.66194
1.12500 1.60884
1.18750 1.55987
1.25000 1.51451
1.37500 1.43298
1.50000 1.36156
1.62500 1.29828
1.75000 1.24180
1.87500 1.19087
2.00000 1.14448
2.18750 1.08229
2.37500 1.02741
2.56250 0.978476
2.75000 0.934542
2.93750 0.894753
3.12500 0.858429
3.31250 0.825149
3.50000 0.794512
3.68750 0.766187
3.87500 0.739899
4.06250 0.715417
4.25000 0.692548
4.62500 0.651000
5.00000 0.614207
5.31250 0.586568
5.62500 0.561243
5.93750 0.537962
6.25000 0.516474
6.56250 0.496570
6.87500 0.478073
7.18750 0.460835
7.50000 0.444726
7.81250 0.429635
8.12500 0.415467
8.75000 0.389595
9.37500 0.366527
10.0000 0.345802
10.6250 0.327099
11.2500 0.310137
11.8750 0.294685
12.5000 0.280553
13.1250 0.267581
13.7500 0.255635
14.3750 0.244602
15.0000 0.234384
15.6250 0.224897
16.2500 0.216069
16.8750 0.207835
17.5000 0.200141
18.1250 0.192937
18.7500 0.186182
19.3750 0.179836
20.0000 0.173870
20.9375 0.165558
21.8750 0.157929
22.8125 0.150913
23.7500 0.144443
24.6875 0.138463
25.6250 0.132924
26.5625 0.127784
27.5000 0.123004
28.4375 0.118552
29.3750 0.114398
30.3125 0.110516
31.2500 0.106885
32.1875 0.103482
33.1250 0.100295
35.0000 0.0944850
36.8750 0.0893374
38.7500 0.0847657
40.6250 0.0806949
42.5000 0.0770633
44.3750 0.0738197
46.2500 0.0709220
48.1250 0.0683355
50.0000 0.0660328
51.9227 0.0639527
53.8454 0.0621297
55.7681 0.0605464
57.6908 0.0591992
58.6522 0.0585864
59.6135 0.0580915
61.5362 0.0572362
63.4589 0.0566438
65.3816 0.0564073
66.5490 0.0564648
67.7163 0.0567067
68.8837 0.0571739
70.0510 0.0579242
70.6347 0.0584229
71.2184 0.0590418
71.8020 0.0597516
72.3857 0.0605990
72.9694 0.0616318
73.5531 0.0628642
74.1367 0.0643373
74.7204 0.0661045
75.2011 0.0678292
75.6818 0.0698513
76.1624 0.0722311
76.6431 0.0750082
77.1238 0.0783637
77.3641 0.0802886
77.6045 0.0824059
77.8448 0.0847410
78.0851 0.0873237
78.3255 0.0901892
78.5658 0.0933789
78.8061 0.0969425
79.0465 0.100939
79.2868 0.105427
79.5272 0.110489
79.7675 0.116264
80.0078 0.122879
80.1280 0.126548
80.2482 0.130490
80.3683 0.134732
80.4885 0.139305
80.6688 0.146866
80.8490 0.155394
81.0293 0.165061
81.1194 0.170386
81.2095 0.176078
81.2997 0.182174
81.3898 0.188711
81.4799 0.195733
81.5700 0.203285
81.6602 0.211423
81.7503 0.220204
81.8404 0.229704
81.9305 0.240005
82.0250 0.251768
82.1194 0.264650
82.2138 0.278797
82.3082 0.294373
82.4026 0.311579
82.4970 0.330650
82.5915 0.351865
82.6859 0.375558
82.7760 0.400863
82.8661 0.429221
82.9112 0.444703
82.9563 0.461147
83.0013 0.478637
83.0464 0.497264
83.0915 0.517134
83.1365 0.538350
83.1816 0.561047
83.2266 0.585357
83.2717 0.611451
83.3168 0.639498
83.3618 0.669709
83.4069 0.702318
83.4541 0.739346
83.5013 0.779651
83.5485 0.823636
83.5957 0.871761
83.6429 0.924593
83.6901 0.982763
83.7374 1.04703
83.7846 1.11827
83.8318 1.19760
83.8554 1.24069
83.8790 1.28628
83.9026 1.33463
83.9262 1.38591
83.9498 1.44043
83.9734 1.49841
83.9970 1.56023
84.0206 1.62618
84.0442 1.69672
84.0678 1.77223
84.0914 1.85328
84.1150 1.94038
84.1386 2.03427
84.1622 2.13563
84.1923 2.27694
84.2223 2.43396
84.2524 2.60938
84.2674 2.70500
84.2824 2.80653
84.2974 2.91454
84.3124 3.02966
84.3275 3.15263
84.3425 3.28430
84.3575 3.42565
84.3725 3.57782
84.3875 3.74217
84.4026 3.92028
84.4144 4.07120
84.4262 4.23271
84.4380 4.40613
84.4498 4.59287
84.4616 4.79471
84.4734 5.01316
84.4852 5.25052
84.4970 5.50921
84.5088 5.79231
84.5206 6.10258
84.5324 6.44393
84.5442 6.82061
84.5560 7.23782
84.5678 7.70036
84.5796 8.21482
84.5914 8.78825
84.6000 9.24731
84.6086 9.74459
84.6172 10.2843
84.6257 10.8704
84.6322 11.3433
84.6386 11.8467
84.6451 12.3826
84.6515 12.9531
84.6579 13.5605
84.6644 14.2071
84.6708 14.8955
84.6772 15.6269
84.6837 16.4065
84.6901 17.2359
84.6966 18.1179
84.7030 19.0542
84.7094 20.0507
84.7159 21.1092
84.7223 22.2331
84.7287 23.4238
84.7347 24.5815
84.7406 25.8006
84.7465 27.0857
84.7524 28.4396
84.7583 29.8650
84.7642 31.3648
84.7701 32.9417
84.7760 34.5986
84.7819 36.3413
84.7878 38.1665
84.7937 40.0799
84.7996 42.0840
84.8055 44.1815
84.8114 46.3747
84.8173 48.6660
84.8232 51.0577
84.8296 53.7851
84.8360 56.6370
84.8425 59.6156
84.8489 62.7177
84.8554 65.9547
84.8618 69.3177
84.8682 72.8181
84.8747 76.4454
84.8865 83.4517
84.8983 90.8932
84.9101 98.7724
84.9219 107.060
84.9337 115.738
84.9455 124.778
84.9573 134.141
84.9691 143.783
84.9809 153.661
84.9927 163.697
85.0163 184.003
85.0399 204.121
85.0635 223.374
85.0785 234.852
85.0935 245.513
85.1053 253.201
85.1171 260.196
85.1289 266.423
85.1407 271.813
85.1533 276.554
85.1658 280.223
85.1816 283.249
85.1974 284.437
85.2000 284.454
85.2026 284.420
85.2112 283.950
85.2197 282.936
85.2368 279.307
85.2494 275.328
85.2619 270.295
85.2714 265.838
85.2808 260.854
85.2998 249.430
85.3196 235.669
85.3394 220.470
85.3592 204.250
85.3790 187.423
85.4151 156.552
85.4331 141.510
85.4511 127.032
85.4610 119.366
85.4709 111.944
85.4808 104.786
85.4907 97.9141
85.5006 91.3283
85.5105 85.0446
85.5205 79.0693
85.5304 73.4114
85.5430 66.6510
85.5556 60.3975
85.5619 57.4536
85.5682 54.6355
85.5745 51.9322
85.5808 49.3502
85.5871 46.8788
85.5934 44.5231
85.5997 42.2729
85.6060 40.1324
85.6123 38.0916
85.6186 36.1540
85.6249 34.3100
85.6312 32.5622
85.6412 29.9936
85.6511 27.6341
85.6610 25.4707
85.6709 23.4904
85.6808 21.6805
85.6907 20.0286
85.7006 18.5227
85.7105 17.1526
85.7204 15.9047
85.7303 14.7700
85.7402 13.7388
85.7501 12.8028
85.7601 11.9515
85.7700 11.1782
85.7799 10.4754
85.7898 9.83694
85.7997 9.25541
85.8096 8.72579
85.8195 8.24292
85.8294 7.80211
85.8393 7.39912
85.8492 7.03009
85.8591 6.69159
85.8690 6.38080
85.8790 6.09432
85.8889 5.82996
85.8988 5.58551
85.9087 5.35920
85.9186 5.14878
85.9285 4.95293
85.9384 4.77023
85.9483 4.59960
85.9654 4.32937
85.9825 4.08664
85.9997 3.86710
86.0168 3.66772
86.0339 3.48558
86.0510 3.31864
86.0681 3.16494
86.0852 3.02293
86.1023 2.89123
86.1194 2.76887
86.1366 2.65478
86.1537 2.54826
86.1708 2.44848
86.1879 2.35495
86.2050 2.26707
86.2221 2.18435
86.2419 2.09443
86.2618 2.01031
86.2816 1.93146
86.3014 1.85746
86.3212 1.78785
86.3410 1.72229
86.3609 1.66047
86.3807 1.60214
86.4203 1.49474
86.4599 1.39835
86.4996 1.31143
86.5392 1.23280
86.5662 1.18337
86.5933 1.13704
86.6203 1.09352
86.6473 1.05259
86.6743 1.01403
86.7013 0.977683
86.7554 0.910938
86.8094 0.851167
86.8635 0.797435
86.9175 0.748933
86.9716 0.704995
87.0112 0.675338
87.0508 0.647648
87.0905 0.621741
87.1301 0.597478
87.1697 0.574712
87.2094 0.553332
87.2490 0.533222
87.2886 0.514282
87.3283 0.496420
87.3679 0.479563
87.4472 0.448560
87.5264 0.420753
87.6057 0.395720
87.6525 0.382082
87.6994 0.369222
87.7930 0.345607
87.8867 0.324474
87.9804 0.305490
88.0741 0.288372
88.1678 0.272881
88.2614 0.258809
88.3551 0.245985
88.4344 0.235999
88.5137 0.226726
88.5929 0.218104
88.6722 0.210073
88.7515 0.202580
88.8307 0.195579
88.9100 0.189027
88.9892 0.182888
89.1478 0.171712
89.3063 0.161820
89.4648 0.153021
89.6234 0.145161
89.7387 0.139960
89.8540 0.135143
89.9693 0.130677
90.0846 0.126528
90.1999 0.122671
90.3151 0.119079
90.5457 0.112580
90.7763 0.106859
91.0069 0.101808
91.2375 0.0973294
91.4681 0.0933405
91.6555 0.0904122
91.8428 0.0877305
92.0302 0.0852687
92.2175 0.0830036
92.5922 0.0789845
92.9670 0.0755395
93.3417 0.0725682
93.7164 0.0700065
94.0911 0.0677463
94.4658 0.0657568
94.8117 0.0641289
95.1576 0.0626721
95.5035 0.0613634
95.8494 0.0601852
96.5411 0.0581593
97.2329 0.0565001
97.9247 0.0551361
98.6165 0.0539851
99.3082 0.0530112
100.000 0.0521981
101.160 0.0511427
102.319 0.0503861
103.478 0.0499011
104.638 0.0496693
105.846 0.0497605
106.450 0.0499730
107.053 0.0503250
107.657 0.0509199
107.959 0.0513427
108.261 0.0518791
108.563 0.0525642
108.865 0.0534385
109.167 0.0545864
109.318 0.0553045
109.469 0.0561427
109.614 0.0570860
109.759 0.0581937
109.904 0.0595048
110.049 0.0610724
110.169 0.0626301
110.290 0.0644786
110.411 0.0666948
110.532 0.0693785
110.652 0.0726755
110.713 0.0746131
110.773 0.0767858
110.834 0.0792342
110.894 0.0820089
110.954 0.0851728
111.015 0.0887988
111.081 0.0934607
111.148 0.0989821
111.214 0.105611
111.247 0.109441
111.280 0.113687
111.314 0.118432
111.347 0.123734
111.380 0.129717
111.413 0.136527
111.447 0.144362
111.480 0.153495
111.513 0.164317
111.546 0.177390
111.563 0.185063
111.579 0.193591
111.596 0.203182
111.613 0.214032
111.629 0.226380
111.646 0.240513
111.662 0.256773
111.679 0.275568
111.696 0.297522
111.712 0.322946
111.729 0.352628
111.737 0.369303
111.746 0.387340
111.754 0.406857
111.762 0.427975
111.770 0.450827
111.779 0.475551
111.787 0.502296
111.795 0.531219
111.804 0.562486
111.812 0.596271
111.823 0.643373
111.833 0.695285
111.844 0.752431
111.854 0.814637
111.865 0.883549
111.875 0.958338
111.886 1.04092
111.896 1.13024
111.907 1.22851
111.918 1.33542
111.928 1.45151
111.939 1.57604
111.949 1.71187
111.960 1.85692
111.970 2.01439
111.981 2.18170
111.989 2.31698
111.997 2.45733
112.005 2.60643
112.013 2.76065
112.021 2.92396
112.029 3.09234
112.037 3.26780
112.044 3.45032
112.060 3.83895
112.076 4.25261
112.092 4.69527
112.108 5.15945
112.124 5.67046
112.141 6.20171
112.174 7.30277
112.207 8.42793
112.241 9.51260
112.259 10.0669
112.277 10.5824
112.293 11.0128
112.310 11.3953
112.326 11.7109
112.342 11.9702
112.358 12.1798
112.369 12.2791
112.380 12.3488
112.390 12.3886
112.400 12.4012
112.401 12.4009
112.404 12.3984
112.408 12.3931
112.414 12.3746
112.427 12.3058
112.440 12.1859
112.454 12.0196
112.469 11.7902
112.484 11.5144
112.498 11.1945
112.513 10.8348
112.532 10.3271
112.550 9.77308
112.575 9.00815
112.599 8.21087
112.628 7.21835
112.657 6.24283
112.681 5.47766
112.693 5.11295
112.705 4.76090
112.718 4.41987
112.730 4.09636
112.742 3.78820
112.754 3.49586
112.762 3.30763
112.770 3.12898
112.778 2.95756
112.786 2.79335
112.794 2.63438
112.802 2.48451
112.810 2.34163
112.818 2.20564
112.826 2.07482
112.834 1.95224
112.842 1.83608
112.850 1.72617
112.858 1.62230
112.866 1.52428
112.874 1.43190
112.882 1.34495
112.889 1.26916
112.897 1.19859
112.904 1.13114
112.911 1.06845
112.919 1.00864
112.926 0.953162
112.933 0.900320
112.941 0.851381
112.948 0.804843
112.955 0.761807
112.963 0.720939
112.970 0.683197
112.977 0.647401
112.985 0.614380
112.992 0.583095
112.999 0.554261
113.007 0.526966
113.014 0.501828
113.022 0.478046
113.029 0.456155
113.044 0.416399
113.058 0.381803
113.073 0.351690
113.088 0.325456
113.102 0.302571
113.117 0.282698
113.129 0.268096
113.141 0.255079
113.153 0.243252
113.165 0.232659
113.189 0.214273
113.213 0.199080
113.237 0.186262
113.261 0.175403
113.285 0.166012
113.309 0.157865
113.334 0.150663
113.358 0.144290
113.382 0.138558
113.406 0.133409
113.454 0.124455
113.502 0.116944
113.547 0.110872
113.593 0.105617
113.638 0.101021
113.684 0.0969719
113.729 0.0933759
113.774 0.0901786
113.820 0.0873152
113.865 0.0847393
113.956 0.0802985
114.047 0.0766287
114.138 0.0735525
114.229 0.0709531
114.336 0.0683750
114.442 0.0662125
114.549 0.0643814
114.656 0.0628170
114.817 0.0608629
114.977 0.0592736
115.137 0.0579625
115.298 0.0568717
115.458 0.0559552
115.618 0.0551809
115.939 0.0539598
116.260 0.0530438
116.580 0.0523418
116.901 0.0518014
117.222 0.0513883
118.077 0.0506640
118.932 0.0502872
120.642 0.0500926
122.353 0.0502812
124.063 0.0507070
125.773 0.0512451
127.483 0.0519276
129.194 0.0526781
130.904 0.0535496
134.325 0.0555348
137.061 0.0574026
139.798 0.0595243
142.534 0.0619225
145.271 0.0646268
148.007 0.0676711
149.375 0.0693342
150.744 0.0711040
152.112 0.0729850
153.480 0.0749852
154.848 0.0771135
156.216 0.0793800
158.098 0.0827510
159.979 0.0864259
161.861 0.0904539
162.801 0.0926171
163.742 0.0948927
164.683 0.0972641
165.623 0.0997599
166.564 0.102398
167.505 0.105155
168.445 0.108054
169.386 0.111132
170.327 0.114362
171.267 0.117756
172.550 0.122720
173.833 0.128082
175.115 0.133888
176.398 0.140184
177.039 0.143495
177.681 0.146984
178.964 0.154434
180.246 0.162576
180.888 0.166934
181.529 0.171499
182.470 0.178602
183.410 0.186226
184.351 0.194430
185.292 0.203276
186.232 0.212830
187.173 0.223177
188.114 0.234409
189.054 0.246626
189.995 0.259963
190.936 0.274554
191.876 0.290573
192.347 0.299178
192.817 0.308220
193.287 0.317722
193.758 0.327722
194.228 0.338265
194.698 0.349374
195.169 0.361102
195.639 0.373504
196.109 0.386621
196.580 0.400511
197.007 0.413884
197.435 0.428000
197.862 0.442925
198.290 0.458738
198.717 0.475486
199.145 0.493271
199.573 0.512181
200.000 0.532247
200.602 0.562807
201.204 0.596387
201.806 0.633374
202.407 0.674259
202.708 0.696340
203.009 0.719612
203.310 0.744092
203.611 0.769918
203.912 0.797330
204.213 0.826416
204.514 0.857271
204.815 0.890041
205.204 0.935566
205.593 0.984987
205.983 1.03878
206.372 1.09749
206.762 1.16175
207.151 1.23230
207.540 1.31003
207.930 1.39597
208.319 1.49138
208.709 1.59767
208.903 1.65544
209.098 1.71664
209.293 1.78155
209.487 1.85046
209.682 1.92374
209.877 2.00176
210.072 2.08496
210.266 2.17380
210.461 2.26883
210.656 2.37062
210.850 2.47984
211.045 2.59715
211.257 2.73529
211.470 2.88539
211.682 3.04911
211.895 3.22820
212.107 3.42455
212.319 3.64041
212.532 3.87847
212.744 4.14191
212.939 4.40892
213.134 4.70390
213.328 5.03092
213.523 5.39486
213.620 5.59255
213.718 5.80153
213.815 6.02315
213.912 6.25797
214.010 6.50758
214.107 6.77269
214.205 7.05523
214.302 7.35612
214.443 7.83076
214.585 8.35430
214.727 8.93362
214.868 9.57696
214.939 9.92566
215.010 10.2943
215.081 10.6843
215.151 11.0976
215.222 11.5360
215.293 12.0016
215.364 12.4967
215.435 13.0238
215.532 13.8065
215.629 14.6626
215.727 15.6033
215.824 16.6381
215.921 17.7821
216.019 19.0486
216.116 20.4585
216.165 21.2234
216.213 22.0307
216.262 22.8871
216.311 23.7947
216.360 24.7576
216.408 25.7781
216.457 26.8655
216.506 28.0232
216.554 29.2571
216.603 30.5714
216.652 31.9787
216.700 33.4848
216.749 35.0988
216.798 36.8273
216.846 38.6888
216.895 40.6928
216.944 42.8535
216.992 45.1818
217.041 47.7053
217.090 50.4394
217.138 53.4062
217.187 56.6240
217.236 60.1337
217.284 63.9598
217.333 68.1364
217.382 72.6912
217.430 77.6840
217.479 83.1500
217.528 89.1364
217.576 95.6788
217.625 102.855
217.674 110.702
217.722 119.269
217.771 128.579
217.820 138.726
217.869 149.672
217.917 161.466
217.966 174.041
218.015 187.400
218.064 201.408
218.161 230.964
218.278 267.162
218.336 284.535
218.395 300.707
218.453 315.107
218.482 321.467
218.511 327.179
218.541 332.184
218.570 336.426
218.599 339.860
218.628 342.447
218.664 344.423
218.700 345.041
218.729 344.530
218.759 343.119
218.788 340.814
218.817 337.658
218.846 333.664
218.876 328.905
218.905 323.400
218.934 317.245
218.993 303.163
219.051 287.212
219.110 269.965
219.168 251.980
219.255 224.826
219.343 198.577
219.386 186.087
219.430 174.175
219.474 162.843
219.517 152.179
219.559 142.640
219.600 133.698
219.642 125.346
219.683 117.583
219.725 110.350
219.766 103.639
219.808 97.4202
219.849 91.6756
219.891 86.3462
219.932 81.4266
219.974 76.8629
220.015 72.6483
220.056 68.7352
220.098 65.1170
220.139 61.7525
220.181 58.6362
220.222 55.7327
220.264 53.0315
220.305 50.5157
220.347 48.1752
220.388 45.9848
220.430 43.9377
220.471 42.0222
220.513 40.2319
220.554 38.5488
220.596 36.9685
220.637 35.4832
220.678 34.0889
220.720 32.7723
220.761 31.5339
220.803 30.3622
220.844 29.2580
220.886 28.2112
220.927 27.2204
220.969 26.2819
221.010 25.3942
221.052 24.5497
221.093 23.7496
221.176 22.2639
221.259 20.9160
221.342 19.6926
221.425 18.5777
221.508 17.5591
221.591 16.6252
221.674 15.7690
221.756 14.9814
221.839 14.2553
221.922 13.5840
222.005 12.9636
222.088 12.3886
222.171 11.8549
222.239 11.4458
222.307 11.0600
222.375 10.6958
222.443 10.3522
222.510 10.0267
222.578 9.71912
222.646 9.42725
222.714 9.15092
222.782 8.88835
222.850 8.63941
222.918 8.40254
222.985 8.17771
223.053 7.96354
223.121 7.76003
223.189 7.56597
223.257 7.38139
223.340 7.16717
223.423 6.96532
223.506 6.77476
223.588 6.59478
223.671 6.42450
223.754 6.26373
223.837 6.11168
223.920 5.96784
224.003 5.83158
224.086 5.70279
224.169 5.58088
224.252 5.46548
224.335 5.35613
224.418 5.25277
224.501 5.15495
224.584 5.06242
224.667 4.97480
224.749 4.89209
224.832 4.81385
224.915 4.74009
224.998 4.67042
225.081 4.60485
225.164 4.54312
225.247 4.48510
225.330 4.43057
225.413 4.37954
225.496 4.33182
225.579 4.28732
225.662 4.24587
225.745 4.20748
225.828 4.17202
225.910 4.13942
226.016 4.10190
226.122 4.06878
226.227 4.03990
226.333 4.01519
226.438 3.99454
226.544 3.97792
226.649 3.96524
226.755 3.95650
226.838 3.95236
226.921 3.95061
227.004 3.95126
227.087 3.95430
227.170 3.95974
227.252 3.96757
227.335 3.97782
227.418 3.99051
227.490 4.00347
227.562 4.01827
227.633 4.03494
227.705 4.05351
227.741 4.06355
227.776 4.07405
227.812 4.08504
227.848 4.09652
227.884 4.10851
227.920 4.12100
227.955 4.13399
227.991 4.14750
228.033 4.16382
228.074 4.18084
228.116 4.19858
228.157 4.21699
228.199 4.23619
228.240 4.25609
228.282 4.27679
228.323 4.29820
228.353 4.31432
228.383 4.33079
228.413 4.34774
228.444 4.36507
228.485 4.38966
228.527 4.41508
228.568 4.44135
228.609 4.46841
228.651 4.49642
228.692 4.52532
228.734 4.55513
228.775 4.58580
228.817 4.61749
228.858 4.65014
228.900 4.68378
228.941 4.71835
228.983 4.75402
229.024 4.79066
229.066 4.82846
229.107 4.86727
229.141 4.89997
229.175 4.93334
229.209 4.96749
229.243 5.00243
229.277 5.03829
229.311 5.07487
229.345 5.11229
229.378 5.15057
229.412 5.18984
229.446 5.22989
229.514 5.31275
229.582 5.39954
229.650 5.49019
229.691 5.54771
229.733 5.60682
229.774 5.66759
229.816 5.72989
229.857 5.79407
229.899 5.85989
229.940 5.92770
229.982 5.99724
230.023 6.06891
230.065 6.14258
230.106 6.21833
230.147 6.29603
230.230 6.45829
230.313 6.62993
230.396 6.81180
230.479 7.00414
230.562 7.20816
230.645 7.42419
230.728 7.65362
230.811 7.89690
230.894 8.15534
230.977 8.43014
231.060 8.72294
231.143 9.03449
231.226 9.36670
