Kr-84(n,tot) ENDFB-8.0
Energy(eV) XS(b)
452.832 2.90083
454.883 2.88001
456.934 2.85801
458.984 2.83487
461.035 2.81019
463.086 2.78397
465.137 2.75604
467.188 2.72622
468.799 2.70133
470.410 2.67504
472.022 2.64721
473.633 2.61771
475.244 2.58638
476.856 2.55304
477.661 2.53555
478.467 2.51748
479.273 2.49880
480.078 2.47949
481.323 2.44828
482.569 2.41533
483.814 2.38048
485.059 2.34356
486.304 2.30440
486.926 2.28395
487.549 2.26288
488.172 2.24110
488.794 2.21860
489.417 2.19536
490.039 2.17135
490.845 2.13907
491.651 2.10536
492.456 2.07012
493.262 2.03326
494.068 1.99467
494.873 1.95426
495.679 1.91189
496.484 1.86746
496.924 1.84231
497.363 1.81649
497.803 1.78998
498.242 1.76276
498.682 1.73480
499.121 1.70610
499.561 1.67662
500.000 1.64637
500.587 1.60473
501.173 1.56165
501.760 1.51710
502.346 1.47111
502.933 1.42370
503.226 1.39948
503.520 1.37493
503.813 1.35006
504.106 1.32489
504.400 1.29944
504.693 1.27375
505.096 1.23811
505.499 1.20219
505.903 1.16617
506.306 1.13023
506.709 1.09464
507.113 1.05970
507.516 1.02584
507.919 0.993575
508.267 0.967500
508.616 0.943651
508.964 0.922696
509.312 0.905463
509.487 0.898552
509.661 0.892980
509.835 0.888910
510.009 0.886540
510.183 0.886088
510.357 0.887802
510.531 0.891961
510.705 0.898884
510.870 0.908316
511.035 0.920891
511.200 0.936992
511.365 0.957043
511.530 0.981562
511.695 1.01110
511.778 1.02796
511.860 1.04631
511.943 1.06627
512.025 1.08790
512.106 1.11072
512.186 1.13534
512.266 1.16188
512.346 1.19049
512.410 1.21496
512.474 1.24086
512.539 1.26831
512.630 1.31043
512.722 1.35608
512.814 1.40564
512.905 1.45929
513.006 1.52357
513.107 1.59369
513.208 1.67022
513.258 1.71107
513.308 1.75375
513.359 1.79842
513.409 1.84500
513.460 1.89367
513.510 1.94452
513.561 1.99765
513.611 2.05316
513.661 2.11118
513.712 2.17183
513.758 2.22944
513.803 2.28930
513.849 2.35177
513.895 2.41669
513.941 2.48446
513.987 2.55491
514.033 2.62831
514.078 2.70480
514.124 2.78470
514.170 2.86782
514.216 2.95448
514.262 3.04485
514.308 3.13933
514.353 3.23770
514.399 3.34035
514.445 3.44751
514.509 3.60573
514.573 3.77364
514.638 3.95249
514.702 4.14253
514.766 4.34521
514.830 4.56085
514.894 4.79117
514.958 5.03658
515.009 5.24161
515.059 5.45723
515.110 5.68455
515.160 5.92434
515.210 6.17745
515.261 6.44478
515.311 6.72734
515.362 7.02619
515.412 7.34317
515.462 7.67830
515.513 8.03361
515.563 8.41064
515.614 8.81109
515.664 9.23684
515.714 9.68996
515.765 10.1727
515.820 10.7364
515.875 11.3422
515.930 11.9942
515.985 12.6973
516.040 13.4568
516.095 14.2790
516.150 15.1710
516.205 16.1412
516.255 17.1089
516.306 18.1571
516.356 19.2975
516.407 20.5417
516.457 21.9030
516.507 23.3974
516.533 24.2000
516.558 25.0431
516.583 25.9294
516.608 26.8619
516.633 27.8440
516.659 28.8792
516.684 29.9714
516.709 31.1249
516.734 32.3441
516.759 33.6341
516.785 35.0001
516.810 36.4480
516.835 37.9841
516.860 39.6150
516.885 41.3482
516.911 43.1915
516.936 45.1534
516.961 47.2430
516.986 49.4702
517.011 51.8456
517.037 54.3908
517.062 57.0980
517.087 59.9898
517.112 63.0801
517.137 66.3836
517.163 69.9158
517.188 73.6935
517.213 77.7342
517.238 82.0742
517.264 86.6987
517.289 91.6449
517.314 96.9342
517.339 102.589
517.364 108.633
517.390 115.090
517.415 121.985
517.440 129.344
517.465 137.194
517.490 145.562
517.516 154.475
517.541 163.961
517.566 174.049
517.591 184.766
517.616 196.141
517.642 208.201
517.667 220.973
517.692 234.483
517.717 248.758
517.742 263.820
517.768 279.693
517.793 296.396
517.818 313.947
517.850 337.558
517.882 362.597
517.914 389.082
517.946 417.019
517.978 446.405
518.011 477.226
518.043 509.454
518.075 542.941
518.125 598.409
518.176 656.704
518.226 717.546
518.276 780.454
518.478 1039.77
518.528 1102.70
518.579 1163.12
518.629 1220.11
518.679 1272.78
518.713 1305.16
518.747 1334.88
518.780 1361.91
518.814 1385.86
518.857 1411.87
518.900 1432.32
518.943 1447.01
518.986 1455.77
519.000 1457.35
519.014 1458.26
519.061 1456.53
519.107 1447.74
519.154 1432.05
519.200 1409.73
519.241 1385.39
519.281 1356.67
519.321 1323.92
519.361 1287.62
519.402 1247.78
519.442 1205.21
519.523 1113.28
519.603 1015.37
519.684 915.226
519.754 829.296
519.823 745.757
519.893 666.061
519.928 627.960
519.963 591.319
520.003 550.585
520.044 511.979
520.084 475.377
520.124 440.998
520.165 408.682
520.205 378.571
520.245 350.548
520.286 324.556
520.308 311.139
520.330 298.356
520.352 286.131
520.374 274.448
520.396 263.292
520.418 252.647
520.440 242.496
520.462 232.823
520.484 223.610
520.506 214.841
520.528 206.498
520.550 198.564
520.572 191.023
520.594 183.856
520.616 177.049
520.638 170.583
520.678 159.550
520.718 149.547
520.759 140.434
520.799 132.172
520.839 124.641
520.880 117.807
520.920 111.567
520.960 105.891
521.001 100.696
521.041 95.9554
521.082 91.6011
521.122 87.6133
521.162 83.9352
521.203 80.5522
521.243 77.4181
521.283 74.5223
521.324 71.8273
521.364 69.3259
521.404 66.9873
521.445 64.8070
521.485 62.7599
521.525 60.8433
521.566 59.0366
521.606 57.3385
521.646 55.7319
521.687 54.2167
521.727 52.7783
521.767 51.4175
521.848 48.8927
521.929 46.6036
521.995 44.8816
522.061 43.2840
522.127 41.7957
522.193 40.4059
522.259 39.1032
522.325 37.8835
522.391 36.7375
522.457 35.6589
522.523 34.6404
522.589 33.6803
522.655 32.7723
522.721 31.9126
522.787 31.0974
522.853 30.3234
522.919 29.5878
522.985 28.8879
