Tb-159(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.18750 4.24620
1.25000 4.22832
1.31250 4.22226
1.40625 4.23549
1.50000 4.27602
1.56250 4.31940
1.62500 4.37689
1.68750 4.44973
1.75000 4.53953
1.81250 4.64831
1.87500 4.77864
1.93750 4.93370
2.00000 5.11668
2.05562 5.30759
2.11123 5.53040
2.16684 5.79004
2.19465 5.93579
2.22246 6.09353
2.25027 6.26443
2.27807 6.44982
2.30588 6.65124
2.33369 6.87041
2.36150 7.10933
2.38930 7.37019
2.41711 7.65519
2.44492 7.96688
2.47272 8.30964
2.50053 8.68846
2.52834 9.10782
2.55615 9.57311
2.58395 10.0911
2.61176 10.6697
2.63957 11.3189
2.66737 12.0504
2.69139 12.7594
2.71541 13.5518
2.73942 14.4410
2.75143 14.9270
2.76344 15.4435
2.77544 15.9933
2.78745 16.5790
2.79946 17.2038
2.81147 17.8712
2.82348 18.5855
2.83548 19.3511
2.84749 20.1737
2.85950 21.0589
2.87340 22.1710
2.88730 23.3876
2.90121 24.7222
2.91511 26.1903
2.92902 27.8105
2.94292 29.6046
2.95682 31.5986
2.97073 33.8233
2.97768 35.0338
2.98463 36.3165
2.99158 37.6774
2.99853 39.1230
3.00549 40.6605
3.01244 42.2979
3.01939 44.0442
3.02634 45.9088
3.03329 47.9033
3.04024 50.0399
3.04720 52.3325
3.05415 54.7967
3.06110 57.4502
3.06805 60.3133
3.07500 63.4089
3.08196 66.7627
3.08891 70.4057
3.09586 74.3720
3.10281 78.7013
3.10976 83.4390
3.11671 88.6401
3.12367 94.3663
3.13062 100.691
3.13757 107.700
3.14452 115.498
3.14800 119.730
3.15147 124.207
3.15495 128.947
3.15843 133.972
3.16190 139.304
3.16538 144.970
3.16885 150.996
3.17233 157.413
3.17581 164.255
3.17928 171.559
3.18276 179.365
3.18623 187.718
3.18971 196.668
3.19318 206.265
3.19587 214.165
3.19856 222.519
3.20124 231.356
3.20393 240.712
3.20661 250.621
3.20930 261.122
3.21199 272.254
3.21467 284.060
3.21736 296.584
3.22004 309.872
3.22273 323.972
3.22542 338.933
3.22810 354.805
3.23079 371.639
3.23347 389.486
3.23616 408.389
3.23932 432.064
3.24248 457.355
