73-Ta_n-tot
> 73-Ta-181:1.000000
9.765630e-02 3.92557000e+02
9.843750e-02 3.89084000e+02
9.921880e-02 3.85882000e+02
1.000000e-01 3.82956000e+02
1.007810e-01 3.80303000e+02
1.015630e-01 3.77917000e+02
1.023440e-01 3.75786000e+02
1.031250e-01 3.73893000e+02
1.039060e-01 3.72219000e+02
1.046880e-01 3.70741000e+02
1.054690e-01 3.69435000e+02
1.062500e-01 3.68279000e+02
1.078130e-01 3.66325000e+02
1.093750e-01 3.64717000e+02
1.109380e-01 3.63328000e+02
1.125000e-01 3.62067000e+02
1.187500e-01 3.57456000e+02
1.250000e-01 3.52958000e+02
1.500000e-01 3.34988000e+02
1.750000e-01 3.17031000e+02
2.000000e-01 2.99081000e+02
2.100000e-01 2.91904000e+02
2.200000e-01 2.84763000e+02
2.250000e-01 2.81345000e+02
2.275000e-01 2.79779000e+02
2.300000e-01 2.78392000e+02
2.312500e-01 2.77794000e+02
2.325000e-01 2.77273000e+02
2.337500e-01 2.76842000e+02
2.350000e-01 2.76513000e+02
2.362500e-01 2.76294000e+02
2.375000e-01 2.76194000e+02
2.387500e-01 2.76217000e+02
2.400000e-01 2.76368000e+02
2.410160e-01 2.76584000e+02
2.420310e-01 2.76883000e+02
2.430470e-01 2.77262000e+02
2.440630e-01 2.77718000e+02
2.460940e-01 2.78841000e+02
2.481250e-01 2.80210000e+02
2.501560e-01 2.81776000e+02
2.521880e-01 2.83493000e+02
2.562500e-01 2.87215000e+02
2.643750e-01 2.95130000e+02
2.725000e-01 3.03167000e+02
3.050000e-01 3.35343000e+02
3.700000e-01 3.99696000e+02
4.350000e-01 4.64049000e+02
5.000000e-01 5.28402000e+02
6.250000e-01 6.52160000e+02
7.500000e-01 7.75917000e+02
8.750000e-01 8.99675000e+02
1.000000e+00 1.02409000e+03
1.050000e+00 1.07769000e+03
1.100000e+00 1.13192000e+03
1.150000e+00 1.18612000e+03
1.175000e+00 1.21232000e+03
1.187500e+00 1.22343000e+03
1.200000e+00 1.23141000e+03
1.212500e+00 1.23560000e+03
1.225000e+00 1.23677000e+03
1.250000e+00 1.23537000e+03
1.300000e+00 1.23085000e+03
1.350000e+00 1.22631000e+03
1.400000e+00 1.22176000e+03
1.500000e+00 1.21268000e+03
1.600000e+00 1.20359000e+03
1.700000e+00 1.19450000e+03
1.800000e+00 1.18542000e+03
1.900000e+00 1.17633000e+03
2.000000e+00 1.16724000e+03
2.375000e+00 1.13317000e+03
2.750000e+00 1.09911000e+03
3.500000e+00 1.03098000e+03
4.250000e+00 9.62847000e+02
5.000000e+00 8.94719000e+02
6.250000e+00 7.81175000e+02
7.500000e+00 6.67633000e+02
8.750000e+00 5.54091000e+02
9.375000e+00 4.97321000e+02
9.687500e+00 4.68936000e+02
9.843750e+00 4.54745000e+02
9.921880e+00 4.47802000e+02
9.960940e+00 4.44750000e+02
1.000000e+01 4.42448000e+02
1.003910e+01 4.41095000e+02
1.007810e+01 4.40484000e+02
1.015630e+01 4.40081000e+02
1.031250e+01 4.39576000e+02
1.062500e+01 4.38569000e+02
1.125000e+01 4.36557000e+02
1.250000e+01 4.32531000e+02
1.500000e+01 4.24480000e+02
1.750000e+01 4.16430000e+02
2.000000e+01 4.08379000e+02
2.750000e+01 3.84228000e+02
3.500000e+01 3.60077000e+02
4.250000e+01 3.35926000e+02
5.000000e+01 3.11775000e+02
6.250000e+01 2.71523000e+02
7.500000e+01 2.31272000e+02
8.750000e+01 1.91020000e+02
1.000000e+02 1.50981000e+02
1.003910e+02 1.50732000e+02
1.007810e+02 1.50690000e+02
1.015630e+02 1.50610000e+02
1.031250e+02 1.50451000e+02
1.062500e+02 1.50131000e+02
1.125000e+02 1.49492000e+02
1.250000e+02 1.48214000e+02
1.500000e+02 1.45658000e+02
1.750000e+02 1.43101000e+02
2.000000e+02 1.40545000e+02
2.750000e+02 1.32877000e+02
3.500000e+02 1.25208000e+02
4.250000e+02 1.17540000e+02
5.000000e+02 1.09871000e+02
6.250000e+02 9.70899000e+01
7.500000e+02 8.43089000e+01
8.750000e+02 7.15279000e+01
1.000000e+03 5.87662000e+01
1.250000e+03 5.55798000e+01
1.500000e+03 5.24125000e+01
