Kr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
535.515 0.182482
535.838 0.175513
536.161 0.168937
536.483 0.162724
537.129 0.151286
537.775 0.141018
538.420 0.131761
539.066 0.123390
539.711 0.115794
540.357 0.108881
541.120 0.101483
541.883 0.0948169
542.646 0.0887890
543.409 0.0833223
544.172 0.0783542
544.934 0.0738323
545.697 0.0696844
546.460 0.0658715
547.106 0.0628854
547.751 0.0600995
548.397 0.0574963
549.043 0.0550607
549.688 0.0527778
550.334 0.0506355
550.979 0.0486226
551.625 0.0467291
552.270 0.0449451
552.916 0.0432628
553.562 0.0416746
554.207 0.0401738
555.498 0.0374090
556.789 0.0349247
558.081 0.0326841
559.372 0.0306568
560.663 0.0288163
561.954 0.0271407
563.245 0.0256107
564.536 0.0242101
565.827 0.0229248
567.118 0.0217424
568.234 0.0207958
569.349 0.0199129
571.579 0.0183196
573.809 0.0169109
576.039 0.0156668
578.269 0.0145619
580.499 0.0135758
582.729 0.0126921
584.960 0.0118979
587.542 0.0110754
590.124 0.0103413
592.706 0.00968411
595.289 0.00909404
597.871 0.00856120
600.453 0.00807944
603.035 0.00764218
605.618 0.00724383
609.843 0.00666554
614.069 0.00616713
618.294 0.00573011
622.520 0.00534616
626.745 0.00500718
630.971 0.00470665
635.196 0.00443932
639.422 0.00420088
644.586 0.00394377
649.751 0.00371666
654.916 0.00351603
660.080 0.00333890
665.245 0.00318030
670.409 0.00303920
680.738 0.00279868
690.598 0.00261288
700.457 0.00245784
710.317 0.00233013
720.176 0.00222232
730.036 0.00213172
739.895 0.00205656
749.755 0.00199281
759.615 0.00193895
770.883 0.00188886
782.151 0.00184936
804.687 0.00178981
827.223 0.00175805
849.759 0.00174462
868.539 0.00174780
887.319 0.00176130
906.100 0.00178442
924.880 0.00181706
943.660 0.00186056
962.440 0.00191426
981.220 0.00197887
1000.00 0.00205587
1024.33 0.00217963
1036.49 0.00225311
1048.66 0.00233600
1060.82 0.00243035
1072.99 0.00254043
1085.15 0.00266983
1097.31 0.00282879
1106.92 0.00298748
1116.52 0.00319707
1121.32 0.00333159
1126.12 0.00350227
1130.92 0.00372793
1135.73 0.00404726
1137.97 0.00424875
1140.21 0.00450204
1142.45 0.00482990
1144.69 0.00526818
1146.93 0.00585940
1149.17 0.00674491
1150.29 0.00735727
1151.41 0.00813890
1152.53 0.00915849
1153.65 0.0105155
1154.37 0.0116543
1155.09 0.0130946
1155.81 0.0149555
1156.53 0.0174066
1157.25 0.0207358
