33-As_n-g
>  33-As-75:1.000000
5.937500e-02 2.93908000e+00
6.093750e-02 2.90123000e+00
6.250000e-02 2.86481000e+00
6.406250e-02 2.82973000e+00
6.562500e-02 2.79592000e+00
6.718750e-02 2.76330000e+00
6.875000e-02 2.73179000e+00
7.187500e-02 2.67189000e+00
7.500000e-02 2.61577000e+00
7.812500e-02 2.56304000e+00
8.125000e-02 2.51338000e+00
8.437500e-02 2.46650000e+00
8.750000e-02 2.42215000e+00
9.062500e-02 2.38012000e+00
9.375000e-02 2.34021000e+00
9.687500e-02 2.30226000e+00
1.000000e-01 2.26609000e+00
1.031250e-01 2.23159000e+00
1.062500e-01 2.19862000e+00
1.093750e-01 2.16708000e+00
1.125000e-01 2.13686000e+00
1.156250e-01 2.10788000e+00
1.187500e-01 2.08005000e+00
1.218750e-01 2.05331000e+00
1.250000e-01 2.02758000e+00
1.281250e-01 2.00280000e+00
1.312500e-01 1.97892000e+00
1.343750e-01 1.95588000e+00
1.375000e-01 1.93363000e+00
1.437500e-01 1.89133000e+00
1.500000e-01 1.85169000e+00
1.562500e-01 1.81445000e+00
1.625000e-01 1.77937000e+00
1.687500e-01 1.74625000e+00
1.750000e-01 1.71494000e+00
1.812500e-01 1.68526000e+00
1.875000e-01 1.65709000e+00
1.937500e-01 1.63031000e+00
2.000000e-01 1.60480000e+00
2.093750e-01 1.56869000e+00
2.187500e-01 1.53493000e+00
2.281250e-01 1.50326000e+00
2.375000e-01 1.47348000e+00
2.468750e-01 1.44542000e+00
2.562500e-01 1.41893000e+00
2.656250e-01 1.39385000e+00
2.750000e-01 1.37007000e+00
2.843750e-01 1.34748000e+00
2.937500e-01 1.32598000e+00
3.031250e-01 1.30549000e+00
3.125000e-01 1.28593000e+00
3.218750e-01 1.26724000e+00
3.312500e-01 1.24935000e+00
3.406250e-01 1.23221000e+00
3.500000e-01 1.21576000e+00
3.593750e-01 1.19996000e+00
3.687500e-01 1.18477000e+00
3.781250e-01 1.17016000e+00
3.875000e-01 1.15609000e+00
3.968750e-01 1.14253000e+00
4.062500e-01 1.12945000e+00
4.250000e-01 1.10459000e+00
4.437500e-01 1.08131000e+00
4.625000e-01 1.05946000e+00
5.000000e-01 1.01958000e+00
5.312500e-01 9.89656000e-01
5.625000e-01 9.62209000e-01
5.937500e-01 9.36970000e-01
6.250000e-01 9.13662000e-01
6.875000e-01 8.71946000e-01
7.500000e-01 8.35602000e-01
8.125000e-01 8.03575000e-01
8.750000e-01 7.75158000e-01
9.375000e-01 7.49655000e-01
1.000000e+00 7.26528000e-01
1.062500e+00 7.05499000e-01
1.125000e+00 6.86272000e-01
1.187500e+00 6.68606000e-01
1.250000e+00 6.52303000e-01
1.375000e+00 6.23152000e-01
1.500000e+00 5.97791000e-01
1.625000e+00 5.75474000e-01
1.750000e+00 5.55695000e-01
1.875000e+00 5.37973000e-01
2.000000e+00 5.21914000e-01
2.187500e+00 5.00547000e-01
2.375000e+00 4.81865000e-01
2.562500e+00 4.65349000e-01
2.750000e+00 4.50654000e-01
2.937500e+00 4.37453000e-01
3.125000e+00 4.25488000e-01
3.312500e+00 4.14611000e-01
3.500000e+00 4.04676000e-01
3.875000e+00 3.87164000e-01
4.250000e+00 3.72209000e-01
4.625000e+00 3.59285000e-01
5.000000e+00 3.48018000e-01
5.312500e+00 3.39676000e-01
5.625000e+00 3.32129000e-01
6.250000e+00 3.19063000e-01
6.875000e+00 3.08190000e-01
7.500000e+00 2.99063000e-01
7.968750e+00 2.93175000e-01
8.437500e+00 2.87960000e-01
8.750000e+00 2.84846000e-01
9.375000e+00 2.79336000e-01
1.000000e+01 2.74678000e-01
1.062500e+01 2.70779000e-01
1.125000e+01 2.67553000e-01
1.187500e+01 2.64937000e-01
1.250000e+01 2.62876000e-01
1.343750e+01 2.60773000e-01
1.437500e+01 2.59673000e-01
1.500000e+01 2.59517000e-01
1.625000e+01 2.60492000e-01
1.750000e+01 2.63179000e-01
1.875000e+01 2.67598000e-01
2.000000e+01 2.73825000e-01
2.110150e+01 2.81018000e-01
2.165220e+01 2.85179000e-01
2.220290e+01 2.89913000e-01
2.330440e+01 3.00690000e-01
2.440580e+01 3.13839000e-01
2.495650e+01 3.21302000e-01
2.550730e+01 3.29631000e-01
2.605800e+01 3.38600000e-01
2.660870e+01 3.48438000e-01
2.715940e+01 3.59392000e-01
2.771020e+01 3.71195000e-01
2.826090e+01 3.84209000e-01
2.881160e+01 3.98426000e-01
2.938860e+01 4.15029000e-01
2.996550e+01 4.33430000e-01
3.054250e+01 4.53891000e-01
3.111940e+01 4.76718000e-01
3.169640e+01 5.02225000e-01
3.227330e+01 5.30872000e-01
3.285030e+01 5.63146000e-01
3.342720e+01 5.99645000e-01
3.389930e+01 6.33203000e-01
3.437130e+01 6.70609000e-01
3.484340e+01 7.12460000e-01
3.531540e+01 7.59470000e-01
3.555140e+01 7.85149000e-01
3.578750e+01 8.12513000e-01
3.602350e+01 8.41612000e-01
3.625950e+01 8.72566000e-01
3.649550e+01 9.05426000e-01
3.673160e+01 9.40772000e-01
3.696760e+01 9.78688000e-01
3.720360e+01 1.01936000e+00
3.749210e+01 1.07320000e+00
3.778060e+01 1.13214000e+00
3.806900e+01 1.19683000e+00
3.835750e+01 1.26806000e+00
3.864600e+01 1.34672000e+00
3.893450e+01 1.43390000e+00
3.922290e+01 1.53088000e+00
3.951140e+01 1.63919000e+00
3.977370e+01 1.74902000e+00
4.003590e+01 1.87140000e+00
4.016700e+01 1.93791000e+00
4.029820e+01 2.00832000e+00
4.042930e+01 2.08297000e+00
4.056040e+01 2.16218000e+00
4.069150e+01 2.24636000e+00
4.082270e+01 2.33592000e+00
4.095380e+01 2.43134000e+00
4.108490e+01 2.53310000e+00
4.121600e+01 2.64171000e+00
4.134720e+01 2.75771000e+00
4.147830e+01 2.88194000e+00
4.160940e+01 3.01543000e+00
4.175360e+01 3.17413000e+00
4.189790e+01 3.34652000e+00
4.204210e+01 3.53414000e+00
4.218640e+01 3.73879000e+00
4.233060e+01 3.96266000e+00
4.247480e+01 4.20822000e+00
4.261910e+01 4.47838000e+00
4.276330e+01 4.77654000e+00
4.290750e+01 5.10677000e+00
4.305180e+01 5.47385000e+00
