Sr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
3.12500 0.0744810
3.31250 0.0723721
3.50000 0.0704362
3.87500 0.0669976
4.25000 0.0640281
4.62500 0.0614303
5.00000 0.0591353
5.31250 0.0574135
5.62500 0.0558365
5.93750 0.0543870
6.25000 0.0530490
6.87500 0.0506554
7.50000 0.0485718
8.12500 0.0467373
8.75000 0.0451081
9.37500 0.0436479
10.0000 0.0423277
10.6250 0.0411285
11.2500 0.0400331
11.8750 0.0390278
12.5000 0.0381011
13.7500 0.0364471
15.0000 0.0350118
16.2500 0.0337523
17.5000 0.0326376
18.7500 0.0316421
20.0000 0.0307457
21.8750 0.0295579
23.7500 0.0285248
25.6250 0.0276173
27.5000 0.0268144
29.3750 0.0260987
31.2500 0.0254564
33.1250 0.0248778
35.0000 0.0243543
38.7500 0.0234462
42.5000 0.0226894
46.2500 0.0220536
50.0000 0.0215172
53.1250 0.0211340
56.2500 0.0208003
62.5000 0.0202600
68.7500 0.0198606
75.0000 0.0195773
81.2500 0.0193929
87.5000 0.0192954
93.7500 0.0192758
100.000 0.0193278
106.250 0.0194477
112.500 0.0196331
118.750 0.0198830
125.000 0.0201975
131.250 0.0205781
137.500 0.0210270
143.750 0.0215476
150.000 0.0221444
156.250 0.0228233
162.500 0.0235911
168.750 0.0244565
175.000 0.0254298
181.250 0.0265233
187.500 0.0277518
193.750 0.0291330
200.000 0.0306878
205.760 0.0323013
211.520 0.0341119
214.400 0.0350919
217.279 0.0361446
220.159 0.0372354
223.039 0.0384335
225.919 0.0396652
228.799 0.0410203
231.679 0.0424327
234.559 0.0439555
237.439 0.0455568
240.318 0.0472903
243.198 0.0491477
246.078 0.0511425
249.598 0.0537948
253.118 0.0566891
256.638 0.0598677
260.158 0.0633824
263.677 0.0672455
267.197 0.0715469
268.957 0.0738631
270.717 0.0763328
274.237 0.0816574
277.437 0.0870895
279.037 0.0900159
280.637 0.0931429
282.237 0.0964045
283.837 0.0998925
287.036 0.107477
288.636 0.111672
290.236 0.116091
291.836 0.120792
293.436 0.125873
295.036 0.131216
296.636 0.136996
298.236 0.143107
299.836 0.149737
301.596 0.157618
303.356 0.166174
305.116 0.175492
306.876 0.185668
308.636 0.196799
310.396 0.209025
312.155 0.222487
313.915 0.237350
315.675 0.253844
317.435 0.272184
319.195 0.292677
320.075 0.303840
320.955 0.315687
321.835 0.328247
322.715 0.341604
323.595 0.355842
324.475 0.370996
325.355 0.387169
326.235 0.404486
327.115 0.423010
327.995 0.442854
328.995 0.467234
329.995 0.493734
330.995 0.522378
331.995 0.553876
332.995 0.588422
333.994 0.626381
334.494 0.646786
334.994 0.668221
335.494 0.690733
335.994 0.714404
336.334 0.731237
336.674 0.748699
337.014 0.766811
337.354 0.785599
337.694 0.805095
337.864 0.815119
338.034 0.825335
338.204 0.835749
338.374 0.846365
338.544 0.857191
338.714 0.868223
338.934 0.882836
339.154 0.897827
339.374 0.913211
339.594 0.929000
339.814 0.945209
340.034 0.961853
340.254 0.978946
340.474 0.996506
340.694 1.01455
340.804 1.02376
340.914 1.03310
341.024 1.04256
341.134 1.05216
341.244 1.06190
341.354 1.07176
341.407 1.07652
341.459 1.08132
341.512 1.08614
341.564 1.09100
341.594 1.09380
341.664 1.10035
341.734 1.10697
341.797 1.11293
341.859 1.11894
341.922 1.12500
341.984 1.13111
342.109 1.14348
342.234 1.15605
342.334 1.16626
342.434 1.17661
342.534 1.18711
342.634 1.19774
342.834 1.21945
343.034 1.24176
343.234 1.26470
343.334 1.27641
343.434 1.28829
343.534 1.30033
343.634 1.31255
343.734 1.32494
343.834 1.33750
343.944 1.35154
344.054 1.36580
344.164 1.38030
344.274 1.39502
344.384 1.40999
344.494 1.42521
344.604 1.44067
344.714 1.45639
344.824 1.47237
344.934 1.48862
345.044 1.50515
345.154 1.52195
345.264 1.53904
345.374 1.55643
345.484 1.57411
345.594 1.59210
345.704 1.61040
345.814 1.62903
345.924 1.64798
346.034 1.66727
346.144 1.68691
346.254 1.70690
346.364 1.72725
346.474 1.74797
346.584 1.76907
346.694 1.79055
346.804 1.81244
346.914 1.83473
347.024 1.85744
347.134 1.88059
347.354 1.92818
347.574 1.97764
347.794 2.02905
348.014 2.08251
348.234 2.13814
348.454 2.19605
348.674 2.25637
348.894 2.31923
349.114 2.38475
349.334 2.45315
349.554 2.52456
349.774 2.59916
349.994 2.67715
350.214 2.75873
350.434 2.84414
350.654 2.93360
350.874 3.02740
351.094 3.12580
351.314 3.22912
351.534 3.33769
351.754 3.45187
351.974 3.57206
352.194 3.69869
352.414 3.83222
352.634 3.97310
352.854 4.12203
353.074 4.27955
353.294 4.44634
353.514 4.62314
353.734 4.81077
353.954 5.01013
354.174 5.22223
354.394 5.44808
354.614 5.68910
354.834 5.94658
355.054 6.22204
355.274 6.51721
355.494 6.83402
355.714 7.17464
355.934 7.54151
356.153 7.93722
356.373 8.36529
356.483 8.59250
356.593 8.82913
356.703 9.07572
356.813 9.33284
356.923 9.60110
357.033 9.88114
357.143 10.1737
357.253 10.4795
357.363 10.7993
357.473 11.1341
357.583 11.4847
357.693 11.8523
357.803 12.2378
357.913 12.6426
358.018 13.0481
358.123 13.4734
358.228 13.9200
358.333 14.3893
358.438 14.8827
358.543 15.4021
358.648 15.9492
358.753 16.5260
358.858 17.1348
358.963 17.7779
359.068 18.4579
359.173 19.1778
359.278 19.9407
359.383 20.7501
359.488 21.6100
359.593 22.5238
359.703 23.5460
359.813 24.6396
359.923 25.8116
360.033 27.0696
360.143 28.4223
360.253 29.8793
360.363 31.4516
360.473 33.1518
360.583 34.9939
360.693 36.9942
360.803 39.1713
360.913 41.5467
361.023 44.1449
361.133 46.9946
361.243 50.1292
361.298 51.8153
361.353 53.5844
361.408 55.4488
361.463 57.4120
361.518 59.4808
361.573 61.6630
361.628 63.9667
361.683 66.4011
361.738 68.9760
361.793 71.7021
361.848 74.5913
361.903 77.6564
361.958 80.9116
362.013 84.3722
362.068 88.0552
362.123 91.9792
362.178 96.1644
362.233 100.633
362.313 107.690
362.353 111.489
362.393 115.482
362.433 119.684
362.473 124.105
362.513 128.761
362.553 133.665
362.593 138.834
362.633 144.282
362.673 150.028
362.713 156.089
362.753 162.483
362.793 169.230
362.833 176.348
362.873 183.840
362.928 194.844
362.983 206.681
363.038 219.405
363.093 233.066
363.148 247.711
363.203 263.384
363.258 280.116
363.313 297.934
363.368 316.847
363.423 336.852
363.478 357.924
363.533 380.018
363.588 403.064
363.643 426.967
363.753 476.810
363.905 547.779
363.981 582.793
364.057 616.524
364.133 648.159
364.209 676.868
364.285 701.841
364.360 722.331
364.420 734.913
364.480 744.048
364.540 749.549
364.600 751.302
364.648 749.975
364.687 747.117
364.726 742.691
364.765 736.735
364.804 729.302
364.882 710.270
364.960 686.233
365.038 657.963
365.116 626.319
365.194 592.199
365.272 556.492
365.431 482.346
365.510 446.016
365.589 410.949
365.669 377.572
365.748 346.182
365.827 316.967
365.907 290.011
365.948 276.903
365.989 264.431
366.030 252.552
366.071 241.253
366.112 230.491
366.153 220.302
366.194 210.639
366.236 201.480
366.277 192.784
366.318 184.571
366.359 176.796
366.400 169.437
366.441 162.457
366.482 155.868
366.523 149.631
366.565 143.727
366.606 138.124
366.647 132.829
366.688 127.813
366.729 123.057
366.811 114.258
366.894 106.338
366.976 99.1761
367.058 92.7006
367.140 86.8172
367.223 81.4719
367.279 78.0975
367.335 74.9254
367.391 71.9402
367.447 69.1279
367.503 66.4757
367.559 63.9719
367.615 61.6059
367.671 59.3716
367.783 55.2437
367.896 51.5295
368.008 48.1759
368.120 45.1405
368.202 43.0902
368.284 41.1781
368.367 39.3880
368.449 37.7137
368.531 36.1417
368.613 34.6674
368.696 33.2796
368.778 31.9749
368.860 30.7437
368.942 29.5836
369.025 28.4864
369.107 27.4503
369.271 25.5394
369.436 23.8210
369.601 22.2692
369.765 20.8649
369.930 19.5891
370.094 18.4267
370.259 17.3641
370.423 16.3914
370.588 15.4981
370.752 14.6761
370.894 14.0175
371.036 13.4024
371.178 12.8268
371.320 12.2879
371.463 11.7817
371.605 11.3064
371.747 10.8588
371.889 10.4373
372.031 10.0396
372.173 9.66399
372.315 9.30903
372.457 8.97342
372.741 8.35411
373.025 7.79660
373.190 7.49870
373.354 7.21767
373.519 6.95211
373.683 6.70089
374.012 6.23755
374.341 5.82053
374.670 5.44374
374.999 5.10238
375.328 4.79205
375.657 4.50911
376.046 4.20572
376.435 3.93192
376.824 3.68389
377.213 3.45868
377.602 3.25359
377.990 3.06636
378.379 2.89468
378.768 2.73678
379.097 2.61288
379.426 2.49719
379.755 2.38898
380.084 2.28763
380.413 2.19253
380.742 2.10325
381.071 2.01929
381.400 1.94023
381.729 1.86569
382.058 1.79536
382.387 1.72892
382.716 1.66608
383.374 1.55022
384.032 1.44598
384.690 1.35186
385.348 1.26660
386.006 1.18913
386.664 1.11852
387.323 1.05398
387.981 0.994857
388.639 0.940547
389.297 0.890547
389.835 0.852529
390.373 0.816894
390.912 0.783504
391.450 0.752203
391.989 0.722667
392.527 0.694757
393.065 0.668410
393.604 0.643536
394.142 0.620011
394.680 0.597752
395.757 0.556670
396.834 0.519670
397.911 0.486233
398.569 0.467358
399.227 0.449560
399.885 0.432755
400.543 0.416877
401.859 0.387629
403.175 0.361356
404.491 0.337664
405.807 0.316232
407.123 0.296782
408.439 0.279080
409.995 0.260136
411.550 0.243069
413.105 0.227641
414.661 0.213652
416.216 0.200929
417.771 0.189426
419.327 0.178791
420.882 0.169051
422.198 0.161458
423.514 0.154362
424.830 0.147719
426.146 0.141539
427.462 0.135750
428.778 0.130303
430.095 0.125211
431.411 0.120433
432.727 0.115921
434.043 0.111684
436.675 0.103933
437.991 0.100377
439.307 0.0970318
441.939 0.0908595
444.571 0.0853494
447.203 0.0804050
449.835 0.0759723
452.468 0.0720092
455.100 0.0684616
457.732 0.0653174
460.364 0.0625571
462.996 0.0601790
465.150 0.0585441
467.303 0.0572242
468.380 0.0566975
469.457 0.0562854
470.534 0.0559736
471.610 0.0558097
472.567 0.0558235
473.525 0.0560096
474.482 0.0564107
475.439 0.0570861
476.396 0.0581084
476.875 0.0587884
477.353 0.0596151
477.832 0.0606136
478.310 0.0618150
478.789 0.0632617
479.267 0.0650081
479.626 0.0665569
479.985 0.0683501
480.344 0.0704333
480.703 0.0728665
481.032 0.0754735
481.361 0.0785199
481.690 0.0821043
482.019 0.0863513
482.348 0.0914252
482.513 0.0943383
482.677 0.0975462
482.842 0.101089
483.006 0.105014
483.171 0.109377
483.335 0.114247
483.530 0.120769
483.724 0.128278
483.918 0.136992
484.113 0.147188
484.210 0.152958
484.307 0.159238
484.405 0.166100
484.502 0.173620
484.599 0.181887
484.696 0.191009
484.793 0.201114
484.891 0.212357
485.010 0.228055
485.130 0.246216
485.190 0.256430
485.250 0.267498
485.309 0.279554
485.369 0.292741
485.429 0.307259
485.489 0.323274
485.549 0.341074
485.608 0.360993
485.668 0.383449
485.728 0.408969
485.788 0.438222
485.848 0.472053
485.889 0.498572
485.930 0.528111
485.971 0.561308
486.012 0.598573
486.053 0.640754
486.095 0.688413
486.136 0.742528
486.177 0.804105
486.218 0.874475
486.239 0.913305
486.259 0.954593
486.280 0.998928
486.300 1.04608
486.321 1.09671
486.341 1.15055
486.362 1.20836
486.382 1.27012
486.403 1.33609
486.424 1.40618
486.444 1.48135
486.465 1.56115
486.485 1.64665
486.506 1.73733
486.526 1.83438
486.547 1.93770
486.568 2.04761
486.588 2.16387
486.609 2.28795
486.629 2.41899
486.650 2.55860
486.670 2.70579
486.691 2.86233
486.711 3.02704
486.732 3.20187
486.752 3.38545
486.773 3.57989
486.794 3.78361
486.814 3.99890
486.835 4.22395
486.855 4.46122
486.876 4.70986
486.896 4.97009
486.917 5.24076
486.938 5.52465
486.958 5.81912
486.999 6.44574
487.040 7.12246
487.081 7.84540
487.123 8.61474
487.164 9.42816
487.212 10.4445
487.261 11.5086
487.310 12.6133
487.358 13.7475
487.523 17.6189
487.594 19.1952
487.629 19.9342
487.665 20.6318
487.706 21.3790
487.747 22.0518
487.788 22.6409
487.829 23.1381
487.870 23.5355
487.911 23.8286
487.956 24.0238
488.000 24.0879
488.008 24.0857
488.032 24.0532
488.056 23.9820
488.104 23.7254
488.138 23.4587
488.171 23.1238
488.203 22.7439
488.235 22.3078
488.241 22.2227
488.246 22.1360
488.267 21.8192
