Sm-144(n,g) ENDFB-8.0
Energy(eV) XS(b)
750.117 0.446008
750.151 0.512177
750.186 0.588232
750.220 0.675860
750.255 0.775879
750.290 0.890268
750.324 1.01983
750.341 1.09109
750.359 1.16681
750.376 1.24718
750.393 1.33189
750.410 1.42212
750.428 1.51700
750.445 1.61784
750.462 1.72364
750.493 1.92748
750.508 2.03658
750.524 2.14984
750.539 2.26888
750.554 2.39223
750.570 2.52160
750.585 2.65541
750.616 2.94005
750.646 3.24664
750.677 3.57550
750.708 3.92677
750.739 4.30036
750.769 4.69592
750.800 5.11285
750.831 5.55027
750.861 6.00700
750.892 6.48156
750.953 7.47664
751.015 8.51914
751.076 9.58281
751.138 10.6424
751.199 11.6678
751.234 12.2186
751.268 12.7412
751.303 13.2329
751.337 13.6855
751.380 14.1802
751.422 14.6020
751.468 14.9706
751.508 15.2078
751.529 15.2989
751.550 15.3665
751.572 15.4108
751.598 15.4319
751.600 15.4320
751.606 15.4309
751.612 15.4277
751.625 15.4154
751.646 15.3744
751.667 15.3109
751.688 15.2244
751.727 14.9984
751.769 14.6774
751.811 14.2766
751.853 13.8030
751.885 13.3913
751.917 12.9464
751.949 12.4715
751.981 11.9712
752.038 11.0390
752.095 10.0689
752.209 8.10691
752.266 7.15586
752.322 6.25102
752.351 5.81807
752.379 5.40245
752.408 5.00370
752.436 4.62269
752.465 4.25881
752.493 3.91506
752.521 3.59038
752.550 3.28484
752.578 2.99738
752.607 2.72977
752.635 2.48062
752.664 2.24943
752.694 2.02193
752.724 1.81342
752.755 1.62241
752.785 1.44921
752.815 1.29217
752.845 1.15026
752.876 1.02206
752.906 0.907372
752.936 0.804744
752.967 0.713186
752.997 0.631745
753.027 0.559506
753.058 0.495603
753.088 0.439217
753.115 0.395306
753.141 0.356254
753.168 0.321315
753.194 0.290336
753.221 0.262697
753.247 0.238250
753.300 0.197333
753.353 0.165155
753.406 0.139967
753.459 0.120152
753.512 0.104571
753.566 0.0922008
753.619 0.0823192
753.672 0.0743423
753.725 0.0678331
753.831 0.0578880
753.937 0.0506506
754.043 0.0450835
754.149 0.0406157
754.361 0.0337585
754.574 0.0286707
754.786 0.0247355
755.074 0.0206465
755.362 0.0175574
