Hf-177(n,g) ENDFB-8.0
Energy(eV) XS(b)
6.04762 18.0128
6.10892 19.1555
6.17022 20.4214
6.23152 21.8287
6.29281 23.3997
6.32764 24.3749
6.36247 25.4166
6.39730 26.5303
6.43212 27.7228
6.46695 29.0034
6.48437 29.6797
6.50178 30.3817
6.51919 31.1105
6.53661 31.8674
6.55402 32.6539
6.57144 33.4715
6.58188 33.9779
6.59233 34.4964
6.60278 35.0276
6.61323 35.5718
6.62368 36.1294
6.63413 36.7010
6.63935 36.9921
6.64457 37.2869
6.64980 37.5854
6.65502 37.8877
6.66060 38.2144
6.66617 38.5455
6.67174 38.8812
6.67731 39.2215
6.68289 39.5665
6.68846 39.9163
6.69403 40.2710
6.69960 40.6305
6.70727 41.1334
6.71493 41.6460
6.72259 42.1687
6.73025 42.7017
6.73652 43.1457
6.74279 43.5970
6.74906 44.0557
6.75533 44.5220
6.76299 45.1025
6.77065 45.6949
6.77448 45.9957
6.77831 46.2996
6.78214 46.6066
6.78598 46.9168
6.78981 47.2303
6.79364 47.5470
6.79747 47.8671
6.80130 48.1905
6.80513 48.5174
6.80896 48.8477
6.81279 49.1816
6.81662 49.5190
6.82046 49.8602
6.82429 50.2049
6.82812 50.5534
6.83195 50.9056
6.83578 51.2617
6.83961 51.6217
6.84344 51.9856
6.84727 52.3535
6.85389 52.9988
6.86051 53.6564
6.86382 53.9900
6.86713 54.3269
6.87374 55.0104
6.88036 55.7074
6.88698 56.4182
6.89359 57.1432
6.90021 57.8827
6.90787 58.7578
6.91554 59.6536
6.92320 60.5707
6.93086 61.5100
6.93852 62.4720
6.94618 63.4575
6.95385 64.4674
6.96151 65.5024
6.96917 66.5635
6.97683 67.6514
6.98449 68.7670
6.99216 69.9115
6.99982 71.0858
7.00748 72.2909
7.01514 73.5278
7.02281 74.7977
7.02942 75.9222
7.03604 77.0728
7.04266 78.2505
7.04927 79.4563
7.05589 80.6912
7.06251 81.9557
7.06913 83.2510
7.07574 84.5782
7.08236 85.9385
7.08898 87.3326
7.09560 88.7618
7.10221 90.2274
7.10883 91.7308
7.11545 93.2729
7.12206 94.8553
7.12868 96.4794
7.13634 98.4144
7.14401 100.409
7.15167 102.467
7.15933 104.591
7.16699 106.783
7.17465 109.047
7.18232 111.385
7.18998 113.801
7.19764 116.299
7.20530 118.882
7.21297 121.554
7.22063 124.319
7.22829 127.183
7.23595 130.148
7.24361 133.222
7.25128 136.408
7.25894 139.713
7.26660 143.142
7.27426 146.702
7.28192 150.400
7.28959 154.243
7.29725 158.238
7.30491 162.394
7.31257 166.721
7.32024 171.227
7.32790 175.921
7.33556 180.816
7.34322 185.923
7.35088 191.254
7.35855 196.824
7.36621 202.645
7.37387 208.735
7.38084 214.518
7.38780 220.550
7.39477 226.846
7.40173 233.421
7.40870 240.293
7.41566 247.478
7.42263 254.999
7.42959 262.875
7.43656 271.131
7.44353 279.790
7.45049 288.882
7.45746 298.432
7.46442 308.477
7.47139 319.049
7.47835 330.190
7.48532 341.937
7.49298 355.620
7.50064 370.162
7.50831 385.638
7.51597 402.134
7.52363 419.741
7.53129 438.565
7.53895 458.722
7.54662 480.344
7.55428 503.584
7.56194 528.604
7.56960 555.599
7.57727 584.791
7.58493 616.429
7.59259 650.806
7.60025 688.259
7.60791 729.178
7.61175 751.084
7.61558 774.030
7.61941 798.092
7.62324 823.345
7.62707 849.874
7.63090 877.770
7.63473 907.133
7.63856 938.072
7.64239 970.707
