Ga-69(n,g) ENDFB-8.0
Energy(eV) XS(b)
334.062 393.173
334.117 375.191
334.172 355.022
334.219 336.583
334.265 317.233
334.358 277.051
334.451 236.807
334.498 217.290
334.544 198.451
334.599 177.262
334.627 167.175
334.654 157.487
334.682 148.145
334.709 139.226
334.736 130.673
334.764 122.555
334.787 115.968
334.810 109.698
334.834 103.689
334.857 97.9895
334.880 92.5450
334.903 87.3970
334.927 82.4948
334.950 77.8734
334.973 73.4851
334.996 69.3593
335.020 65.4517
335.043 61.7868
335.066 58.3236
335.089 55.0825
335.113 52.0259
335.136 49.1706
335.159 46.4824
335.182 43.9751
335.206 41.6178
335.229 39.4218
335.252 37.3593
335.275 35.4395
335.299 33.6377
335.322 31.9615
335.345 30.3889
335.368 28.9261
335.392 27.5536
335.415 26.2768
335.438 25.0785
335.461 23.9630
335.485 22.9197
335.508 21.9434
335.528 21.1481
335.548 20.3965
335.588 19.0169
335.628 17.7777
335.668 16.6673
335.709 15.6645
335.749 14.7608
335.789 13.9397
335.829 13.1950
335.869 12.5140
335.909 11.8925
335.949 11.3205
335.990 10.7952
336.030 10.3088
336.070 9.85944
336.110 9.44114
336.150 9.05268
336.197 8.63449
336.243 8.24733
336.290 7.88791
336.336 7.55338
336.383 7.24130
336.429 6.94951
336.476 6.67617
336.522 6.41962
336.569 6.17841
336.615 5.95128
336.662 5.73707
336.708 5.53477
336.801 5.16232
336.894 4.82801
336.949 4.64572
337.004 4.47423
337.059 4.31209
337.114 4.15916
337.224 3.87718
337.334 3.62368
337.444 3.39486
337.553 3.18754
337.663 2.99904
337.773 2.82726
337.866 2.69326
337.959 2.56874
338.052 2.45279
338.145 2.34465
338.238 2.24360
338.331 2.14905
338.424 2.06043
338.517 1.97735
338.610 1.89917
338.703 1.82561
338.796 1.75629
338.889 1.69090
338.982 1.62914
339.075 1.57074
339.261 1.46317
339.447 1.36635
339.633 1.27895
339.819 1.19977
340.005 1.12785
340.191 1.06224
340.377 1.00231
340.563 0.947338
340.749 0.896863
340.901 0.858529
341.053 0.822641
341.205 0.788993
341.357 0.757419
341.510 0.727710
341.662 0.699754
341.814 0.673379
341.966 0.648499
342.118 0.624972
342.270 0.602717
342.575 0.561687
342.879 0.524770
343.183 0.491434
343.369 0.472627
343.555 0.454900
343.741 0.438172
343.927 0.422377
344.299 0.393281
344.671 0.367163
345.043 0.343615
345.415 0.322323
345.787 0.303002
346.159 0.285417
346.598 0.266593
347.038 0.249632
347.478 0.234295
347.917 0.220390
348.357 0.207748
348.796 0.196223
349.236 0.185665
349.675 0.175967
350.047 0.168366
350.419 0.161276
350.791 0.154648
351.163 0.148447
351.535 0.142634
351.907 0.137181
352.279 0.132056
352.651 0.127235
353.023 0.122692
353.395 0.118410
354.139 0.110545
354.883 0.103507
355.626 0.0971842
356.438 0.0909923
357.249 0.0854395
358.061 0.0804415
358.872 0.0759273
359.684 0.0718372
360.495 0.0681238
361.307 0.0647546
362.118 0.0616651
362.862 0.0590547
363.606 0.0566407
364.350 0.0544048
365.094 0.0523309
